"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887783","Friendly","Memorial Brambilla-Verga (women)","08.10.2017 - 13:30","River Volley (women)","Volley Bergamo (women)",
"Statistics","River Volley (women)","Type","Volley Bergamo (women)",
,"3","Score","0",
,"75","Points","51",
,"3","Sets","0",
,"7","Aces","1",
,"8","Service errors","6",
,"39","Kills","29",
,"16","Blocks","5",
,"3","Errors","3",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:52:50","00:00","Game conditions changed","Game conditions changed",
,"12:59:04","00:00","Players warming up","Players warming up",
,"12:59:08","00:00","Game conditions changed","Game conditions changed",
,"13:00:52","00:00","Jersey colours updated","Jersey colours updated",
,"13:00:52","00:00","Jersey colours updated","Jersey colours updated",
,"13:17:12","00:00","Coin flipping","Coin flipping",
,"13:18:34","00:00","Warm up at the net","Warm up at the net",
,"13:22:07","00:00","Players intro","Players intro",
,"13:29:37","00:00","Players lined up","Players lined up",
,"13:30:13","00:00","Shake hands","Shake hands",
,"13:32:33","00:00","Game about to start","Game about to start",
,"13:33:01","00:00","Start SRV","Start SRV   Volley Bergamo (women)",
,"13:33:14","00:00","Start 1st Set","Start 1st Set",
,"13:33:15","00:00","SRV","SRV   Volley Bergamo (women)",
,"13:33:17","00:02","RS","RS   Volley Bergamo (women)",
,"13:33:17","00:02","B POSS","B POSS   River Volley (women)",
,"13:33:21","00:06","K","K   River Volley (women)",
,"13:33:21","00:06","P","[1 : 0]   P   River Volley (women)",
,"13:33:35","00:20","Pt Conf","Pt Conf   River Volley (women)",
,"13:33:36","00:21","SRV","SRV   River Volley (women)",
,"13:33:37","00:22","S ERR","S ERR   River Volley (women)",
,"13:33:37","00:22","P","[1 : 1]   P   Volley Bergamo (women)",
,"13:33:51","00:36","Pt Conf","Pt Conf   Volley Bergamo (women)",
,"13:33:53","00:38","SRV","SRV   Volley Bergamo (women)",
,"13:33:55","00:40","RS","RS   Volley Bergamo (women)",
,"13:33:56","00:41","B POSS","B POSS   River Volley (women)",
,"13:34:01","00:46","K","K   River Volley (women)",
,"13:34:01","00:46","P","[2 : 1]   P   River Volley (women)",
,"13:34:13","00:58","Pt Conf","Pt Conf   River Volley (women)",
