"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887784","Friendly","Memorial Brambilla-Verga (women)","08.10.2017 - 16:00","US Pallavolo Monza (women)","VBC Pallavolo Rosa Casalmaggiore (women)",
"Statistics","US Pallavolo Monza (women)","Type","VBC Pallavolo Rosa Casalmaggiore (women)",
,"3","Score","1",
,"92","Points","89",
,"3","Sets","1",
,"10","Aces","13",
,"15","Service errors","13",
,"55","Kills","39",
,"5","Blocks","9",
,"2","Errors","4",
,"11","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:12:39","00:00","Game conditions changed","Game conditions changed",
,"15:21:53","00:00","Players warming up","Players warming up",
,"15:36:01","00:00","Game conditions changed","Game conditions changed",
,"15:47:06","00:00","Players intro","Players intro",
,"15:47:59","00:00","Warm up at the net","Warm up at the net",
,"15:48:58","00:00","Jersey colours updated","Jersey colours updated",
,"15:48:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:59:38","00:00","Players lined up","Players lined up",
,"16:00:00","00:00","Shake hands","Shake hands",
,"16:02:45","00:00","Game about to start","Game about to start",
,"16:02:47","00:00","Start SRV","Start SRV   US Pallavolo Monza (women)",
,"16:03:49","00:00","Start 1st Set","Start 1st Set",
,"16:03:50","00:00","SRV","SRV   US Pallavolo Monza (women)",
,"16:03:55","00:05","RS","RS   US Pallavolo Monza (women)",
,"16:03:56","00:06","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:03:56","00:06","B POSS","B POSS   US Pallavolo Monza (women)",
,"16:04:08","00:18","K","K   US Pallavolo Monza (women)",
,"16:04:08","00:18","P","[1 : 0]   P   US Pallavolo Monza (women)",
,"16:04:18","00:28","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"16:04:20","00:30","SRV","SRV   US Pallavolo Monza (women)",
,"16:04:26","00:36","A","A   US Pallavolo Monza (women)",
,"16:04:26","00:36","P","[2 : 0]   P   US Pallavolo Monza (women)",
,"16:04:37","00:47","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"16:04:41","00:51","SRV","SRV   US Pallavolo Monza (women)",
,"16:04:45","00:56","RS","RS   US Pallavolo Monza (women)",
,"16:04:46","00:56","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:04:47","00:57","B POSS","B POSS   US Pallavolo Monza (women)",
,"16:04:53","01:03","K","K   US Pallavolo Monza (women)",
,"16:04:53","01:03","P","[3 : 0]   P   US Pallavolo Monza (women)",
,"16:05:05","01:15","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"16:05:08","01:18","SRV","SRV   US Pallavolo Monza (women)",
,"16:05:11","01:21","RS","RS   US Pallavolo Monza (women)",
,"16:05:12","01:22","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:14","01:24","K","K   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:14","01:24","P","[3 : 1]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:28","01:38","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:32","01:42","SRV","SRV   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:35","01:45","RS","RS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:36","01:46","B POSS","B POSS   US Pallavolo Monza (women)",
,"16:05:39","01:49","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:05:46","01:56","B","B   US Pallavolo Monza (women)",
,"16:05:46","01:56","P","[4 : 1]   P   US Pallavolo Monza (women)",
,"16:05:58","02:08","Pt Conf","Pt Conf   US Pallavolo Monza (women)",
,"16:06:01","02:12","SRV","SRV   US Pallavolo Monza (women)",
,"16:06:04","02:15","RS","RS   US Pallavolo Monza (women)",
,"16:06:05","02:15","B POSS","B POSS   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:06:12","02:22","K","K   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:06:12","02:22","P","[4 : 2]   P   VBC Pallavolo Rosa Casalmaggiore (women)",
,"16:06:24","02:34","Pt Conf","Pt Conf   VBC Pallavolo Rosa Casalmaggiore (women)",
