"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886485","Italy","Serie A2 (men)","08.10.2017 - 16:00","Alto Adige Volley Südtirol Bolzano","Pallavolo Brescia",
"Statistics","Alto Adige Volley Südtirol Bolzano","Type","Pallavolo Brescia",
,"0","Score","3",
,"66","Points","75",
,"0","Sets","3",
,"1","Aces","4",
,"11","Service errors","13",
,"38","Kills","47",
,"8","Blocks","5",
,"5","Errors","1",
,"3","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:24:47","00:00","Game conditions changed","Game conditions changed",
,"15:24:50","00:00","Players warming up","Players warming up",
,"15:42:08","00:00","Warm up at the net","Warm up at the net",
,"15:45:21","00:00","Coin flipping","Coin flipping",
,"15:47:21","00:00","Jersey colours updated","Jersey colours updated",
,"15:47:22","00:00","Jersey colours updated","Jersey colours updated",
,"15:57:17","00:00","Players lined up","Players lined up",
,"15:59:10","00:00","Players intro","Players intro",
,"16:01:09","00:00","Game about to start","Game about to start",
,"16:01:21","00:00","Start SRV","Start SRV   Pallavolo Brescia",
,"16:01:49","00:00","Start 1st Set","Start 1st Set",
,"16:01:50","00:00","SRV","SRV   Pallavolo Brescia",
,"16:01:53","00:03","RS","RS   Pallavolo Brescia",
,"16:01:54","00:04","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
,"16:01:56","00:06","B POSS","B POSS   Pallavolo Brescia",
,"16:02:00","00:10","K","K   Pallavolo Brescia",
,"16:02:00","00:10","P","[0 : 1]   P   Pallavolo Brescia",
,"16:02:14","00:24","Pt Conf","Pt Conf   Pallavolo Brescia",
,"16:02:21","00:31","SRV","SRV   Pallavolo Brescia",
,"16:02:24","00:34","RS","RS   Pallavolo Brescia",
,"16:02:25","00:35","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
,"16:02:29","00:39","K","K   Alto Adige Volley Südtirol Bolzano",
,"16:02:29","00:39","P","[1 : 1]   P   Alto Adige Volley Südtirol Bolzano",
,"16:02:43","00:53","Pt Conf","Pt Conf   Alto Adige Volley Südtirol Bolzano",
,"16:02:47","00:57","SRV","SRV   Alto Adige Volley Südtirol Bolzano",
,"16:02:49","00:59","S ERR","S ERR   Alto Adige Volley Südtirol Bolzano",
,"16:02:49","00:59","P","[1 : 2]   P   Pallavolo Brescia",
,"16:03:03","01:13","Pt Conf","Pt Conf   Pallavolo Brescia",
,"16:03:07","01:17","SRV","SRV   Pallavolo Brescia",
,"16:03:09","01:19","RS","RS   Pallavolo Brescia",
,"16:03:10","01:20","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
,"16:03:23","01:33","K","K   Alto Adige Volley Südtirol Bolzano",
,"16:03:23","01:33","P","[2 : 2]   P   Alto Adige Volley Südtirol Bolzano",
,"16:03:43","01:53","Pt Conf","Pt Conf   Alto Adige Volley Südtirol Bolzano",
,"16:03:46","01:56","SRV","SRV   Alto Adige Volley Südtirol Bolzano",
,"16:03:50","02:00","RS","RS   Alto Adige Volley Südtirol Bolzano",
,"16:03:50","02:00","B POSS","B POSS   Pallavolo Brescia",
,"16:03:52","02:02","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
,"16:04:03","02:13","Point under investigation","Point under investigation",
,"16:05:53","04:03","ERR","ERR   Alto Adige Volley Südtirol Bolzano",
,"16:05:53","04:03","P","[2 : 3]   P   Pallavolo Brescia",
,"16:06:15","04:26","Pt Conf","Pt Conf   Pallavolo Brescia",
,"16:06:17","04:27","SRV","SRV   Pallavolo Brescia",
,"16:06:22","04:32","RS","RS   Pallavolo Brescia",
,"16:06:23","04:33","B POSS","B POSS   Alto Adige Volley Südtirol Bolzano",
,"16:06:24","04:34","B POSS","B POSS   Pallavolo Brescia",
