"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887442","Italy","Serie A2 (men)","08.10.2017 - 16:00","Marconi Volley Spoleto","New Real Volley Gioia",
"Statistics","Marconi Volley Spoleto","Type","New Real Volley Gioia",
,"3","Score","2",
,"107","Points","102",
,"3","Sets","2",
,"11","Aces","5",
,"14","Service errors","12",
,"60","Kills","49",
,"8","Blocks","19",
,"3","Errors","5",
,"12","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:38:27","00:00","Game conditions changed","Game conditions changed",
,"15:38:28","00:00","Players warming up","Players warming up",
,"15:38:33","00:00","Warm up at the net","Warm up at the net",
,"15:54:12","00:00","Jersey colours updated","Jersey colours updated",
,"15:54:12","00:00","Jersey colours updated","Jersey colours updated",
,"15:56:40","00:00","Players intro","Players intro",
,"15:57:56","00:00","Players lined up","Players lined up",
,"15:58:27","00:00","Game about to start","Game about to start",
,"15:59:33","00:00","Start SRV","Start SRV   Marconi Volley Spoleto",
,"15:59:41","00:00","Start SRV","Start SRV   Marconi Volley Spoleto",
,"15:59:46","00:00","Start 1st Set","Start 1st Set",
,"15:59:46","00:00","SRV","SRV   Marconi Volley Spoleto",
,"15:59:51","00:04","A","A   Marconi Volley Spoleto",
,"15:59:51","00:04","P","[1 : 0]   P   Marconi Volley Spoleto",
,"16:00:08","00:22","Pt Conf","Pt Conf   Marconi Volley Spoleto",
,"16:00:09","00:22","SRV","SRV   Marconi Volley Spoleto",
,"16:00:13","00:27","RS","RS   Marconi Volley Spoleto",
,"16:00:14","00:27","B POSS","B POSS   New Real Volley Gioia",
,"16:00:15","00:28","B POSS","B POSS   Marconi Volley Spoleto",
,"16:00:16","00:29","B POSS","B POSS   New Real Volley Gioia",
,"16:00:20","00:33","B POSS","B POSS   Marconi Volley Spoleto",
,"16:00:24","00:37","OUT","OUT   Marconi Volley Spoleto",
,"16:00:24","00:37","P","[1 : 1]   P   New Real Volley Gioia",
,"16:00:42","00:55","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:00:42","00:56","SRV","SRV   New Real Volley Gioia",
,"16:00:46","01:00","S ERR","S ERR   New Real Volley Gioia",
,"16:00:46","01:00","P","[2 : 1]   P   Marconi Volley Spoleto",
,"16:01:00","01:14","Pt Conf","Pt Conf   Marconi Volley Spoleto",
,"16:01:01","01:15","SRV","SRV   Marconi Volley Spoleto",
,"16:01:03","01:17","A","A   Marconi Volley Spoleto",
,"16:01:03","01:17","P","[3 : 1]   P   Marconi Volley Spoleto",
,"16:01:23","01:37","Pt Conf","Pt Conf   Marconi Volley Spoleto",
,"16:01:24","01:37","SRV","SRV   Marconi Volley Spoleto",
,"16:01:25","01:39","S ERR","S ERR   Marconi Volley Spoleto",
,"16:01:25","01:39","P","[3 : 2]   P   New Real Volley Gioia",
,"16:01:43","01:56","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:01:43","01:57","SRV","SRV   New Real Volley Gioia",
,"16:01:47","02:01","RS","RS   New Real Volley Gioia",
,"16:01:47","02:01","B POSS","B POSS   Marconi Volley Spoleto",
,"16:01:51","02:05","B POSS","B POSS   New Real Volley Gioia",
,"16:01:55","02:08","B POSS","B POSS   Marconi Volley Spoleto",
,"16:02:01","02:15","B","B   New Real Volley Gioia",
,"16:02:01","02:15","P","[3 : 3]   P   New Real Volley Gioia",
,"16:02:16","02:30","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:02:17","02:31","SRV","SRV   New Real Volley Gioia",
,"16:02:21","02:35","RS","RS   New Real Volley Gioia",
,"16:02:21","02:35","B POSS","B POSS   Marconi Volley Spoleto",
,"16:02:24","02:37","B POSS","B POSS   New Real Volley Gioia",
,"16:02:28","02:41","K","K   New Real Volley Gioia",
,"16:02:28","02:41","P","[3 : 4]   P   New Real Volley Gioia",
,"16:02:46","03:00","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:02:47","03:00","SRV","SRV   New Real Volley Gioia",
,"16:02:50","03:04","RS","RS   New Real Volley Gioia",
,"16:02:51","03:04","B POSS","B POSS   Marconi Volley Spoleto",
,"16:02:53","03:06","B POSS","B POSS   New Real Volley Gioia",
,"16:02:57","03:11","K","K   New Real Volley Gioia",
,"16:02:57","03:11","P","[3 : 5]   P   New Real Volley Gioia",
,"16:03:15","03:29","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:03:16","03:29","SRV","SRV   New Real Volley Gioia",
,"16:03:19","03:33","RS","RS   New Real Volley Gioia",
,"16:03:20","03:33","B POSS","B POSS   Marconi Volley Spoleto",
,"16:03:22","03:36","B POSS","B POSS   New Real Volley Gioia",
,"16:03:26","03:40","B POSS","B POSS   Marconi Volley Spoleto",
,"16:03:31","03:45","B POSS","B POSS   New Real Volley Gioia",
,"16:03:34","03:48","B POSS","B POSS   Marconi Volley Spoleto",
,"16:03:38","03:52","K","K   Marconi Volley Spoleto",
,"16:03:38","03:52","P","[4 : 5]   P   Marconi Volley Spoleto",
,"16:03:57","04:11","Pt Conf","Pt Conf   Marconi Volley Spoleto",
,"16:03:58","04:12","SRV","SRV   Marconi Volley Spoleto",
,"16:04:03","04:16","RS","RS   Marconi Volley Spoleto",
,"16:04:03","04:17","B POSS","B POSS   New Real Volley Gioia",
,"16:04:06","04:20","K","K   New Real Volley Gioia",
,"16:04:06","04:20","P","[4 : 6]   P   New Real Volley Gioia",
,"16:04:28","04:42","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:04:29","04:42","SRV","SRV   New Real Volley Gioia",
,"16:04:34","04:47","RS","RS   New Real Volley Gioia",
,"16:04:34","04:48","B POSS","B POSS   Marconi Volley Spoleto",
,"16:04:37","04:51","B","B   New Real Volley Gioia",
,"16:04:37","04:51","P","[4 : 7]   P   New Real Volley Gioia",
,"16:04:51","05:05","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:04:52","05:05","TIME","TIME",
,"16:04:52","05:06","TIME","TIME   Marconi Volley Spoleto",
,"16:05:45","05:59","SRV","SRV   New Real Volley Gioia",
,"16:05:51","06:05","RS","RS   New Real Volley Gioia",
,"16:05:52","06:06","B POSS","B POSS   Marconi Volley Spoleto",
,"16:05:52","06:06","B POSS","B POSS   New Real Volley Gioia",
,"16:05:58","06:12","B POSS","B POSS   Marconi Volley Spoleto",
,"16:05:58","06:12","K","K   Marconi Volley Spoleto",
,"16:05:58","06:12","P","[5 : 7]   P   Marconi Volley Spoleto",
,"16:06:29","06:43","Pt Conf","Pt Conf   Marconi Volley Spoleto",
,"16:06:30","06:44","SRV","SRV   Marconi Volley Spoleto",
,"16:06:34","06:47","RS","RS   Marconi Volley Spoleto",
,"16:06:34","06:48","B POSS","B POSS   New Real Volley Gioia",
,"16:06:38","06:52","B POSS","B POSS   Marconi Volley Spoleto",
,"16:06:42","06:55","B POSS","B POSS   New Real Volley Gioia",
,"16:06:46","06:59","K","K   New Real Volley Gioia",
,"16:06:46","06:59","P","[5 : 8]   P   New Real Volley Gioia",
,"16:07:04","07:18","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:07:06","07:19","SRV","SRV   New Real Volley Gioia",
,"16:07:11","07:25","RS","RS   New Real Volley Gioia",
,"16:07:12","07:25","B POSS","B POSS   Marconi Volley Spoleto",
,"16:07:14","07:28","K","K   Marconi Volley Spoleto",
,"16:07:14","07:28","P","[6 : 8]   P   Marconi Volley Spoleto",
,"16:07:33","07:47","Pt Conf","Pt Conf   Marconi Volley Spoleto",
,"16:07:34","07:48","SRV","SRV   Marconi Volley Spoleto",
,"16:07:37","07:51","RS","RS   Marconi Volley Spoleto",
,"16:07:38","07:51","B POSS","B POSS   New Real Volley Gioia",
,"16:07:41","07:55","B POSS","B POSS   Marconi Volley Spoleto",
,"16:07:45","07:59","B POSS","B POSS   New Real Volley Gioia",
,"16:07:49","08:03","K","K   New Real Volley Gioia",
,"16:07:49","08:03","P","[6 : 9]   P   New Real Volley Gioia",
,"16:08:13","08:27","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:08:14","08:27","SRV","SRV   New Real Volley Gioia",
,"16:08:14","08:27","RS","RS   New Real Volley Gioia",
,"16:08:14","08:27","B POSS","B POSS   Marconi Volley Spoleto",
,"16:08:15","08:29","OUT","OUT   Marconi Volley Spoleto",
,"16:08:15","08:29","P","[6 : 10]   P   New Real Volley Gioia",
,"16:08:29","08:43","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:08:30","08:43","SRV","SRV   New Real Volley Gioia",
,"16:08:32","08:46","RS","RS   New Real Volley Gioia",
,"16:08:33","08:46","B POSS","B POSS   Marconi Volley Spoleto",
,"16:08:36","08:50","B POSS","B POSS   New Real Volley Gioia",
,"16:08:40","08:53","K","K   New Real Volley Gioia",
,"16:08:40","08:53","P","[6 : 11]   P   New Real Volley Gioia",
,"16:08:55","09:09","Pt Conf","Pt Conf   New Real Volley Gioia",
,"16:08:56","09:09","SRV","SRV   New Real Volley Gioia",
,"16:08:59","09:13","RS","RS   New Real Volley Gioia",
,"16:08:59","09:13","B POSS","B POSS   Marconi Volley Spoleto",
,"16:09:04","09:17","K","K   Marconi Volley Spoleto",
,"16:09:04","09:17","P","[7 : 11]   P   Marconi Volley Spoleto",
,"16:09:21","09:35","Pt Conf","Pt Conf   Marconi Volley Spoleto",
