"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886462","Italy","Supercoppa Italiana (men)","08.10.2017 - 13:00","Trentino Volley","Pallavolo Modena",
"Statistics","Trentino Volley","Type","Pallavolo Modena",
,"1","Score","3",
,"99","Points","106",
,"1","Sets","3",
,"2","Aces","5",
,"29","Service errors","18",
,"57","Kills","52",
,"8","Blocks","8",
,"5","Errors","5",
,"7","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:14:53","00:00","Players warming up","Players warming up",
,"12:45:09","00:00","Warm up at the net","Warm up at the net",
,"12:52:47","00:00","Jersey colours updated","Jersey colours updated",
,"12:52:47","00:00","Jersey colours updated","Jersey colours updated",
,"12:52:51","00:00","Game conditions changed","Game conditions changed",
,"12:58:15","00:00","Shake hands","Shake hands",
,"12:59:30","00:00","Players intro","Players intro",
,"13:01:01","00:00","Game about to start","Game about to start",
,"13:01:32","00:00","Start SRV","Start SRV   Trentino Volley",
,"13:02:04","00:00","Start 1st Set","Start 1st Set",
,"13:02:05","00:00","SRV","SRV   Trentino Volley",
,"13:02:06","00:02","RS","RS   Trentino Volley",
,"13:02:07","00:02","B POSS","B POSS   Pallavolo Modena",
,"13:02:09","00:05","K","K   Pallavolo Modena",
,"13:02:09","00:05","P","[0 : 1]   P   Pallavolo Modena",
,"13:02:25","00:21","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:02:27","00:22","SRV","SRV   Pallavolo Modena",
,"13:02:30","00:25","RS","RS   Pallavolo Modena",
,"13:02:30","00:25","B POSS","B POSS   Trentino Volley",
,"13:02:33","00:28","K","K   Trentino Volley",
,"13:02:33","00:28","P","[1 : 1]   P   Trentino Volley",
,"13:02:54","00:49","Pt Conf","Pt Conf   Trentino Volley",
,"13:02:55","00:50","SRV","SRV   Trentino Volley",
,"13:02:57","00:53","S ERR","S ERR   Trentino Volley",
,"13:02:57","00:53","P","[1 : 2]   P   Pallavolo Modena",
,"13:03:16","01:11","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:03:16","01:12","SRV","SRV   Pallavolo Modena",
,"13:03:19","01:14","RS","RS   Pallavolo Modena",
,"13:03:19","01:15","B POSS","B POSS   Trentino Volley",
,"13:03:23","01:19","K","K   Trentino Volley",
,"13:03:23","01:19","P","[2 : 2]   P   Trentino Volley",
,"13:03:43","01:39","Pt Conf","Pt Conf   Trentino Volley",
,"13:03:44","01:39","SRV","SRV   Trentino Volley",
,"13:03:45","01:41","RS","RS   Trentino Volley",
,"13:03:46","01:41","B POSS","B POSS   Pallavolo Modena",
,"13:03:49","01:44","K","K   Pallavolo Modena",
,"13:03:49","01:44","P","[2 : 3]   P   Pallavolo Modena",
,"13:04:06","02:01","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:04:06","02:02","SRV","SRV   Pallavolo Modena",
,"13:04:08","02:03","RS","RS   Pallavolo Modena",
,"13:04:08","02:04","B POSS","B POSS   Trentino Volley",
,"13:04:18","02:13","K","K   Trentino Volley",
,"13:04:18","02:13","P","[3 : 3]   P   Trentino Volley",
,"13:04:37","02:32","Pt Conf","Pt Conf   Trentino Volley",
,"13:04:40","02:35","SRV","SRV   Trentino Volley",
,"13:04:43","02:38","S ERR","S ERR   Trentino Volley",
,"13:04:43","02:38","P","[3 : 4]   P   Pallavolo Modena",
,"13:04:57","02:53","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:04:59","02:54","SRV","SRV   Pallavolo Modena",
,"13:05:02","02:57","RS","RS   Pallavolo Modena",
,"13:05:02","02:58","B POSS","B POSS   Trentino Volley",
,"13:05:05","03:01","B POSS","B POSS   Pallavolo Modena",
,"13:05:15","03:10","K","K   Pallavolo Modena",
,"13:05:15","03:10","P","[3 : 5]   P   Pallavolo Modena",
,"13:05:33","03:29","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:05:34","03:29","SRV","SRV   Pallavolo Modena",
,"13:05:37","03:32","RS","RS   Pallavolo Modena",
,"13:05:37","03:33","B POSS","B POSS   Trentino Volley",
,"13:05:40","03:35","B POSS","B POSS   Pallavolo Modena",
,"13:05:46","03:41","K","K   Pallavolo Modena",
,"13:05:46","03:41","P","[3 : 6]   P   Pallavolo Modena",
,"13:06:03","03:58","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:06:04","04:00","SRV","SRV   Pallavolo Modena",
,"13:06:06","04:02","RS","RS   Pallavolo Modena",
,"13:06:06","04:02","B POSS","B POSS   Trentino Volley",
,"13:06:17","04:12","OUT","OUT   Trentino Volley",
,"13:06:17","04:12","P","[3 : 7]   P   Pallavolo Modena",
,"13:06:23","04:18","Pt Conf","Pt Conf   Pallavolo Modena",
,"13:06:26","04:21","TIME","TIME",
,"13:06:26","04:21","TIME","TIME   Trentino Volley",
