"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886463","Italy","Supercoppa Italiana (men)","08.10.2017 - 16:00","AS Volley Lube","Volley Perugia",
"Statistics","AS Volley Lube","Type","Volley Perugia",
,"1","Score","3",
,"88","Points","100",
,"1","Sets","3",
,"7","Aces","9",
,"14","Service errors","17",
,"49","Kills","56",
,"4","Blocks","11",
,"5","Errors","2",
,"4","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","1",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:14:55","00:00","Game conditions changed","Game conditions changed",
,"15:19:24","00:00","Players warming up","Players warming up",
,"15:42:56","00:00","Jersey colours updated","Jersey colours updated",
,"15:42:56","00:00","Jersey colours updated","Jersey colours updated",
,"15:45:26","00:00","Warm up at the net","Warm up at the net",
,"15:59:51","00:00","Players lined up","Players lined up",
,"16:00:08","00:00","Jersey colours updated","Jersey colours updated",
,"16:00:11","00:00","National anthem singing","National anthem singing",
,"16:02:07","00:00","Shake hands","Shake hands",
,"16:05:10","00:00","Players intro","Players intro",
,"16:07:14","00:00","Game about to start","Game about to start",
,"16:08:46","00:00","Start SRV","Start SRV   AS Volley Lube",
,"16:09:06","00:00","Start 1st Set","Start 1st Set",
,"16:09:06","00:00","SRV","SRV   AS Volley Lube",
,"16:09:07","00:01","RS","RS   AS Volley Lube",
,"16:09:07","00:01","B POSS","B POSS   Volley Perugia",
,"16:09:18","00:11","OUT","OUT   Volley Perugia",
,"16:09:18","00:11","P","[1 : 0]   P   AS Volley Lube",
,"16:09:28","00:22","Pt Conf","Pt Conf   AS Volley Lube",
,"16:09:29","00:23","SRV","SRV   AS Volley Lube",
,"16:09:30","00:24","RS","RS   AS Volley Lube",
,"16:09:30","00:24","B POSS","B POSS   Volley Perugia",
,"16:09:33","00:27","K","K   Volley Perugia",
,"16:09:33","00:27","P","[1 : 1]   P   Volley Perugia",
,"16:09:52","00:45","Pt Conf","Pt Conf   Volley Perugia",
,"16:09:52","00:46","SRV","SRV   Volley Perugia",
,"16:09:54","00:48","RS","RS   Volley Perugia",
,"16:09:54","00:48","B POSS","B POSS   AS Volley Lube",
,"16:09:58","00:52","B POSS","B POSS   Volley Perugia",
,"16:10:00","00:54","B POSS","B POSS   AS Volley Lube",
,"16:10:07","01:00","B","B   Volley Perugia",
,"16:10:07","01:00","P","[1 : 2]   P   Volley Perugia",
,"16:10:20","01:14","Pt Conf","Pt Conf   Volley Perugia",
,"16:10:21","01:15","SRV","SRV   Volley Perugia",
,"16:10:23","01:17","RS","RS   Volley Perugia",
,"16:10:23","01:17","B POSS","B POSS   AS Volley Lube",
,"16:10:30","01:24","OUT","OUT   AS Volley Lube",
,"16:10:30","01:24","P","[1 : 3]   P   Volley Perugia",
,"16:10:43","01:37","Pt Conf","Pt Conf   Volley Perugia",
,"16:10:47","01:40","SRV","SRV   Volley Perugia",
,"16:10:49","01:43","RS","RS   Volley Perugia",
,"16:10:50","01:44","B POSS","B POSS   AS Volley Lube",
,"16:10:54","01:48","B POSS","B POSS   Volley Perugia",
,"16:10:55","01:49","B POSS","B POSS   AS Volley Lube",
,"16:10:58","01:51","ERR","ERR   AS Volley Lube",
,"16:10:58","01:51","P","[1 : 4]   P   Volley Perugia",
,"16:11:18","02:12","Danger","Danger",
,"16:11:18","02:12","Scout offline","Scout offline",
,"16:11:18","02:12","Scout offline","Scout offline",
,"16:11:51","02:45","Updating score","Updating score",
,"16:11:51","02:45","S ERR","S ERR   Volley Perugia",
,"16:11:51","02:45","P","[2 : 4]   P   AS Volley Lube",
,"16:11:51","02:45","Score updated","Score updated",
,"16:11:51","02:45","SRV","SRV   AS Volley Lube",
,"16:11:51","02:45","S ERR","S ERR   AS Volley Lube",
,"16:11:51","02:45","P","[2 : 5]   P   Volley Perugia",
,"16:11:55","02:49","Pt Conf","Pt Conf   Volley Perugia",
