"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879468","Poland","Polska Liga (men)","08.10.2017 - 15:00","KS Warta Zawiercie","Trefl Gdansk",
"Statistics","KS Warta Zawiercie","Type","Trefl Gdansk",
,"0","Score","3",
,"55","Points","76",
,"0","Sets","3",
,"3","Aces","7",
,"14","Service errors","15",
,"33","Kills","37",
,"1","Blocks","5",
,"9","Errors","1",
,"4","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:18:40","00:00","Game conditions changed","Game conditions changed",
,"14:18:46","00:00","Players warming up","Players warming up",
,"14:26:03","00:00","Jersey colours updated","Jersey colours updated",
,"14:26:04","00:00","Jersey colours updated","Jersey colours updated",
,"14:26:38","00:00","Jersey colours updated","Jersey colours updated",
,"14:26:58","00:00","Jersey colours updated","Jersey colours updated",
,"14:46:47","00:00","Coin flipping","Coin flipping",
,"14:46:49","00:00","Warm up at the net","Warm up at the net",
,"14:47:53","00:00","Game conditions changed","Game conditions changed",
,"14:57:19","00:00","Players lined up","Players lined up",
,"14:58:46","00:00","Shake hands","Shake hands",
,"15:01:10","00:00","Players intro","Players intro",
,"15:02:39","00:00","Game about to start","Game about to start",
,"15:03:25","00:00","Start SRV","Start SRV   KS Warta Zawiercie",
,"15:03:36","00:00","Start 1st Set","Start 1st Set",
,"15:03:36","00:00","SRV","SRV   KS Warta Zawiercie",
,"15:03:40","00:03","S ERR","S ERR   KS Warta Zawiercie",
,"15:03:40","00:03","P","[0 : 1]   P   Trefl Gdansk",
,"15:03:52","00:16","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:03:56","00:20","SRV","SRV   Trefl Gdansk",
,"15:03:58","00:21","RS","RS   Trefl Gdansk",
,"15:03:58","00:22","B POSS","B POSS   KS Warta Zawiercie",
,"15:04:02","00:25","K","K   KS Warta Zawiercie",
,"15:04:02","00:25","P","[1 : 1]   P   KS Warta Zawiercie",
,"15:04:14","00:38","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"15:04:18","00:42","SRV","SRV   KS Warta Zawiercie",
,"15:04:20","00:44","RS","RS   KS Warta Zawiercie",
,"15:04:20","00:44","B POSS","B POSS   Trefl Gdansk",
,"15:04:24","00:47","B POSS","B POSS   KS Warta Zawiercie",
,"15:04:27","00:50","ERR","ERR   KS Warta Zawiercie",
,"15:04:27","00:50","P","[1 : 2]   P   Trefl Gdansk",
,"15:04:41","01:04","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:04:45","01:09","SRV","SRV   Trefl Gdansk",
,"15:04:47","01:10","S ERR","S ERR   Trefl Gdansk",
,"15:04:47","01:10","P","[2 : 2]   P   KS Warta Zawiercie",
,"15:05:01","01:25","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"15:05:06","01:30","SRV","SRV   KS Warta Zawiercie",
,"15:05:10","01:33","S ERR","S ERR   KS Warta Zawiercie",
,"15:05:10","01:33","P","[2 : 3]   P   Trefl Gdansk",
,"15:05:29","01:52","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:05:32","01:55","SRV","SRV   Trefl Gdansk",
,"15:05:35","01:58","RS","RS   Trefl Gdansk",
,"15:05:35","01:59","B POSS","B POSS   KS Warta Zawiercie",
,"15:05:38","02:01","B POSS","B POSS   Trefl Gdansk",
,"15:05:43","02:06","K","K   Trefl Gdansk",
,"15:05:43","02:06","P","[2 : 4]   P   Trefl Gdansk",
,"15:05:55","02:18","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:06:00","02:23","SRV","SRV   Trefl Gdansk",
,"15:06:00","02:24","RS","RS   Trefl Gdansk",
,"15:06:01","02:24","B POSS","B POSS   KS Warta Zawiercie",
,"15:06:02","02:26","B POSS","B POSS   Trefl Gdansk",
,"15:06:08","02:31","K","K   Trefl Gdansk",
,"15:06:08","02:31","P","[2 : 5]   P   Trefl Gdansk",
,"15:06:21","02:44","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:06:23","02:46","SRV","SRV   Trefl Gdansk",
,"15:06:26","02:49","RS","RS   Trefl Gdansk",
,"15:06:26","02:50","B POSS","B POSS   KS Warta Zawiercie",
,"15:06:30","02:54","B","B   Trefl Gdansk",
,"15:06:30","02:54","P","[2 : 6]   P   Trefl Gdansk",
,"15:06:39","03:03","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:06:40","03:04","TIME","TIME",
,"15:06:42","03:06","TIME","TIME   KS Warta Zawiercie",
,"15:07:24","03:48","SRV","SRV   Trefl Gdansk",
,"15:07:28","03:52","S ERR","S ERR   Trefl Gdansk",
,"15:07:28","03:52","P","[3 : 6]   P   KS Warta Zawiercie",
,"15:07:42","04:05","Pt Conf","Pt Conf   KS Warta Zawiercie",
,"15:07:48","04:12","SRV","SRV   KS Warta Zawiercie",
,"15:07:51","04:14","RS","RS   KS Warta Zawiercie",
,"15:07:51","04:14","B POSS","B POSS   Trefl Gdansk",
,"15:07:54","04:17","K","K   Trefl Gdansk",
,"15:07:54","04:17","P","[3 : 7]   P   Trefl Gdansk",
,"15:08:11","04:35","Pt Conf","Pt Conf   Trefl Gdansk",
,"15:08:13","04:37","SRV","SRV   Trefl Gdansk",
,"15:08:16","04:40","RS","RS   Trefl Gdansk",
,"15:08:16","04:40","B POSS","B POSS   KS Warta Zawiercie",
,"15:08:25","04:49","B","B   Trefl Gdansk",
,"15:08:25","04:49","P","[3 : 8]   P   Trefl Gdansk",
