"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884985","Russia","Vischaya Liga A (men)","08.10.2017 - 12:30","Transgaz-Stavropol","VC Dagestan",
"Statistics","Transgaz-Stavropol","Type","VC Dagestan",
,"0","Score","3",
,"54","Points","75",
,"0","Sets","3",
,"2","Aces","7",
,"10","Service errors","8",
,"33","Kills","41",
,"6","Blocks","5",
,"9","Errors","2",
,"3","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:00:26","00:00","Game conditions changed","Game conditions changed",
,"12:00:34","00:00","Players warming up","Players warming up",
,"12:13:46","00:00","Game conditions changed","Game conditions changed",
,"12:14:14","00:00","Coin flipping","Coin flipping",
,"12:14:31","00:00","Warm up at the net","Warm up at the net",
,"12:15:31","00:00","Jersey colours updated","Jersey colours updated",
,"12:15:31","00:00","Jersey colours updated","Jersey colours updated",
,"12:16:26","00:00","Players intro","Players intro",
,"12:25:36","00:00","Players lined up","Players lined up",
,"12:26:02","00:00","National anthem singing","National anthem singing",
,"12:27:32","00:00","Shake hands","Shake hands",
,"12:30:06","00:00","Game about to start","Game about to start",
,"12:30:53","00:00","Start SRV","Start SRV   Transgaz-Stavropol",
,"12:30:57","00:00","Start 1st Set","Start 1st Set",
,"12:30:57","00:00","SRV","SRV   Transgaz-Stavropol",
,"12:31:03","00:05","RS","RS   Transgaz-Stavropol",
,"12:31:03","00:05","B POSS","B POSS   VC Dagestan",
,"12:31:06","00:09","K","K   VC Dagestan",
,"12:31:06","00:09","P","[0 : 1]   P   VC Dagestan",
,"12:31:25","00:28","Pt Conf","Pt Conf   VC Dagestan",
,"12:31:26","00:29","SRV","SRV   VC Dagestan",
,"12:31:32","00:35","A","A   VC Dagestan",
,"12:31:32","00:35","P","[0 : 2]   P   VC Dagestan",
,"12:31:43","00:45","Pt Conf","Pt Conf   VC Dagestan",
,"12:31:43","00:46","SRV","SRV   VC Dagestan",
,"12:31:50","00:53","RS","RS   VC Dagestan",
,"12:31:50","00:53","B POSS","B POSS   Transgaz-Stavropol",
,"12:31:53","00:55","B POSS","B POSS   VC Dagestan",
,"12:32:04","01:07","Point under investigation","Point under investigation",
,"12:32:07","01:09","OUT","OUT   Transgaz-Stavropol",
,"12:32:07","01:09","P","[0 : 3]   P   VC Dagestan",
,"12:32:08","01:11","Correct statistics","Correct statistics   (OUT Transgaz-Stavropol <=> K VC Dagestan)",
,"12:32:08","01:11","K","K   VC Dagestan",
,"12:32:11","01:14","Pt Conf","Pt Conf   VC Dagestan",
,"12:32:12","01:15","SRV","SRV   VC Dagestan",
,"12:32:18","01:21","S ERR","S ERR   VC Dagestan",
,"12:32:18","01:21","P","[1 : 3]   P   Transgaz-Stavropol",
,"12:32:28","01:31","Pt Conf","Pt Conf   Transgaz-Stavropol",
,"12:32:29","01:32","SRV","SRV   Transgaz-Stavropol",
,"12:32:31","01:34","RS","RS   Transgaz-Stavropol",
,"12:32:31","01:34","B POSS","B POSS   VC Dagestan",
,"12:32:35","01:37","B POSS","B POSS   Transgaz-Stavropol",
,"12:32:39","01:42","K","K   Transgaz-Stavropol",
,"12:32:39","01:42","P","[2 : 3]   P   Transgaz-Stavropol",
,"12:32:56","01:59","Pt Conf","Pt Conf   Transgaz-Stavropol",
,"12:32:57","02:00","SRV","SRV   Transgaz-Stavropol",
,"12:32:59","02:01","RS","RS   Transgaz-Stavropol",
,"12:32:59","02:02","B POSS","B POSS   VC Dagestan",
,"12:33:02","02:05","K","K   VC Dagestan",
,"12:33:02","02:05","P","[2 : 4]   P   VC Dagestan",
,"12:33:22","02:25","Pt Conf","Pt Conf   VC Dagestan",
,"12:33:22","02:25","SRV","SRV   VC Dagestan",
,"12:33:24","02:27","RS","RS   VC Dagestan",
,"12:33:25","02:28","B POSS","B POSS   Transgaz-Stavropol",
,"12:33:28","02:31","B POSS","B POSS   VC Dagestan",
,"12:33:34","02:37","K","K   VC Dagestan",
,"12:33:34","02:37","P","[2 : 5]   P   VC Dagestan",
,"12:33:47","02:49","Pt Conf","Pt Conf   VC Dagestan",
,"12:33:47","02:50","SRV","SRV   VC Dagestan",
,"12:33:55","02:58","S ERR","S ERR   VC Dagestan",
,"12:33:55","02:58","P","[3 : 5]   P   Transgaz-Stavropol",
