"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886695","Russia","Vischaya Liga A (women)","08.10.2017 - 12:00","Samrau-UGNTU (women)","Sparta Nizhniy Novgorod (women)",
"Statistics","Samrau-UGNTU (women)","Type","Sparta Nizhniy Novgorod (women)",
,"1","Score","3",
,"96","Points","99",
,"1","Sets","3",
,"5","Aces","8",
,"14","Service errors","12",
,"51","Kills","54",
,"16","Blocks","13",
,"5","Errors","5",
,"5","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:44:50","00:00","Players warming up","Players warming up",
,"11:44:54","00:00","Warm up at the net","Warm up at the net",
,"11:44:54","00:00","Game conditions changed","Game conditions changed",
,"11:45:21","00:00","Jersey colours updated","Jersey colours updated",
,"11:45:21","00:00","Jersey colours updated","Jersey colours updated",
,"11:57:04","00:00","National anthem singing","National anthem singing",
,"11:57:08","00:00","Shake hands","Shake hands",
,"11:57:42","00:00","Players intro","Players intro",
,"11:59:45","00:00","Game about to start","Game about to start",
,"11:59:53","00:00","Start SRV","Start SRV   Samrau-UGNTU (women)",
,"12:00:15","00:00","Start 1st Set","Start 1st Set",
,"12:00:15","00:00","SRV","SRV   Samrau-UGNTU (women)",
,"12:00:18","00:03","RS","RS   Samrau-UGNTU (women)",
,"12:00:19","00:03","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:00:22","00:06","B POSS","B POSS   Samrau-UGNTU (women)",
,"12:00:27","00:11","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:00:30","00:14","ERR","ERR   Sparta Nizhniy Novgorod (women)",
,"12:00:30","00:14","P","[1 : 0]   P   Samrau-UGNTU (women)",
,"12:00:47","00:31","Pt Conf","Pt Conf   Samrau-UGNTU (women)",
,"12:00:48","00:32","SRV","SRV   Samrau-UGNTU (women)",
,"12:00:50","00:34","RS","RS   Samrau-UGNTU (women)",
,"12:00:50","00:34","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:00:50","00:35","B POSS","B POSS   Samrau-UGNTU (women)",
,"12:00:55","00:39","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:00:58","00:42","K","K   Sparta Nizhniy Novgorod (women)",
,"12:00:58","00:42","P","[1 : 1]   P   Sparta Nizhniy Novgorod (women)",
,"12:01:21","01:05","Pt Conf","Pt Conf   Sparta Nizhniy Novgorod (women)",
,"12:01:22","01:06","SRV","SRV   Sparta Nizhniy Novgorod (women)",
,"12:01:24","01:08","RS","RS   Sparta Nizhniy Novgorod (women)",
,"12:01:24","01:09","B POSS","B POSS   Samrau-UGNTU (women)",
,"12:01:28","01:12","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:01:38","01:22","ERR","ERR   Sparta Nizhniy Novgorod (women)",
,"12:01:38","01:22","P","[2 : 1]   P   Samrau-UGNTU (women)",
,"12:01:39","01:23","Point under investigation","Point under investigation",
,"12:02:05","01:50","Pt Conf","Pt Conf   Samrau-UGNTU (women)",
,"12:02:07","01:51","SRV","SRV   Samrau-UGNTU (women)",
,"12:02:09","01:54","RS","RS   Samrau-UGNTU (women)",
,"12:02:09","01:54","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:02:12","01:56","B POSS","B POSS   Samrau-UGNTU (women)",
,"12:02:16","02:01","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:02:21","02:05","B","B   Samrau-UGNTU (women)",
,"12:02:21","02:05","P","[3 : 1]   P   Samrau-UGNTU (women)",
,"12:02:36","02:21","Pt Conf","Pt Conf   Samrau-UGNTU (women)",
,"12:02:37","02:21","SRV","SRV   Samrau-UGNTU (women)",
,"12:02:39","02:24","RS","RS   Samrau-UGNTU (women)",
,"12:02:39","02:24","B POSS","B POSS   Sparta Nizhniy Novgorod (women)",
,"12:02:43","02:27","B POSS","B POSS   Samrau-UGNTU (women)",
,"12:02:45","02:30","K","K   Samrau-UGNTU (women)",
,"12:02:45","02:30","P","[4 : 1]   P   Samrau-UGNTU (women)",
,"12:03:01","02:45","Pt Conf","Pt Conf   Samrau-UGNTU (women)",
,"12:03:02","02:46","SRV","SRV   Samrau-UGNTU (women)",
