"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886681","Russia","Vischaya Liga A (women)","08.10.2017 - 14:00","Severyanka Cherepovets (women)","Impuls Volgodonsk (women)",
"Statistics","Severyanka Cherepovets (women)","Type","Impuls Volgodonsk (women)",
,"3","Score","0",
,"75","Points","58",
,"3","Sets","0",
,"7","Aces","7",
,"6","Service errors","10",
,"37","Kills","28",
,"6","Blocks","8",
,"6","Errors","12",
,"3","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:22:55","00:00","Game conditions changed","Game conditions changed",
,"13:22:55","00:00","Players warming up","Players warming up",
,"13:44:17","00:00","Coin flipping","Coin flipping",
,"13:44:19","00:00","Warm up at the net","Warm up at the net",
,"13:51:13","00:00","Game conditions changed","Game conditions changed",
,"13:54:59","00:00","Players lined up","Players lined up",
,"13:55:06","00:00","National anthem singing","National anthem singing",
,"13:55:34","00:00","Jersey colours updated","Jersey colours updated",
,"13:55:34","00:00","Jersey colours updated","Jersey colours updated",
,"13:56:20","00:00","Shake hands","Shake hands",
,"13:57:43","00:00","Players intro","Players intro",
,"13:59:38","00:00","Start SRV","Start SRV   Severyanka Cherepovets (women)",
,"13:59:39","00:00","Game about to start","Game about to start",
,"13:59:48","00:00","Start 1st Set","Start 1st Set",
,"13:59:54","00:06","SRV","SRV   Severyanka Cherepovets (women)",
,"13:59:55","00:06","RS","RS   Severyanka Cherepovets (women)",
,"13:59:55","00:07","B POSS","B POSS   Impuls Volgodonsk (women)",
,"13:59:57","00:09","ERR","ERR   Impuls Volgodonsk (women)",
,"13:59:57","00:09","P","[1 : 0]   P   Severyanka Cherepovets (women)",
,"14:00:06","00:18","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:00:07","00:18","SRV","SRV   Severyanka Cherepovets (women)",
,"14:00:15","00:26","RS","RS   Severyanka Cherepovets (women)",
,"14:00:15","00:27","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:00:19","00:30","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:00:24","00:35","K","K   Severyanka Cherepovets (women)",
,"14:00:24","00:35","P","[2 : 0]   P   Severyanka Cherepovets (women)",
,"14:00:37","00:49","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:00:38","00:49","SRV","SRV   Severyanka Cherepovets (women)",
,"14:00:44","00:56","RS","RS   Severyanka Cherepovets (women)",
,"14:00:44","00:56","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:00:47","00:59","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:00:54","01:06","ERR","ERR   Severyanka Cherepovets (women)",
,"14:00:54","01:06","P","[2 : 1]   P   Impuls Volgodonsk (women)",
,"14:01:05","01:17","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:01:06","01:17","SRV","SRV   Impuls Volgodonsk (women)",
,"14:01:13","01:24","RS","RS   Impuls Volgodonsk (women)",
,"14:01:13","01:24","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:01:17","01:28","ERR","ERR   Severyanka Cherepovets (women)",
,"14:01:17","01:28","P","[2 : 2]   P   Impuls Volgodonsk (women)",
,"14:01:29","01:40","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:01:29","01:41","SRV","SRV   Impuls Volgodonsk (women)",
,"14:01:37","01:49","A","A   Impuls Volgodonsk (women)",
,"14:01:37","01:49","P","[2 : 3]   P   Impuls Volgodonsk (women)",
,"14:01:55","02:07","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:01:56","02:07","SRV","SRV   Impuls Volgodonsk (women)",
,"14:01:57","02:08","RS","RS   Impuls Volgodonsk (women)",
,"14:01:57","02:08","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:02:01","02:12","K","K   Severyanka Cherepovets (women)",
,"14:02:01","02:12","P","[3 : 3]   P   Severyanka Cherepovets (women)",
,"14:02:11","02:23","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:02:18","02:29","SRV","SRV   Severyanka Cherepovets (women)",
,"14:02:20","02:31","RS","RS   Severyanka Cherepovets (women)",
,"14:02:20","02:32","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:02:22","02:33","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:02:27","02:38","B","B   Impuls Volgodonsk (women)",
,"14:02:27","02:38","P","[3 : 4]   P   Impuls Volgodonsk (women)",
,"14:02:40","02:51","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:02:40","02:52","SRV","SRV   Impuls Volgodonsk (women)",
,"14:02:44","02:56","RS","RS   Impuls Volgodonsk (women)",
,"14:02:44","02:56","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:02:50","03:02","ERR","ERR   Impuls Volgodonsk (women)",
,"14:02:50","03:02","P","[4 : 4]   P   Severyanka Cherepovets (women)",
,"14:03:05","03:17","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:03:05","03:17","SRV","SRV   Severyanka Cherepovets (women)",
,"14:03:14","03:26","A","A   Severyanka Cherepovets (women)",
,"14:03:14","03:26","P","[5 : 4]   P   Severyanka Cherepovets (women)",
,"14:03:29","03:40","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:03:29","03:41","SRV","SRV   Severyanka Cherepovets (women)",
,"14:03:36","03:47","RS","RS   Severyanka Cherepovets (women)",
,"14:03:36","03:48","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:03:47","03:58","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:03:52","04:03","K","K   Severyanka Cherepovets (women)",
,"14:03:52","04:03","P","[6 : 4]   P   Severyanka Cherepovets (women)",
,"14:04:06","04:18","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:04:06","04:18","SRV","SRV   Severyanka Cherepovets (women)",
,"14:04:15","04:27","RS","RS   Severyanka Cherepovets (women)",
,"14:04:15","04:27","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:04:18","04:30","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:04:23","04:34","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:04:27","04:38","ERR","ERR   Impuls Volgodonsk (women)",
,"14:04:27","04:38","P","[7 : 4]   P   Severyanka Cherepovets (women)",
,"14:04:40","04:51","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:04:40","04:52","SRV","SRV   Severyanka Cherepovets (women)",
,"14:04:47","04:59","RS","RS   Severyanka Cherepovets (women)",
,"14:04:48","04:59","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:04:52","05:03","K","K   Impuls Volgodonsk (women)",
,"14:04:52","05:03","P","[7 : 5]   P   Impuls Volgodonsk (women)",
,"14:05:05","05:16","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:05:05","05:17","SRV","SRV   Impuls Volgodonsk (women)",
,"14:05:10","05:21","RS","RS   Impuls Volgodonsk (women)",
,"14:05:10","05:21","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:05:12","05:23","K","K   Severyanka Cherepovets (women)",
,"14:05:12","05:23","P","[8 : 5]   P   Severyanka Cherepovets (women)",
,"14:05:16","05:28","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:05:16","05:28","TIME","TIME",
,"14:05:17","05:29","TTO","TTO",
,"14:06:27","06:39","SRV","SRV   Severyanka Cherepovets (women)",
,"14:06:35","06:47","RS","RS   Severyanka Cherepovets (women)",
,"14:06:35","06:47","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:06:39","06:51","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:06:41","06:52","K","K   Severyanka Cherepovets (women)",
,"14:06:41","06:52","P","[9 : 5]   P   Severyanka Cherepovets (women)",
,"14:06:58","07:09","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:06:59","07:11","SRV","SRV   Severyanka Cherepovets (women)",
,"14:07:07","07:18","S ERR","S ERR   Severyanka Cherepovets (women)",
,"14:07:07","07:18","P","[9 : 6]   P   Impuls Volgodonsk (women)",
,"14:07:18","07:30","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:07:19","07:30","SRV","SRV   Impuls Volgodonsk (women)",
,"14:07:21","07:33","RS","RS   Impuls Volgodonsk (women)",
,"14:07:22","07:33","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:07:26","07:37","K","K   Severyanka Cherepovets (women)",
,"14:07:26","07:37","P","[10 : 6]   P   Severyanka Cherepovets (women)",
,"14:07:39","07:51","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:07:43","07:54","SRV","SRV   Severyanka Cherepovets (women)",
,"14:07:47","07:58","RS","RS   Severyanka Cherepovets (women)",
,"14:07:47","07:58","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:07:47","07:59","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:07:56","08:07","K","K   Impuls Volgodonsk (women)",
,"14:07:56","08:07","P","[10 : 7]   P   Impuls Volgodonsk (women)",
,"14:08:10","08:21","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:08:11","08:22","SRV","SRV   Impuls Volgodonsk (women)",
,"14:08:15","08:26","RS","RS   Impuls Volgodonsk (women)",
,"14:08:15","08:26","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:08:19","08:30","OUT","OUT   Severyanka Cherepovets (women)",
,"14:08:19","08:30","P","[10 : 8]   P   Impuls Volgodonsk (women)",
,"14:08:30","08:41","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:08:32","08:44","SRV","SRV   Impuls Volgodonsk (women)",
,"14:08:35","08:46","RS","RS   Impuls Volgodonsk (women)",
,"14:08:35","08:46","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:08:39","08:51","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:08:41","08:53","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:08:45","08:57","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:08:47","08:59","K","K   Impuls Volgodonsk (women)",
,"14:08:47","08:59","P","[10 : 9]   P   Impuls Volgodonsk (women)",
,"14:09:00","09:11","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:09:00","09:11","SRV","SRV   Impuls Volgodonsk (women)",
,"14:09:04","09:16","RS","RS   Impuls Volgodonsk (women)",
,"14:09:04","09:16","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:09:08","09:20","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:09:13","09:24","K","K   Impuls Volgodonsk (women)",
,"14:09:13","09:24","P","[10 : 10]   P   Impuls Volgodonsk (women)",
,"14:09:20","09:32","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:09:21","09:32","TIME","TIME",
,"14:09:22","09:33","TIME","TIME   Severyanka Cherepovets (women)",
,"14:10:07","10:18","SRV","SRV   Impuls Volgodonsk (women)",
,"14:10:10","10:22","RS","RS   Impuls Volgodonsk (women)",
,"14:10:11","10:22","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:10:13","10:24","K","K   Severyanka Cherepovets (women)",
,"14:10:13","10:24","P","[11 : 10]   P   Severyanka Cherepovets (women)",
,"14:10:26","10:38","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:10:30","10:41","SRV","SRV   Severyanka Cherepovets (women)",
,"14:10:34","10:45","RS","RS   Severyanka Cherepovets (women)",
,"14:10:34","10:46","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:10:38","10:49","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:10:42","10:53","K","K   Severyanka Cherepovets (women)",
,"14:10:42","10:53","P","[12 : 10]   P   Severyanka Cherepovets (women)",
,"14:10:54","11:05","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:10:56","11:07","SRV","SRV   Severyanka Cherepovets (women)",
,"14:11:02","11:14","RS","RS   Severyanka Cherepovets (women)",
,"14:11:02","11:14","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:11:05","11:16","ERR","ERR   Impuls Volgodonsk (women)",
,"14:11:05","11:16","P","[13 : 10]   P   Severyanka Cherepovets (women)",
,"14:11:14","11:26","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:11:15","11:27","TIME","TIME",
,"14:11:16","11:28","TIME","TIME   Impuls Volgodonsk (women)",
,"14:12:01","12:12","SRV","SRV   Severyanka Cherepovets (women)",
,"14:12:09","12:21","A","A   Severyanka Cherepovets (women)",
,"14:12:09","12:21","P","[14 : 10]   P   Severyanka Cherepovets (women)",
,"14:12:23","12:34","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:12:23","12:35","SRV","SRV   Severyanka Cherepovets (women)",
,"14:12:29","12:41","RS","RS   Severyanka Cherepovets (women)",
,"14:12:30","12:41","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:12:35","12:47","K","K   Impuls Volgodonsk (women)",
,"14:12:35","12:47","P","[14 : 11]   P   Impuls Volgodonsk (women)",
,"14:12:56","13:07","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:13:03","13:15","SRV","SRV   Impuls Volgodonsk (women)",
,"14:13:08","13:19","S ERR","S ERR   Impuls Volgodonsk (women)",
,"14:13:08","13:19","P","[15 : 11]   P   Severyanka Cherepovets (women)",
,"14:13:21","13:33","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:13:23","13:35","SRV","SRV   Severyanka Cherepovets (women)",
,"14:13:31","13:42","RS","RS   Severyanka Cherepovets (women)",
,"14:13:31","13:43","B POSS","B POSS   Impuls Volgodonsk (women)",
,"14:13:33","13:45","K","K   Impuls Volgodonsk (women)",
,"14:13:33","13:45","P","[15 : 12]   P   Impuls Volgodonsk (women)",
,"14:13:48","14:00","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:13:50","14:02","SRV","SRV   Impuls Volgodonsk (women)",
,"14:13:56","14:08","RS","RS   Impuls Volgodonsk (women)",
,"14:13:57","14:08","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:14:01","14:13","B","B   Impuls Volgodonsk (women)",
,"14:14:01","14:13","P","[15 : 13]   P   Impuls Volgodonsk (women)",
,"14:14:13","14:25","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:14:14","14:26","SRV","SRV   Impuls Volgodonsk (women)",
,"14:14:23","14:35","A","A   Impuls Volgodonsk (women)",
,"14:14:23","14:35","P","[15 : 14]   P   Impuls Volgodonsk (women)",
,"14:14:38","14:49","Pt Conf","Pt Conf   Impuls Volgodonsk (women)",
,"14:14:38","14:50","SRV","SRV   Impuls Volgodonsk (women)",
,"14:14:45","14:57","RS","RS   Impuls Volgodonsk (women)",
,"14:14:46","14:57","B POSS","B POSS   Severyanka Cherepovets (women)",
,"14:14:48","15:00","K","K   Severyanka Cherepovets (women)",
,"14:14:48","15:00","P","[16 : 14]   P   Severyanka Cherepovets (women)",
,"14:14:52","15:04","Pt Conf","Pt Conf   Severyanka Cherepovets (women)",
,"14:14:52","15:04","TIME","TIME",
,"14:14:53","15:04","TTO","TTO",
,"14:15:52","16:04","SRV","SRV   Severyanka Cherepovets (women)",
,"14:16:00","16:11","RS","RS   Severyanka Cherepovets (women)",
,"14:16:00","16:11","B POSS","B POSS   Impuls Volgodonsk (women)",
