"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886649","Russia","Vischaya Liga A (women)","08.10.2017 - 14:00","VK Politekh Kursk (women)","VC Tulitsa (women)",
"Statistics","VK Politekh Kursk (women)","Type","VC Tulitsa (women)",
,"3","Score","0",
,"75","Points","63",
,"3","Sets","0",
,"8","Aces","2",
,"8","Service errors","5",
,"51","Kills","36",
,"4","Blocks","6",
,"6","Errors","6",
,"5","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:21:52","00:00","Game conditions changed","Game conditions changed",
,"13:22:00","00:00","Players warming up","Players warming up",
,"13:22:22","00:00","Jersey colours updated","Jersey colours updated",
,"13:22:23","00:00","Jersey colours updated","Jersey colours updated",
,"13:43:34","00:00","Coin flipping","Coin flipping",
,"13:44:16","00:00","Warm up at the net","Warm up at the net",
,"13:55:19","00:00","Players lined up","Players lined up",
,"13:55:44","00:00","National anthem singing","National anthem singing",
,"13:57:12","00:00","Shake hands","Shake hands",
,"13:58:34","00:00","Players intro","Players intro",
,"13:59:43","00:00","Game about to start","Game about to start",
,"14:00:15","00:00","Start SRV","Start SRV   YuZGU Atom (women)",
,"14:00:25","00:00","Start 1st Set","Start 1st Set",
,"14:00:25","00:00","SRV","SRV   YuZGU Atom (women)",
,"14:00:33","00:08","RS","RS   YuZGU Atom (women)",
,"14:00:34","00:09","B POSS","B POSS   VC Tulitsa (women)",
,"14:00:37","00:12","B POSS","B POSS   YuZGU Atom (women)",
,"14:00:42","00:17","K","K   VC Tulitsa (women)",
,"14:00:42","00:17","P","[0 : 1]   P   VC Tulitsa (women)",
,"14:00:53","00:27","Pt Conf","Pt Conf   VC Tulitsa (women)",
,"14:00:57","00:32","SRV","SRV   VC Tulitsa (women)",
,"14:01:07","00:42","RS","RS   VC Tulitsa (women)",
,"14:01:07","00:42","B POSS","B POSS   YuZGU Atom (women)",
,"14:01:10","00:44","K","K   YuZGU Atom (women)",
,"14:01:10","00:44","P","[1 : 1]   P   YuZGU Atom (women)",
,"14:01:21","00:55","Pt Conf","Pt Conf   YuZGU Atom (women)",
,"14:01:26","01:01","SRV","SRV   YuZGU Atom (women)",
,"14:01:33","01:08","RS","RS   YuZGU Atom (women)",
,"14:01:34","01:09","B POSS","B POSS   VC Tulitsa (women)",
,"14:01:35","01:10","K","K   YuZGU Atom (women)",
,"14:01:35","01:10","P","[2 : 1]   P   YuZGU Atom (women)",
,"14:01:44","01:19","Pt Conf","Pt Conf   YuZGU Atom (women)",
,"14:01:46","01:21","SRV","SRV   YuZGU Atom (women)",
,"14:01:55","01:30","RS","RS   YuZGU Atom (women)",
,"14:01:56","01:30","B POSS","B POSS   VC Tulitsa (women)",
,"14:02:01","01:36","ERR","ERR   VC Tulitsa (women)",
,"14:02:01","01:36","P","[3 : 1]   P   YuZGU Atom (women)",
,"14:02:10","01:44","Pt Conf","Pt Conf   YuZGU Atom (women)",
,"14:02:13","01:48","SRV","SRV   YuZGU Atom (women)",
,"14:02:19","01:54","RS","RS   YuZGU Atom (women)",
,"14:02:20","01:55","B POSS","B POSS   VC Tulitsa (women)",
,"14:02:25","02:00","K","K   VC Tulitsa (women)",
,"14:02:25","02:00","P","[3 : 2]   P   VC Tulitsa (women)",
,"14:02:34","02:09","Pt Conf","Pt Conf   VC Tulitsa (women)",
,"14:02:40","02:14","SRV","SRV   VC Tulitsa (women)",
,"14:02:45","02:20","RS","RS   VC Tulitsa (women)",
,"14:02:46","02:21","B POSS","B POSS   YuZGU Atom (women)",
,"14:02:53","02:28","K","K   YuZGU Atom (women)",
,"14:02:53","02:28","P","[4 : 2]   P   YuZGU Atom (women)",
,"14:03:02","02:37","Pt Conf","Pt Conf   YuZGU Atom (women)",
,"14:03:05","02:40","SRV","SRV   YuZGU Atom (women)",
,"14:03:10","02:45","RS","RS   YuZGU Atom (women)",
,"14:03:11","02:46","B POSS","B POSS   VC Tulitsa (women)",
,"14:03:15","02:49","OUT","OUT   VC Tulitsa (women)",
,"14:03:15","02:49","P","[5 : 2]   P   YuZGU Atom (women)",
,"14:03:22","02:57","Pt Conf","Pt Conf   YuZGU Atom (women)",
,"14:03:26","03:01","SRV","SRV   YuZGU Atom (women)",
,"14:03:32","03:07","RS","RS   YuZGU Atom (women)",
,"14:03:33","03:08","B POSS","B POSS   VC Tulitsa (women)",
,"14:03:39","03:14","B POSS","B POSS   YuZGU Atom (women)",
,"14:03:46","03:21","B POSS","B POSS   VC Tulitsa (women)",
