"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880097","Turkey","Efeler Ligi","08.10.2017 - 11:00","Besiktas Istanbul","Kula Belediye",
"Statistics","Besiktas Istanbul","Type","Kula Belediye",
,"0","Score","3",
,"58","Points","77",
,"0","Sets","3",
,"2","Aces","9",
,"7","Service errors","17",
,"26","Kills","40",
,"2","Blocks","8",
,"8","Errors","5",
,"5","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:12:38","00:00","Game conditions changed","Game conditions changed",
,"10:12:43","00:00","Players warming up","Players warming up",
,"10:14:00","00:00","Jersey colours updated","Jersey colours updated",
,"10:14:00","00:00","Jersey colours updated","Jersey colours updated",
,"10:15:56","00:00","Jersey colours updated","Jersey colours updated",
,"10:42:53","00:00","Coin flipping","Coin flipping",
,"10:43:12","00:00","Warm up at the net","Warm up at the net",
,"10:56:52","00:00","Players lined up","Players lined up",
,"10:58:28","00:00","Players intro","Players intro",
,"11:00:42","00:00","Game about to start","Game about to start",
,"11:00:43","00:00","Start SRV","Start SRV   Besiktas Istanbul",
,"11:00:45","00:00","Start 1st Set","Start 1st Set",
,"11:00:46","00:00","SRV","SRV   Besiktas Istanbul",
,"11:00:47","00:01","RS","RS   Besiktas Istanbul",
,"11:00:47","00:01","B POSS","B POSS   Kula Belediye",
,"11:00:53","00:07","K","K   Kula Belediye",
,"11:00:53","00:07","P","[0 : 1]   P   Kula Belediye",
,"11:01:04","00:19","Pt Conf","Pt Conf   Kula Belediye",
,"11:01:13","00:27","SRV","SRV   Kula Belediye",
,"11:01:14","00:29","RS","RS   Kula Belediye",
,"11:01:15","00:29","B POSS","B POSS   Besiktas Istanbul",
,"11:01:21","00:35","K","K   Kula Belediye",
,"11:01:21","00:35","P","[0 : 2]   P   Kula Belediye",
,"11:01:36","00:50","Pt Conf","Pt Conf   Kula Belediye",
,"11:01:44","00:58","SRV","SRV   Kula Belediye",
,"11:01:48","01:02","S ERR","S ERR   Kula Belediye",
,"11:01:48","01:02","P","[1 : 2]   P   Besiktas Istanbul",
,"11:01:58","01:12","Pt Conf","Pt Conf   Besiktas Istanbul",
,"11:02:07","01:21","SRV","SRV   Besiktas Istanbul",
,"11:02:08","01:22","RS","RS   Besiktas Istanbul",
,"11:02:08","01:22","B POSS","B POSS   Kula Belediye",
,"11:02:12","01:26","K","K   Kula Belediye",
,"11:02:12","01:26","P","[1 : 3]   P   Kula Belediye",
,"11:02:25","01:39","Pt Conf","Pt Conf   Kula Belediye",
,"11:02:31","01:46","SRV","SRV   Kula Belediye",
,"11:02:33","01:47","RS","RS   Kula Belediye",
,"11:02:33","01:47","B POSS","B POSS   Besiktas Istanbul",
,"11:02:41","01:56","B","B   Kula Belediye",
,"11:02:41","01:56","P","[1 : 4]   P   Kula Belediye",
,"11:02:57","02:11","Pt Conf","Pt Conf   Kula Belediye",
,"11:03:02","02:17","SRV","SRV   Kula Belediye",
,"11:03:04","02:18","RS","RS   Kula Belediye",
,"11:03:04","02:19","B POSS","B POSS   Besiktas Istanbul",
,"11:03:11","02:25","B","B   Kula Belediye",
,"11:03:11","02:25","P","[1 : 5]   P   Kula Belediye",
