"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880096","Turkey","Efeler Ligi","08.10.2017 - 14:00","Istanbul BB SK","Halkbank Spor Kulubu",
"Statistics","Istanbul BB SK","Type","Halkbank Spor Kulubu",
,"3","Score","1",
,"96","Points","88",
,"3","Sets","1",
,"5","Aces","2",
,"12","Service errors","14",
,"52","Kills","55",
,"7","Blocks","6",
,"8","Errors","6",
,"5","Outs","12",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:38:35","00:00","Game conditions changed","Game conditions changed",
,"13:38:36","00:00","Players warming up","Players warming up",
,"13:39:12","00:00","Jersey colours updated","Jersey colours updated",
,"13:39:12","00:00","Jersey colours updated","Jersey colours updated",
,"13:46:12","00:00","Coin flipping","Coin flipping",
,"13:46:16","00:00","Warm up at the net","Warm up at the net",
,"13:56:28","00:00","Players lined up","Players lined up",
,"13:57:37","00:00","Players intro","Players intro",
,"13:59:08","00:00","Game about to start","Game about to start",
,"13:59:31","00:00","Start SRV","Start SRV   Istanbul BB SK",
,"13:59:46","00:00","Start 1st Set","Start 1st Set",
,"13:59:47","00:00","SRV","SRV   Istanbul BB SK",
,"13:59:54","00:07","RS","RS   Istanbul BB SK",
,"13:59:54","00:07","B POSS","B POSS   Halkbank Spor Kulubu",
,"13:59:59","00:12","K","K   Istanbul BB SK",
,"13:59:59","00:12","P","[1 : 0]   P   Istanbul BB SK",
,"14:00:16","00:29","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:00:17","00:30","SRV","SRV   Istanbul BB SK",
,"14:00:20","00:33","RS","RS   Istanbul BB SK",
,"14:00:20","00:33","B POSS","B POSS   Halkbank Spor Kulubu",
,"14:00:39","00:52","K","K   Halkbank Spor Kulubu",
,"14:00:39","00:52","P","[1 : 1]   P   Halkbank Spor Kulubu",
,"14:01:04","01:17","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:01:05","01:18","SRV","SRV   Halkbank Spor Kulubu",
,"14:01:06","01:19","RS","RS   Halkbank Spor Kulubu",
,"14:01:06","01:19","B POSS","B POSS   Istanbul BB SK",
,"14:01:09","01:22","K","K   Istanbul BB SK",
,"14:01:09","01:22","P","[2 : 1]   P   Istanbul BB SK",
,"14:01:33","01:46","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:01:34","01:47","SRV","SRV   Istanbul BB SK",
,"14:01:35","01:48","RS","RS   Istanbul BB SK",
,"14:01:35","01:49","B POSS","B POSS   Halkbank Spor Kulubu",
,"14:01:43","01:56","K","K   Halkbank Spor Kulubu",
,"14:01:43","01:56","P","[2 : 2]   P   Halkbank Spor Kulubu",
,"14:02:04","02:17","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:02:06","02:19","SRV","SRV   Halkbank Spor Kulubu",
,"14:02:07","02:20","RS","RS   Halkbank Spor Kulubu",
,"14:02:07","02:20","B POSS","B POSS   Istanbul BB SK",
,"14:02:18","02:31","K","K   Halkbank Spor Kulubu",
,"14:02:18","02:31","P","[2 : 3]   P   Halkbank Spor Kulubu",
,"14:02:41","02:54","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:02:42","02:56","SRV","SRV   Halkbank Spor Kulubu",
,"14:02:44","02:57","S ERR","S ERR   Halkbank Spor Kulubu",
,"14:02:44","02:57","P","[3 : 3]   P   Istanbul BB SK",
,"14:03:04","03:17","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:03:05","03:18","SRV","SRV   Istanbul BB SK",
,"14:03:07","03:20","RS","RS   Istanbul BB SK",
,"14:03:07","03:20","B POSS","B POSS   Halkbank Spor Kulubu",
,"14:03:10","03:23","K","K   Halkbank Spor Kulubu",
,"14:03:10","03:23","P","[3 : 4]   P   Halkbank Spor Kulubu",
,"14:03:28","03:41","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:03:29","03:42","SRV","SRV   Halkbank Spor Kulubu",
,"14:03:32","03:45","S ERR","S ERR   Halkbank Spor Kulubu",
,"14:03:32","03:45","P","[4 : 4]   P   Istanbul BB SK",
,"14:03:49","04:02","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:03:50","04:03","SRV","SRV   Istanbul BB SK",
,"14:03:51","04:04","RS","RS   Istanbul BB SK",
,"14:03:51","04:04","B POSS","B POSS   Halkbank Spor Kulubu",
,"14:03:55","04:08","K","K   Halkbank Spor Kulubu",
,"14:03:55","04:08","P","[4 : 5]   P   Halkbank Spor Kulubu",
,"14:04:18","04:31","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:04:19","04:32","SRV","SRV   Halkbank Spor Kulubu",
,"14:04:22","04:35","RS","RS   Halkbank Spor Kulubu",
,"14:04:22","04:35","B POSS","B POSS   Istanbul BB SK",
,"14:04:36","04:49","K","K   Istanbul BB SK",
,"14:04:36","04:49","P","[5 : 5]   P   Istanbul BB SK",
,"14:04:58","05:11","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:04:59","05:12","SRV","SRV   Istanbul BB SK",
,"14:05:01","05:14","RS","RS   Istanbul BB SK",
,"14:05:01","05:15","B POSS","B POSS   Halkbank Spor Kulubu",
,"14:05:08","05:21","K","K   Halkbank Spor Kulubu",
,"14:05:08","05:21","P","[5 : 6]   P   Halkbank Spor Kulubu",
,"14:05:33","05:46","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:05:34","05:47","SRV","SRV   Halkbank Spor Kulubu",
,"14:05:35","05:48","RS","RS   Halkbank Spor Kulubu",
,"14:05:35","05:48","B POSS","B POSS   Istanbul BB SK",
,"14:05:43","05:56","K","K   Istanbul BB SK",
,"14:05:43","05:56","P","[6 : 6]   P   Istanbul BB SK",
,"14:06:06","06:19","Pt Conf","Pt Conf   Istanbul BB SK",
,"14:06:07","06:20","SRV","SRV   Istanbul BB SK",
,"14:06:09","06:22","RS","RS   Istanbul BB SK",
,"14:06:09","06:22","B POSS","B POSS   Halkbank Spor Kulubu",
,"14:06:13","06:26","K","K   Halkbank Spor Kulubu",
,"14:06:13","06:26","P","[6 : 7]   P   Halkbank Spor Kulubu",
,"14:06:29","06:42","Pt Conf","Pt Conf   Halkbank Spor Kulubu",
,"14:06:30","06:43","SRV","SRV   Halkbank Spor Kulubu",
,"14:06:31","06:45","RS","RS   Halkbank Spor Kulubu",
,"14:06:32","06:45","B POSS","B POSS   Istanbul BB SK",
