"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884023","USA","NCAA Women","08.10.2017 - 17:00","Boston College Eagles (women/students)","Clemson Tigers (women/students)",
"Statistics","Boston College Eagles (women/students)","Type","Clemson Tigers (women/students)",
,"3","Score","0",
,"76","Points","46",
,"3","Sets","0",
,"9","Aces","3",
,"4","Service errors","5",
,"42","Kills","26",
,"8","Blocks","6",
,"3","Errors","10",
,"4","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:17:06","00:00","Game conditions changed","Game conditions changed",
,"16:17:08","00:00","Players warming up","Players warming up",
,"16:31:17","00:00","Coin flipping","Coin flipping",
,"16:41:19","00:00","Warm up at the net","Warm up at the net",
,"16:50:04","00:00","Jersey colours updated","Jersey colours updated",
,"16:50:05","00:00","Jersey colours updated","Jersey colours updated",
,"17:01:06","00:00","Players lined up","Players lined up",
,"17:01:33","00:00","National anthem singing","National anthem singing",
,"17:03:35","00:00","Players intro","Players intro",
,"17:06:05","00:00","Shake hands","Shake hands",
,"17:06:39","00:00","Game about to start","Game about to start",
,"17:07:11","00:00","Start SRV","Start SRV   Boston College Eagles (women/students)",
,"17:07:21","00:00","Start 1st Set","Start 1st Set",
,"17:07:21","00:00","SRV","SRV   Boston College Eagles (women/students)",
,"17:07:23","00:02","RS","RS   Boston College Eagles (women/students)",
,"17:07:24","00:02","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:07:27","00:06","K","K   Clemson Tigers (women/students)",
,"17:07:27","00:06","P","[0 : 1]   P   Clemson Tigers (women/students)",
,"17:07:37","00:15","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:07:43","00:22","SRV","SRV   Clemson Tigers (women/students)",
,"17:07:46","00:25","RS","RS   Clemson Tigers (women/students)",
,"17:07:47","00:25","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:07:51","00:29","OUT","OUT   Boston College Eagles (women/students)",
,"17:07:51","00:29","P","[0 : 2]   P   Clemson Tigers (women/students)",
,"17:07:59","00:37","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:08:01","00:40","SRV","SRV   Clemson Tigers (women/students)",
,"17:08:03","00:42","RS","RS   Clemson Tigers (women/students)",
,"17:08:03","00:42","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:08:07","00:46","K","K   Boston College Eagles (women/students)",
,"17:08:07","00:46","P","[1 : 2]   P   Boston College Eagles (women/students)",
,"17:08:19","00:57","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:08:24","01:02","SRV","SRV   Boston College Eagles (women/students)",
,"17:08:26","01:04","RS","RS   Boston College Eagles (women/students)",
,"17:08:26","01:05","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:08:30","01:09","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:08:34","01:13","K","K   Boston College Eagles (women/students)",
,"17:08:34","01:13","P","[2 : 2]   P   Boston College Eagles (women/students)",
,"17:08:43","01:22","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:08:48","01:27","SRV","SRV   Boston College Eagles (women/students)",
,"17:08:50","01:28","RS","RS   Boston College Eagles (women/students)",
,"17:08:50","01:29","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:08:54","01:33","ERR","ERR   Clemson Tigers (women/students)",
,"17:08:54","01:33","P","[3 : 2]   P   Boston College Eagles (women/students)",
,"17:09:04","01:42","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:09:09","01:48","SRV","SRV   Boston College Eagles (women/students)",
,"17:09:10","01:49","RS","RS   Boston College Eagles (women/students)",
,"17:09:10","01:49","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:09:13","01:52","B","B   Boston College Eagles (women/students)",
,"17:09:13","01:52","P","[4 : 2]   P   Boston College Eagles (women/students)",
,"17:09:24","02:03","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:09:29","02:08","SRV","SRV   Boston College Eagles (women/students)",
,"17:09:30","02:09","RS","RS   Boston College Eagles (women/students)",
,"17:09:31","02:10","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:09:35","02:13","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:09:39","02:17","K","K   Boston College Eagles (women/students)",
,"17:09:39","02:17","P","[5 : 2]   P   Boston College Eagles (women/students)",
,"17:09:50","02:28","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:09:56","02:34","SRV","SRV   Boston College Eagles (women/students)",
,"17:09:58","02:37","A","A   Boston College Eagles (women/students)",
,"17:09:58","02:37","P","[6 : 2]   P   Boston College Eagles (women/students)",
,"17:10:08","02:47","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:10:12","02:50","SRV","SRV   Boston College Eagles (women/students)",
,"17:10:14","02:52","RS","RS   Boston College Eagles (women/students)",
,"17:10:14","02:53","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:10:18","02:57","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:10:23","03:02","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:10:24","03:02","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:10:28","03:07","K","K   Boston College Eagles (women/students)",
,"17:10:28","03:07","P","[7 : 2]   P   Boston College Eagles (women/students)",
,"17:10:37","03:16","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:10:42","03:21","SRV","SRV   Boston College Eagles (women/students)",
,"17:10:44","03:22","RS","RS   Boston College Eagles (women/students)",
,"17:10:44","03:23","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:10:49","03:27","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:10:53","03:32","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:10:54","03:33","K","K   Clemson Tigers (women/students)",
,"17:10:54","03:33","P","[7 : 3]   P   Clemson Tigers (women/students)",
,"17:11:07","03:45","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:11:13","03:51","SRV","SRV   Clemson Tigers (women/students)",
,"17:11:16","03:55","RS","RS   Clemson Tigers (women/students)",
,"17:11:17","03:56","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:11:21","03:59","OUT","OUT   Boston College Eagles (women/students)",
,"17:11:21","03:59","P","[7 : 4]   P   Clemson Tigers (women/students)",
,"17:11:28","04:07","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:11:35","04:13","SRV","SRV   Clemson Tigers (women/students)",
,"17:11:37","04:16","RS","RS   Clemson Tigers (women/students)",
,"17:11:38","04:16","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:11:44","04:22","K","K   Boston College Eagles (women/students)",
,"17:11:44","04:22","P","[8 : 4]   P   Boston College Eagles (women/students)",
,"17:11:45","04:23","Point under investigation","Point under investigation",
,"17:11:59","04:38","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:12:07","04:45","SRV","SRV   Boston College Eagles (women/students)",
,"17:12:08","04:47","RS","RS   Boston College Eagles (women/students)",
,"17:12:09","04:47","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:12:11","04:50","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:12:16","04:54","B","B   Clemson Tigers (women/students)",
,"17:12:16","04:54","P","[8 : 5]   P   Clemson Tigers (women/students)",
,"17:12:28","05:06","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:12:31","05:10","SRV","SRV   Clemson Tigers (women/students)",
,"17:12:34","05:13","RS","RS   Clemson Tigers (women/students)",
,"17:12:35","05:13","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:12:38","05:17","K","K   Boston College Eagles (women/students)",
,"17:12:38","05:17","P","[9 : 5]   P   Boston College Eagles (women/students)",
,"17:12:55","05:34","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:13:00","05:39","SRV","SRV   Boston College Eagles (women/students)",
,"17:13:03","05:41","S ERR","S ERR   Boston College Eagles (women/students)",
,"17:13:03","05:41","P","[9 : 6]   P   Clemson Tigers (women/students)",
,"17:13:14","05:52","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:13:16","05:55","SRV","SRV   Clemson Tigers (women/students)",
,"17:13:18","05:57","RS","RS   Clemson Tigers (women/students)",
,"17:13:19","05:58","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:13:21","06:00","B","B   Clemson Tigers (women/students)",
,"17:13:21","06:00","P","[9 : 7]   P   Clemson Tigers (women/students)",
,"17:13:31","06:09","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:13:33","06:12","SRV","SRV   Clemson Tigers (women/students)",
,"17:13:36","06:14","RS","RS   Clemson Tigers (women/students)",
,"17:13:36","06:15","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:13:40","06:19","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:13:43","06:21","ERR","ERR   Clemson Tigers (women/students)",
,"17:13:43","06:21","P","[10 : 7]   P   Boston College Eagles (women/students)",
,"17:13:53","06:31","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:13:57","06:35","SRV","SRV   Boston College Eagles (women/students)",
,"17:13:59","06:38","RS","RS   Boston College Eagles (women/students)",
,"17:14:00","06:39","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:14:03","06:41","K","K   Clemson Tigers (women/students)",
,"17:14:03","06:41","P","[10 : 8]   P   Clemson Tigers (women/students)",
,"17:14:16","06:55","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:14:20","06:59","SRV","SRV   Clemson Tigers (women/students)",
,"17:14:24","07:03","RS","RS   Clemson Tigers (women/students)",
,"17:14:25","07:03","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:14:28","07:06","K","K   Boston College Eagles (women/students)",
,"17:14:28","07:06","P","[11 : 8]   P   Boston College Eagles (women/students)",
,"17:14:29","07:07","Point under investigation","Point under investigation",
,"17:14:40","07:19","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:14:43","07:22","SRV","SRV   Boston College Eagles (women/students)",
,"17:14:45","07:24","RS","RS   Boston College Eagles (women/students)",
,"17:14:46","07:25","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:14:50","07:28","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:14:53","07:32","K","K   Boston College Eagles (women/students)",
,"17:14:53","07:32","P","[12 : 8]   P   Boston College Eagles (women/students)",
,"17:15:03","07:41","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:15:06","07:45","SRV","SRV   Boston College Eagles (women/students)",
,"17:15:09","07:47","RS","RS   Boston College Eagles (women/students)",
,"17:15:09","07:48","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:15:13","07:52","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:15:17","07:55","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:15:17","07:56","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:15:20","07:58","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:15:22","08:01","K","K   Clemson Tigers (women/students)",
,"17:15:22","08:01","P","[12 : 9]   P   Clemson Tigers (women/students)",
,"17:15:36","08:14","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:15:41","08:20","SRV","SRV   Clemson Tigers (women/students)",
,"17:15:44","08:23","RS","RS   Clemson Tigers (women/students)",
,"17:15:45","08:23","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:15:48","08:27","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:15:49","08:27","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:15:50","08:29","K","K   Boston College Eagles (women/students)",
,"17:15:50","08:29","P","[13 : 9]   P   Boston College Eagles (women/students)",
,"17:16:06","08:45","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:16:10","08:48","SRV","SRV   Boston College Eagles (women/students)",
,"17:16:12","08:50","RS","RS   Boston College Eagles (women/students)",
,"17:16:13","08:51","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:16:18","08:56","K","K   Clemson Tigers (women/students)",
,"17:16:18","08:56","P","[13 : 10]   P   Clemson Tigers (women/students)",
,"17:16:22","09:00","Point under investigation","Point under investigation",
,"17:16:51","09:29","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:16:53","09:32","SRV","SRV   Clemson Tigers (women/students)",
,"17:16:54","09:33","S ERR","S ERR   Clemson Tigers (women/students)",
,"17:16:54","09:33","P","[14 : 10]   P   Boston College Eagles (women/students)",
,"17:17:03","09:41","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:17:08","09:47","SRV","SRV   Boston College Eagles (women/students)",
,"17:17:10","09:48","RS","RS   Boston College Eagles (women/students)",
,"17:17:10","09:49","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:17:15","09:53","ERR","ERR   Clemson Tigers (women/students)",
,"17:17:15","09:53","P","[15 : 10]   P   Boston College Eagles (women/students)",
,"17:17:21","10:00","Pt Conf","Pt Conf   Boston College Eagles (women/students)",
,"17:17:22","10:00","TIME","TIME",
,"17:17:23","10:01","TIME","TIME   Clemson Tigers (women/students)",
,"17:17:44","10:22","Game conditions changed","Game conditions changed",
,"17:18:47","11:26","SRV","SRV   Boston College Eagles (women/students)",
,"17:18:49","11:28","RS","RS   Boston College Eagles (women/students)",
,"17:18:51","11:30","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:18:52","11:31","K","K   Clemson Tigers (women/students)",
,"17:18:52","11:31","P","[15 : 11]   P   Clemson Tigers (women/students)",
,"17:19:06","11:45","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:19:10","11:48","SRV","SRV   Clemson Tigers (women/students)",
,"17:19:12","11:51","RS","RS   Clemson Tigers (women/students)",
,"17:19:13","11:51","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:19:21","11:59","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:19:21","12:00","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:19:24","12:03","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:19:28","12:07","K","K   Clemson Tigers (women/students)",
,"17:19:28","12:07","P","[15 : 12]   P   Clemson Tigers (women/students)",
,"17:19:38","12:16","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:19:44","12:23","SRV","SRV   Clemson Tigers (women/students)",
,"17:19:47","12:25","RS","RS   Clemson Tigers (women/students)",
,"17:19:47","12:26","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:19:50","12:29","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:19:55","12:34","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:19:58","12:36","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:19:58","12:37","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:20:01","12:40","B","B   Clemson Tigers (women/students)",
,"17:20:01","12:40","P","[15 : 13]   P   Clemson Tigers (women/students)",
,"17:20:15","12:54","Pt Conf","Pt Conf   Clemson Tigers (women/students)",
,"17:20:16","12:54","TIME","TIME",
,"17:20:17","12:55","TIME","TIME   Boston College Eagles (women/students)",
,"17:21:40","14:19","SRV","SRV   Clemson Tigers (women/students)",
,"17:21:43","14:21","RS","RS   Clemson Tigers (women/students)",
,"17:21:44","14:22","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:21:47","14:25","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:21:47","14:26","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:21:51","14:30","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:21:55","14:34","B POSS","B POSS   Boston College Eagles (women/students)",
,"17:21:59","14:38","B POSS","B POSS   Clemson Tigers (women/students)",
,"17:21:59","14:38","Rally over 5 possession changes","Rally over 5 possession changes",
