"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887703","Vietnam","Premier League U20 (men)","08.10.2017 - 04:30","Vinh Long U20","Long An U20",
"Statistics","Vinh Long U20","Type","Long An U20",
,"3","Score","1",
,"97","Points","73",
,"3","Sets","1",
,"17","Aces","7",
,"12","Service errors","10",
,"53","Kills","45",
,"11","Blocks","9",
,"0","Errors","1",
,"0","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:56:01","00:00","Game conditions changed","Game conditions changed",
,"04:05:37","00:00","Players warming up","Players warming up",
,"04:06:00","00:00","Jersey colours updated","Jersey colours updated",
,"04:06:02","00:00","Jersey colours updated","Jersey colours updated",
,"04:06:43","00:00","Coin flipping","Coin flipping",
,"04:07:06","00:00","Players lined up","Players lined up",
,"04:07:09","00:00","Shake hands","Shake hands",
,"04:20:59","00:00","Warm up at the net","Warm up at the net",
,"04:29:08","00:00","Players intro","Players intro",
,"04:30:13","00:00","Game about to start","Game about to start",
,"04:30:16","00:00","Start SRV","Start SRV   Vinh Long U20",
,"04:30:17","00:00","Start 1st Set","Start 1st Set",
,"04:30:18","00:01","SRV","SRV   Vinh Long U20",
,"04:30:20","00:02","RS","RS   Vinh Long U20",
,"04:30:20","00:02","B POSS","B POSS   Long An U20",
,"04:30:24","00:06","OUT","OUT   Long An U20",
,"04:30:24","00:06","P","[1 : 0]   P   Vinh Long U20",
,"04:30:40","00:22","Pt Conf","Pt Conf   Vinh Long U20",
,"04:30:41","00:23","SRV","SRV   Vinh Long U20",
,"04:30:43","00:25","A","A   Vinh Long U20",
,"04:30:43","00:25","P","[2 : 0]   P   Vinh Long U20",
,"04:30:54","00:36","Pt Conf","Pt Conf   Vinh Long U20",
,"04:30:57","00:39","SRV","SRV   Vinh Long U20",
,"04:30:59","00:41","RS","RS   Vinh Long U20",
,"04:31:00","00:42","B POSS","B POSS   Long An U20",
,"04:31:03","00:45","B","B   Vinh Long U20",
,"04:31:03","00:45","P","[3 : 0]   P   Vinh Long U20",
,"04:31:28","01:10","Pt Conf","Pt Conf   Vinh Long U20",
,"04:31:28","01:10","SRV","SRV   Vinh Long U20",
,"04:31:28","01:10","A","A   Vinh Long U20",
,"04:31:28","01:10","P","[4 : 0]   P   Vinh Long U20",
,"04:31:37","01:19","Pt Conf","Pt Conf   Vinh Long U20",
,"04:31:39","01:21","SRV","SRV   Vinh Long U20",
,"04:31:40","01:23","RS","RS   Vinh Long U20",
,"04:31:41","01:24","B POSS","B POSS   Long An U20",
,"04:31:49","01:31","K","K   Long An U20",
,"04:31:49","01:31","P","[4 : 1]   P   Long An U20",
,"04:32:04","01:46","Pt Conf","Pt Conf   Long An U20",
,"04:32:05","01:47","SRV","SRV   Long An U20",
,"04:32:08","01:50","RS","RS   Long An U20",
,"04:32:11","01:53","B POSS","B POSS   Vinh Long U20",
,"04:32:12","01:54","K","K   Vinh Long U20",
,"04:32:12","01:54","P","[5 : 1]   P   Vinh Long U20",
,"04:32:28","02:10","Pt Conf","Pt Conf   Vinh Long U20",
,"04:32:30","02:12","SRV","SRV   Vinh Long U20",
,"04:32:32","02:14","A","A   Vinh Long U20",
,"04:32:32","02:14","P","[6 : 1]   P   Vinh Long U20",
,"04:32:43","02:26","Pt Conf","Pt Conf   Vinh Long U20",
,"04:32:44","02:27","TIME","TIME",
,"04:32:56","02:38","TIME","TIME   Long An U20",
,"04:33:27","03:10","SRV","SRV   Vinh Long U20",
,"04:33:32","03:14","A","A   Vinh Long U20",
,"04:33:32","03:14","P","[7 : 1]   P   Vinh Long U20",
,"04:33:50","03:32","Pt Conf","Pt Conf   Vinh Long U20",
,"04:33:51","03:33","SRV","SRV   Vinh Long U20",
,"04:33:52","03:34","S ERR","S ERR   Vinh Long U20",
,"04:33:52","03:34","P","[7 : 2]   P   Long An U20",
,"04:34:05","03:47","Pt Conf","Pt Conf   Long An U20",
,"04:34:13","03:55","SRV","SRV   Long An U20",
,"04:34:15","03:57","S ERR","S ERR   Long An U20",
,"04:34:15","03:57","P","[8 : 2]   P   Vinh Long U20",
,"04:34:28","04:10","Pt Conf","Pt Conf   Vinh Long U20",
,"04:34:30","04:12","SRV","SRV   Vinh Long U20",
,"04:34:35","04:17","A","A   Vinh Long U20",
,"04:34:35","04:17","P","[9 : 2]   P   Vinh Long U20",
,"04:34:49","04:31","Pt Conf","Pt Conf   Vinh Long U20",
,"04:34:53","04:35","SRV","SRV   Vinh Long U20",
,"04:34:55","04:37","RS","RS   Vinh Long U20",
,"04:34:56","04:38","B POSS","B POSS   Long An U20",
,"04:34:57","04:39","K","K   Vinh Long U20",
,"04:34:57","04:39","P","[10 : 2]   P   Vinh Long U20",
,"04:35:10","04:52","Pt Conf","Pt Conf   Vinh Long U20",
,"04:35:16","04:58","SRV","SRV   Vinh Long U20",
,"04:35:17","05:00","RS","RS   Vinh Long U20",
,"04:35:18","05:00","B POSS","B POSS   Long An U20",
,"04:35:19","05:02","K","K   Long An U20",
,"04:35:19","05:02","P","[10 : 3]   P   Long An U20",
,"04:35:33","05:15","Pt Conf","Pt Conf   Long An U20",
,"04:35:35","05:17","SRV","SRV   Long An U20",
,"04:35:38","05:20","A","A   Long An U20",
,"04:35:38","05:20","P","[10 : 4]   P   Long An U20",
,"04:35:51","05:33","Pt Conf","Pt Conf   Long An U20",
,"04:35:53","05:35","SRV","SRV   Long An U20",
,"04:35:54","05:36","RS","RS   Long An U20",
,"04:35:55","05:37","B POSS","B POSS   Vinh Long U20",
,"04:35:58","05:40","B","B   Long An U20",
,"04:35:58","05:40","P","[10 : 5]   P   Long An U20",
,"04:36:15","05:57","Pt Conf","Pt Conf   Long An U20",
,"04:36:16","05:58","SRV","SRV   Long An U20",
,"04:36:18","06:00","RS","RS   Long An U20",
,"04:36:19","06:01","B POSS","B POSS   Vinh Long U20",
,"04:36:21","06:03","K","K   Vinh Long U20",
