"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885814","Brazil","Campeonato Carioca (women)","09.10.2017 - 00:00","Fluminense Football Club (women)","Rio de Janeiro Volei Clube (women)",
"Statistics","Fluminense Football Club (women)","Type","Rio de Janeiro Volei Clube (women)",
,"1","Score","3",
,"86","Points","99",
,"1","Sets","3",
,"1","Aces","7",
,"13","Service errors","5",
,"57","Kills","53",
,"11","Blocks","11",
,"7","Errors","4",
,"8","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:04:47","00:00","Game conditions changed","Game conditions changed",
,"23:14:50","00:00","Players warming up","Players warming up",
,"23:40:25","00:00","Game conditions changed","Game conditions changed",
,"23:43:20","00:00","Coin flipping","Coin flipping",
,"23:43:48","00:00","Players lined up","Players lined up",
,"23:44:09","00:00","Shake hands","Shake hands",
,"23:44:46","00:00","Warm up at the net","Warm up at the net",
,"23:55:48","00:00","Jersey colours updated","Jersey colours updated",
,"23:55:50","00:00","Jersey colours updated","Jersey colours updated",
,"23:57:41","00:00","Players intro","Players intro",
,"23:58:50","00:00","Game about to start","Game about to start",
,"23:59:10","00:00","Start SRV","Start SRV   Fluminense Football Club (women)",
,"23:59:18","00:00","Start SRV","Start SRV   Fluminense Football Club (women)",
,"00:00:22","00:00","Start 1st Set","Start 1st Set",
,"00:00:23","00:00","SRV","SRV   Fluminense Football Club (women)",
,"00:00:24","00:02","RS","RS   Fluminense Football Club (women)",
,"00:00:25","00:03","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:00:27","00:05","B POSS","B POSS   Fluminense Football Club (women)",
,"00:00:31","00:09","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:00:37","00:15","K","K   Rio de Janeiro Volei Clube (women)",
,"00:00:37","00:15","P","[0 : 1]   P   Rio de Janeiro Volei Clube (women)",
,"00:00:48","00:26","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"00:00:50","00:28","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"00:00:53","00:30","RS","RS   Rio de Janeiro Volei Clube (women)",
,"00:00:54","00:32","B POSS","B POSS   Fluminense Football Club (women)",
,"00:00:59","00:37","K","K   Fluminense Football Club (women)",
,"00:00:59","00:37","P","[1 : 1]   P   Fluminense Football Club (women)",
,"00:01:10","00:48","Pt Conf","Pt Conf   Fluminense Football Club (women)",
,"00:01:15","00:53","SRV","SRV   Fluminense Football Club (women)",
,"00:01:19","00:57","S ERR","S ERR   Fluminense Football Club (women)",
,"00:01:19","00:57","P","[1 : 2]   P   Rio de Janeiro Volei Clube (women)",
,"00:01:30","01:08","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"00:01:33","01:10","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"00:01:35","01:13","RS","RS   Rio de Janeiro Volei Clube (women)",
,"00:01:36","01:14","B POSS","B POSS   Fluminense Football Club (women)",
,"00:01:44","01:22","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:01:45","01:22","B POSS","B POSS   Fluminense Football Club (women)",
,"00:01:51","01:29","B","B   Rio de Janeiro Volei Clube (women)",
,"00:01:51","01:29","P","[1 : 3]   P   Rio de Janeiro Volei Clube (women)",
,"00:02:05","01:43","Pt Conf","Pt Conf   Rio de Janeiro Volei Clube (women)",
,"00:02:08","01:45","SRV","SRV   Rio de Janeiro Volei Clube (women)",
,"00:02:12","01:50","RS","RS   Rio de Janeiro Volei Clube (women)",
,"00:02:14","01:51","B POSS","B POSS   Fluminense Football Club (women)",
,"00:02:15","01:53","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:02:21","01:59","B","B   Fluminense Football Club (women)",
,"00:02:21","01:59","P","[2 : 3]   P   Fluminense Football Club (women)",
,"00:02:32","02:10","Pt Conf","Pt Conf   Fluminense Football Club (women)",
,"00:02:38","02:16","SRV","SRV   Fluminense Football Club (women)",
,"00:02:42","02:19","RS","RS   Fluminense Football Club (women)",
,"00:02:43","02:20","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:02:45","02:22","B POSS","B POSS   Fluminense Football Club (women)",
,"00:02:49","02:27","K","K   Fluminense Football Club (women)",
,"00:02:49","02:27","P","[3 : 3]   P   Fluminense Football Club (women)",
,"00:03:00","02:38","Pt Conf","Pt Conf   Fluminense Football Club (women)",
,"00:03:08","02:46","SRV","SRV   Fluminense Football Club (women)",
,"00:03:11","02:48","RS","RS   Fluminense Football Club (women)",
,"00:03:11","02:48","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:03:15","02:53","B POSS","B POSS   Fluminense Football Club (women)",
,"00:03:17","02:54","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:03:21","02:59","B POSS","B POSS   Fluminense Football Club (women)",
,"00:03:26","03:03","B POSS","B POSS   Rio de Janeiro Volei Clube (women)",
,"00:03:30","03:07","B POSS","B POSS   Fluminense Football Club (women)",
,"00:03:30","03:07","Rally over 5 possession changes","Rally over 5 possession changes",
