"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"881090","Czech Republic","Extraliga (men)","09.10.2017 - 18:15","VK Dukla Liberec","Kladno Volejbal CZ",
"Statistics","VK Dukla Liberec","Type","Kladno Volejbal CZ",
,"3","Score","1",
,"95","Points","83",
,"3","Sets","1",
,"15","Aces","6",
,"18","Service errors","20",
,"38","Kills","36",
,"8","Blocks","9",
,"4","Errors","6",
,"10","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:52:01","00:00","Game conditions changed","Game conditions changed",
,"17:52:02","00:00","Players warming up","Players warming up",
,"18:02:22","00:00","Coin flipping","Coin flipping",
,"18:02:23","00:00","Warm up at the net","Warm up at the net",
,"18:02:58","00:00","Jersey colours updated","Jersey colours updated",
,"18:02:58","00:00","Jersey colours updated","Jersey colours updated",
,"18:17:11","00:00","Players lined up","Players lined up",
,"18:18:02","00:00","Shake hands","Shake hands",
,"18:18:38","00:00","Players intro","Players intro",
,"18:20:53","00:00","Game about to start","Game about to start",
,"18:21:31","00:00","Start SRV","Start SRV   VK Dukla Liberec",
,"18:21:55","00:00","Start 1st Set","Start 1st Set",
,"18:22:01","00:06","SRV","SRV   VK Dukla Liberec",
,"18:22:02","00:06","RS","RS   VK Dukla Liberec",
,"18:22:02","00:07","B POSS","B POSS   Kladno Volejbal CZ",
,"18:22:04","00:09","B POSS","B POSS   VK Dukla Liberec",
,"18:22:08","00:13","B POSS","B POSS   Kladno Volejbal CZ",
,"18:22:10","00:14","K","K   Kladno Volejbal CZ",
,"18:22:10","00:14","P","[0 : 1]   P   Kladno Volejbal CZ",
,"18:22:23","00:28","Pt Conf","Pt Conf   Kladno Volejbal CZ",
,"18:22:28","00:33","SRV","SRV   Kladno Volejbal CZ",
,"18:22:34","00:38","S ERR","S ERR   Kladno Volejbal CZ",
,"18:22:34","00:38","P","[1 : 1]   P   VK Dukla Liberec",
,"18:22:44","00:49","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:22:50","00:55","SRV","SRV   VK Dukla Liberec",
,"18:22:53","00:58","RS","RS   VK Dukla Liberec",
,"18:22:53","00:58","B POSS","B POSS   Kladno Volejbal CZ",
,"18:22:56","01:01","K","K   VK Dukla Liberec",
,"18:22:56","01:01","P","[2 : 1]   P   VK Dukla Liberec",
,"18:23:09","01:13","Pt Conf","Pt Conf   VK Dukla Liberec",
,"18:23:13","01:18","SRV","SRV   VK Dukla Liberec",
,"18:23:16","01:20","RS","RS   VK Dukla Liberec",
,"18:23:16","01:21","B POSS","B POSS   Kladno Volejbal CZ",
,"18:23:20","01:24","K","K   Kladno Volejbal CZ",
,"18:23:20","01:24","P","[2 : 2]   P   Kladno Volejbal CZ",
,"18:23:33","01:37","Pt Conf","Pt Conf   Kladno Volejbal CZ",
,"18:23:42","01:46","SRV","SRV   Kladno Volejbal CZ",
,"18:23:44","01:49","S ERR","S ERR   Kladno Volejbal CZ",
,"18:23:44","01:49","P","[3 : 2]   P   VK Dukla Liberec",
