"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887219","Friendly","Etkin Tournament","09.10.2017 - 15:00","Hapoel Kfar Saba","Hapoel Matte Asher",
"Statistics","Hapoel Kfar Saba","Type","Hapoel Matte Asher",
,"0","Score","3",
,"55","Points","75",
,"0","Sets","3",
,"3","Aces","2",
,"8","Service errors","9",
,"24","Kills","38",
,"4","Blocks","9",
,"5","Errors","7",
,"9","Outs","5",
,"0","Penalty Points","0",
,"3","Points (unknown method)","4",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:29:00","00:00","Game conditions changed","Game conditions changed",
,"14:32:38","00:00","Players warming up","Players warming up",
,"14:47:33","00:00","Coin flipping","Coin flipping",
,"14:50:06","00:00","Jersey colours updated","Jersey colours updated",
,"14:50:07","00:00","Jersey colours updated","Jersey colours updated",
,"14:50:08","00:00","Warm up at the net","Warm up at the net",
,"14:57:51","00:00","Players lined up","Players lined up",
,"14:58:21","00:00","Shake hands","Shake hands",
,"14:59:22","00:00","Game about to start","Game about to start",
,"14:59:58","00:00","Start SRV","Start SRV   Hapoel Matte Asher",
,"15:00:17","00:00","Start 1st Set","Start 1st Set",
,"15:00:17","00:00","SRV","SRV   Hapoel Matte Asher",
,"15:00:23","00:06","RS","RS   Hapoel Matte Asher",
,"15:00:24","00:06","B POSS","B POSS   Hapoel Kfar Saba",
,"15:00:29","00:11","ERR","ERR   Hapoel Matte Asher",
,"15:00:29","00:11","P","[1 : 0]   P   Hapoel Kfar Saba",
,"15:00:35","00:17","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:00:41","00:23","SRV","SRV   Hapoel Kfar Saba",
,"15:00:43","00:26","RS","RS   Hapoel Kfar Saba",
,"15:00:44","00:27","B POSS","B POSS   Hapoel Matte Asher",
,"15:01:04","00:47","K","K   Hapoel Matte Asher",
,"15:01:04","00:47","P","[1 : 1]   P   Hapoel Matte Asher",
,"15:01:04","00:47","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:01:05","00:48","Danger","Danger",
,"15:01:05","00:48","Scout offline","Scout offline",
,"15:01:41","01:24","Updating score","Updating score",
,"15:01:51","01:33","P UM","P UM   Hapoel Kfar Saba",
,"15:01:51","01:33","P","[2 : 1]   P   Hapoel Kfar Saba",
,"15:01:51","01:33","P UM","P UM   Hapoel Matte Asher",
,"15:01:51","01:33","P","[2 : 2]   P   Hapoel Matte Asher",
,"15:01:51","01:34","Score updated","Score updated",
,"15:02:01","01:44","SRV","SRV   Hapoel Matte Asher",
,"15:02:02","01:45","RS","RS   Hapoel Matte Asher",
,"15:02:02","01:45","B POSS","B POSS   Hapoel Kfar Saba",
,"15:02:07","01:50","K","K   Hapoel Kfar Saba",
,"15:02:07","01:50","P","[3 : 2]   P   Hapoel Kfar Saba",
,"15:02:08","01:51","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:02:16","01:59","Updating score","Updating score",
,"15:02:16","01:59","Statistic confirmation","Statistic confirmation",
,"15:02:16","01:59","Score updated","Score updated",
,"15:02:20","02:03","SRV","SRV   Hapoel Kfar Saba",
,"15:02:26","02:08","RS","RS   Hapoel Kfar Saba",
,"15:02:26","02:09","B POSS","B POSS   Hapoel Matte Asher",
,"15:02:30","02:13","K","K   Hapoel Matte Asher",
,"15:02:30","02:13","P","[3 : 3]   P   Hapoel Matte Asher",
,"15:02:34","02:17","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:02:46","02:29","SRV","SRV   Hapoel Matte Asher",
,"15:02:51","02:34","RS","RS   Hapoel Matte Asher",
,"15:02:52","02:34","B POSS","B POSS   Hapoel Kfar Saba",
,"15:02:57","02:40","B","B   Hapoel Matte Asher",
,"15:02:57","02:40","P","[3 : 4]   P   Hapoel Matte Asher",
,"15:03:03","02:46","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:03:16","02:59","SRV","SRV   Hapoel Matte Asher",
,"15:03:19","03:01","RS","RS   Hapoel Matte Asher",
,"15:03:19","03:02","B POSS","B POSS   Hapoel Kfar Saba",
,"15:03:21","03:03","B POSS","B POSS   Hapoel Matte Asher",
,"15:03:24","03:07","B POSS","B POSS   Hapoel Kfar Saba",
,"15:03:28","03:11","K","K   Hapoel Kfar Saba",
,"15:03:28","03:11","P","[4 : 4]   P   Hapoel Kfar Saba",
,"15:03:33","03:16","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:03:43","03:26","SRV","SRV   Hapoel Kfar Saba",
,"15:03:54","03:37","S ERR","S ERR   Hapoel Kfar Saba",
,"15:03:54","03:37","P","[4 : 5]   P   Hapoel Matte Asher",
,"15:03:55","03:38","Danger","Danger",
,"15:03:56","03:38","Scout offline","Scout offline",
,"15:04:15","03:58","Updating score","Updating score",
,"15:04:24","04:07","B","B   Hapoel Matte Asher",
,"15:04:24","04:07","P","[4 : 6]   P   Hapoel Matte Asher",
,"15:04:25","04:08","Score updated","Score updated",
,"15:04:27","04:10","SRV","SRV   Hapoel Matte Asher",
,"15:04:30","04:12","S ERR","S ERR   Hapoel Matte Asher",
,"15:04:30","04:12","P","[5 : 6]   P   Hapoel Kfar Saba",
,"15:04:33","04:16","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:04:50","04:32","SRV","SRV   Hapoel Kfar Saba",
,"15:04:51","04:34","RS","RS   Hapoel Kfar Saba",
,"15:04:52","04:35","B POSS","B POSS   Hapoel Matte Asher",
,"15:04:56","04:39","B","B   Hapoel Kfar Saba",
,"15:04:56","04:39","P","[6 : 6]   P   Hapoel Kfar Saba",
,"15:05:06","04:49","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:05:07","04:50","SRV","SRV   Hapoel Kfar Saba",
,"15:05:15","04:58","RS","RS   Hapoel Kfar Saba",
,"15:05:16","04:58","B POSS","B POSS   Hapoel Matte Asher",
,"15:05:21","05:03","K","K   Hapoel Matte Asher",
,"15:05:21","05:03","P","[6 : 7]   P   Hapoel Matte Asher",
,"15:05:26","05:09","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:05:31","05:13","SRV","SRV   Hapoel Matte Asher",
,"15:05:40","05:23","RS","RS   Hapoel Matte Asher",
,"15:05:40","05:23","B POSS","B POSS   Hapoel Kfar Saba",
,"15:05:46","05:29","OUT","OUT   Hapoel Kfar Saba",
,"15:05:46","05:29","P","[6 : 8]   P   Hapoel Matte Asher",
,"15:05:50","05:33","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:05:59","05:41","SRV","SRV   Hapoel Matte Asher",
,"15:06:02","05:45","RS","RS   Hapoel Matte Asher",
,"15:06:03","05:45","B POSS","B POSS   Hapoel Kfar Saba",
,"15:06:09","05:52","ERR","ERR   Hapoel Matte Asher",
,"15:06:09","05:52","P","[7 : 8]   P   Hapoel Kfar Saba",
,"15:06:13","05:55","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:06:20","06:02","SRV","SRV   Hapoel Kfar Saba",
,"15:06:24","06:07","RS","RS   Hapoel Kfar Saba",
,"15:06:25","06:08","B POSS","B POSS   Hapoel Matte Asher",
,"15:06:31","06:14","K","K   Hapoel Matte Asher",
,"15:06:31","06:14","P","[7 : 9]   P   Hapoel Matte Asher",
,"15:06:34","06:17","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:06:42","06:25","SRV","SRV   Hapoel Matte Asher",
,"15:06:49","06:31","RS","RS   Hapoel Matte Asher",
,"15:06:49","06:32","B POSS","B POSS   Hapoel Kfar Saba",
,"15:06:56","06:39","B POSS","B POSS   Hapoel Matte Asher",
,"15:07:00","06:43","B POSS","B POSS   Hapoel Kfar Saba",
,"15:07:09","06:51","OUT","OUT   Hapoel Matte Asher",
,"15:07:09","06:51","P","[8 : 9]   P   Hapoel Kfar Saba",
,"15:07:15","06:58","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:07:43","07:26","SRV","SRV   Hapoel Kfar Saba",
,"15:07:48","07:31","RS","RS   Hapoel Kfar Saba",
,"15:07:48","07:31","B POSS","B POSS   Hapoel Matte Asher",
,"15:07:52","07:35","B POSS","B POSS   Hapoel Kfar Saba",
,"15:07:57","07:40","K","K   Hapoel Kfar Saba",
,"15:07:57","07:40","P","[9 : 9]   P   Hapoel Kfar Saba",
,"15:08:02","07:44","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:08:11","07:54","SRV","SRV   Hapoel Kfar Saba",
,"15:08:15","07:57","RS","RS   Hapoel Kfar Saba",
,"15:08:15","07:58","B POSS","B POSS   Hapoel Matte Asher",
,"15:08:18","08:01","B","B   Hapoel Kfar Saba",
,"15:08:18","08:01","P","[10 : 9]   P   Hapoel Kfar Saba",
,"15:08:22","08:05","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:08:34","08:17","SRV","SRV   Hapoel Kfar Saba",
,"15:08:37","08:19","RS","RS   Hapoel Kfar Saba",
,"15:08:37","08:20","B POSS","B POSS   Hapoel Matte Asher",
,"15:08:43","08:26","ERR","ERR   Hapoel Kfar Saba",
,"15:08:43","08:26","P","[10 : 10]   P   Hapoel Matte Asher",
,"15:08:46","08:29","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:08:55","08:37","SRV","SRV   Hapoel Matte Asher",
,"15:08:59","08:42","RS","RS   Hapoel Matte Asher",
,"15:09:00","08:42","B POSS","B POSS   Hapoel Kfar Saba",
,"15:09:06","08:49","K","K   Hapoel Kfar Saba",
,"15:09:06","08:49","P","[11 : 10]   P   Hapoel Kfar Saba",
,"15:09:11","08:54","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:09:21","09:04","SRV","SRV   Hapoel Kfar Saba",
,"15:09:27","09:10","A","A   Hapoel Kfar Saba",
,"15:09:27","09:10","P","[12 : 10]   P   Hapoel Kfar Saba",
,"15:09:33","09:16","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:09:41","09:24","SRV","SRV   Hapoel Kfar Saba",
,"15:09:47","09:30","RS","RS   Hapoel Kfar Saba",
,"15:09:48","09:31","B POSS","B POSS   Hapoel Matte Asher",
,"15:09:51","09:33","B POSS","B POSS   Hapoel Kfar Saba",
,"15:09:51","09:34","K","K   Hapoel Kfar Saba",
,"15:09:51","09:34","P","[13 : 10]   P   Hapoel Kfar Saba",
,"15:10:00","09:42","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:10:01","09:43","TIME","TIME",
,"15:10:01","09:44","TIME","TIME   Hapoel Matte Asher",
,"15:10:46","10:28","SRV","SRV   Hapoel Kfar Saba",
,"15:10:57","10:40","S ERR","S ERR   Hapoel Kfar Saba",
,"15:10:57","10:40","P","[13 : 11]   P   Hapoel Matte Asher",
,"15:11:03","10:46","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:11:10","10:53","SRV","SRV   Hapoel Matte Asher",
,"15:11:16","10:59","RS","RS   Hapoel Matte Asher",
,"15:11:17","10:59","B POSS","B POSS   Hapoel Kfar Saba",
,"15:11:22","11:04","K","K   Hapoel Kfar Saba",
,"15:11:22","11:04","P","[14 : 11]   P   Hapoel Kfar Saba",
,"15:11:30","11:13","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:11:34","11:17","SRV","SRV   Hapoel Kfar Saba",
,"15:11:42","11:24","RS","RS   Hapoel Kfar Saba",
,"15:11:42","11:25","B POSS","B POSS   Hapoel Matte Asher",
,"15:11:47","11:30","K","K   Hapoel Matte Asher",
,"15:11:47","11:30","P","[14 : 12]   P   Hapoel Matte Asher",
,"15:11:50","11:33","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:11:57","11:40","SRV","SRV   Hapoel Matte Asher",
,"15:12:05","11:48","S ERR","S ERR   Hapoel Matte Asher",
,"15:12:05","11:48","P","[15 : 12]   P   Hapoel Kfar Saba",
,"15:12:13","11:56","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:12:16","11:59","SRV","SRV   Hapoel Kfar Saba",
,"15:12:23","12:06","RS","RS   Hapoel Kfar Saba",
,"15:12:24","12:06","B POSS","B POSS   Hapoel Matte Asher",
,"15:12:30","12:12","K","K   Hapoel Matte Asher",
,"15:12:30","12:12","P","[15 : 13]   P   Hapoel Matte Asher",
,"15:12:35","12:17","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:12:40","12:23","SRV","SRV   Hapoel Matte Asher",
,"15:12:45","12:28","RS","RS   Hapoel Matte Asher",
,"15:12:46","12:29","B POSS","B POSS   Hapoel Kfar Saba",
,"15:12:52","12:35","B","B   Hapoel Matte Asher",
,"15:12:52","12:35","P","[15 : 14]   P   Hapoel Matte Asher",
,"15:12:57","12:40","Pt Conf","Pt Conf   Hapoel Matte Asher",
,"15:13:05","12:47","SRV","SRV   Hapoel Matte Asher",
,"15:13:08","12:51","RS","RS   Hapoel Matte Asher",
,"15:13:09","12:51","B POSS","B POSS   Hapoel Kfar Saba",
,"15:13:13","12:56","B POSS","B POSS   Hapoel Matte Asher",
,"15:13:16","12:59","K","K   Hapoel Matte Asher",
,"15:13:16","12:59","P","[15 : 15]   P   Hapoel Matte Asher",
,"15:13:20","13:03","Pt Conf","Pt Conf   Hapoel Matte Asher",
