"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887220","Friendly","Etkin Tournament","09.10.2017 - 17:00","Maccabi Tel Aviv","Maccabi Hod Hasharon",
"Statistics","Maccabi Tel Aviv","Type","Maccabi Hod Hasharon",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"10","Aces","0",
,"12","Service errors","10",
,"31","Kills","25",
,"7","Blocks","5",
,"5","Errors","8",
,"6","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:48:51","00:00","Players warming up","Players warming up",
,"16:48:56","00:00","Game conditions changed","Game conditions changed",
,"16:49:40","00:00","Jersey colours updated","Jersey colours updated",
,"16:49:40","00:00","Jersey colours updated","Jersey colours updated",
,"16:55:08","00:00","Coin flipping","Coin flipping",
,"16:55:10","00:00","Warm up at the net","Warm up at the net",
,"16:57:02","00:00","Players lined up","Players lined up",
,"16:57:06","00:00","Shake hands","Shake hands",
,"16:58:06","00:00","Game about to start","Game about to start",
,"16:59:00","00:00","Start SRV","Start SRV   Maccabi Tel Aviv",
,"16:59:02","00:00","Start 1st Set","Start 1st Set",
,"16:59:02","00:00","SRV","SRV   Maccabi Tel Aviv",
,"16:59:05","00:02","RS","RS   Maccabi Tel Aviv",
,"16:59:05","00:02","B POSS","B POSS   Maccabi Hod Hasharon",
,"16:59:07","00:04","B POSS","B POSS   Maccabi Tel Aviv",
,"16:59:10","00:07","K","K   Maccabi Hod Hasharon",
,"16:59:10","00:07","P","[0 : 1]   P   Maccabi Hod Hasharon",
,"16:59:16","00:13","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"16:59:29","00:26","SRV","SRV   Maccabi Hod Hasharon",
,"16:59:57","00:54","RS","RS   Maccabi Hod Hasharon",
,"16:59:57","00:54","B POSS","B POSS   Maccabi Tel Aviv",
,"17:00:02","00:59","K","K   Maccabi Tel Aviv",
,"17:00:02","00:59","P","[1 : 1]   P   Maccabi Tel Aviv",
,"17:00:09","01:06","Pt Conf","Pt Conf   Maccabi Tel Aviv",
,"17:00:16","01:13","SRV","SRV   Maccabi Tel Aviv",
