"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879470","Poland","Polska Liga (men)","09.10.2017 - 16:00","AZS Politechnika Warszawska","GKS Katowice",
"Statistics","AZS Politechnika Warszawska","Type","GKS Katowice",
,"3","Score","1",
,"85","Points","83",
,"3","Sets","1",
,"10","Aces","9",
,"12","Service errors","19",
,"41","Kills","43",
,"7","Blocks","6",
,"6","Errors","6",
,"7","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:11:15","00:00","Game conditions changed","Game conditions changed",
,"15:11:16","00:00","Players warming up","Players warming up",
,"15:44:42","00:00","Coin flipping","Coin flipping",
,"15:45:10","00:00","Jersey colours updated","Jersey colours updated",
,"15:45:10","00:00","Jersey colours updated","Jersey colours updated",
,"15:45:15","00:00","Game conditions changed","Game conditions changed",
,"15:50:10","00:00","Warm up at the net","Warm up at the net",
,"16:06:26","00:00","Shake hands","Shake hands",
,"16:08:31","00:00","Players intro","Players intro",
,"16:09:22","00:00","Players lined up","Players lined up",
,"16:09:48","00:00","Game about to start","Game about to start",
,"16:10:23","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"16:10:30","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"16:10:38","00:00","Start 1st Set","Start 1st Set",
,"16:10:38","00:00","SRV","SRV   AZS Politechnika Warszawska",
,"16:10:39","00:01","RS","RS   AZS Politechnika Warszawska",
,"16:10:39","00:01","B POSS","B POSS   GKS Katowice",
,"16:10:42","00:04","K","K   GKS Katowice",
,"16:10:42","00:04","P","[0 : 1]   P   GKS Katowice",
,"16:10:55","00:17","Pt Conf","Pt Conf   GKS Katowice",
,"16:10:56","00:18","SRV","SRV   GKS Katowice",
,"16:10:58","00:20","S ERR","S ERR   GKS Katowice",
,"16:10:58","00:20","P","[1 : 1]   P   AZS Politechnika Warszawska",
,"16:11:16","00:38","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"16:11:17","00:39","SRV","SRV   AZS Politechnika Warszawska",
,"16:11:20","00:42","RS","RS   AZS Politechnika Warszawska",
,"16:11:20","00:42","B POSS","B POSS   GKS Katowice",
,"16:11:22","00:44","B POSS","B POSS   AZS Politechnika Warszawska",
,"16:11:27","00:49","B POSS","B POSS   GKS Katowice",
,"16:11:30","00:52","B POSS","B POSS   AZS Politechnika Warszawska",
,"16:11:35","00:57","B","B   GKS Katowice",
,"16:11:35","00:57","P","[1 : 2]   P   GKS Katowice",
,"16:11:52","01:14","Pt Conf","Pt Conf   GKS Katowice",
,"16:11:52","01:14","SRV","SRV   GKS Katowice",
,"16:11:53","01:15","RS","RS   GKS Katowice",
,"16:11:54","01:16","B POSS","B POSS   AZS Politechnika Warszawska",
,"16:11:55","01:17","B POSS","B POSS   GKS Katowice",
,"16:12:00","01:22","K","K   GKS Katowice",
,"16:12:00","01:22","P","[1 : 3]   P   GKS Katowice",
,"16:12:18","01:40","Pt Conf","Pt Conf   GKS Katowice",
,"16:12:18","01:40","SRV","SRV   GKS Katowice",
,"16:12:19","01:41","RS","RS   GKS Katowice",
,"16:12:19","01:41","B POSS","B POSS   AZS Politechnika Warszawska",
,"16:12:23","01:45","Point under investigation","Point under investigation",
,"16:12:36","01:58","B","B   AZS Politechnika Warszawska",
,"16:12:36","01:58","P","[2 : 3]   P   AZS Politechnika Warszawska",
,"16:12:45","02:07","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"16:12:46","02:08","SRV","SRV   AZS Politechnika Warszawska",
,"16:12:48","02:10","RS","RS   AZS Politechnika Warszawska",
,"16:12:48","02:10","B POSS","B POSS   GKS Katowice",
,"16:12:50","02:12","K","K   GKS Katowice",
,"16:12:50","02:12","P","[2 : 4]   P   GKS Katowice",
,"16:13:06","02:28","Pt Conf","Pt Conf   GKS Katowice",
,"16:13:09","02:31","SRV","SRV   GKS Katowice",
,"16:13:12","02:34","RS","RS   GKS Katowice",
,"16:13:12","02:34","B POSS","B POSS   AZS Politechnika Warszawska",
,"16:13:16","02:38","OUT","OUT   AZS Politechnika Warszawska",
,"16:13:16","02:38","P","[2 : 5]   P   GKS Katowice",
,"16:13:32","02:54","Pt Conf","Pt Conf   GKS Katowice",
,"16:13:34","02:55","SRV","SRV   GKS Katowice",
,"16:13:35","02:57","A","A   GKS Katowice",
,"16:13:35","02:57","P","[2 : 6]   P   GKS Katowice",
,"16:13:52","03:14","Pt Conf","Pt Conf   GKS Katowice",
,"16:13:52","03:14","TIME","TIME",
,"16:13:53","03:15","TIME","TIME   AZS Politechnika Warszawska",
,"16:14:45","04:07","SRV","SRV   GKS Katowice",
