"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888142","Romania","Divizia A1 (men)","09.10.2017 - 14:00","ACS Volei Municipal Zalau","CS Stiinta Explorari Baia Mare",
"Statistics","ACS Volei Municipal Zalau","Type","CS Stiinta Explorari Baia Mare",
,"3","Score","0",
,"75","Points","58",
,"3","Sets","0",
,"2","Aces","1",
,"11","Service errors","8",
,"45","Kills","32",
,"11","Blocks","5",
,"4","Errors","4",
,"5","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:58:36","00:00","Game conditions changed","Game conditions changed",
,"13:58:41","00:00","Warm up at the net","Warm up at the net",
,"13:59:13","00:00","Jersey colours updated","Jersey colours updated",
,"13:59:13","00:00","Jersey colours updated","Jersey colours updated",
,"13:59:28","00:00","Players intro","Players intro",
,"14:00:30","00:00","Players lined up","Players lined up",
,"14:00:36","00:00","Shake hands","Shake hands",
,"14:01:06","00:00","Game about to start","Game about to start",
,"14:01:26","00:00","Start SRV","Start SRV   CS Stiinta Explorari Baia Mare",
,"14:01:30","00:00","Start 1st Set","Start 1st Set",
,"14:01:31","00:00","SRV","SRV   CS Stiinta Explorari Baia Mare",
,"14:01:32","00:01","RS","RS   CS Stiinta Explorari Baia Mare",
,"14:01:32","00:01","B POSS","B POSS   ACS Volei Municipal Zalau",
,"14:01:37","00:06","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:01:51","00:20","B","B   ACS Volei Municipal Zalau",
,"14:01:51","00:20","P","[1 : 0]   P   ACS Volei Municipal Zalau",
,"14:02:16","00:45","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:02:16","00:46","SRV","SRV   ACS Volei Municipal Zalau",
,"14:02:19","00:48","RS","RS   ACS Volei Municipal Zalau",
,"14:02:19","00:48","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:02:27","00:57","B","B   ACS Volei Municipal Zalau",
,"14:02:27","00:57","P","[2 : 0]   P   ACS Volei Municipal Zalau",
,"14:02:51","01:20","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:02:52","01:21","SRV","SRV   ACS Volei Municipal Zalau",
,"14:02:54","01:23","RS","RS   ACS Volei Municipal Zalau",
,"14:02:54","01:23","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:02:57","01:26","ERR","ERR   CS Stiinta Explorari Baia Mare",
,"14:02:57","01:26","P","[3 : 0]   P   ACS Volei Municipal Zalau",
,"14:03:14","01:44","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:03:16","01:45","SRV","SRV   ACS Volei Municipal Zalau",
,"14:03:17","01:47","RS","RS   ACS Volei Municipal Zalau",
,"14:03:17","01:47","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:03:20","01:50","K","K   CS Stiinta Explorari Baia Mare",
,"14:03:20","01:50","P","[3 : 1]   P   CS Stiinta Explorari Baia Mare",
,"14:03:36","02:05","Pt Conf","Pt Conf   CS Stiinta Explorari Baia Mare",
,"14:03:37","02:06","SRV","SRV   CS Stiinta Explorari Baia Mare",
,"14:03:38","02:07","RS","RS   CS Stiinta Explorari Baia Mare",
,"14:03:38","02:07","B POSS","B POSS   ACS Volei Municipal Zalau",
,"14:03:44","02:13","B","B   ACS Volei Municipal Zalau",
,"14:03:44","02:13","P","[4 : 1]   P   ACS Volei Municipal Zalau",
,"14:03:45","02:15","Correct statistics","Correct statistics   (B ACS Volei Municipal Zalau <=> K ACS Volei Municipal Zalau)",
,"14:03:45","02:15","K","K   ACS Volei Municipal Zalau",
,"14:04:01","02:30","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:04:01","02:31","SRV","SRV   ACS Volei Municipal Zalau",
,"14:04:05","02:34","A","A   ACS Volei Municipal Zalau",
,"14:04:05","02:34","P","[5 : 1]   P   ACS Volei Municipal Zalau",
,"14:04:25","02:54","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:04:26","02:55","SRV","SRV   ACS Volei Municipal Zalau",
,"14:04:30","02:59","RS","RS   ACS Volei Municipal Zalau",
,"14:04:30","02:59","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:04:35","03:04","OUT","OUT   CS Stiinta Explorari Baia Mare",
,"14:04:35","03:04","P","[6 : 1]   P   ACS Volei Municipal Zalau",
,"14:05:08","03:37","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:05:10","03:39","TIME","TIME",
,"14:05:11","03:40","TIME","TIME   CS Stiinta Explorari Baia Mare",
,"14:05:36","04:05","SRV","SRV   ACS Volei Municipal Zalau",
,"14:05:46","04:15","RS","RS   ACS Volei Municipal Zalau",
,"14:05:46","04:15","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:05:51","04:20","B POSS","B POSS   ACS Volei Municipal Zalau",
,"14:05:53","04:22","K","K   ACS Volei Municipal Zalau",
,"14:05:53","04:22","P","[7 : 1]   P   ACS Volei Municipal Zalau",
,"14:06:10","04:39","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:06:11","04:40","SRV","SRV   ACS Volei Municipal Zalau",
,"14:06:12","04:41","RS","RS   ACS Volei Municipal Zalau",
,"14:06:12","04:41","B POSS","B POSS   CS Stiinta Explorari Baia Mare",
,"14:06:16","04:45","B POSS","B POSS   ACS Volei Municipal Zalau",
,"14:06:19","04:48","K","K   ACS Volei Municipal Zalau",
,"14:06:19","04:48","P","[8 : 1]   P   ACS Volei Municipal Zalau",
,"14:06:36","05:05","Pt Conf","Pt Conf   ACS Volei Municipal Zalau",
,"14:06:38","05:07","TIME","TIME",
,"14:06:39","05:08","TTO","TTO",
,"14:07:39","06:09","SRV","SRV   ACS Volei Municipal Zalau",
