"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"880094","Turkey","Efeler Ligi","09.10.2017 - 14:00","Afyon Belediye","Torul Genclik",
"Statistics","Afyon Belediye","Type","Torul Genclik",
,"3","Score","0",
,"75","Points","34",
,"3","Sets","0",
,"7","Aces","2",
,"12","Service errors","6",
,"37","Kills","14",
,"14","Blocks","2",
,"3","Errors","5",
,"1","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:20:48","00:00","Game conditions changed","Game conditions changed",
,"13:20:49","00:00","Players warming up","Players warming up",
,"13:21:06","00:00","Jersey colours updated","Jersey colours updated",
,"13:21:07","00:00","Jersey colours updated","Jersey colours updated",
,"13:45:13","00:00","Coin flipping","Coin flipping",
,"13:45:52","00:00","Warm up at the net","Warm up at the net",
,"13:57:23","00:00","Players lined up","Players lined up",
,"14:00:29","00:00","Players intro","Players intro",
,"14:01:16","00:00","Game about to start","Game about to start",
,"14:01:16","00:00","Start SRV","Start SRV   Torul Genclik",
,"14:01:36","00:00","Start 1st Set","Start 1st Set",
,"14:01:36","00:00","SRV","SRV   Torul Genclik",
,"14:01:37","00:01","S ERR","S ERR   Torul Genclik",
,"14:01:37","00:01","P","[1 : 0]   P   Afyon Belediye",
,"14:01:53","00:17","Pt Conf","Pt Conf   Afyon Belediye",
,"14:01:54","00:18","SRV","SRV   Afyon Belediye",
,"14:01:56","00:20","RS","RS   Afyon Belediye",
,"14:01:57","00:21","B POSS","B POSS   Torul Genclik",
,"14:02:01","00:25","B POSS","B POSS   Afyon Belediye",
,"14:02:04","00:28","B POSS","B POSS   Torul Genclik",
,"14:02:10","00:34","B","B   Afyon Belediye",
,"14:02:10","00:34","P","[2 : 0]   P   Afyon Belediye",
,"14:02:26","00:50","Pt Conf","Pt Conf   Afyon Belediye",
,"14:02:28","00:52","SRV","SRV   Afyon Belediye",
,"14:02:31","00:55","A","A   Afyon Belediye",
,"14:02:31","00:55","P","[3 : 0]   P   Afyon Belediye",
,"14:02:47","01:11","Pt Conf","Pt Conf   Afyon Belediye",
,"14:02:48","01:12","SRV","SRV   Afyon Belediye",
,"14:02:51","01:15","RS","RS   Afyon Belediye",
,"14:02:52","01:16","B POSS","B POSS   Torul Genclik",
,"14:02:54","01:18","B POSS","B POSS   Afyon Belediye",
,"14:02:58","01:22","K","K   Afyon Belediye",
