"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888091","Vietnam","Premier League U20 (men)","09.10.2017 - 04:30","Cong An TP HCM U20","Bien Phong U20",
"Statistics","Cong An TP HCM U20","Type","Bien Phong U20",
,"0","Score","3",
,"45","Points","75",
,"0","Sets","3",
,"1","Aces","8",
,"2","Service errors","7",
,"32","Kills","50",
,"0","Blocks","3",
,"1","Errors","0",
,"11","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"03:53:38","00:00","Players warming up","Players warming up",
,"03:53:40","00:00","Game conditions changed","Game conditions changed",
,"03:54:00","00:00","Jersey colours updated","Jersey colours updated",
,"03:54:01","00:00","Jersey colours updated","Jersey colours updated",
,"04:02:09","00:00","Warm up at the net","Warm up at the net",
,"04:15:29","00:00","Players intro","Players intro",
,"04:16:36","00:00","Game about to start","Game about to start",
,"04:16:36","00:00","Start SRV","Start SRV   Bien Phong U20",
,"04:16:39","00:00","Start 1st Set","Start 1st Set",
,"04:16:39","00:00","SRV","SRV   Bien Phong U20",
,"04:16:41","00:02","RS","RS   Bien Phong U20",
,"04:16:42","00:03","B POSS","B POSS   Cong An TP HCM U20",
,"04:16:51","00:12","K","K   Bien Phong U20",
,"04:16:51","00:12","P","[0 : 1]   P   Bien Phong U20",
,"04:17:10","00:31","Pt Conf","Pt Conf   Bien Phong U20",
,"04:17:11","00:32","SRV","SRV   Bien Phong U20",
,"04:17:12","00:33","RS","RS   Bien Phong U20",
,"04:17:12","00:33","B POSS","B POSS   Cong An TP HCM U20",
,"04:17:14","00:35","K","K   Cong An TP HCM U20",
,"04:17:14","00:35","P","[1 : 1]   P   Cong An TP HCM U20",
,"04:17:28","00:49","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"04:17:29","00:50","SRV","SRV   Cong An TP HCM U20",
,"04:17:31","00:52","RS","RS   Cong An TP HCM U20",
,"04:17:32","00:53","B POSS","B POSS   Bien Phong U20",
,"04:17:33","00:54","K","K   Bien Phong U20",
,"04:17:33","00:54","P","[1 : 2]   P   Bien Phong U20",
,"04:17:47","01:08","Pt Conf","Pt Conf   Bien Phong U20",
,"04:17:48","01:09","SRV","SRV   Bien Phong U20",
,"04:17:51","01:12","A","A   Bien Phong U20",
,"04:17:51","01:12","P","[1 : 3]   P   Bien Phong U20",
,"04:18:00","01:21","Pt Conf","Pt Conf   Bien Phong U20",
,"04:18:08","01:29","SRV","SRV   Bien Phong U20",
,"04:18:12","01:33","RS","RS   Bien Phong U20",
,"04:18:13","01:34","B POSS","B POSS   Cong An TP HCM U20",
,"04:18:21","01:42","K","K   Bien Phong U20",
,"04:18:21","01:42","P","[1 : 4]   P   Bien Phong U20",
,"04:18:34","01:55","Pt Conf","Pt Conf   Bien Phong U20",
,"04:18:35","01:56","SRV","SRV   Bien Phong U20",
,"04:18:37","01:58","RS","RS   Bien Phong U20",
,"04:18:38","01:59","B POSS","B POSS   Cong An TP HCM U20",
,"04:18:42","02:03","K","K   Cong An TP HCM U20",
,"04:18:42","02:03","P","[2 : 4]   P   Cong An TP HCM U20",
,"04:18:54","02:15","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"04:18:56","02:17","SRV","SRV   Cong An TP HCM U20",
,"04:18:57","02:18","RS","RS   Cong An TP HCM U20",
,"04:18:57","02:18","B POSS","B POSS   Bien Phong U20",
,"04:19:00","02:21","K","K   Bien Phong U20",
,"04:19:00","02:21","P","[2 : 5]   P   Bien Phong U20",
,"04:19:14","02:35","Pt Conf","Pt Conf   Bien Phong U20",
,"04:19:15","02:36","SRV","SRV   Bien Phong U20",
,"04:19:18","02:39","RS","RS   Bien Phong U20",
,"04:19:19","02:40","B POSS","B POSS   Cong An TP HCM U20",
,"04:19:30","02:51","B POSS","B POSS   Bien Phong U20",
,"04:19:32","02:53","K","K   Bien Phong U20",
,"04:19:32","02:53","P","[2 : 6]   P   Bien Phong U20",
,"04:19:48","03:09","Pt Conf","Pt Conf   Bien Phong U20",
,"04:19:49","03:10","SRV","SRV   Bien Phong U20",
,"04:19:51","03:11","S ERR","S ERR   Bien Phong U20",
,"04:19:51","03:11","P","[3 : 6]   P   Cong An TP HCM U20",
,"04:19:59","03:20","Pt Conf","Pt Conf   Cong An TP HCM U20",
,"04:20:03","03:24","SRV","SRV   Cong An TP HCM U20",
,"04:20:05","03:26","RS","RS   Cong An TP HCM U20",
,"04:20:06","03:27","B POSS","B POSS   Bien Phong U20",
,"04:20:10","03:31","K","K   Bien Phong U20",
,"04:20:10","03:31","P","[3 : 7]   P   Bien Phong U20",
,"04:20:29","03:50","Pt Conf","Pt Conf   Bien Phong U20",
,"04:20:30","03:51","SRV","SRV   Bien Phong U20",
,"04:20:31","03:52","RS","RS   Bien Phong U20",
,"04:20:32","03:53","B POSS","B POSS   Cong An TP HCM U20",
,"04:20:37","03:58","B","B   Bien Phong U20",
,"04:20:37","03:58","P","[3 : 8]   P   Bien Phong U20",
,"04:20:53","04:14","Pt Conf","Pt Conf   Bien Phong U20",
,"04:20:54","04:14","SRV","SRV   Bien Phong U20",
,"04:20:55","04:16","RS","RS   Bien Phong U20",
,"04:20:56","04:17","B POSS","B POSS   Cong An TP HCM U20",
,"04:20:58","04:19","K","K   Bien Phong U20",
,"04:20:58","04:19","P","[3 : 9]   P   Bien Phong U20",
,"04:21:17","04:38","Pt Conf","Pt Conf   Bien Phong U20",
,"04:21:18","04:39","SRV","SRV   Bien Phong U20",
,"04:21:19","04:40","RS","RS   Bien Phong U20",
,"04:21:20","04:41","B POSS","B POSS   Cong An TP HCM U20",
,"04:21:29","04:49","K","K   Cong An TP HCM U20",
,"04:21:29","04:49","P","[4 : 9]   P   Cong An TP HCM U20",
