"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888092","Vietnam","Premier League U20 (men)","09.10.2017 - 09:00","Quan Doan 4 U20","Ha Tinh U20",
"Statistics","Quan Doan 4 U20","Type","Ha Tinh U20",
,"0","Score","3",
,"68","Points","75",
,"0","Sets","3",
,"8","Aces","8",
,"6","Service errors","9",
,"38","Kills","45",
,"5","Blocks","9",
,"2","Errors","0",
,"5","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:24:03","00:00","Players warming up","Players warming up",
,"08:24:05","00:00","Game conditions changed","Game conditions changed",
,"08:24:31","00:00","Jersey colours updated","Jersey colours updated",
,"08:24:32","00:00","Jersey colours updated","Jersey colours updated",
,"08:30:21","00:00","Coin flipping","Coin flipping",
,"08:33:02","00:00","Players lined up","Players lined up",
,"08:33:04","00:00","Shake hands","Shake hands",
,"08:46:12","00:00","Warm up at the net","Warm up at the net",
,"08:58:48","00:00","Players intro","Players intro",
,"08:59:51","00:00","Game about to start","Game about to start",
,"08:59:57","00:00","Start SRV","Start SRV   Ha Tinh U20",
,"08:59:58","00:00","Start 1st Set","Start 1st Set",
,"08:59:58","00:00","SRV","SRV   Ha Tinh U20",
,"08:59:59","00:01","RS","RS   Ha Tinh U20",
,"08:59:59","00:01","B POSS","B POSS   Quan Doan 4 U20",
,"09:00:01","00:03","K","K   Quan Doan 4 U20",
,"09:00:01","00:03","P","[1 : 0]   P   Quan Doan 4 U20",
,"09:00:22","00:24","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"09:00:23","00:25","SRV","SRV   Quan Doan 4 U20",
,"09:00:26","00:27","RS","RS   Quan Doan 4 U20",
,"09:00:27","00:28","B POSS","B POSS   Ha Tinh U20",
,"09:00:32","00:34","OUT","OUT   Ha Tinh U20",
,"09:00:32","00:34","P","[2 : 0]   P   Quan Doan 4 U20",
,"09:00:53","00:54","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"09:00:54","00:56","SRV","SRV   Quan Doan 4 U20",
,"09:00:58","00:59","A","A   Quan Doan 4 U20",
,"09:00:58","00:59","P","[3 : 0]   P   Quan Doan 4 U20",
,"09:01:19","01:20","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"09:01:20","01:21","SRV","SRV   Quan Doan 4 U20",
,"09:01:23","01:25","S ERR","S ERR   Quan Doan 4 U20",
,"09:01:23","01:25","P","[3 : 1]   P   Ha Tinh U20",
,"09:01:33","01:35","Pt Conf","Pt Conf   Ha Tinh U20",
,"09:01:34","01:36","SRV","SRV   Ha Tinh U20",
,"09:01:35","01:37","RS","RS   Ha Tinh U20",
,"09:01:36","01:37","B POSS","B POSS   Quan Doan 4 U20",
,"09:01:48","01:49","B POSS","B POSS   Ha Tinh U20",
,"09:01:50","01:51","OUT","OUT   Ha Tinh U20",
,"09:01:50","01:51","P","[4 : 1]   P   Quan Doan 4 U20",
,"09:02:09","02:11","Pt Conf","Pt Conf   Quan Doan 4 U20",
,"09:02:09","02:11","SRV","SRV   Quan Doan 4 U20",
,"09:02:10","02:11","RS","RS   Quan Doan 4 U20",
,"09:02:10","02:11","B POSS","B POSS   Ha Tinh U20",
,"09:02:11","02:12","K","K   Ha Tinh U20",
,"09:02:11","02:12","P","[4 : 2]   P   Ha Tinh U20",
,"09:02:23","02:25","Pt Conf","Pt Conf   Ha Tinh U20",
