"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888093","Vietnam","Premier League U20 (men)","09.10.2017 - 12:00","Khanh Hoa U20","VLXD Binh Duong U20",
"Statistics","Khanh Hoa U20","Type","VLXD Binh Duong U20",
,"3","Score","0",
,"75","Points","53",
,"3","Sets","0",
,"7","Aces","5",
,"5","Service errors","5",
,"41","Kills","31",
,"11","Blocks","1",
,"4","Errors","4",
,"7","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:26:02","00:00","Players warming up","Players warming up",
,"11:26:04","00:00","Game conditions changed","Game conditions changed",
,"11:26:21","00:00","Jersey colours updated","Jersey colours updated",
,"11:26:22","00:00","Jersey colours updated","Jersey colours updated",
,"11:26:57","00:00","Coin flipping","Coin flipping",
,"11:26:59","00:00","Players lined up","Players lined up",
,"11:27:20","00:00","Shake hands","Shake hands",
,"11:37:17","00:00","Warm up at the net","Warm up at the net",
,"11:47:44","00:00","Players intro","Players intro",
,"11:48:45","00:00","Game about to start","Game about to start",
,"11:49:05","00:00","Start SRV","Start SRV   Khanh Hoa U20",
,"11:49:08","00:00","Start 1st Set","Start 1st Set",
,"11:49:09","00:01","SRV","SRV   Khanh Hoa U20",
,"11:49:11","00:03","RS","RS   Khanh Hoa U20",
,"11:49:12","00:04","B POSS","B POSS   VLXD Binh Duong U20",
,"11:49:14","00:06","ERR","ERR   VLXD Binh Duong U20",
,"11:49:14","00:06","P","[1 : 0]   P   Khanh Hoa U20",
,"11:49:26","00:17","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:49:27","00:18","SRV","SRV   Khanh Hoa U20",
,"11:49:28","00:20","RS","RS   Khanh Hoa U20",
,"11:49:29","00:20","B POSS","B POSS   VLXD Binh Duong U20",
,"11:49:32","00:23","OUT","OUT   VLXD Binh Duong U20",
,"11:49:32","00:23","P","[2 : 0]   P   Khanh Hoa U20",
,"11:49:42","00:33","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:49:43","00:35","SRV","SRV   Khanh Hoa U20",
,"11:49:45","00:36","RS","RS   Khanh Hoa U20",
,"11:49:46","00:37","B POSS","B POSS   VLXD Binh Duong U20",
,"11:49:53","00:45","K","K   Khanh Hoa U20",
,"11:49:53","00:45","P","[3 : 0]   P   Khanh Hoa U20",
,"11:50:05","00:56","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:50:06","00:58","SRV","SRV   Khanh Hoa U20",
,"11:50:09","01:00","RS","RS   Khanh Hoa U20",
,"11:50:10","01:01","B POSS","B POSS   VLXD Binh Duong U20",
,"11:50:12","01:03","K","K   VLXD Binh Duong U20",
,"11:50:12","01:03","P","[3 : 1]   P   VLXD Binh Duong U20",
,"11:50:23","01:14","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:50:24","01:16","SRV","SRV   VLXD Binh Duong U20",
,"11:50:25","01:17","RS","RS   VLXD Binh Duong U20",
,"11:50:27","01:18","B POSS","B POSS   Khanh Hoa U20",
,"11:50:31","01:23","K","K   Khanh Hoa U20",
,"11:50:31","01:23","P","[4 : 1]   P   Khanh Hoa U20",
,"11:50:43","01:35","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:50:45","01:36","SRV","SRV   Khanh Hoa U20",
,"11:50:46","01:38","RS","RS   Khanh Hoa U20",
,"11:50:47","01:39","B POSS","B POSS   VLXD Binh Duong U20",
,"11:50:56","01:48","OUT","OUT   VLXD Binh Duong U20",
,"11:50:56","01:48","P","[5 : 1]   P   Khanh Hoa U20",
,"11:51:10","02:02","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:51:11","02:03","SRV","SRV   Khanh Hoa U20",
,"11:51:13","02:04","RS","RS   Khanh Hoa U20",
,"11:51:14","02:05","B POSS","B POSS   VLXD Binh Duong U20",
,"11:51:16","02:08","OUT","OUT   VLXD Binh Duong U20",
,"11:51:16","02:08","P","[6 : 1]   P   Khanh Hoa U20",
,"11:51:27","02:18","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:51:29","02:20","SRV","SRV   Khanh Hoa U20",
,"11:51:31","02:23","RS","RS   Khanh Hoa U20",
,"11:51:32","02:24","B POSS","B POSS   VLXD Binh Duong U20",
,"11:51:35","02:26","K","K   Khanh Hoa U20",
,"11:51:35","02:26","P","[7 : 1]   P   Khanh Hoa U20",
,"11:51:48","02:40","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:51:50","02:41","SRV","SRV   Khanh Hoa U20",
,"11:51:54","02:45","RS","RS   Khanh Hoa U20",
,"11:51:55","02:46","B POSS","B POSS   VLXD Binh Duong U20",
,"11:51:56","02:47","B POSS","B POSS   Khanh Hoa U20",
,"11:52:01","02:52","K","K   Khanh Hoa U20",
,"11:52:01","02:52","P","[8 : 1]   P   Khanh Hoa U20",
,"11:52:14","03:05","Pt Conf","Pt Conf   Khanh Hoa U20",
,"11:52:16","03:07","SRV","SRV   Khanh Hoa U20",
,"11:52:17","03:08","S ERR","S ERR   Khanh Hoa U20",
,"11:52:17","03:08","P","[8 : 2]   P   VLXD Binh Duong U20",
,"11:52:28","03:19","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:52:29","03:21","SRV","SRV   VLXD Binh Duong U20",
,"11:52:32","03:23","RS","RS   VLXD Binh Duong U20",
,"11:52:33","03:24","B POSS","B POSS   Khanh Hoa U20",
,"11:52:35","03:26","B POSS","B POSS   VLXD Binh Duong U20",
,"11:52:43","03:34","ERR","ERR   Khanh Hoa U20",
,"11:52:43","03:34","P","[8 : 3]   P   VLXD Binh Duong U20",
,"11:52:53","03:44","Pt Conf","Pt Conf   VLXD Binh Duong U20",
