"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887922","Argentina","Liga de Honor (women)","10.10.2017 - 00:00","CA Boca Juniors (women)","San Lorenzo (women)",
"Statistics","CA Boca Juniors (women)","Type","San Lorenzo (women)",
,"1","Score","3",
,"86","Points","84",
,"1","Sets","3",
,"3","Aces","6",
,"7","Service errors","6",
,"43","Kills","52",
,"11","Blocks","5",
,"7","Errors","9",
,"7","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:14:25","00:00","Game conditions changed","Game conditions changed",
,"23:37:55","00:00","Players warming up","Players warming up",
,"23:37:57","00:00","Coin flipping","Coin flipping",
,"23:38:27","00:00","Jersey colours updated","Jersey colours updated",
,"23:38:29","00:00","Jersey colours updated","Jersey colours updated",
,"23:50:46","00:00","Warm up at the net","Warm up at the net",
,"23:58:01","00:00","Players lined up","Players lined up",
,"23:58:55","00:00","Shake hands","Shake hands",
,"23:59:42","00:00","Players intro","Players intro",
,"00:01:45","00:00","Game about to start","Game about to start",
,"00:01:49","00:00","Start SRV","Start SRV   CA San Lorenzo (women)",
,"00:01:50","00:00","Start 1st Set","Start 1st Set",
,"00:01:50","00:00","SRV","SRV   CA San Lorenzo (women)",
,"00:01:52","00:01","RS","RS   CA San Lorenzo (women)",
,"00:01:52","00:01","B POSS","B POSS   CA Boca Juniors (women)",
,"00:01:57","00:06","K","K   CA Boca Juniors (women)",
,"00:01:57","00:06","P","[1 : 0]   P   CA Boca Juniors (women)",
,"00:02:13","00:22","Pt Conf","Pt Conf   CA Boca Juniors (women)",
,"00:02:13","00:22","SRV","SRV   CA Boca Juniors (women)",
,"00:02:17","00:26","A","A   CA Boca Juniors (women)",
,"00:02:17","00:26","P","[2 : 0]   P   CA Boca Juniors (women)",
,"00:02:27","00:36","Pt Conf","Pt Conf   CA Boca Juniors (women)",
,"00:02:30","00:40","SRV","SRV   CA Boca Juniors (women)",
,"00:02:37","00:46","RS","RS   CA Boca Juniors (women)",
,"00:02:37","00:47","B POSS","B POSS   CA San Lorenzo (women)",
,"00:02:39","00:49","B POSS","B POSS   CA Boca Juniors (women)",
,"00:02:45","00:55","K","K   CA Boca Juniors (women)",
,"00:02:45","00:55","P","[3 : 0]   P   CA Boca Juniors (women)",
,"00:02:57","01:06","Pt Conf","Pt Conf   CA Boca Juniors (women)",
,"00:02:58","01:07","SRV","SRV   CA Boca Juniors (women)",
,"00:03:02","01:11","RS","RS   CA Boca Juniors (women)",
,"00:03:03","01:12","B POSS","B POSS   CA San Lorenzo (women)",
,"00:03:06","01:15","B POSS","B POSS   CA Boca Juniors (women)",
,"00:03:11","01:20","B POSS","B POSS   CA San Lorenzo (women)",
,"00:03:15","01:24","K","K   CA San Lorenzo (women)",
,"00:03:15","01:24","P","[3 : 1]   P   CA San Lorenzo (women)",
,"00:03:30","01:39","Pt Conf","Pt Conf   CA San Lorenzo (women)",
,"00:03:31","01:40","SRV","SRV   CA San Lorenzo (women)",
,"00:03:35","01:44","RS","RS   CA San Lorenzo (women)",
,"00:03:37","01:46","B POSS","B POSS   CA Boca Juniors (women)",
,"00:03:37","01:46","B POSS","B POSS   CA San Lorenzo (women)",
,"00:03:41","01:50","K","K   CA San Lorenzo (women)",
,"00:03:41","01:50","P","[3 : 2]   P   CA San Lorenzo (women)",
,"00:03:53","02:02","Pt Conf","Pt Conf   CA San Lorenzo (women)",
,"00:03:56","02:05","SRV","SRV   CA San Lorenzo (women)",
,"00:04:00","02:09","RS","RS   CA San Lorenzo (women)",
,"00:04:01","02:10","B POSS","B POSS   CA Boca Juniors (women)",
,"00:04:04","02:13","B POSS","B POSS   CA San Lorenzo (women)",
,"00:04:08","02:17","K","K   CA San Lorenzo (women)",
,"00:04:08","02:17","P","[3 : 3]   P   CA San Lorenzo (women)",
,"00:04:18","02:27","Pt Conf","Pt Conf   CA San Lorenzo (women)",
,"00:04:19","02:28","SRV","SRV   CA San Lorenzo (women)",
,"00:04:24","02:33","RS","RS   CA San Lorenzo (women)",
,"00:04:25","02:34","B POSS","B POSS   CA Boca Juniors (women)",
,"00:04:27","02:36","B POSS","B POSS   CA San Lorenzo (women)",
,"00:04:31","02:41","B POSS","B POSS   CA Boca Juniors (women)",
,"00:04:35","02:44","B POSS","B POSS   CA San Lorenzo (women)",
,"00:04:42","02:51","B POSS","B POSS   CA Boca Juniors (women)",
,"00:04:42","02:52","B POSS","B POSS   CA San Lorenzo (women)",
,"00:04:42","02:52","Rally over 5 possession changes","Rally over 5 possession changes",
,"00:04:46","02:55","K","K   CA San Lorenzo (women)",
,"00:04:46","02:55","P","[3 : 4]   P   CA San Lorenzo (women)",
,"00:04:58","03:07","Pt Conf","Pt Conf   CA San Lorenzo (women)",
,"00:04:59","03:09","SRV","SRV   CA San Lorenzo (women)",
,"00:05:07","03:16","S ERR","S ERR   CA San Lorenzo (women)",
,"00:05:07","03:16","P","[4 : 4]   P   CA Boca Juniors (women)",
,"00:05:15","03:24","Pt Conf","Pt Conf   CA Boca Juniors (women)",
,"00:05:16","03:25","SRV","SRV   CA Boca Juniors (women)",
,"00:05:23","03:32","S ERR","S ERR   CA Boca Juniors (women)",
,"00:05:23","03:32","P","[4 : 5]   P   CA San Lorenzo (women)",
,"00:05:37","03:46","Pt Conf","Pt Conf   CA San Lorenzo (women)",
,"00:05:38","03:47","SRV","SRV   CA San Lorenzo (women)",
,"00:05:49","03:58","A","A   CA San Lorenzo (women)",
,"00:05:49","03:58","P","[4 : 6]   P   CA San Lorenzo (women)",
,"00:06:00","04:09","Pt Conf","Pt Conf   CA San Lorenzo (women)",
,"00:06:01","04:10","SRV","SRV   CA San Lorenzo (women)",
,"00:06:10","04:19","S ERR","S ERR   CA San Lorenzo (women)",
,"00:06:10","04:19","P","[5 : 6]   P   CA Boca Juniors (women)",
,"00:06:20","04:29","Pt Conf","Pt Conf   CA Boca Juniors (women)",
,"00:06:21","04:30","SRV","SRV   CA Boca Juniors (women)",
,"00:06:27","04:36","RS","RS   CA Boca Juniors (women)",
,"00:06:27","04:37","B POSS","B POSS   CA San Lorenzo (women)",
,"00:06:31","04:40","B POSS","B POSS   CA Boca Juniors (women)",
,"00:06:43","04:52","B POSS","B POSS   CA San Lorenzo (women)",
,"00:06:50","05:00","K","K   CA San Lorenzo (women)",
,"00:06:50","05:00","P","[5 : 7]   P   CA San Lorenzo (women)",
