"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887833","Brazil","Campeonato Carioca (men)","10.10.2017 - 23:00","SESC Volei RJ","Botafogo FR",
"Statistics","SESC Volei RJ","Type","Botafogo FR",
,"3","Score","0",
,"75","Points","63",
,"3","Sets","0",
,"4","Aces","4",
,"20","Service errors","11",
,"45","Kills","28",
,"9","Blocks","3",
,"4","Errors","4",
,"4","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:10:20","00:00","Game conditions changed","Game conditions changed",
,"22:10:21","00:00","Players warming up","Players warming up",
,"22:27:42","00:00","Jersey colours updated","Jersey colours updated",
,"22:27:42","00:00","Jersey colours updated","Jersey colours updated",
,"22:43:31","00:00","Coin flipping","Coin flipping",
,"22:44:44","00:00","Players lined up","Players lined up",
,"22:45:48","00:00","National anthem singing","National anthem singing",
,"22:47:23","00:00","Shake hands","Shake hands",
,"22:48:16","00:00","Warm up at the net","Warm up at the net",
,"22:51:07","00:00","Game conditions changed","Game conditions changed",
,"23:00:25","00:00","Players intro","Players intro",
,"23:01:45","00:00","Game about to start","Game about to start",
,"23:02:40","00:00","Start SRV","Start SRV   SESC Volei RJ",
,"23:02:53","00:00","Start 1st Set","Start 1st Set",
,"23:02:54","00:01","SRV","SRV   SESC Volei RJ",
,"23:02:57","00:03","S ERR","S ERR   SESC Volei RJ",
,"23:02:57","00:03","P","[0 : 1]   P   Botafogo FR",
,"23:03:08","00:14","Pt Conf","Pt Conf   Botafogo FR",
,"23:03:10","00:16","SRV","SRV   Botafogo FR",
,"23:03:14","00:20","RS","RS   Botafogo FR",
,"23:03:15","00:21","B POSS","B POSS   SESC Volei RJ",
,"23:03:21","00:28","B","B   Botafogo FR",
,"23:03:21","00:28","P","[0 : 2]   P   Botafogo FR",
,"23:03:31","00:38","Pt Conf","Pt Conf   Botafogo FR",
,"23:03:39","00:45","SRV","SRV   Botafogo FR",
,"23:03:44","00:50","S ERR","S ERR   Botafogo FR",
,"23:03:44","00:50","P","[1 : 2]   P   SESC Volei RJ",
,"23:03:55","01:01","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:04:00","01:06","SRV","SRV   SESC Volei RJ",
,"23:04:05","01:12","S ERR","S ERR   SESC Volei RJ",
,"23:04:05","01:12","P","[1 : 3]   P   Botafogo FR",
,"23:04:21","01:27","Pt Conf","Pt Conf   Botafogo FR",
,"23:04:23","01:29","SRV","SRV   Botafogo FR",
,"23:04:28","01:34","S ERR","S ERR   Botafogo FR",
,"23:04:28","01:34","P","[2 : 3]   P   SESC Volei RJ",
,"23:04:35","01:42","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:04:43","01:49","SRV","SRV   SESC Volei RJ",
,"23:04:48","01:54","RS","RS   SESC Volei RJ",
,"23:04:48","01:55","B POSS","B POSS   Botafogo FR",
,"23:04:53","01:59","K","K   Botafogo FR",
,"23:04:53","01:59","P","[2 : 4]   P   Botafogo FR",
,"23:05:03","02:09","Pt Conf","Pt Conf   Botafogo FR",
,"23:05:09","02:15","SRV","SRV   Botafogo FR",
,"23:05:12","02:19","RS","RS   Botafogo FR",
,"23:05:13","02:19","B POSS","B POSS   SESC Volei RJ",
,"23:05:16","02:23","K","K   SESC Volei RJ",
,"23:05:16","02:23","P","[3 : 4]   P   SESC Volei RJ",
,"23:05:30","02:36","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:05:38","02:44","SRV","SRV   SESC Volei RJ",
,"23:05:43","02:49","S ERR","S ERR   SESC Volei RJ",
,"23:05:43","02:49","P","[3 : 5]   P   Botafogo FR",
,"23:05:54","03:00","Pt Conf","Pt Conf   Botafogo FR",
,"23:06:00","03:06","SRV","SRV   Botafogo FR",
,"23:06:03","03:10","RS","RS   Botafogo FR",
,"23:06:04","03:11","B POSS","B POSS   SESC Volei RJ",
,"23:06:06","03:13","B POSS","B POSS   Botafogo FR",
,"23:06:10","03:17","B POSS","B POSS   SESC Volei RJ",
,"23:06:14","03:21","B POSS","B POSS   Botafogo FR",
,"23:06:19","03:26","OUT","OUT   Botafogo FR",
,"23:06:19","03:26","P","[4 : 5]   P   SESC Volei RJ",
,"23:06:36","03:42","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:06:44","03:50","SRV","SRV   SESC Volei RJ",
,"23:06:48","03:54","RS","RS   SESC Volei RJ",
,"23:06:48","03:55","B POSS","B POSS   Botafogo FR",
,"23:06:49","03:55","B POSS","B POSS   SESC Volei RJ",
,"23:06:55","04:01","K","K   SESC Volei RJ",
,"23:06:55","04:01","P","[5 : 5]   P   SESC Volei RJ",
,"23:07:08","04:14","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:07:15","04:21","SRV","SRV   SESC Volei RJ",
,"23:07:32","04:39","RS","RS   SESC Volei RJ",
,"23:07:33","04:39","B POSS","B POSS   Botafogo FR",
,"23:07:33","04:39","B","B   SESC Volei RJ",
,"23:07:33","04:39","P","[6 : 5]   P   SESC Volei RJ",
,"23:07:34","04:40","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:07:44","04:50","SRV","SRV   SESC Volei RJ",
,"23:07:48","04:55","RS","RS   SESC Volei RJ",
,"23:07:49","04:55","B POSS","B POSS   Botafogo FR",
,"23:07:56","05:03","K","K   Botafogo FR",
,"23:07:56","05:03","P","[6 : 6]   P   Botafogo FR",
,"23:08:10","05:16","Pt Conf","Pt Conf   Botafogo FR",
,"23:08:13","05:20","SRV","SRV   Botafogo FR",
,"23:08:17","05:23","RS","RS   Botafogo FR",
,"23:08:18","05:24","B POSS","B POSS   SESC Volei RJ",
,"23:08:23","05:30","K","K   SESC Volei RJ",
,"23:08:23","05:30","P","[7 : 6]   P   SESC Volei RJ",
,"23:08:38","05:45","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:08:39","05:46","SRV","SRV   SESC Volei RJ",
,"23:08:43","05:49","RS","RS   SESC Volei RJ",
,"23:08:44","05:50","B POSS","B POSS   Botafogo FR",
,"23:08:46","05:52","K","K   Botafogo FR",
,"23:08:46","05:52","P","[7 : 7]   P   Botafogo FR",
,"23:08:55","06:02","Pt Conf","Pt Conf   Botafogo FR",
,"23:09:02","06:08","SRV","SRV   Botafogo FR",
,"23:09:06","06:12","RS","RS   Botafogo FR",
,"23:09:07","06:13","B POSS","B POSS   SESC Volei RJ",
,"23:09:09","06:16","K","K   SESC Volei RJ",
,"23:09:09","06:16","P","[8 : 7]   P   SESC Volei RJ",
,"23:09:25","06:32","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:09:29","06:36","SRV","SRV   SESC Volei RJ",
,"23:09:33","06:40","RS","RS   SESC Volei RJ",
,"23:09:35","06:41","B POSS","B POSS   Botafogo FR",
,"23:09:36","06:43","K","K   Botafogo FR",
,"23:09:36","06:43","P","[8 : 8]   P   Botafogo FR",
,"23:09:52","06:59","Pt Conf","Pt Conf   Botafogo FR",
,"23:09:53","06:59","SRV","SRV   Botafogo FR",
,"23:09:54","07:01","S ERR","S ERR   Botafogo FR",
,"23:09:54","07:01","P","[9 : 8]   P   SESC Volei RJ",
,"23:10:05","07:11","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:10:07","07:13","SRV","SRV   SESC Volei RJ",
,"23:10:12","07:18","S ERR","S ERR   SESC Volei RJ",
,"23:10:12","07:18","P","[9 : 9]   P   Botafogo FR",
,"23:10:28","07:34","Pt Conf","Pt Conf   Botafogo FR",
,"23:10:30","07:36","SRV","SRV   Botafogo FR",
,"23:10:31","07:37","S ERR","S ERR   Botafogo FR",
,"23:10:31","07:37","P","[10 : 9]   P   SESC Volei RJ",
,"23:10:41","07:47","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:10:44","07:51","SRV","SRV   SESC Volei RJ",
,"23:10:48","07:55","RS","RS   SESC Volei RJ",
,"23:10:49","07:55","B POSS","B POSS   Botafogo FR",
,"23:10:54","08:01","B","B   SESC Volei RJ",
,"23:10:54","08:01","P","[11 : 9]   P   SESC Volei RJ",
,"23:11:08","08:14","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:11:19","08:26","SRV","SRV   SESC Volei RJ",
,"23:11:24","08:30","RS","RS   SESC Volei RJ",
,"23:11:25","08:31","B POSS","B POSS   Botafogo FR",
,"23:11:30","08:36","K","K   SESC Volei RJ",
,"23:11:30","08:36","P","[12 : 9]   P   SESC Volei RJ",
,"23:11:43","08:49","Pt Conf","Pt Conf   SESC Volei RJ",
,"23:11:44","08:50","TIME","TIME",
,"23:11:45","08:51","TIME","TIME   Botafogo FR",
,"23:12:44","09:50","SRV","SRV   SESC Volei RJ",
,"23:12:48","09:55","S ERR","S ERR   SESC Volei RJ",
,"23:12:48","09:55","P","[12 : 10]   P   Botafogo FR",
,"23:12:58","10:05","Pt Conf","Pt Conf   Botafogo FR",
,"23:13:00","10:07","SRV","SRV   Botafogo FR",
,"23:13:05","10:11","RS","RS   Botafogo FR",
,"23:13:25","10:31","Danger","Danger",
,"23:13:25","10:31","Scout offline","Scout offline",
,"23:13:50","10:57","Updating score","Updating score",
,"23:13:55","11:01","ERR","ERR   SESC Volei RJ",
,"23:13:55","11:01","P","[12 : 11]   P   Botafogo FR",
,"23:14:02","11:08","K","K   SESC Volei RJ",
,"23:14:02","11:08","P","[13 : 11]   P   SESC Volei RJ",
,"23:14:10","11:16","B","B   SESC Volei RJ",
,"23:14:10","11:16","P","[14 : 11]   P   SESC Volei RJ",
,"23:14:22","11:28","Score updated","Score updated",
