"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887331","Friendly","Etkin Tournament","10.10.2017 - 15:00","Hapoel Kfar Saba","Maccabi Hod Hasharon",
"Statistics","Hapoel Kfar Saba","Type","Maccabi Hod Hasharon",
,"3","Score","0",
,"75","Points","60",
,"3","Sets","0",
,"4","Aces","1",
,"17","Service errors","13",
,"40","Kills","28",
,"9","Blocks","2",
,"7","Errors","6",
,"5","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:37:17","00:00","Game conditions changed","Game conditions changed",
,"14:37:18","00:00","Players warming up","Players warming up",
,"14:52:37","00:00","Jersey colours updated","Jersey colours updated",
,"14:52:37","00:00","Jersey colours updated","Jersey colours updated",
,"14:54:57","00:00","Coin flipping","Coin flipping",
,"14:54:58","00:00","Warm up at the net","Warm up at the net",
,"14:57:43","00:00","Players lined up","Players lined up",
,"14:58:34","00:00","Shake hands","Shake hands",
,"14:59:26","00:00","Game about to start","Game about to start",
,"14:59:40","00:00","Start SRV","Start SRV   Hapoel Kfar Saba",
,"14:59:42","00:00","Start SRV","Start SRV   Hapoel Kfar Saba",
,"14:59:44","00:00","Start SRV","Start SRV   Hapoel Kfar Saba",
,"15:00:23","00:00","Start 1st Set","Start 1st Set",
,"15:00:23","00:00","SRV","SRV   Hapoel Kfar Saba",
,"15:00:29","00:06","RS","RS   Hapoel Kfar Saba",
,"15:00:29","00:06","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:00:36","00:13","K","K   Hapoel Kfar Saba",
,"15:00:36","00:13","P","[1 : 0]   P   Hapoel Kfar Saba",
,"15:00:43","00:20","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:00:56","00:33","SRV","SRV   Hapoel Kfar Saba",
,"15:00:59","00:36","S ERR","S ERR   Hapoel Kfar Saba",
,"15:00:59","00:36","P","[1 : 1]   P   Maccabi Hod Hasharon",
,"15:01:05","00:41","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:01:14","00:51","SRV","SRV   Maccabi Hod Hasharon",
,"15:01:19","00:56","RS","RS   Maccabi Hod Hasharon",
,"15:01:19","00:56","B POSS","B POSS   Hapoel Kfar Saba",
,"15:01:23","01:00","ERR","ERR   Hapoel Kfar Saba",
,"15:01:23","01:00","P","[1 : 2]   P   Maccabi Hod Hasharon",
,"15:01:26","01:03","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:01:43","01:20","SRV","SRV   Maccabi Hod Hasharon",
,"15:01:45","01:22","S ERR","S ERR   Maccabi Hod Hasharon",
,"15:01:45","01:22","P","[2 : 2]   P   Hapoel Kfar Saba",
,"15:01:51","01:28","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:01:56","01:33","SRV","SRV   Hapoel Kfar Saba",
,"15:02:00","01:37","RS","RS   Hapoel Kfar Saba",
,"15:02:00","01:37","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:02:06","01:43","ERR","ERR   Hapoel Kfar Saba",
,"15:02:06","01:43","P","[2 : 3]   P   Maccabi Hod Hasharon",
,"15:02:19","01:56","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:02:25","02:02","SRV","SRV   Maccabi Hod Hasharon",
,"15:02:30","02:07","A","A   Maccabi Hod Hasharon",
,"15:02:30","02:07","P","[2 : 4]   P   Maccabi Hod Hasharon",
,"15:02:35","02:12","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:02:53","02:30","SRV","SRV   Maccabi Hod Hasharon",
,"15:03:00","02:37","S ERR","S ERR   Maccabi Hod Hasharon",
,"15:03:00","02:37","P","[3 : 4]   P   Hapoel Kfar Saba",
,"15:03:06","02:43","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:03:17","02:54","SRV","SRV   Hapoel Kfar Saba",
,"15:03:24","03:01","S ERR","S ERR   Hapoel Kfar Saba",
,"15:03:24","03:01","P","[3 : 5]   P   Maccabi Hod Hasharon",
,"15:03:26","03:03","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:03:36","03:13","SRV","SRV   Maccabi Hod Hasharon",
,"15:03:51","03:28","RS","RS   Maccabi Hod Hasharon",
,"15:03:51","03:28","B POSS","B POSS   Hapoel Kfar Saba",
,"15:03:53","03:30","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:03:57","03:34","K","K   Maccabi Hod Hasharon",
,"15:03:57","03:34","P","[3 : 6]   P   Maccabi Hod Hasharon",
,"15:04:01","03:38","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:04:12","03:49","SRV","SRV   Maccabi Hod Hasharon",
,"15:04:14","03:51","RS","RS   Maccabi Hod Hasharon",
,"15:04:14","03:51","B POSS","B POSS   Hapoel Kfar Saba",
,"15:04:18","03:55","K","K   Hapoel Kfar Saba",
,"15:04:18","03:55","P","[4 : 6]   P   Hapoel Kfar Saba",
,"15:04:26","04:03","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:04:41","04:18","SRV","SRV   Hapoel Kfar Saba",
,"15:04:49","04:26","S ERR","S ERR   Hapoel Kfar Saba",
,"15:04:49","04:26","P","[4 : 7]   P   Maccabi Hod Hasharon",
,"15:04:52","04:29","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:05:01","04:38","SRV","SRV   Maccabi Hod Hasharon",
,"15:05:08","04:45","RS","RS   Maccabi Hod Hasharon",
,"15:05:08","04:45","B POSS","B POSS   Hapoel Kfar Saba",
,"15:05:11","04:48","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:05:16","04:53","ERR","ERR   Maccabi Hod Hasharon",
,"15:05:16","04:53","P","[5 : 7]   P   Hapoel Kfar Saba",
,"15:05:19","04:56","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:05:28","05:05","SRV","SRV   Hapoel Kfar Saba",
,"15:05:38","05:15","RS","RS   Hapoel Kfar Saba",
,"15:05:38","05:15","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:05:46","05:23","K","K   Hapoel Kfar Saba",
,"15:05:46","05:23","P","[6 : 7]   P   Hapoel Kfar Saba",
,"15:05:55","05:32","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:06:02","05:39","SRV","SRV   Hapoel Kfar Saba",
,"15:06:10","05:47","S ERR","S ERR   Hapoel Kfar Saba",
,"15:06:10","05:47","P","[6 : 8]   P   Maccabi Hod Hasharon",
,"15:06:12","05:49","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:06:27","06:04","SRV","SRV   Maccabi Hod Hasharon",
,"15:06:29","06:06","S ERR","S ERR   Maccabi Hod Hasharon",
,"15:06:29","06:06","P","[7 : 8]   P   Hapoel Kfar Saba",
,"15:06:33","06:10","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:06:47","06:24","SRV","SRV   Hapoel Kfar Saba",
,"15:06:51","06:28","RS","RS   Hapoel Kfar Saba",
,"15:06:51","06:28","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:06:56","06:33","B POSS","B POSS   Hapoel Kfar Saba",
,"15:07:04","06:41","K","K   Hapoel Kfar Saba",
,"15:07:04","06:41","P","[8 : 8]   P   Hapoel Kfar Saba",
,"15:07:31","07:08","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:07:33","07:10","SRV","SRV   Hapoel Kfar Saba",
,"15:07:52","07:29","A","A   Hapoel Kfar Saba",
,"15:07:52","07:29","P","[9 : 8]   P   Hapoel Kfar Saba",
,"15:07:53","07:30","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:07:56","07:33","SRV","SRV   Hapoel Kfar Saba",
,"15:07:59","07:36","RS","RS   Hapoel Kfar Saba",
,"15:07:59","07:36","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:08:02","07:39","OUT","OUT   Maccabi Hod Hasharon",
,"15:08:02","07:39","P","[10 : 8]   P   Hapoel Kfar Saba",
,"15:08:06","07:43","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:08:16","07:53","SRV","SRV   Hapoel Kfar Saba",
,"15:08:24","08:01","RS","RS   Hapoel Kfar Saba",
,"15:08:24","08:01","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:08:27","08:03","K","K   Maccabi Hod Hasharon",
,"15:08:27","08:03","P","[10 : 9]   P   Maccabi Hod Hasharon",
,"15:08:32","08:09","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:08:43","08:20","SRV","SRV   Maccabi Hod Hasharon",
,"15:08:46","08:23","RS","RS   Maccabi Hod Hasharon",
,"15:08:46","08:23","B POSS","B POSS   Hapoel Kfar Saba",
,"15:08:51","08:28","K","K   Hapoel Kfar Saba",
,"15:08:51","08:28","P","[11 : 9]   P   Hapoel Kfar Saba",
,"15:08:57","08:34","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:09:07","08:44","SRV","SRV   Hapoel Kfar Saba",
,"15:09:17","08:54","RS","RS   Hapoel Kfar Saba",
,"15:09:17","08:54","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:09:26","09:03","B POSS","B POSS   Hapoel Kfar Saba",
,"15:09:28","09:05","K","K   Hapoel Kfar Saba",
,"15:09:28","09:05","P","[12 : 9]   P   Hapoel Kfar Saba",
,"15:09:30","09:07","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:09:33","09:10","TIME","TIME",
,"15:09:34","09:11","TIME","TIME   Maccabi Hod Hasharon",
,"15:10:26","10:03","Danger","Danger",
,"15:10:26","10:03","Scout offline","Scout offline",
,"15:10:49","10:26","Updating score","Updating score",
,"15:10:49","10:26","Statistic confirmation","Statistic confirmation",
,"15:10:49","10:26","Score updated","Score updated",
,"15:11:21","10:58","SRV","SRV   Hapoel Kfar Saba",
,"15:11:31","11:08","RS","RS   Hapoel Kfar Saba",
,"15:11:31","11:08","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:11:35","11:12","B POSS","B POSS   Hapoel Kfar Saba",
,"15:11:40","11:17","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:11:49","11:26","B POSS","B POSS   Hapoel Kfar Saba",
,"15:11:56","11:33","K","K   Hapoel Kfar Saba",
,"15:11:56","11:33","P","[13 : 9]   P   Hapoel Kfar Saba",
,"15:12:05","11:42","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:12:17","11:54","SRV","SRV   Hapoel Kfar Saba",
,"15:12:23","12:00","S ERR","S ERR   Hapoel Kfar Saba",
,"15:12:23","12:00","P","[13 : 10]   P   Maccabi Hod Hasharon",
,"15:12:25","12:02","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:12:35","12:12","SRV","SRV   Maccabi Hod Hasharon",
,"15:12:42","12:19","RS","RS   Maccabi Hod Hasharon",
,"15:12:42","12:19","B POSS","B POSS   Hapoel Kfar Saba",
,"15:12:45","12:22","ERR","ERR   Hapoel Kfar Saba",
,"15:12:45","12:22","P","[13 : 11]   P   Maccabi Hod Hasharon",
,"15:12:48","12:25","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:13:01","12:38","SRV","SRV   Maccabi Hod Hasharon",
,"15:13:04","12:41","RS","RS   Maccabi Hod Hasharon",
,"15:13:04","12:41","B POSS","B POSS   Hapoel Kfar Saba",
,"15:13:09","12:46","OUT","OUT   Hapoel Kfar Saba",
,"15:13:09","12:46","P","[13 : 12]   P   Maccabi Hod Hasharon",
,"15:13:13","12:50","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:13:23","13:00","SRV","SRV   Maccabi Hod Hasharon",
,"15:13:29","13:06","RS","RS   Maccabi Hod Hasharon",
,"15:13:29","13:06","B POSS","B POSS   Hapoel Kfar Saba",
,"15:13:33","13:10","K","K   Hapoel Kfar Saba",
,"15:13:33","13:10","P","[14 : 12]   P   Hapoel Kfar Saba",
,"15:13:40","13:17","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:13:51","13:28","SRV","SRV   Hapoel Kfar Saba",
,"15:13:53","13:30","RS","RS   Hapoel Kfar Saba",
,"15:13:53","13:30","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:13:55","13:32","B POSS","B POSS   Hapoel Kfar Saba",
,"15:14:01","13:38","K","K   Hapoel Kfar Saba",
,"15:14:01","13:38","P","[15 : 12]   P   Hapoel Kfar Saba",
,"15:14:04","13:41","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:14:15","13:52","SRV","SRV   Hapoel Kfar Saba",
,"15:14:17","13:54","RS","RS   Hapoel Kfar Saba",
,"15:14:17","13:54","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:14:20","13:57","B POSS","B POSS   Hapoel Kfar Saba",
,"15:14:22","13:59","K","K   Hapoel Kfar Saba",
,"15:14:22","13:59","P","[16 : 12]   P   Hapoel Kfar Saba",
,"15:14:25","14:01","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:14:35","14:12","SRV","SRV   Hapoel Kfar Saba",
,"15:14:38","14:15","RS","RS   Hapoel Kfar Saba",
,"15:14:38","14:15","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:14:45","14:22","ERR","ERR   Hapoel Kfar Saba",
,"15:14:45","14:22","P","[16 : 13]   P   Maccabi Hod Hasharon",
,"15:14:49","14:26","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:15:02","14:39","SRV","SRV   Maccabi Hod Hasharon",
,"15:15:07","14:44","RS","RS   Maccabi Hod Hasharon",
,"15:15:07","14:44","B POSS","B POSS   Hapoel Kfar Saba",
,"15:15:11","14:48","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:15:17","14:54","B","B   Maccabi Hod Hasharon",
,"15:15:17","14:54","P","[16 : 14]   P   Maccabi Hod Hasharon",
,"15:15:21","14:58","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:15:32","15:09","SRV","SRV   Maccabi Hod Hasharon",
,"15:15:43","15:20","S ERR","S ERR   Maccabi Hod Hasharon",
,"15:15:43","15:20","P","[17 : 14]   P   Hapoel Kfar Saba",
,"15:15:43","15:20","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:15:50","15:27","SRV","SRV   Hapoel Kfar Saba",
,"15:16:06","15:43","RS","RS   Hapoel Kfar Saba",
,"15:16:06","15:43","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:16:06","15:43","K","K   Maccabi Hod Hasharon",
,"15:16:06","15:43","P","[17 : 15]   P   Maccabi Hod Hasharon",
,"15:16:07","15:44","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:16:23","16:00","SRV","SRV   Maccabi Hod Hasharon",
,"15:16:23","16:00","RS","RS   Maccabi Hod Hasharon",
,"15:16:24","16:00","B POSS","B POSS   Hapoel Kfar Saba",
,"15:16:26","16:03","OUT","OUT   Hapoel Kfar Saba",
,"15:16:26","16:03","P","[17 : 16]   P   Maccabi Hod Hasharon",
,"15:16:28","16:04","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:16:48","16:25","Danger","Danger",
,"15:16:48","16:25","Scout offline","Scout offline",
,"15:17:19","16:56","Updating score","Updating score",
,"15:17:33","17:10","K","K   Hapoel Kfar Saba",
,"15:17:33","17:10","P","[18 : 16]   P   Hapoel Kfar Saba",
,"15:17:33","17:10","Score updated","Score updated",
,"15:17:35","17:12","SRV","SRV   Hapoel Kfar Saba",
,"15:17:36","17:13","RS","RS   Hapoel Kfar Saba",
,"15:17:36","17:13","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:17:38","17:15","ERR","ERR   Maccabi Hod Hasharon",
,"15:17:38","17:15","P","[19 : 16]   P   Hapoel Kfar Saba",
,"15:17:43","17:20","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:17:44","17:21","SRV","SRV   Hapoel Kfar Saba",
,"15:17:51","17:28","S ERR","S ERR   Hapoel Kfar Saba",
,"15:17:51","17:28","P","[19 : 17]   P   Maccabi Hod Hasharon",
,"15:18:05","17:42","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:18:06","17:43","SRV","SRV   Maccabi Hod Hasharon",
,"15:18:11","17:48","RS","RS   Maccabi Hod Hasharon",
,"15:18:11","17:48","B POSS","B POSS   Hapoel Kfar Saba",
,"15:18:14","17:51","K","K   Hapoel Kfar Saba",
,"15:18:14","17:51","P","[20 : 17]   P   Hapoel Kfar Saba",
,"15:18:30","18:07","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:18:35","18:11","SRV","SRV   Hapoel Kfar Saba",
,"15:18:39","18:16","RS","RS   Hapoel Kfar Saba",
,"15:18:39","18:16","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:18:41","18:18","B POSS","B POSS   Hapoel Kfar Saba",
,"15:18:44","18:21","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:18:48","18:25","K","K   Hapoel Kfar Saba",
,"15:18:48","18:25","P","[21 : 17]   P   Hapoel Kfar Saba",
,"15:18:56","18:33","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:18:57","18:34","TIME","TIME",
,"15:18:58","18:35","TIME","TIME   Maccabi Hod Hasharon",
,"15:19:20","18:57","Updating score","Updating score",
,"15:19:20","18:57","Statistic confirmation","Statistic confirmation",
,"15:19:20","18:57","Score updated","Score updated",
,"15:19:54","19:31","SRV","SRV   Hapoel Kfar Saba",
,"15:20:16","19:53","Danger","Danger",
,"15:20:16","19:53","Scout offline","Scout offline",
,"15:20:33","20:10","Updating score","Updating score",
,"15:20:39","20:16","ERR","ERR   Hapoel Kfar Saba",
,"15:20:39","20:16","P","[21 : 18]   P   Maccabi Hod Hasharon",
,"15:20:39","20:16","Score updated","Score updated",
,"15:20:40","20:17","SRV","SRV   Maccabi Hod Hasharon",
,"15:20:41","20:18","S ERR","S ERR   Maccabi Hod Hasharon",
,"15:20:41","20:18","P","[22 : 18]   P   Hapoel Kfar Saba",
,"15:20:53","20:30","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:20:54","20:31","SRV","SRV   Hapoel Kfar Saba",
,"15:20:58","20:35","RS","RS   Hapoel Kfar Saba",
,"15:20:58","20:35","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:21:03","20:40","K","K   Maccabi Hod Hasharon",
,"15:21:03","20:40","P","[22 : 19]   P   Maccabi Hod Hasharon",
,"15:21:19","20:56","Pt Conf","Pt Conf   Maccabi Hod Hasharon",
,"15:21:21","20:58","SRV","SRV   Maccabi Hod Hasharon",
,"15:21:23","21:00","RS","RS   Maccabi Hod Hasharon",
,"15:21:23","21:00","B POSS","B POSS   Hapoel Kfar Saba",
,"15:21:27","21:04","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:21:30","21:07","B POSS","B POSS   Hapoel Kfar Saba",
,"15:21:33","21:10","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:21:39","21:15","K","K   Hapoel Kfar Saba",
,"15:21:39","21:15","P","[23 : 19]   P   Hapoel Kfar Saba",
,"15:22:04","21:41","Pt Conf","Pt Conf   Hapoel Kfar Saba",
,"15:22:06","21:43","SRV","SRV   Hapoel Kfar Saba",
,"15:22:09","21:46","RS","RS   Hapoel Kfar Saba",
,"15:22:09","21:46","B POSS","B POSS   Maccabi Hod Hasharon",
,"15:22:15","21:52","B","B   Hapoel Kfar Saba",
