"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"886458","Russia","Vischaya Liga B (men)","10.10.2017 - 10:00","VC Tarkhan II","Dynamo-VyatGU",
"Statistics","VC Tarkhan II","Type","Dynamo-VyatGU",
,"3","Score","1",
,"99","Points","85",
,"3","Sets","1",
,"6","Aces","5",
,"11","Service errors","13",
,"55","Kills","48",
,"14","Blocks","8",
,"9","Errors","5",
,"4","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:33:36","00:00","Game conditions changed","Game conditions changed",
,"09:43:25","00:00","Players warming up","Players warming up",
,"09:43:28","00:00","Warm up at the net","Warm up at the net",
,"09:43:45","00:00","Jersey colours updated","Jersey colours updated",
,"09:43:45","00:00","Jersey colours updated","Jersey colours updated",
,"09:59:11","00:00","Players intro","Players intro",
,"10:00:44","00:00","Game about to start","Game about to start",
,"10:00:49","00:00","Start SRV","Start SRV   VC Tarkhan II",
,"10:00:56","00:00","Start 1st Set","Start 1st Set",
,"10:00:57","00:00","SRV","SRV   VC Tarkhan II",
,"10:00:59","00:02","RS","RS   VC Tarkhan II",
,"10:00:59","00:02","B POSS","B POSS   Dynamo-VyatGU",
,"10:01:03","00:06","B POSS","B POSS   VC Tarkhan II",
,"10:01:08","00:11","K","K   VC Tarkhan II",
,"10:01:08","00:11","P","[1 : 0]   P   VC Tarkhan II",
,"10:01:25","00:28","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:01:26","00:29","SRV","SRV   VC Tarkhan II",
,"10:01:28","00:31","RS","RS   VC Tarkhan II",
,"10:01:28","00:31","B POSS","B POSS   Dynamo-VyatGU",
,"10:01:33","00:36","B POSS","B POSS   VC Tarkhan II",
,"10:01:35","00:38","K","K   VC Tarkhan II",
,"10:01:35","00:38","P","[2 : 0]   P   VC Tarkhan II",
,"10:01:54","00:57","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:01:55","00:58","SRV","SRV   VC Tarkhan II",
,"10:01:57","01:00","RS","RS   VC Tarkhan II",
,"10:01:57","01:00","B POSS","B POSS   Dynamo-VyatGU",
,"10:02:01","01:04","OUT","OUT   Dynamo-VyatGU",
,"10:02:01","01:04","P","[3 : 0]   P   VC Tarkhan II",
,"10:02:16","01:19","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:02:17","01:20","SRV","SRV   VC Tarkhan II",
,"10:02:20","01:23","A","A   VC Tarkhan II",
,"10:02:20","01:23","P","[4 : 0]   P   VC Tarkhan II",
,"10:02:33","01:36","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:02:33","01:36","TIME","TIME",
,"10:02:34","01:37","TIME","TIME   Dynamo-VyatGU",
,"10:03:12","02:15","SRV","SRV   VC Tarkhan II",
,"10:03:16","02:19","RS","RS   VC Tarkhan II",
,"10:03:16","02:19","B POSS","B POSS   Dynamo-VyatGU",
,"10:03:19","02:22","B POSS","B POSS   VC Tarkhan II",
,"10:03:24","02:27","K","K   VC Tarkhan II",
,"10:03:24","02:27","P","[5 : 0]   P   VC Tarkhan II",
,"10:03:41","02:44","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:03:42","02:45","SRV","SRV   VC Tarkhan II",
,"10:03:44","02:47","RS","RS   VC Tarkhan II",
,"10:03:44","02:47","B POSS","B POSS   Dynamo-VyatGU",
,"10:03:47","02:50","B POSS","B POSS   VC Tarkhan II",
,"10:03:51","02:54","K","K   VC Tarkhan II",
,"10:03:51","02:54","P","[6 : 0]   P   VC Tarkhan II",
,"10:04:07","03:10","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:04:07","03:10","SRV","SRV   VC Tarkhan II",
,"10:04:09","03:12","S ERR","S ERR   VC Tarkhan II",
,"10:04:09","03:12","P","[6 : 1]   P   Dynamo-VyatGU",
,"10:04:26","03:29","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:04:27","03:30","SRV","SRV   Dynamo-VyatGU",
,"10:04:28","03:31","RS","RS   Dynamo-VyatGU",
,"10:04:28","03:31","B POSS","B POSS   VC Tarkhan II",
,"10:04:30","03:33","B POSS","B POSS   Dynamo-VyatGU",
,"10:04:35","03:38","ERR","ERR   Dynamo-VyatGU",
,"10:04:35","03:38","P","[7 : 1]   P   VC Tarkhan II",
,"10:04:56","03:59","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:04:57","04:00","SRV","SRV   VC Tarkhan II",
,"10:04:59","04:02","RS","RS   VC Tarkhan II",
,"10:04:59","04:02","B POSS","B POSS   Dynamo-VyatGU",
,"10:05:04","04:07","B POSS","B POSS   VC Tarkhan II",
,"10:05:11","04:14","B","B   VC Tarkhan II",
,"10:05:11","04:14","P","[8 : 1]   P   VC Tarkhan II",
,"10:05:58","05:01","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:05:59","05:02","TIME","TIME",
,"10:06:00","05:03","TTO","TTO",
,"10:06:10","05:13","SRV","SRV   VC Tarkhan II",
,"10:06:12","05:15","S ERR","S ERR   VC Tarkhan II",
,"10:06:12","05:15","P","[8 : 2]   P   Dynamo-VyatGU",
,"10:06:28","05:31","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:06:28","05:31","SRV","SRV   Dynamo-VyatGU",
,"10:06:31","05:34","RS","RS   Dynamo-VyatGU",
,"10:06:31","05:34","B POSS","B POSS   VC Tarkhan II",
,"10:06:41","05:44","Point under investigation","Point under investigation",
,"10:06:48","05:51","OUT","OUT   VC Tarkhan II",
,"10:06:48","05:51","P","[8 : 3]   P   Dynamo-VyatGU",
,"10:06:56","05:59","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:06:57","06:00","SRV","SRV   Dynamo-VyatGU",
,"10:07:00","06:03","RS","RS   Dynamo-VyatGU",
,"10:07:00","06:03","B POSS","B POSS   VC Tarkhan II",
,"10:07:03","06:06","ERR","ERR   Dynamo-VyatGU",
,"10:07:03","06:06","P","[9 : 3]   P   VC Tarkhan II",
,"10:07:21","06:24","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:07:22","06:25","SRV","SRV   VC Tarkhan II",
,"10:07:24","06:27","RS","RS   VC Tarkhan II",
,"10:07:24","06:27","B POSS","B POSS   Dynamo-VyatGU",
,"10:07:27","06:30","B","B   VC Tarkhan II",
,"10:07:27","06:30","P","[10 : 3]   P   VC Tarkhan II",
,"10:07:46","06:49","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:07:46","06:49","SRV","SRV   VC Tarkhan II",
,"10:07:48","06:51","RS","RS   VC Tarkhan II",
,"10:07:48","06:51","B POSS","B POSS   Dynamo-VyatGU",
,"10:07:52","06:55","K","K   Dynamo-VyatGU",
,"10:07:52","06:55","P","[10 : 4]   P   Dynamo-VyatGU",
,"10:08:09","07:12","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:08:09","07:12","SRV","SRV   Dynamo-VyatGU",
,"10:08:17","07:20","A","A   Dynamo-VyatGU",
,"10:08:17","07:20","P","[10 : 5]   P   Dynamo-VyatGU",
,"10:08:37","07:40","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:08:37","07:40","SRV","SRV   Dynamo-VyatGU",
,"10:08:38","07:41","S ERR","S ERR   Dynamo-VyatGU",
,"10:08:38","07:41","P","[11 : 5]   P   VC Tarkhan II",
,"10:08:51","07:54","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:08:52","07:55","SRV","SRV   VC Tarkhan II",
,"10:08:55","07:58","S ERR","S ERR   VC Tarkhan II",
,"10:08:55","07:58","P","[11 : 6]   P   Dynamo-VyatGU",
,"10:09:10","08:13","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:09:11","08:14","SRV","SRV   Dynamo-VyatGU",
,"10:09:14","08:17","RS","RS   Dynamo-VyatGU",
,"10:09:14","08:17","B POSS","B POSS   VC Tarkhan II",
,"10:09:20","08:23","B POSS","B POSS   Dynamo-VyatGU",
,"10:09:25","08:28","K","K   Dynamo-VyatGU",
,"10:09:25","08:28","P","[11 : 7]   P   Dynamo-VyatGU",
,"10:09:42","08:45","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:09:43","08:46","SRV","SRV   Dynamo-VyatGU",
,"10:09:45","08:48","RS","RS   Dynamo-VyatGU",
,"10:09:45","08:48","B POSS","B POSS   VC Tarkhan II",
,"10:09:47","08:50","K","K   VC Tarkhan II",
,"10:09:47","08:50","P","[12 : 7]   P   VC Tarkhan II",
,"10:10:02","09:05","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:10:03","09:06","SRV","SRV   VC Tarkhan II",
,"10:10:05","09:08","RS","RS   VC Tarkhan II",
,"10:10:05","09:08","B POSS","B POSS   Dynamo-VyatGU",
,"10:10:09","09:12","K","K   Dynamo-VyatGU",
,"10:10:09","09:12","P","[12 : 8]   P   Dynamo-VyatGU",
,"10:10:23","09:26","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:10:24","09:27","SRV","SRV   Dynamo-VyatGU",
,"10:10:26","09:29","RS","RS   Dynamo-VyatGU",
,"10:10:26","09:29","B POSS","B POSS   VC Tarkhan II",
,"10:10:29","09:32","B POSS","B POSS   Dynamo-VyatGU",
,"10:10:39","09:42","K","K   Dynamo-VyatGU",
,"10:10:39","09:42","P","[12 : 9]   P   Dynamo-VyatGU",
,"10:10:55","09:58","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:10:56","09:59","SRV","SRV   Dynamo-VyatGU",
,"10:10:57","10:00","RS","RS   Dynamo-VyatGU",
,"10:10:57","10:00","B POSS","B POSS   VC Tarkhan II",
,"10:11:02","10:05","B POSS","B POSS   Dynamo-VyatGU",
,"10:11:04","10:07","B POSS","B POSS   VC Tarkhan II",
,"10:11:10","10:13","K","K   VC Tarkhan II",
,"10:11:10","10:13","P","[13 : 9]   P   VC Tarkhan II",
,"10:11:26","10:29","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:11:27","10:30","SRV","SRV   VC Tarkhan II",
,"10:11:28","10:31","RS","RS   VC Tarkhan II",
,"10:11:28","10:31","B POSS","B POSS   Dynamo-VyatGU",
,"10:11:32","10:35","K","K   Dynamo-VyatGU",
,"10:11:32","10:35","P","[13 : 10]   P   Dynamo-VyatGU",
,"10:11:49","10:52","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:11:50","10:53","SRV","SRV   Dynamo-VyatGU",
,"10:11:51","10:54","RS","RS   Dynamo-VyatGU",
,"10:11:51","10:54","B POSS","B POSS   VC Tarkhan II",
,"10:11:56","10:59","K","K   VC Tarkhan II",
,"10:11:56","10:59","P","[14 : 10]   P   VC Tarkhan II",
,"10:12:10","11:13","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:12:11","11:14","SRV","SRV   VC Tarkhan II",
,"10:12:13","11:16","RS","RS   VC Tarkhan II",
,"10:12:13","11:16","B POSS","B POSS   Dynamo-VyatGU",
,"10:12:16","11:19","K","K   Dynamo-VyatGU",
,"10:12:16","11:19","P","[14 : 11]   P   Dynamo-VyatGU",
,"10:12:31","11:34","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:12:31","11:34","SRV","SRV   Dynamo-VyatGU",
,"10:12:35","11:38","S ERR","S ERR   Dynamo-VyatGU",
,"10:12:35","11:38","P","[15 : 11]   P   VC Tarkhan II",
,"10:12:51","11:54","Pt Conf","Pt Conf   VC Tarkhan II",
,"10:12:52","11:55","SRV","SRV   VC Tarkhan II",
,"10:12:53","11:56","RS","RS   VC Tarkhan II",
,"10:12:54","11:57","B POSS","B POSS   Dynamo-VyatGU",
,"10:12:56","11:59","K","K   Dynamo-VyatGU",
,"10:12:56","11:59","P","[15 : 12]   P   Dynamo-VyatGU",
,"10:13:13","12:16","Pt Conf","Pt Conf   Dynamo-VyatGU",
,"10:13:13","12:16","SRV","SRV   Dynamo-VyatGU",
,"10:13:17","12:20","RS","RS   Dynamo-VyatGU",
,"10:13:17","12:20","B POSS","B POSS   VC Tarkhan II",
