"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884028","USA","NCAA Women","10.10.2017 - 22:00","Xavier Musketeers (women/students)","Dayton Flyers (women/students)",
"Statistics","Xavier Musketeers (women/students)","Type","Dayton Flyers (women/students)",
,"0","Score","3",
,"51","Points","75",
,"0","Sets","3",
,"1","Aces","3",
,"5","Service errors","6",
,"30","Kills","39",
,"6","Blocks","7",
,"12","Errors","2",
,"9","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"21:32:50","00:00","Game conditions changed","Game conditions changed",
,"21:32:51","00:00","Players warming up","Players warming up",
,"21:45:59","00:00","Warm up at the net","Warm up at the net",
,"21:54:23","00:00","Jersey colours updated","Jersey colours updated",
,"21:54:24","00:00","Jersey colours updated","Jersey colours updated",
,"21:59:57","00:00","Coin flipping","Coin flipping",
,"22:00:01","00:00","National anthem singing","National anthem singing",
,"22:01:40","00:00","Players intro","Players intro",
,"22:04:38","00:00","Players lined up","Players lined up",
,"22:05:52","00:00","Shake hands","Shake hands",
,"22:05:58","00:00","Game about to start","Game about to start",
,"22:06:16","00:00","Start SRV","Start SRV   Xavier Musketeers (women/students)",
,"22:06:30","00:00","Start 1st Set","Start 1st Set",
,"22:06:31","00:01","SRV","SRV   Xavier Musketeers (women/students)",
,"22:06:34","00:03","S ERR","S ERR   Xavier Musketeers (women/students)",
,"22:06:34","00:03","P","[0 : 1]   P   Dayton Flyers (women/students)",
,"22:06:47","00:17","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:06:49","00:19","SRV","SRV   Dayton Flyers (women/students)",
,"22:06:53","00:23","A","A   Dayton Flyers (women/students)",
,"22:06:53","00:23","P","[0 : 2]   P   Dayton Flyers (women/students)",
,"22:07:05","00:35","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:07:08","00:38","SRV","SRV   Dayton Flyers (women/students)",
,"22:07:11","00:40","RS","RS   Dayton Flyers (women/students)",
,"22:07:12","00:42","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:07:30","01:00","OUT","OUT   Xavier Musketeers (women/students)",
,"22:07:30","01:00","P","[0 : 3]   P   Dayton Flyers (women/students)",
,"22:07:41","01:11","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:07:43","01:12","SRV","SRV   Dayton Flyers (women/students)",
,"22:07:45","01:14","S ERR","S ERR   Dayton Flyers (women/students)",
,"22:07:45","01:14","P","[1 : 3]   P   Xavier Musketeers (women/students)",
,"22:08:03","01:33","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:08:04","01:34","SRV","SRV   Xavier Musketeers (women/students)",
,"22:08:08","01:38","RS","RS   Xavier Musketeers (women/students)",
,"22:08:09","01:39","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:08:12","01:41","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:08:13","01:43","K","K   Xavier Musketeers (women/students)",
,"22:08:13","01:43","P","[2 : 3]   P   Xavier Musketeers (women/students)",
,"22:08:26","01:56","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:08:28","01:57","SRV","SRV   Xavier Musketeers (women/students)",
,"22:08:30","01:59","RS","RS   Xavier Musketeers (women/students)",
,"22:08:30","02:00","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:08:37","02:06","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:08:38","02:07","ERR","ERR   Xavier Musketeers (women/students)",
,"22:08:38","02:07","P","[2 : 4]   P   Dayton Flyers (women/students)",
,"22:08:47","02:17","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:08:48","02:18","SRV","SRV   Dayton Flyers (women/students)",
,"22:08:50","02:20","RS","RS   Dayton Flyers (women/students)",
,"22:08:51","02:21","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:08:54","02:24","K","K   Xavier Musketeers (women/students)",
,"22:08:54","02:24","P","[3 : 4]   P   Xavier Musketeers (women/students)",
,"22:09:06","02:36","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:09:07","02:37","SRV","SRV   Xavier Musketeers (women/students)",
,"22:09:12","02:41","RS","RS   Xavier Musketeers (women/students)",
,"22:09:13","02:42","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:09:17","02:46","K","K   Dayton Flyers (women/students)",
,"22:09:17","02:46","P","[3 : 5]   P   Dayton Flyers (women/students)",
,"22:09:33","03:02","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:09:34","03:03","SRV","SRV   Dayton Flyers (women/students)",
,"22:09:37","03:07","RS","RS   Dayton Flyers (women/students)",
,"22:09:38","03:08","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:09:41","03:11","OUT","OUT   Xavier Musketeers (women/students)",
,"22:09:41","03:11","P","[3 : 6]   P   Dayton Flyers (women/students)",
,"22:09:54","03:23","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:09:56","03:25","SRV","SRV   Dayton Flyers (women/students)",
,"22:09:57","03:27","RS","RS   Dayton Flyers (women/students)",
,"22:09:58","03:27","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:10:06","03:35","OUT","OUT   Xavier Musketeers (women/students)",
,"22:10:06","03:35","P","[3 : 7]   P   Dayton Flyers (women/students)",
,"22:10:18","03:47","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:10:19","03:48","SRV","SRV   Dayton Flyers (women/students)",
,"22:10:21","03:50","RS","RS   Dayton Flyers (women/students)",
,"22:10:21","03:51","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:10:24","03:53","K","K   Xavier Musketeers (women/students)",
,"22:10:24","03:53","P","[4 : 7]   P   Xavier Musketeers (women/students)",
,"22:10:46","04:16","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:10:49","04:18","SRV","SRV   Xavier Musketeers (women/students)",
,"22:10:52","04:22","RS","RS   Xavier Musketeers (women/students)",
,"22:10:53","04:23","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:10:57","04:26","K","K   Dayton Flyers (women/students)",
,"22:10:57","04:26","P","[4 : 8]   P   Dayton Flyers (women/students)",
,"22:11:08","04:38","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:11:10","04:39","SRV","SRV   Dayton Flyers (women/students)",
,"22:11:13","04:42","RS","RS   Dayton Flyers (women/students)",
,"22:11:14","04:43","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:11:17","04:47","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:11:22","04:51","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:11:23","04:52","K","K   Xavier Musketeers (women/students)",
,"22:11:23","04:52","P","[5 : 8]   P   Xavier Musketeers (women/students)",
,"22:11:40","05:10","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:11:41","05:11","SRV","SRV   Xavier Musketeers (women/students)",
,"22:11:43","05:12","RS","RS   Xavier Musketeers (women/students)",
,"22:11:43","05:13","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:11:47","05:17","OUT","OUT   Dayton Flyers (women/students)",
,"22:11:47","05:17","P","[6 : 8]   P   Xavier Musketeers (women/students)",
,"22:11:59","05:29","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:12:30","05:59","SRV","SRV   Xavier Musketeers (women/students)",
,"22:12:31","06:01","A","A   Xavier Musketeers (women/students)",
,"22:12:31","06:01","P","[7 : 8]   P   Xavier Musketeers (women/students)",
,"22:12:34","06:04","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:12:39","06:09","SRV","SRV   Xavier Musketeers (women/students)",
,"22:12:43","06:12","RS","RS   Xavier Musketeers (women/students)",
,"22:12:44","06:13","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:12:44","06:14","K","K   Dayton Flyers (women/students)",
,"22:12:44","06:14","P","[7 : 9]   P   Dayton Flyers (women/students)",
,"22:12:55","06:25","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:12:59","06:29","SRV","SRV   Dayton Flyers (women/students)",
,"22:13:03","06:33","RS","RS   Dayton Flyers (women/students)",
,"22:13:05","06:34","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:13:08","06:38","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:13:12","06:42","K","K   Dayton Flyers (women/students)",
,"22:13:12","06:42","P","[7 : 10]   P   Dayton Flyers (women/students)",
,"22:13:24","06:54","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:13:26","06:55","SRV","SRV   Dayton Flyers (women/students)",
,"22:13:27","06:57","RS","RS   Dayton Flyers (women/students)",
,"22:13:28","06:58","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:13:31","07:01","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:13:37","07:06","K","K   Dayton Flyers (women/students)",
,"22:13:37","07:06","P","[7 : 11]   P   Dayton Flyers (women/students)",
,"22:13:49","07:19","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:13:54","07:24","TIME","TIME",
,"22:14:02","07:32","TIME","TIME   Xavier Musketeers (women/students)",
,"22:15:14","08:44","SRV","SRV   Dayton Flyers (women/students)",
,"22:15:18","08:47","RS","RS   Dayton Flyers (women/students)",
,"22:15:19","08:48","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:15:24","08:54","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:15:30","09:00","K","K   Dayton Flyers (women/students)",
,"22:15:30","09:00","P","[7 : 12]   P   Dayton Flyers (women/students)",
,"22:15:42","09:11","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:15:43","09:12","SRV","SRV   Dayton Flyers (women/students)",
,"22:15:46","09:16","RS","RS   Dayton Flyers (women/students)",
,"22:15:47","09:17","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:15:48","09:18","K","K   Xavier Musketeers (women/students)",
,"22:15:48","09:18","P","[8 : 12]   P   Xavier Musketeers (women/students)",
,"22:15:59","09:28","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:15:59","09:29","SRV","SRV   Xavier Musketeers (women/students)",
,"22:16:02","09:32","RS","RS   Xavier Musketeers (women/students)",
,"22:16:03","09:33","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:16:07","09:37","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:16:09","09:39","ERR","ERR   Xavier Musketeers (women/students)",
,"22:16:09","09:39","P","[8 : 13]   P   Dayton Flyers (women/students)",
,"22:16:21","09:51","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:16:24","09:54","SRV","SRV   Dayton Flyers (women/students)",
,"22:16:26","09:56","RS","RS   Dayton Flyers (women/students)",
,"22:16:28","09:58","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:16:30","10:00","K","K   Xavier Musketeers (women/students)",
,"22:16:30","10:00","P","[9 : 13]   P   Xavier Musketeers (women/students)",
,"22:16:39","10:08","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:16:48","10:18","SRV","SRV   Xavier Musketeers (women/students)",
,"22:16:52","10:21","RS","RS   Xavier Musketeers (women/students)",
,"22:16:53","10:22","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:16:55","10:25","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:16:58","10:27","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:17:05","10:35","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:17:11","10:40","K","K   Xavier Musketeers (women/students)",
,"22:17:11","10:40","P","[10 : 13]   P   Xavier Musketeers (women/students)",
,"22:17:23","10:53","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:17:26","10:55","SRV","SRV   Xavier Musketeers (women/students)",
,"22:17:27","10:57","RS","RS   Xavier Musketeers (women/students)",
,"22:17:28","10:57","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:17:31","11:01","OUT","OUT   Dayton Flyers (women/students)",
,"22:17:31","11:01","P","[11 : 13]   P   Xavier Musketeers (women/students)",
,"22:17:42","11:11","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:17:43","11:13","SRV","SRV   Xavier Musketeers (women/students)",
,"22:17:48","11:18","S ERR","S ERR   Xavier Musketeers (women/students)",
,"22:17:48","11:18","P","[11 : 14]   P   Dayton Flyers (women/students)",
,"22:18:00","11:30","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:18:01","11:31","SRV","SRV   Dayton Flyers (women/students)",
,"22:18:05","11:34","RS","RS   Dayton Flyers (women/students)",
,"22:18:06","11:35","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:18:09","11:39","K","K   Xavier Musketeers (women/students)",
,"22:18:09","11:39","P","[12 : 14]   P   Xavier Musketeers (women/students)",
,"22:18:19","11:49","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:18:29","11:59","SRV","SRV   Xavier Musketeers (women/students)",
,"22:18:30","12:00","RS","RS   Xavier Musketeers (women/students)",
,"22:18:31","12:01","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:18:34","12:03","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:18:40","12:10","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:18:42","12:12","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:18:47","12:17","B","B   Dayton Flyers (women/students)",
,"22:18:47","12:17","P","[12 : 15]   P   Dayton Flyers (women/students)",
,"22:18:58","12:28","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:19:00","12:30","SRV","SRV   Dayton Flyers (women/students)",
,"22:19:05","12:35","RS","RS   Dayton Flyers (women/students)",
,"22:19:06","12:36","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:19:07","12:36","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:19:07","12:36","K","K   Dayton Flyers (women/students)",
,"22:19:07","12:36","P","[12 : 16]   P   Dayton Flyers (women/students)",
,"22:19:17","12:46","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:19:17","12:47","SRV","SRV   Dayton Flyers (women/students)",
,"22:19:21","12:51","RS","RS   Dayton Flyers (women/students)",
,"22:19:22","12:52","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:19:24","12:54","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:19:35","13:05","B","B   Xavier Musketeers (women/students)",
,"22:19:35","13:05","P","[13 : 16]   P   Xavier Musketeers (women/students)",
,"22:19:51","13:20","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:19:52","13:22","SRV","SRV   Xavier Musketeers (women/students)",
,"22:19:57","13:26","RS","RS   Xavier Musketeers (women/students)",
,"22:19:58","13:27","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:20:04","13:33","B","B   Xavier Musketeers (women/students)",
,"22:20:04","13:33","P","[14 : 16]   P   Xavier Musketeers (women/students)",
,"22:20:13","13:43","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:20:15","13:45","SRV","SRV   Xavier Musketeers (women/students)",
,"22:20:19","13:49","RS","RS   Xavier Musketeers (women/students)",
,"22:20:20","13:50","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:20:21","13:51","K","K   Xavier Musketeers (women/students)",
,"22:20:21","13:51","P","[15 : 16]   P   Xavier Musketeers (women/students)",
,"22:20:27","13:56","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:20:33","14:02","SRV","SRV   Xavier Musketeers (women/students)",
,"22:20:37","14:07","RS","RS   Xavier Musketeers (women/students)",
,"22:20:38","14:08","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:20:41","14:11","K","K   Dayton Flyers (women/students)",
,"22:20:41","14:11","P","[15 : 17]   P   Dayton Flyers (women/students)",
,"22:20:50","14:20","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:21:02","14:31","SRV","SRV   Dayton Flyers (women/students)",
,"22:21:06","14:36","RS","RS   Dayton Flyers (women/students)",
,"22:21:07","14:37","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:21:11","14:41","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:21:12","14:42","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:21:15","14:44","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:21:20","14:49","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:21:27","14:57","OUT","OUT   Xavier Musketeers (women/students)",
,"22:21:27","14:57","P","[15 : 18]   P   Dayton Flyers (women/students)",
,"22:21:39","15:08","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:21:41","15:10","SRV","SRV   Dayton Flyers (women/students)",
,"22:21:46","15:15","RS","RS   Dayton Flyers (women/students)",
,"22:21:47","15:16","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:21:48","15:17","ERR","ERR   Xavier Musketeers (women/students)",
,"22:21:48","15:17","P","[15 : 19]   P   Dayton Flyers (women/students)",
,"22:22:00","15:30","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:22:01","15:31","SRV","SRV   Dayton Flyers (women/students)",
,"22:22:05","15:35","RS","RS   Dayton Flyers (women/students)",
,"22:22:06","15:36","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:22:08","15:38","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:22:09","15:39","K","K   Dayton Flyers (women/students)",
,"22:22:09","15:39","P","[15 : 20]   P   Dayton Flyers (women/students)",
,"22:22:17","15:47","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:22:19","15:48","TIME","TIME",
,"22:22:19","15:49","TIME","TIME   Xavier Musketeers (women/students)",
,"22:23:54","17:24","SRV","SRV   Dayton Flyers (women/students)",
,"22:23:58","17:28","RS","RS   Dayton Flyers (women/students)",
,"22:23:59","17:29","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:24:00","17:30","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:24:11","17:41","K","K   Dayton Flyers (women/students)",
,"22:24:11","17:41","P","[15 : 21]   P   Dayton Flyers (women/students)",
,"22:24:21","17:51","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:24:24","17:54","SRV","SRV   Dayton Flyers (women/students)",
,"22:24:27","17:57","RS","RS   Dayton Flyers (women/students)",
,"22:24:28","17:57","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:24:31","18:01","ERR","ERR   Xavier Musketeers (women/students)",
,"22:24:31","18:01","P","[15 : 22]   P   Dayton Flyers (women/students)",
,"22:24:47","18:17","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:24:49","18:18","SRV","SRV   Dayton Flyers (women/students)",
,"22:24:53","18:23","RS","RS   Dayton Flyers (women/students)",
,"22:24:55","18:24","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:25:01","18:31","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:25:02","18:32","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:25:03","18:33","K","K   Xavier Musketeers (women/students)",
,"22:25:03","18:33","P","[16 : 22]   P   Xavier Musketeers (women/students)",
,"22:25:13","18:42","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:25:26","18:56","SRV","SRV   Xavier Musketeers (women/students)",
,"22:25:29","18:59","RS","RS   Xavier Musketeers (women/students)",
,"22:25:31","19:00","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:25:34","19:04","K","K   Dayton Flyers (women/students)",
,"22:25:34","19:04","P","[16 : 23]   P   Dayton Flyers (women/students)",
,"22:25:51","19:21","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:25:57","19:27","SRV","SRV   Dayton Flyers (women/students)",
,"22:26:02","19:32","RS","RS   Dayton Flyers (women/students)",
,"22:26:03","19:33","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:26:04","19:34","K","K   Xavier Musketeers (women/students)",
,"22:26:04","19:34","P","[17 : 23]   P   Xavier Musketeers (women/students)",
,"22:26:18","19:48","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:26:20","19:50","SRV","SRV   Xavier Musketeers (women/students)",
,"22:26:23","19:53","RS","RS   Xavier Musketeers (women/students)",
,"22:26:24","19:54","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:26:24","19:54","K","K   Dayton Flyers (women/students)",
,"22:26:24","19:54","P","[17 : 24]   P   Dayton Flyers (women/students)",
,"22:26:35","20:05","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:26:39","20:09","SRV","SRV   Dayton Flyers (women/students)",
,"22:26:43","20:12","RS","RS   Dayton Flyers (women/students)",
,"22:26:44","20:13","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:26:46","20:16","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:26:49","20:19","K","K   Dayton Flyers (women/students)",
,"22:26:49","20:19","P","[17 : 25]   P   Dayton Flyers (women/students)",
,"22:27:00","20:29","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:27:01","20:31","S","S   Dayton Flyers (women/students)",
,"22:27:01","20:31","Stop Set","Stop Set",
,"22:27:06","20:36","Score of last period confirmed","Score of last period confirmed",
,"22:30:32","24:02","Game about to start","Game about to start",
,"22:31:07","24:37","Start SRV","Start SRV   Dayton Flyers (women/students)",
,"22:31:09","24:38","Start 2nd Set","Start 2nd Set",
,"22:31:09","24:38","SRV","SRV   Dayton Flyers (women/students)",
,"22:31:12","24:42","RS","RS   Dayton Flyers (women/students)",
,"22:31:12","24:42","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:31:15","24:45","ERR","ERR   Xavier Musketeers (women/students)",
,"22:31:15","24:45","P","[0 : 1]   P   Dayton Flyers (women/students)",
,"22:31:25","24:54","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:31:28","24:58","SRV","SRV   Dayton Flyers (women/students)",
,"22:31:31","25:01","RS","RS   Dayton Flyers (women/students)",
,"22:31:32","25:02","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:31:36","25:06","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:31:38","25:07","K","K   Dayton Flyers (women/students)",
,"22:31:38","25:07","P","[0 : 2]   P   Dayton Flyers (women/students)",
,"22:32:03","25:32","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:32:03","25:33","SRV","SRV   Dayton Flyers (women/students)",
,"22:32:07","25:36","RS","RS   Dayton Flyers (women/students)",
,"22:32:08","25:37","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:32:09","25:38","OUT","OUT   Xavier Musketeers (women/students)",
,"22:32:09","25:38","P","[0 : 3]   P   Dayton Flyers (women/students)",
,"22:32:16","25:46","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:32:19","25:49","SRV","SRV   Dayton Flyers (women/students)",
,"22:32:28","25:58","RS","RS   Dayton Flyers (women/students)",
,"22:32:29","25:59","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:32:30","26:00","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:32:31","26:01","OUT","OUT   Dayton Flyers (women/students)",
,"22:32:31","26:01","P","[1 : 3]   P   Xavier Musketeers (women/students)",
,"22:32:46","26:16","Pt Conf","Pt Conf   Xavier Musketeers (women/students)",
,"22:32:48","26:18","SRV","SRV   Xavier Musketeers (women/students)",
,"22:32:52","26:21","RS","RS   Xavier Musketeers (women/students)",
,"22:32:53","26:22","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:33:06","26:35","K","K   Dayton Flyers (women/students)",
,"22:33:06","26:35","P","[1 : 4]   P   Dayton Flyers (women/students)",
,"22:33:26","26:56","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:33:27","26:57","SRV","SRV   Dayton Flyers (women/students)",
,"22:33:33","27:03","RS","RS   Dayton Flyers (women/students)",
,"22:33:34","27:04","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:33:35","27:04","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:33:35","27:05","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:33:42","27:11","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:33:43","27:12","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:33:45","27:14","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:33:45","27:14","Rally over 5 possession changes","Rally over 5 possession changes",
,"22:33:50","27:20","K","K   Dayton Flyers (women/students)",
,"22:33:50","27:20","P","[1 : 5]   P   Dayton Flyers (women/students)",
,"22:34:01","27:30","Pt Conf","Pt Conf   Dayton Flyers (women/students)",
,"22:34:02","27:32","SRV","SRV   Dayton Flyers (women/students)",
,"22:34:07","27:36","RS","RS   Dayton Flyers (women/students)",
,"22:34:08","27:37","B POSS","B POSS   Xavier Musketeers (women/students)",
,"22:34:14","27:44","B POSS","B POSS   Dayton Flyers (women/students)",
,"22:34:15","27:45","B POSS","B POSS   Xavier Musketeers (women/students)",
