"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888326","Vietnam","Premier League U20 (men)","10.10.2017 - 09:00","Long An U20","TP Ho Chi Minh U20",
"Statistics","Long An U20","Type","TP Ho Chi Minh U20",
,"3","Score","2",
,"102","Points","109",
,"3","Sets","2",
,"13","Aces","9",
,"9","Service errors","9",
,"68","Kills","81",
,"9","Blocks","4",
,"2","Errors","0",
,"4","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:18:28","00:00","Players warming up","Players warming up",
,"08:18:31","00:00","Game conditions changed","Game conditions changed",
,"08:29:37","00:00","Coin flipping","Coin flipping",
,"08:29:39","00:00","Players lined up","Players lined up",
,"08:29:52","00:00","Jersey colours updated","Jersey colours updated",
,"08:29:53","00:00","Jersey colours updated","Jersey colours updated",
,"08:41:24","00:00","Warm up at the net","Warm up at the net",
,"08:53:08","00:00","Players intro","Players intro",
,"08:54:14","00:00","Game about to start","Game about to start",
,"08:54:17","00:00","Start SRV","Start SRV   Long An U20",
,"08:54:19","00:00","Start 1st Set","Start 1st Set",
,"08:54:20","00:00","SRV","SRV   Long An U20",
,"08:54:22","00:02","RS","RS   Long An U20",
,"08:54:23","00:03","B POSS","B POSS   TP Ho Chi Minh U20",
,"08:54:27","00:07","K","K   TP Ho Chi Minh U20",
,"08:54:27","00:07","P","[0 : 1]   P   TP Ho Chi Minh U20",
,"08:54:40","00:21","Pt Conf","Pt Conf   TP Ho Chi Minh U20",
,"08:54:41","00:22","SRV","SRV   TP Ho Chi Minh U20",
,"08:54:43","00:23","RS","RS   TP Ho Chi Minh U20",
,"08:54:43","00:23","B POSS","B POSS   Long An U20",
,"08:54:44","00:25","B POSS","B POSS   TP Ho Chi Minh U20",
,"08:54:53","00:33","B POSS","B POSS   Long An U20",
,"08:54:54","00:34","K","K   Long An U20",
,"08:54:54","00:34","P","[1 : 1]   P   Long An U20",
,"08:55:04","00:44","Pt Conf","Pt Conf   Long An U20",
,"08:55:06","00:47","SRV","SRV   Long An U20",
,"08:55:13","00:54","A","A   Long An U20",
,"08:55:13","00:54","P","[2 : 1]   P   Long An U20",
,"08:55:24","01:05","Pt Conf","Pt Conf   Long An U20",
,"08:55:26","01:06","SRV","SRV   Long An U20",
,"08:55:27","01:07","RS","RS   Long An U20",
,"08:55:28","01:09","B POSS","B POSS   TP Ho Chi Minh U20",
,"08:55:31","01:12","K","K   TP Ho Chi Minh U20",
,"08:55:31","01:12","P","[2 : 2]   P   TP Ho Chi Minh U20",
,"08:55:39","01:19","Pt Conf","Pt Conf   TP Ho Chi Minh U20",
,"08:55:47","01:28","SRV","SRV   TP Ho Chi Minh U20",
