"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885782","Argentina","Liga de Honor (women)","11.10.2017 - 00:30","UNLaM (women)","Villa Ideal Avellaneda (women)",
"Statistics","UNLaM (women)","Type","Villa Ideal Avellaneda (women)",
,"3","Score","0",
,"75","Points","57",
,"3","Sets","0",
,"0","Aces","4",
,"11","Service errors","6",
,"49","Kills","23",
,"2","Blocks","2",
,"10","Errors","10",
,"5","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","2",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"23:30:56","00:00","Game conditions changed","Game conditions changed",
,"23:57:19","00:00","Players warming up","Players warming up",
,"00:11:41","00:00","Jersey colours updated","Jersey colours updated",
,"00:11:43","00:00","Jersey colours updated","Jersey colours updated",
,"00:11:54","00:00","Jersey colours updated","Jersey colours updated",
,"00:19:21","00:00","Coin flipping","Coin flipping",
,"00:19:23","00:00","Warm up at the net","Warm up at the net",
,"00:27:08","00:00","Players lined up","Players lined up",
,"00:27:15","00:00","Shake hands","Shake hands",
,"00:27:50","00:00","Players intro","Players intro",
,"00:30:58","00:00","Game about to start","Game about to start",
,"00:31:16","00:00","Start SRV","Start SRV   Villa Ideal Avellaneda (women)",
,"00:31:22","00:00","Start 1st Set","Start 1st Set",
,"00:31:25","00:03","SRV","SRV   Villa Ideal Avellaneda (women)",
,"00:31:26","00:04","RS","RS   Villa Ideal Avellaneda (women)",
,"00:31:26","00:04","B POSS","B POSS   UNLaM (women)",
,"00:31:27","00:04","K","K   UNLaM (women)",
,"00:31:27","00:04","P","[1 : 0]   P   UNLaM (women)",
,"00:31:38","00:16","Pt Conf","Pt Conf   UNLaM (women)",
,"00:31:43","00:21","SRV","SRV   UNLaM (women)",
,"00:31:46","00:24","RS","RS   UNLaM (women)",
,"00:31:46","00:24","B POSS","B POSS   Villa Ideal Avellaneda (women)",
,"00:31:49","00:27","B POSS","B POSS   UNLaM (women)",
,"00:31:53","00:31","K","K   UNLaM (women)",
,"00:31:53","00:31","P","[2 : 0]   P   UNLaM (women)",
,"00:32:06","00:44","Pt Conf","Pt Conf   UNLaM (women)",
,"00:32:15","00:53","SRV","SRV   UNLaM (women)",
,"00:32:16","00:54","RS","RS   UNLaM (women)",
,"00:32:16","00:54","B POSS","B POSS   Villa Ideal Avellaneda (women)",
,"00:32:23","01:01","B POSS","B POSS   UNLaM (women)",
,"00:32:32","01:10","B","B   Villa Ideal Avellaneda (women)",
,"00:32:32","01:10","P","[2 : 1]   P   Villa Ideal Avellaneda (women)",
,"00:32:43","01:21","Pt Conf","Pt Conf   Villa Ideal Avellaneda (women)",
,"00:32:53","01:30","SRV","SRV   Villa Ideal Avellaneda (women)",
,"00:32:55","01:33","RS","RS   Villa Ideal Avellaneda (women)",
,"00:32:55","01:33","B POSS","B POSS   UNLaM (women)",
,"00:33:00","01:38","B POSS","B POSS   Villa Ideal Avellaneda (women)",
,"00:33:03","01:40","B POSS","B POSS   UNLaM (women)",
,"00:33:07","01:45","B POSS","B POSS   Villa Ideal Avellaneda (women)",
,"00:33:10","01:48","ERR","ERR   Villa Ideal Avellaneda (women)",
,"00:33:10","01:48","P","[3 : 1]   P   UNLaM (women)",
,"00:33:21","01:59","Pt Conf","Pt Conf   UNLaM (women)",
,"00:33:40","02:18","Updating score","Updating score",
,"00:33:40","02:18","Statistic confirmation","Statistic confirmation",
,"00:33:40","02:18","Score updated","Score updated",
,"00:33:40","02:18","SRV","SRV   UNLaM (women)",
,"00:33:40","02:18","S ERR","S ERR   UNLaM (women)",
,"00:33:40","02:18","P","[3 : 2]   P   Villa Ideal Avellaneda (women)",
,"00:33:40","02:18","Danger","Danger",
,"00:33:40","02:18","Scout offline","Scout offline",
,"00:33:47","02:25","Updating score","Updating score",
,"00:33:50","02:28","P UM","P UM   Villa Ideal Avellaneda (women)",
,"00:33:50","02:28","P","[3 : 3]   P   Villa Ideal Avellaneda (women)",
,"00:33:50","02:28","Score updated","Score updated",
,"00:33:51","02:29","SRV","SRV   Villa Ideal Avellaneda (women)",
,"00:33:53","02:30","RS","RS   Villa Ideal Avellaneda (women)",
,"00:33:53","02:30","B POSS","B POSS   UNLaM (women)",
,"00:33:56","02:33","K","K   UNLaM (women)",
,"00:33:56","02:33","P","[4 : 3]   P   UNLaM (women)",
,"00:34:17","02:55","Updating score","Updating score",
,"00:34:21","02:59","Correct statistics","Correct statistics   (P UM Villa Ideal Avellaneda (women))",
,"00:34:21","02:59","CP","[4 : 2]   CP   Villa Ideal Avellaneda (women)",
,"00:34:22","03:00","Score updated","Score updated",
,"00:34:24","03:02","SRV","SRV   UNLaM (women)",
,"00:34:26","03:04","RS","RS   UNLaM (women)",
,"00:34:26","03:04","B POSS","B POSS   Villa Ideal Avellaneda (women)",
,"00:34:30","03:08","B POSS","B POSS   UNLaM (women)",
,"00:34:32","03:10","B POSS","B POSS   Villa Ideal Avellaneda (women)",
,"00:34:35","03:12","K","K   UNLaM (women)",
,"00:34:35","03:12","P","[5 : 2]   P   UNLaM (women)",
,"00:34:48","03:25","Pt Conf","Pt Conf   UNLaM (women)",
,"00:34:55","03:33","SRV","SRV   UNLaM (women)",
,"00:34:59","03:36","RS","RS   UNLaM (women)",
