"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885103","Czech Republic","Czech Cup (men)","11.10.2017 - 17:00","TJ Sokol Bucovice","CZU Praha",
"Statistics","TJ Sokol Bucovice","Type","CZU Praha",
,"1","Score","3",
,"73","Points","99",
,"1","Sets","3",
,"6","Aces","23",
,"15","Service errors","16",
,"34","Kills","36",
,"2","Blocks","6",
,"5","Errors","6",
,"14","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:32:22","00:00","Game conditions changed","Game conditions changed",
,"16:32:23","00:00","Players warming up","Players warming up",
,"16:43:33","00:00","Game conditions changed","Game conditions changed",
,"16:44:27","00:00","Coin flipping","Coin flipping",
,"16:44:54","00:00","Warm up at the net","Warm up at the net",
,"16:45:31","00:00","Jersey colours updated","Jersey colours updated",
,"16:45:31","00:00","Jersey colours updated","Jersey colours updated",
,"16:45:37","00:00","Game conditions changed","Game conditions changed",
,"16:55:54","00:00","Players intro","Players intro",
,"16:56:59","00:00","Players lined up","Players lined up",
,"16:57:16","00:00","Shake hands","Shake hands",
,"16:59:59","00:00","Game about to start","Game about to start",
,"17:01:04","00:00","Start SRV","Start SRV   CZU Praha",
,"17:01:09","00:00","Start 1st Set","Start 1st Set",
,"17:01:09","00:00","SRV","SRV   CZU Praha",
,"17:01:12","00:02","RS","RS   CZU Praha",
,"17:01:12","00:02","B POSS","B POSS   TJ Sokol Bucovice",
,"17:01:17","00:07","K","K   TJ Sokol Bucovice",
,"17:01:17","00:07","P","[1 : 0]   P   TJ Sokol Bucovice",
,"17:01:28","00:18","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:01:37","00:27","SRV","SRV   TJ Sokol Bucovice",
,"17:01:42","00:32","S ERR","S ERR   TJ Sokol Bucovice",
,"17:01:42","00:32","P","[1 : 1]   P   CZU Praha",
,"17:01:49","00:39","Pt Conf","Pt Conf   CZU Praha",
,"17:01:56","00:46","SRV","SRV   CZU Praha",
,"17:02:01","00:52","A","A   CZU Praha",
,"17:02:01","00:52","P","[1 : 2]   P   CZU Praha",
,"17:02:09","00:59","Pt Conf","Pt Conf   CZU Praha",
,"17:02:17","01:07","SRV","SRV   CZU Praha",
,"17:02:20","01:10","RS","RS   CZU Praha",
,"17:02:20","01:10","B POSS","B POSS   TJ Sokol Bucovice",
,"17:02:24","01:14","K","K   TJ Sokol Bucovice",
,"17:02:24","01:14","P","[2 : 2]   P   TJ Sokol Bucovice",
,"17:02:38","01:28","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:02:45","01:35","SRV","SRV   TJ Sokol Bucovice",
,"17:02:49","01:39","RS","RS   TJ Sokol Bucovice",
,"17:02:49","01:39","B POSS","B POSS   CZU Praha",
,"17:02:51","01:41","B POSS","B POSS   TJ Sokol Bucovice",
,"17:02:53","01:43","B POSS","B POSS   CZU Praha",
,"17:02:55","01:45","K","K   CZU Praha",
,"17:02:55","01:45","P","[2 : 3]   P   CZU Praha",
,"17:03:04","01:54","Pt Conf","Pt Conf   CZU Praha",
,"17:03:11","02:01","SRV","SRV   CZU Praha",
,"17:03:15","02:05","S ERR","S ERR   CZU Praha",
,"17:03:15","02:05","P","[3 : 3]   P   TJ Sokol Bucovice",
,"17:03:25","02:16","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:03:35","02:25","SRV","SRV   TJ Sokol Bucovice",
,"17:03:38","02:29","RS","RS   TJ Sokol Bucovice",
,"17:03:39","02:29","B POSS","B POSS   CZU Praha",
,"17:03:42","02:32","OUT","OUT   CZU Praha",
,"17:03:42","02:32","P","[4 : 3]   P   TJ Sokol Bucovice",
,"17:03:49","02:40","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:03:58","02:49","SRV","SRV   TJ Sokol Bucovice",
,"17:04:02","02:52","RS","RS   TJ Sokol Bucovice",
,"17:04:02","02:52","B POSS","B POSS   CZU Praha",
,"17:04:05","02:55","B POSS","B POSS   TJ Sokol Bucovice",
,"17:04:09","02:59","K","K   TJ Sokol Bucovice",
,"17:04:09","02:59","P","[5 : 3]   P   TJ Sokol Bucovice",
,"17:04:18","03:08","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:04:28","03:18","SRV","SRV   TJ Sokol Bucovice",
,"17:04:31","03:21","RS","RS   TJ Sokol Bucovice",
,"17:04:31","03:21","B POSS","B POSS   CZU Praha",
,"17:04:33","03:23","B POSS","B POSS   TJ Sokol Bucovice",
,"17:04:35","03:25","B POSS","B POSS   CZU Praha",
,"17:04:39","03:29","K","K   CZU Praha",
,"17:04:39","03:29","P","[5 : 4]   P   CZU Praha",
,"17:04:47","03:37","Pt Conf","Pt Conf   CZU Praha",
,"17:04:57","03:48","SRV","SRV   CZU Praha",
,"17:05:00","03:50","RS","RS   CZU Praha",
,"17:05:00","03:50","B POSS","B POSS   TJ Sokol Bucovice",
,"17:05:02","03:52","B POSS","B POSS   CZU Praha",
,"17:05:04","03:54","B POSS","B POSS   TJ Sokol Bucovice",
,"17:05:13","04:03","K","K   CZU Praha",
,"17:05:13","04:03","P","[5 : 5]   P   CZU Praha",
,"17:05:17","04:07","Pt Conf","Pt Conf   CZU Praha",
,"17:05:29","04:19","SRV","SRV   CZU Praha",
,"17:05:32","04:22","RS","RS   CZU Praha",
,"17:05:32","04:22","B POSS","B POSS   TJ Sokol Bucovice",
,"17:05:36","04:26","OUT","OUT   TJ Sokol Bucovice",
,"17:05:36","04:26","P","[5 : 6]   P   CZU Praha",
,"17:05:43","04:33","Pt Conf","Pt Conf   CZU Praha",
,"17:05:52","04:42","SRV","SRV   CZU Praha",
,"17:05:54","04:44","RS","RS   CZU Praha",
,"17:05:54","04:45","B POSS","B POSS   TJ Sokol Bucovice",
,"17:05:58","04:48","K","K   TJ Sokol Bucovice",
,"17:05:58","04:48","P","[6 : 6]   P   TJ Sokol Bucovice",
,"17:06:09","05:00","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:06:14","05:04","SRV","SRV   TJ Sokol Bucovice",
,"17:06:18","05:08","S ERR","S ERR   TJ Sokol Bucovice",
,"17:06:18","05:08","P","[6 : 7]   P   CZU Praha",
,"17:06:22","05:12","Pt Conf","Pt Conf   CZU Praha",
,"17:06:34","05:24","SRV","SRV   CZU Praha",
,"17:06:37","05:27","RS","RS   CZU Praha",
,"17:06:37","05:27","B POSS","B POSS   TJ Sokol Bucovice",
,"17:06:39","05:29","K","K   TJ Sokol Bucovice",
,"17:06:39","05:29","P","[7 : 7]   P   TJ Sokol Bucovice",
,"17:06:47","05:37","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:06:57","05:47","SRV","SRV   TJ Sokol Bucovice",
,"17:07:00","05:50","RS","RS   TJ Sokol Bucovice",
,"17:07:00","05:50","B POSS","B POSS   CZU Praha",
,"17:07:03","05:53","K","K   CZU Praha",
,"17:07:03","05:53","P","[7 : 8]   P   CZU Praha",
,"17:07:11","06:01","Pt Conf","Pt Conf   CZU Praha",
,"17:07:12","06:02","TIME","TIME",
,"17:07:13","06:03","TTO","TTO",
,"17:08:10","07:00","SRV","SRV   CZU Praha",
,"17:08:13","07:03","RS","RS   CZU Praha",
,"17:08:13","07:03","B POSS","B POSS   TJ Sokol Bucovice",
,"17:08:17","07:07","B","B   CZU Praha",
,"17:08:17","07:07","P","[7 : 9]   P   CZU Praha",
,"17:08:27","07:18","Pt Conf","Pt Conf   CZU Praha",
,"17:08:33","07:23","SRV","SRV   CZU Praha",
,"17:08:36","07:26","RS","RS   CZU Praha",
,"17:08:36","07:26","B POSS","B POSS   TJ Sokol Bucovice",
,"17:08:40","07:30","K","K   TJ Sokol Bucovice",
,"17:08:40","07:30","P","[8 : 9]   P   TJ Sokol Bucovice",
,"17:08:46","07:36","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:08:54","07:44","SRV","SRV   TJ Sokol Bucovice",
,"17:08:57","07:47","RS","RS   TJ Sokol Bucovice",
,"17:08:57","07:47","B POSS","B POSS   CZU Praha",
,"17:09:01","07:51","B","B   TJ Sokol Bucovice",
,"17:09:01","07:51","P","[9 : 9]   P   TJ Sokol Bucovice",
,"17:09:10","08:00","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:09:16","08:06","SRV","SRV   TJ Sokol Bucovice",
,"17:09:18","08:09","RS","RS   TJ Sokol Bucovice",
,"17:09:19","08:09","B POSS","B POSS   CZU Praha",
,"17:09:23","08:13","ERR","ERR   CZU Praha",
,"17:09:23","08:13","P","[10 : 9]   P   TJ Sokol Bucovice",
,"17:09:32","08:22","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:09:36","08:26","SRV","SRV   TJ Sokol Bucovice",
,"17:09:38","08:29","RS","RS   TJ Sokol Bucovice",
,"17:09:39","08:29","B POSS","B POSS   CZU Praha",
,"17:09:43","08:33","K","K   CZU Praha",
,"17:09:43","08:33","P","[10 : 10]   P   CZU Praha",
,"17:09:48","08:38","Pt Conf","Pt Conf   CZU Praha",
,"17:09:59","08:49","SRV","SRV   CZU Praha",
,"17:10:02","08:52","S ERR","S ERR   CZU Praha",
,"17:10:02","08:52","P","[11 : 10]   P   TJ Sokol Bucovice",
,"17:10:06","08:56","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:10:18","09:08","SRV","SRV   TJ Sokol Bucovice",
,"17:10:21","09:12","RS","RS   TJ Sokol Bucovice",
,"17:10:22","09:12","B POSS","B POSS   CZU Praha",
,"17:10:27","09:17","K","K   CZU Praha",
,"17:10:27","09:17","P","[11 : 11]   P   CZU Praha",
,"17:10:37","09:27","Pt Conf","Pt Conf   CZU Praha",
,"17:10:46","09:37","SRV","SRV   CZU Praha",
,"17:10:49","09:39","RS","RS   CZU Praha",
,"17:10:49","09:40","B POSS","B POSS   TJ Sokol Bucovice",
,"17:10:52","09:42","B POSS","B POSS   CZU Praha",
,"17:10:57","09:47","K","K   CZU Praha",
,"17:10:57","09:47","P","[11 : 12]   P   CZU Praha",
,"17:11:08","09:58","Pt Conf","Pt Conf   CZU Praha",
,"17:11:23","10:13","SRV","SRV   CZU Praha",
,"17:11:26","10:16","RS","RS   CZU Praha",
,"17:11:26","10:16","B POSS","B POSS   TJ Sokol Bucovice",
,"17:11:29","10:19","K","K   TJ Sokol Bucovice",
,"17:11:29","10:19","P","[12 : 12]   P   TJ Sokol Bucovice",
,"17:11:35","10:25","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:11:55","10:45","SRV","SRV   TJ Sokol Bucovice",
,"17:11:59","10:49","S ERR","S ERR   TJ Sokol Bucovice",
,"17:11:59","10:49","P","[12 : 13]   P   CZU Praha",
,"17:12:04","10:54","Pt Conf","Pt Conf   CZU Praha",
,"17:12:13","11:03","SRV","SRV   CZU Praha",
,"17:12:16","11:06","RS","RS   CZU Praha",
,"17:12:16","11:06","B POSS","B POSS   TJ Sokol Bucovice",
,"17:12:19","11:09","B POSS","B POSS   CZU Praha",
,"17:12:19","11:09","B POSS","B POSS   TJ Sokol Bucovice",
,"17:12:21","11:11","B POSS","B POSS   CZU Praha",
,"17:12:26","11:16","B","B   TJ Sokol Bucovice",
,"17:12:26","11:16","P","[13 : 13]   P   TJ Sokol Bucovice",
,"17:12:33","11:23","Pt Conf","Pt Conf   TJ Sokol Bucovice",
,"17:12:47","11:37","SRV","SRV   TJ Sokol Bucovice",
,"17:12:50","11:40","RS","RS   TJ Sokol Bucovice",
,"17:12:50","11:40","B POSS","B POSS   CZU Praha",
,"17:12:54","11:44","K","K   CZU Praha",
,"17:12:54","11:44","P","[13 : 14]   P   CZU Praha",
,"17:13:01","11:51","Pt Conf","Pt Conf   CZU Praha",
,"17:13:14","12:04","SRV","SRV   CZU Praha",
,"17:13:17","12:07","RS","RS   CZU Praha",
,"17:13:17","12:07","B POSS","B POSS   TJ Sokol Bucovice",
,"17:13:20","12:10","K","K   TJ Sokol Bucovice",
,"17:13:20","12:10","P","[14 : 14]   P   TJ Sokol Bucovice",
