"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"885104","Czech Republic","Czech Cup (men)","11.10.2017 - 17:00","TJ Turnov","AERO Odolena Voda",
"Statistics","TJ Turnov","Type","AERO Odolena Voda",
,"0","Score","3",
,"46","Points","75",
,"0","Sets","3",
,"3","Aces","10",
,"11","Service errors","13",
,"20","Kills","37",
,"4","Blocks","5",
,"8","Errors","2",
,"4","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:41:05","00:00","Game conditions changed","Game conditions changed",
,"16:41:06","00:00","Players warming up","Players warming up",
,"16:44:12","00:00","Coin flipping","Coin flipping",
,"16:44:16","00:00","Warm up at the net","Warm up at the net",
,"16:44:54","00:00","Jersey colours updated","Jersey colours updated",
,"16:44:55","00:00","Jersey colours updated","Jersey colours updated",
,"16:55:23","00:00","Players lined up","Players lined up",
,"16:56:02","00:00","Shake hands","Shake hands",
,"16:56:31","00:00","Players intro","Players intro",
,"16:57:47","00:00","Game about to start","Game about to start",
,"16:58:20","00:00","Start SRV","Start SRV   TJ Turnov",
,"16:58:32","00:00","Start 1st Set","Start 1st Set",
,"16:58:33","00:00","SRV","SRV   TJ Turnov",
,"16:58:34","00:02","RS","RS   TJ Turnov",
,"16:58:35","00:02","B POSS","B POSS   AERO Odolena Voda",
,"16:58:41","00:08","ERR","ERR   TJ Turnov",
,"16:58:41","00:08","P","[0 : 1]   P   AERO Odolena Voda",
,"16:58:51","00:19","Pt Conf","Pt Conf   AERO Odolena Voda",
,"16:58:56","00:24","SRV","SRV   AERO Odolena Voda",
,"16:59:00","00:27","RS","RS   AERO Odolena Voda",
,"16:59:00","00:28","B POSS","B POSS   TJ Turnov",
,"16:59:06","00:34","K","K   TJ Turnov",
,"16:59:06","00:34","P","[1 : 1]   P   TJ Turnov",
,"16:59:23","00:51","Pt Conf","Pt Conf   TJ Turnov",
,"16:59:30","00:58","SRV","SRV   TJ Turnov",
,"16:59:33","01:00","RS","RS   TJ Turnov",
,"16:59:33","01:01","B POSS","B POSS   AERO Odolena Voda",
,"16:59:37","01:04","K","K   AERO Odolena Voda",
,"16:59:37","01:04","P","[1 : 2]   P   AERO Odolena Voda",
,"16:59:49","01:17","Pt Conf","Pt Conf   AERO Odolena Voda",
,"16:59:50","01:17","SRV","SRV   AERO Odolena Voda",
,"16:59:53","01:21","A","A   AERO Odolena Voda",
,"16:59:53","01:21","P","[1 : 3]   P   AERO Odolena Voda",
,"17:00:06","01:33","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:00:08","01:35","SRV","SRV   AERO Odolena Voda",
,"17:00:11","01:38","RS","RS   AERO Odolena Voda",
,"17:00:11","01:38","B POSS","B POSS   TJ Turnov",
,"17:00:16","01:43","B POSS","B POSS   AERO Odolena Voda",
,"17:00:20","01:47","K","K   AERO Odolena Voda",
,"17:00:20","01:47","P","[1 : 4]   P   AERO Odolena Voda",
,"17:00:31","01:58","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:00:36","02:03","SRV","SRV   AERO Odolena Voda",
,"17:00:39","02:07","RS","RS   AERO Odolena Voda",
,"17:00:40","02:08","B POSS","B POSS   TJ Turnov",
,"17:00:44","02:11","B POSS","B POSS   AERO Odolena Voda",
,"17:00:44","02:12","B POSS","B POSS   TJ Turnov",
,"17:00:48","02:16","B POSS","B POSS   AERO Odolena Voda",
,"17:00:53","02:20","B POSS","B POSS   TJ Turnov",
,"17:00:57","02:25","B POSS","B POSS   AERO Odolena Voda",
,"17:00:57","02:25","Rally over 5 possession changes","Rally over 5 possession changes",
,"17:01:06","02:34","OUT","OUT   AERO Odolena Voda",
,"17:01:06","02:34","P","[2 : 4]   P   TJ Turnov",
,"17:01:24","02:51","Pt Conf","Pt Conf   TJ Turnov",
,"17:01:32","03:00","SRV","SRV   TJ Turnov",
,"17:01:36","03:03","RS","RS   TJ Turnov",
,"17:01:36","03:04","B POSS","B POSS   AERO Odolena Voda",
,"17:01:39","03:07","K","K   AERO Odolena Voda",
,"17:01:39","03:07","P","[2 : 5]   P   AERO Odolena Voda",
,"17:01:54","03:21","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:02:00","03:27","SRV","SRV   AERO Odolena Voda",
,"17:02:02","03:30","S ERR","S ERR   AERO Odolena Voda",
,"17:02:02","03:30","P","[3 : 5]   P   TJ Turnov",
,"17:02:13","03:40","Pt Conf","Pt Conf   TJ Turnov",
,"17:02:19","03:47","SRV","SRV   TJ Turnov",
,"17:02:22","03:49","S ERR","S ERR   TJ Turnov",
,"17:02:22","03:49","P","[3 : 6]   P   AERO Odolena Voda",
,"17:02:29","03:57","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:02:34","04:02","SRV","SRV   AERO Odolena Voda",
,"17:02:38","04:05","RS","RS   AERO Odolena Voda",
,"17:02:38","04:06","B POSS","B POSS   TJ Turnov",
,"17:02:44","04:12","B","B   AERO Odolena Voda",
,"17:02:44","04:12","P","[3 : 7]   P   AERO Odolena Voda",
,"17:02:54","04:21","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:02:59","04:26","SRV","SRV   AERO Odolena Voda",
,"17:03:02","04:29","RS","RS   AERO Odolena Voda",
,"17:03:02","04:29","B POSS","B POSS   TJ Turnov",
,"17:03:03","04:30","B POSS","B POSS   AERO Odolena Voda",
,"17:03:07","04:34","B POSS","B POSS   TJ Turnov",
,"17:03:10","04:37","K","K   TJ Turnov",
,"17:03:10","04:37","P","[4 : 7]   P   TJ Turnov",
,"17:03:26","04:53","Pt Conf","Pt Conf   TJ Turnov",
,"17:03:29","04:56","SRV","SRV   TJ Turnov",
,"17:03:31","04:58","RS","RS   TJ Turnov",
,"17:03:31","04:58","B POSS","B POSS   AERO Odolena Voda",
,"17:03:33","05:01","K","K   AERO Odolena Voda",
,"17:03:33","05:01","P","[4 : 8]   P   AERO Odolena Voda",
,"17:03:40","05:07","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:03:40","05:07","TIME","TIME",
,"17:03:41","05:08","TTO","TTO",
,"17:04:47","06:14","SRV","SRV   AERO Odolena Voda",
,"17:04:51","06:18","RS","RS   AERO Odolena Voda",
,"17:04:51","06:18","B POSS","B POSS   TJ Turnov",
,"17:04:56","06:23","B POSS","B POSS   AERO Odolena Voda",
,"17:05:00","06:27","K","K   AERO Odolena Voda",
,"17:05:00","06:27","P","[4 : 9]   P   AERO Odolena Voda",
,"17:05:11","06:39","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:05:16","06:43","SRV","SRV   AERO Odolena Voda",
,"17:05:17","06:44","RS","RS   AERO Odolena Voda",
,"17:05:17","06:45","B POSS","B POSS   TJ Turnov",
,"17:05:22","06:49","ERR","ERR   TJ Turnov",
,"17:05:22","06:49","P","[4 : 10]   P   AERO Odolena Voda",
,"17:05:36","07:03","Pt Conf","Pt Conf   AERO Odolena Voda",
,"17:05:37","07:04","SRV","SRV   AERO Odolena Voda",
,"17:05:40","07:07","S ERR","S ERR   AERO Odolena Voda",
,"17:05:40","07:07","P","[5 : 10]   P   TJ Turnov",
,"17:05:50","07:18","Pt Conf","Pt Conf   TJ Turnov",
,"17:05:57","07:24","SRV","SRV   TJ Turnov",
,"17:06:00","07:27","RS","RS   TJ Turnov",
,"17:06:00","07:27","B POSS","B POSS   AERO Odolena Voda",
