"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887484","Italy","Coppa Italia A1 (men)","11.10.2017 - 18:30","Blu Volley Verona","Volley Milano",
"Statistics","Blu Volley Verona","Type","Volley Milano",
,"3","Score","1",
,"99","Points","89",
,"3","Sets","1",
,"9","Aces","4",
,"16","Service errors","18",
,"49","Kills","52",
,"10","Blocks","4",
,"7","Errors","6",
,"6","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"18:05:36","00:00","Game conditions changed","Game conditions changed",
,"18:05:38","00:00","Players warming up","Players warming up",
,"18:15:14","00:00","Warm up at the net","Warm up at the net",
,"18:25:08","00:00","Players lined up","Players lined up",
,"18:25:28","00:00","Jersey colours updated","Jersey colours updated",
,"18:25:28","00:00","Jersey colours updated","Jersey colours updated",
,"18:26:07","00:00","National anthem singing","National anthem singing",
,"18:28:03","00:00","Shake hands","Shake hands",
,"18:29:34","00:00","Players intro","Players intro",
,"18:31:21","00:00","Game about to start","Game about to start",
,"18:32:13","00:00","Start SRV","Start SRV   Volley Milano",
,"18:32:28","00:00","Start 1st Set","Start 1st Set",
,"18:32:28","00:00","SRV","SRV   Volley Milano",
,"18:32:30","00:01","RS","RS   Volley Milano",
,"18:32:30","00:01","B POSS","B POSS   Blu Volley Verona",
,"18:32:35","00:07","K","K   Blu Volley Verona",
,"18:32:35","00:07","P","[1 : 0]   P   Blu Volley Verona",
,"18:32:49","00:20","Pt Conf","Pt Conf   Blu Volley Verona",
,"18:32:55","00:26","SRV","SRV   Blu Volley Verona",
,"18:32:59","00:31","S ERR","S ERR   Blu Volley Verona",
,"18:32:59","00:31","P","[1 : 1]   P   Volley Milano",
,"18:33:11","00:43","Pt Conf","Pt Conf   Volley Milano",
,"18:33:15","00:46","SRV","SRV   Volley Milano",
,"18:33:17","00:49","RS","RS   Volley Milano",
,"18:33:18","00:49","B POSS","B POSS   Blu Volley Verona",
,"18:33:22","00:54","OUT","OUT   Blu Volley Verona",
,"18:33:22","00:54","P","[1 : 2]   P   Volley Milano",
,"18:33:37","01:09","Pt Conf","Pt Conf   Volley Milano",
,"18:33:41","01:12","SRV","SRV   Volley Milano",
,"18:33:43","01:14","RS","RS   Volley Milano",
,"18:33:43","01:14","B POSS","B POSS   Blu Volley Verona",
,"18:33:46","01:18","B POSS","B POSS   Volley Milano",
,"18:33:55","01:26","B POSS","B POSS   Blu Volley Verona",
,"18:33:57","01:28","B POSS","B POSS   Volley Milano",
,"18:34:00","01:32","K","K   Volley Milano",
,"18:34:00","01:32","P","[1 : 3]   P   Volley Milano",
,"18:34:21","01:52","Pt Conf","Pt Conf   Volley Milano",
,"18:34:24","01:55","SRV","SRV   Volley Milano",
,"18:34:26","01:57","RS","RS   Volley Milano",
,"18:34:26","01:57","B POSS","B POSS   Blu Volley Verona",
,"18:34:29","02:00","B POSS","B POSS   Volley Milano",
,"18:34:35","02:07","K","K   Volley Milano",
,"18:34:35","02:07","P","[1 : 4]   P   Volley Milano",
,"18:34:54","02:25","Pt Conf","Pt Conf   Volley Milano",
,"18:34:57","02:29","SRV","SRV   Volley Milano",
,"18:34:59","02:30","RS","RS   Volley Milano",
,"18:34:59","02:31","B POSS","B POSS   Blu Volley Verona",
,"18:35:03","02:34","B POSS","B POSS   Volley Milano",
,"18:35:07","02:38","B POSS","B POSS   Blu Volley Verona",
,"18:35:09","02:41","ERR","ERR   Blu Volley Verona",
,"18:35:09","02:41","P","[1 : 5]   P   Volley Milano",
,"18:35:21","02:52","Pt Conf","Pt Conf   Volley Milano",
,"18:35:22","02:53","TIME","TIME",
,"18:35:23","02:54","TIME","TIME   Blu Volley Verona",
,"18:36:16","03:47","SRV","SRV   Volley Milano",
,"18:36:18","03:49","RS","RS   Volley Milano",
,"18:36:18","03:50","B POSS","B POSS   Blu Volley Verona",
,"18:36:23","03:54","K","K   Blu Volley Verona",
,"18:36:23","03:54","P","[2 : 5]   P   Blu Volley Verona",
,"18:36:39","04:10","Pt Conf","Pt Conf   Blu Volley Verona",
,"18:36:40","04:12","SRV","SRV   Blu Volley Verona",
,"18:36:43","04:14","RS","RS   Blu Volley Verona",
,"18:36:43","04:14","B POSS","B POSS   Volley Milano",
,"18:36:46","04:17","K","K   Volley Milano",
,"18:36:46","04:17","P","[2 : 6]   P   Volley Milano",
,"18:37:10","04:41","Pt Conf","Pt Conf   Volley Milano",
,"18:37:16","04:47","SRV","SRV   Volley Milano",
,"18:37:18","04:49","RS","RS   Volley Milano",
,"18:37:18","04:49","B POSS","B POSS   Blu Volley Verona",
,"18:37:22","04:53","B POSS","B POSS   Volley Milano",
,"18:37:28","04:59","K","K   Volley Milano",
,"18:37:28","04:59","P","[2 : 7]   P   Volley Milano",
,"18:37:49","05:21","Pt Conf","Pt Conf   Volley Milano",
,"18:37:54","05:26","SRV","SRV   Volley Milano",
,"18:37:57","05:28","RS","RS   Volley Milano",
,"18:37:57","05:28","B POSS","B POSS   Blu Volley Verona",
,"18:38:03","05:34","OUT","OUT   Blu Volley Verona",
,"18:38:03","05:34","P","[2 : 8]   P   Volley Milano",
,"18:38:32","06:03","Pt Conf","Pt Conf   Volley Milano",
,"18:38:38","06:10","SRV","SRV   Volley Milano",
,"18:38:40","06:12","S ERR","S ERR   Volley Milano",
,"18:38:40","06:12","P","[3 : 8]   P   Blu Volley Verona",
,"18:38:56","06:28","Pt Conf","Pt Conf   Blu Volley Verona",
,"18:39:00","06:31","SRV","SRV   Blu Volley Verona",
,"18:39:03","06:34","RS","RS   Blu Volley Verona",
,"18:39:03","06:34","B POSS","B POSS   Volley Milano",
,"18:39:07","06:39","K","K   Volley Milano",
,"18:39:07","06:39","P","[3 : 9]   P   Volley Milano",
,"18:39:23","06:54","Pt Conf","Pt Conf   Volley Milano",
,"18:39:26","06:57","SRV","SRV   Volley Milano",
,"18:39:30","07:02","A","A   Volley Milano",
,"18:39:30","07:02","P","[3 : 10]   P   Volley Milano",
,"18:39:38","07:09","Pt Conf","Pt Conf   Volley Milano",
,"18:39:39","07:10","TIME","TIME",
