"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879477","Poland","Polska Liga (men)","11.10.2017 - 16:00","BBTS Bielsko-Biala","KS Cuprum Lubin",
"Statistics","BBTS Bielsko-Biala","Type","KS Cuprum Lubin",
,"1","Score","3",
,"84","Points","98",
,"1","Sets","3",
,"2","Aces","8",
,"15","Service errors","16",
,"51","Kills","56",
,"3","Blocks","8",
,"6","Errors","8",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:24:59","00:00","Game conditions changed","Game conditions changed",
,"15:25:01","00:00","Players warming up","Players warming up",
,"15:37:04","00:00","Jersey colours updated","Jersey colours updated",
,"15:37:05","00:00","Jersey colours updated","Jersey colours updated",
,"15:42:59","00:00","Jersey colours updated","Jersey colours updated",
,"15:49:59","00:00","Coin flipping","Coin flipping",
,"15:50:43","00:00","Warm up at the net","Warm up at the net",
,"16:02:04","00:00","Players lined up","Players lined up",
,"16:02:51","00:00","Shake hands","Shake hands",
,"16:04:03","00:00","Players intro","Players intro",
,"16:05:28","00:00","Game about to start","Game about to start",
,"16:06:13","00:00","Start SRV","Start SRV   KS Cuprum Lubin",
,"16:06:24","00:00","Start 1st Set","Start 1st Set",
,"16:06:24","00:00","SRV","SRV   KS Cuprum Lubin",
,"16:06:26","00:01","RS","RS   KS Cuprum Lubin",
,"16:06:26","00:01","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:06:31","00:06","B POSS","B POSS   KS Cuprum Lubin",
,"16:06:35","00:11","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:06:42","00:18","B POSS","B POSS   KS Cuprum Lubin",
,"16:06:44","00:19","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:06:48","00:24","B","B   KS Cuprum Lubin",
,"16:06:48","00:24","P","[0 : 1]   P   KS Cuprum Lubin",
,"16:07:04","00:39","Pt Conf","Pt Conf   KS Cuprum Lubin",
,"16:07:07","00:43","SRV","SRV   KS Cuprum Lubin",
,"16:07:09","00:45","RS","RS   KS Cuprum Lubin",
,"16:07:10","00:45","B POSS","B POSS   BBTS Bielsko-Biala",
,"16:07:20","00:56","B","B   KS Cuprum Lubin",
,"16:07:20","00:56","P","[0 : 2]   P   KS Cuprum Lubin",
,"16:07:25","01:01","Point under investigation","Point under investigation",
,"16:07:56","01:32","Pt Conf","Pt Conf   KS Cuprum Lubin",
,"16:07:57","01:33","SRV","SRV   KS Cuprum Lubin",
,"16:08:00","01:36","S ERR","S ERR   KS Cuprum Lubin",
,"16:08:00","01:36","P","[1 : 2]   P   BBTS Bielsko-Biala",
,"16:08:13","01:48","Pt Conf","Pt Conf   BBTS Bielsko-Biala",
,"16:08:18","01:54","SRV","SRV   BBTS Bielsko-Biala",
,"16:08:21","01:56","RS","RS   BBTS Bielsko-Biala",
,"16:08:21","01:56","B POSS","B POSS   KS Cuprum Lubin",
,"16:08:26","02:01","K","K   KS Cuprum Lubin",
,"16:08:26","02:01","P","[1 : 3]   P   KS Cuprum Lubin",
,"16:08:39","02:14","Pt Conf","Pt Conf   KS Cuprum Lubin",
,"16:08:44","02:19","SRV","SRV   KS Cuprum Lubin",
,"16:08:49","02:24","A","A   KS Cuprum Lubin",
,"16:08:49","02:24","P","[1 : 4]   P   KS Cuprum Lubin",
