"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879476","Poland","Polska Liga (men)","11.10.2017 - 18:30","ZAKSA Kedzierzyn-Kozle","KS Jastrzebski Wegiel",
"Statistics","ZAKSA Kedzierzyn-Kozle","Type","KS Jastrzebski Wegiel",
,"3","Score","0",
,"83","Points","66",
,"3","Sets","0",
,"4","Aces","2",
,"14","Service errors","12",
,"45","Kills","35",
,"9","Blocks","6",
,"5","Errors","5",
,"4","Outs","8",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:46:07","00:00","Game conditions changed","Game conditions changed",
,"17:46:09","00:00","Players warming up","Players warming up",
,"18:08:31","00:00","Jersey colours updated","Jersey colours updated",
,"18:08:32","00:00","Jersey colours updated","Jersey colours updated",
,"18:08:57","00:00","Game conditions changed","Game conditions changed",
,"18:19:43","00:00","Coin flipping","Coin flipping",
,"18:20:19","00:00","Warm up at the net","Warm up at the net",
,"18:28:08","00:00","Players intro","Players intro",
,"18:31:40","00:00","Players lined up","Players lined up",
,"18:32:16","00:00","Shake hands","Shake hands",
,"18:34:54","00:00","Game about to start","Game about to start",
,"18:35:16","00:00","Start SRV","Start SRV   ZAKSA Kedzierzyn-Kozle",
,"18:35:37","00:00","Start 1st Set","Start 1st Set",
,"18:35:37","00:00","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:35:43","00:06","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:35:44","00:06","B POSS","B POSS   KS Jastrzebski Wegiel",
,"18:35:47","00:09","OUT","OUT   KS Jastrzebski Wegiel",
,"18:35:47","00:09","P","[1 : 0]   P   ZAKSA Kedzierzyn-Kozle",
,"18:36:04","00:26","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:36:04","00:27","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:36:07","00:30","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:36:08","00:30","B POSS","B POSS   KS Jastrzebski Wegiel",
,"18:36:11","00:33","K","K   KS Jastrzebski Wegiel",
,"18:36:11","00:33","P","[1 : 1]   P   KS Jastrzebski Wegiel",
,"18:36:25","00:47","Pt Conf","Pt Conf   KS Jastrzebski Wegiel",
,"18:36:28","00:50","SRV","SRV   KS Jastrzebski Wegiel",
,"18:36:30","00:53","RS","RS   KS Jastrzebski Wegiel",
,"18:36:30","00:53","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:36:32","00:55","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:36:32","00:55","P","[2 : 1]   P   ZAKSA Kedzierzyn-Kozle",
,"18:36:48","01:11","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:36:53","01:15","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:36:56","01:18","S ERR","S ERR   ZAKSA Kedzierzyn-Kozle",
,"18:36:56","01:18","P","[2 : 2]   P   KS Jastrzebski Wegiel",
,"18:37:08","01:31","Pt Conf","Pt Conf   KS Jastrzebski Wegiel",
,"18:37:15","01:37","SRV","SRV   KS Jastrzebski Wegiel",
,"18:37:18","01:41","RS","RS   KS Jastrzebski Wegiel",
,"18:37:19","01:41","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:37:26","01:48","K","K   ZAKSA Kedzierzyn-Kozle",
,"18:37:26","01:48","P","[3 : 2]   P   ZAKSA Kedzierzyn-Kozle",
,"18:37:44","02:06","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:37:46","02:08","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:37:49","02:12","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:37:50","02:12","B POSS","B POSS   KS Jastrzebski Wegiel",
,"18:37:52","02:15","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:37:56","02:19","ERR","ERR   ZAKSA Kedzierzyn-Kozle",
,"18:37:56","02:19","P","[3 : 3]   P   KS Jastrzebski Wegiel",
,"18:38:14","02:37","Pt Conf","Pt Conf   KS Jastrzebski Wegiel",
,"18:38:16","02:39","SRV","SRV   KS Jastrzebski Wegiel",
,"18:38:19","02:41","S ERR","S ERR   KS Jastrzebski Wegiel",
,"18:38:19","02:41","P","[4 : 3]   P   ZAKSA Kedzierzyn-Kozle",
,"18:38:35","02:58","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:38:40","03:03","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:38:44","03:06","A","A   ZAKSA Kedzierzyn-Kozle",
,"18:38:44","03:06","P","[5 : 3]   P   ZAKSA Kedzierzyn-Kozle",
,"18:38:57","03:19","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:39:02","03:24","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:39:05","03:28","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:39:06","03:28","B POSS","B POSS   KS Jastrzebski Wegiel",
,"18:39:10","03:32","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:39:12","03:34","B POSS","B POSS   KS Jastrzebski Wegiel",
,"18:39:17","03:40","B POSS","B POSS   ZAKSA Kedzierzyn-Kozle",
,"18:39:19","03:41","B POSS","B POSS   KS Jastrzebski Wegiel",
,"18:39:24","03:47","B","B   ZAKSA Kedzierzyn-Kozle",
,"18:39:24","03:47","P","[6 : 3]   P   ZAKSA Kedzierzyn-Kozle",
,"18:39:42","04:05","Pt Conf","Pt Conf   ZAKSA Kedzierzyn-Kozle",
,"18:39:46","04:08","SRV","SRV   ZAKSA Kedzierzyn-Kozle",
,"18:39:48","04:10","RS","RS   ZAKSA Kedzierzyn-Kozle",
,"18:39:48","04:11","B POSS","B POSS   KS Jastrzebski Wegiel",
