"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887419","Russia","Superleague (women)","11.10.2017 - 12:00","Yenisey Krasnoyarsk (women)","VC Proton (women)",
"Statistics","Yenisey Krasnoyarsk (women)","Type","VC Proton (women)",
,"3","Score","0",
,"76","Points","56",
,"3","Sets","0",
,"6","Aces","1",
,"10","Service errors","11",
,"39","Kills","31",
,"12","Blocks","10",
,"2","Errors","6",
,"2","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:20:05","00:00","Game conditions changed","Game conditions changed",
,"11:20:09","00:00","Players warming up","Players warming up",
,"11:20:29","00:00","Jersey colours updated","Jersey colours updated",
,"11:20:29","00:00","Jersey colours updated","Jersey colours updated",
,"11:43:12","00:00","Game conditions changed","Game conditions changed",
,"11:43:13","00:00","Coin flipping","Coin flipping",
,"11:43:13","00:00","Warm up at the net","Warm up at the net",
,"11:54:10","00:00","Players lined up","Players lined up",
,"11:54:29","00:00","Game conditions changed","Game conditions changed",
,"11:54:37","00:00","Prize giving ceremony","Prize giving ceremony",
,"11:56:18","00:00","National anthem singing","National anthem singing",
,"11:57:35","00:00","Shake hands","Shake hands",
,"11:57:37","00:00","Players intro","Players intro",
,"12:00:46","00:00","Game about to start","Game about to start",
,"12:01:09","00:00","Start SRV","Start SRV   VC Proton (women)",
,"12:01:21","00:00","Start 1st Set","Start 1st Set",
,"12:01:23","00:01","SRV","SRV   VC Proton (women)",
,"12:01:27","00:06","RS","RS   VC Proton (women)",
,"12:01:27","00:06","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"12:01:30","00:08","K","K   Yenisey Krasnoyarsk (women)",
,"12:01:30","00:08","P","[1 : 0]   P   Yenisey Krasnoyarsk (women)",
,"12:01:43","00:21","Pt Conf","Pt Conf   Yenisey Krasnoyarsk (women)",
,"12:01:43","00:22","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"12:01:49","00:28","RS","RS   Yenisey Krasnoyarsk (women)",
,"12:01:49","00:28","B POSS","B POSS   VC Proton (women)",
,"12:02:09","00:47","B","B   VC Proton (women)",
,"12:02:09","00:47","P","[1 : 1]   P   VC Proton (women)",
,"12:02:11","00:49","Pt Conf","Pt Conf   VC Proton (women)",
,"12:02:12","00:51","SRV","SRV   VC Proton (women)",
,"12:02:13","00:52","RS","RS   VC Proton (women)",
,"12:02:14","00:52","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"12:02:14","00:52","K","K   VC Proton (women)",
,"12:02:14","00:52","P","[1 : 2]   P   VC Proton (women)",
,"12:02:16","00:54","Pt Conf","Pt Conf   VC Proton (women)",
,"12:02:19","00:57","SRV","SRV   VC Proton (women)",
,"12:02:27","01:05","S ERR","S ERR   VC Proton (women)",
,"12:02:27","01:05","P","[2 : 2]   P   Yenisey Krasnoyarsk (women)",
,"12:02:34","01:13","Pt Conf","Pt Conf   Yenisey Krasnoyarsk (women)",
,"12:02:36","01:14","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"12:02:43","01:21","S ERR","S ERR   Yenisey Krasnoyarsk (women)",
,"12:02:43","01:21","P","[2 : 3]   P   VC Proton (women)",
,"12:02:55","01:34","Pt Conf","Pt Conf   VC Proton (women)",
,"12:02:56","01:35","SRV","SRV   VC Proton (women)",
,"12:03:01","01:39","RS","RS   VC Proton (women)",
,"12:03:01","01:39","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"12:03:09","01:47","K","K   VC Proton (women)",
,"12:03:09","01:47","P","[2 : 4]   P   VC Proton (women)",
,"12:03:22","02:00","Pt Conf","Pt Conf   VC Proton (women)",
,"12:03:23","02:01","SRV","SRV   VC Proton (women)",
,"12:03:28","02:07","RS","RS   VC Proton (women)",
,"12:03:28","02:07","B POSS","B POSS   Yenisey Krasnoyarsk (women)",
,"12:03:35","02:14","B POSS","B POSS   VC Proton (women)",
,"12:03:41","02:20","K","K   Yenisey Krasnoyarsk (women)",
,"12:03:41","02:20","P","[3 : 4]   P   Yenisey Krasnoyarsk (women)",
,"12:03:56","02:34","Pt Conf","Pt Conf   Yenisey Krasnoyarsk (women)",
,"12:04:00","02:39","SRV","SRV   Yenisey Krasnoyarsk (women)",
,"12:04:02","02:41","RS","RS   Yenisey Krasnoyarsk (women)",
,"12:04:02","02:41","B POSS","B POSS   VC Proton (women)",
