"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888243","Russia","Vischaya Liga B (women)","11.10.2017 - 13:00","VC Ryazan (women)","Dynamo Kazan II (women)",
"Statistics","VC Ryazan (women)","Type","Dynamo Kazan II (women)",
,"1","Score","3",
,"76","Points","91",
,"1","Sets","3",
,"11","Aces","9",
,"12","Service errors","9",
,"41","Kills","44",
,"1","Blocks","6",
,"10","Errors","8",
,"9","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","1",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:21:48","00:00","Game conditions changed","Game conditions changed",
,"12:21:49","00:00","Players warming up","Players warming up",
,"12:47:12","00:00","Jersey colours updated","Jersey colours updated",
,"12:47:12","00:00","Jersey colours updated","Jersey colours updated",
,"12:47:17","00:00","Warm up at the net","Warm up at the net",
,"12:56:22","00:00","Players intro","Players intro",
,"12:58:01","00:00","Players lined up","Players lined up",
,"12:58:06","00:00","Shake hands","Shake hands",
,"13:00:36","00:00","Game about to start","Game about to start",
,"13:00:58","00:00","Start SRV","Start SRV   VC Ryazan (women)",
,"13:01:11","00:00","Start 1st Set","Start 1st Set",
,"13:01:11","00:00","SRV","SRV   VC Ryazan (women)",
,"13:01:18","00:07","RS","RS   VC Ryazan (women)",
,"13:01:19","00:07","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:01:20","00:09","B POSS","B POSS   VC Ryazan (women)",
,"13:01:25","00:13","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:01:30","00:19","ERR","ERR   Dynamo Kazan II (women)",
,"13:01:30","00:19","P","[1 : 0]   P   VC Ryazan (women)",
,"13:01:42","00:30","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:01:43","00:32","SRV","SRV   VC Ryazan (women)",
,"13:01:47","00:36","RS","RS   VC Ryazan (women)",
,"13:01:47","00:36","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:02:01","00:50","K","K   Dynamo Kazan II (women)",
,"13:02:01","00:50","P","[1 : 1]   P   Dynamo Kazan II (women)",
,"13:02:15","01:03","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:02:16","01:04","SRV","SRV   Dynamo Kazan II (women)",
,"13:02:22","01:10","A","A   Dynamo Kazan II (women)",
,"13:02:22","01:10","P","[1 : 2]   P   Dynamo Kazan II (women)",
,"13:02:37","01:25","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:02:37","01:26","SRV","SRV   Dynamo Kazan II (women)",
,"13:02:39","01:28","RS","RS   Dynamo Kazan II (women)",
,"13:02:39","01:28","B POSS","B POSS   VC Ryazan (women)",
,"13:02:43","01:31","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:02:48","01:36","K","K   Dynamo Kazan II (women)",
,"13:02:48","01:36","P","[1 : 3]   P   Dynamo Kazan II (women)",
,"13:03:01","01:50","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:03:02","01:50","SRV","SRV   Dynamo Kazan II (women)",
,"13:03:06","01:54","RS","RS   Dynamo Kazan II (women)",
,"13:03:06","01:54","B POSS","B POSS   VC Ryazan (women)",
,"13:03:13","02:01","K","K   Dynamo Kazan II (women)",
,"13:03:13","02:01","P","[1 : 4]   P   Dynamo Kazan II (women)",
,"13:03:27","02:16","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:03:30","02:18","SRV","SRV   Dynamo Kazan II (women)",
,"13:03:32","02:20","RS","RS   Dynamo Kazan II (women)",
,"13:03:32","02:20","B POSS","B POSS   VC Ryazan (women)",
,"13:03:35","02:24","K","K   VC Ryazan (women)",
,"13:03:35","02:24","P","[2 : 4]   P   VC Ryazan (women)",
,"13:03:49","02:37","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:03:50","02:38","SRV","SRV   VC Ryazan (women)",
,"13:03:57","02:45","A","A   VC Ryazan (women)",
,"13:03:57","02:45","P","[3 : 4]   P   VC Ryazan (women)",
,"13:04:06","02:55","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:04:07","02:55","SRV","SRV   VC Ryazan (women)",
,"13:04:11","03:00","A","A   VC Ryazan (women)",
,"13:04:11","03:00","P","[4 : 4]   P   VC Ryazan (women)",
,"13:04:21","03:09","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:04:22","03:10","SRV","SRV   VC Ryazan (women)",
,"13:04:25","03:13","RS","RS   VC Ryazan (women)",
,"13:04:25","03:13","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:04:27","03:15","B POSS","B POSS   VC Ryazan (women)",
,"13:04:33","03:21","K","K   VC Ryazan (women)",
,"13:04:33","03:21","P","[5 : 4]   P   VC Ryazan (women)",
,"13:04:43","03:31","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:04:44","03:32","SRV","SRV   VC Ryazan (women)",
,"13:04:50","03:38","A","A   VC Ryazan (women)",
,"13:04:50","03:38","P","[6 : 4]   P   VC Ryazan (women)",
,"13:05:00","03:48","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:05:01","03:49","SRV","SRV   VC Ryazan (women)",
,"13:05:06","03:54","RS","RS   VC Ryazan (women)",
,"13:05:06","03:54","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:05:12","04:00","K","K   Dynamo Kazan II (women)",
,"13:05:12","04:00","P","[6 : 5]   P   Dynamo Kazan II (women)",
,"13:05:24","04:12","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:05:24","04:13","SRV","SRV   Dynamo Kazan II (women)",
,"13:05:31","04:19","RS","RS   Dynamo Kazan II (women)",
,"13:05:31","04:19","B POSS","B POSS   VC Ryazan (women)",
,"13:05:35","04:23","K","K   VC Ryazan (women)",
,"13:05:35","04:23","P","[7 : 5]   P   VC Ryazan (women)",
,"13:05:47","04:36","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:05:48","04:36","SRV","SRV   VC Ryazan (women)",
,"13:05:54","04:42","A","A   VC Ryazan (women)",
,"13:05:54","04:42","P","[8 : 5]   P   VC Ryazan (women)",
,"13:06:05","04:53","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:06:07","04:55","TIME","TIME",
,"13:06:08","04:56","TTO","TTO",
,"13:06:55","05:43","SRV","SRV   VC Ryazan (women)",
,"13:06:58","05:46","RS","RS   VC Ryazan (women)",
,"13:06:58","05:46","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:07:03","05:52","K","K   Dynamo Kazan II (women)",
,"13:07:03","05:52","P","[8 : 6]   P   Dynamo Kazan II (women)",
,"13:07:14","06:02","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:07:14","06:03","SRV","SRV   Dynamo Kazan II (women)",
,"13:07:18","06:06","RS","RS   Dynamo Kazan II (women)",
,"13:07:18","06:06","B POSS","B POSS   VC Ryazan (women)",
,"13:07:24","06:13","OUT","OUT   VC Ryazan (women)",
,"13:07:24","06:13","P","[8 : 7]   P   Dynamo Kazan II (women)",
,"13:07:36","06:24","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:07:36","06:25","SRV","SRV   Dynamo Kazan II (women)",
,"13:07:40","06:28","RS","RS   Dynamo Kazan II (women)",
,"13:07:40","06:28","B POSS","B POSS   VC Ryazan (women)",
,"13:07:43","06:31","ERR","ERR   VC Ryazan (women)",
,"13:07:43","06:31","P","[8 : 8]   P   Dynamo Kazan II (women)",
,"13:07:53","06:41","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:07:54","06:42","SRV","SRV   Dynamo Kazan II (women)",
,"13:07:57","06:45","RS","RS   Dynamo Kazan II (women)",
,"13:07:57","06:45","B POSS","B POSS   VC Ryazan (women)",
,"13:08:04","06:52","OUT","OUT   VC Ryazan (women)",
,"13:08:04","06:52","P","[8 : 9]   P   Dynamo Kazan II (women)",
,"13:08:12","07:00","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:08:13","07:01","SRV","SRV   Dynamo Kazan II (women)",
,"13:08:17","07:06","A","A   Dynamo Kazan II (women)",
,"13:08:17","07:06","P","[8 : 10]   P   Dynamo Kazan II (women)",
,"13:08:31","07:19","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:08:34","07:22","TIME","TIME",
,"13:08:35","07:23","TIME","TIME   VC Ryazan (women)",
,"13:09:09","07:58","SRV","SRV   Dynamo Kazan II (women)",
,"13:09:13","08:01","RS","RS   Dynamo Kazan II (women)",
,"13:09:13","08:01","B POSS","B POSS   VC Ryazan (women)",
,"13:09:19","08:07","OUT","OUT   VC Ryazan (women)",
,"13:09:19","08:07","P","[8 : 11]   P   Dynamo Kazan II (women)",
,"13:09:27","08:15","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:09:29","08:17","SRV","SRV   Dynamo Kazan II (women)",
,"13:09:32","08:20","RS","RS   Dynamo Kazan II (women)",
,"13:09:32","08:20","B POSS","B POSS   VC Ryazan (women)",
,"13:09:38","08:26","K","K   VC Ryazan (women)",
,"13:09:38","08:26","P","[9 : 11]   P   VC Ryazan (women)",
,"13:09:50","08:38","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:09:51","08:39","SRV","SRV   VC Ryazan (women)",
,"13:09:58","08:46","S ERR","S ERR   VC Ryazan (women)",
,"13:09:58","08:46","P","[9 : 12]   P   Dynamo Kazan II (women)",
,"13:10:07","08:56","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:10:08","08:56","SRV","SRV   Dynamo Kazan II (women)",
,"13:10:13","09:01","RS","RS   Dynamo Kazan II (women)",
,"13:10:13","09:01","B POSS","B POSS   VC Ryazan (women)",
,"13:10:15","09:03","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:10:24","09:12","B","B   Dynamo Kazan II (women)",
,"13:10:24","09:12","P","[9 : 13]   P   Dynamo Kazan II (women)",
,"13:10:37","09:26","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:10:38","09:26","SRV","SRV   Dynamo Kazan II (women)",
,"13:10:43","09:31","RS","RS   Dynamo Kazan II (women)",
,"13:10:43","09:31","B POSS","B POSS   VC Ryazan (women)",
,"13:10:44","09:33","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:10:50","09:38","B POSS","B POSS   VC Ryazan (women)",
,"13:10:57","09:45","K","K   VC Ryazan (women)",
,"13:10:57","09:45","P","[10 : 13]   P   VC Ryazan (women)",
,"13:11:10","09:58","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:11:11","09:59","SRV","SRV   VC Ryazan (women)",
,"13:11:14","10:02","RS","RS   VC Ryazan (women)",
,"13:11:14","10:02","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:11:23","10:11","K","K   Dynamo Kazan II (women)",
,"13:11:23","10:11","P","[10 : 14]   P   Dynamo Kazan II (women)",
,"13:11:33","10:21","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:11:34","10:22","SRV","SRV   Dynamo Kazan II (women)",
,"13:11:38","10:26","RS","RS   Dynamo Kazan II (women)",
,"13:11:38","10:26","B POSS","B POSS   VC Ryazan (women)",
,"13:11:45","10:33","K","K   VC Ryazan (women)",
,"13:11:45","10:33","P","[11 : 14]   P   VC Ryazan (women)",
,"13:12:01","10:49","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:12:01","10:50","SRV","SRV   VC Ryazan (women)",
,"13:12:04","10:52","RS","RS   VC Ryazan (women)",
,"13:12:04","10:52","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:12:20","11:09","Point under investigation","Point under investigation",
,"13:12:34","11:22","OUT","OUT   VC Ryazan (women)",
,"13:12:34","11:22","P","[11 : 15]   P   Dynamo Kazan II (women)",
,"13:12:37","11:25","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:12:38","11:26","SRV","SRV   Dynamo Kazan II (women)",
,"13:12:40","11:29","RS","RS   Dynamo Kazan II (women)",
,"13:12:40","11:29","B POSS","B POSS   VC Ryazan (women)",
,"13:12:45","11:33","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:12:52","11:41","K","K   Dynamo Kazan II (women)",
,"13:12:52","11:41","P","[11 : 16]   P   Dynamo Kazan II (women)",
,"13:13:14","12:02","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:13:15","12:03","TIME","TIME",
,"13:13:16","12:04","TTO","TTO",
,"13:14:00","12:49","SRV","SRV   Dynamo Kazan II (women)",
,"13:14:04","12:53","RS","RS   Dynamo Kazan II (women)",
,"13:14:05","12:53","B POSS","B POSS   VC Ryazan (women)",
,"13:14:10","12:58","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:14:15","13:04","K","K   Dynamo Kazan II (women)",
,"13:14:15","13:04","P","[11 : 17]   P   Dynamo Kazan II (women)",
,"13:14:29","13:17","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:14:29","13:18","SRV","SRV   Dynamo Kazan II (women)",
,"13:14:32","13:21","RS","RS   Dynamo Kazan II (women)",
,"13:14:32","13:21","B POSS","B POSS   VC Ryazan (women)",
,"13:14:36","13:24","B","B   Dynamo Kazan II (women)",
,"13:14:36","13:24","P","[11 : 18]   P   Dynamo Kazan II (women)",
,"13:14:48","13:36","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:14:48","13:37","SRV","SRV   Dynamo Kazan II (women)",
,"13:14:51","13:39","RS","RS   Dynamo Kazan II (women)",
,"13:14:51","13:39","B POSS","B POSS   VC Ryazan (women)",
,"13:14:57","13:45","K","K   VC Ryazan (women)",
,"13:14:57","13:45","P","[12 : 18]   P   VC Ryazan (women)",
,"13:15:10","13:59","Pt Conf","Pt Conf   VC Ryazan (women)",
,"13:15:11","13:59","SRV","SRV   VC Ryazan (women)",
,"13:15:14","14:02","RS","RS   VC Ryazan (women)",
,"13:15:14","14:02","B POSS","B POSS   Dynamo Kazan II (women)",
,"13:15:17","14:05","K","K   Dynamo Kazan II (women)",
,"13:15:17","14:05","P","[12 : 19]   P   Dynamo Kazan II (women)",
,"13:15:32","14:20","Pt Conf","Pt Conf   Dynamo Kazan II (women)",
,"13:15:32","14:20","SRV","SRV   Dynamo Kazan II (women)",
,"13:15:36","14:24","RS","RS   Dynamo Kazan II (women)",
,"13:15:36","14:24","B POSS","B POSS   VC Ryazan (women)",
,"13:15:41","14:29","K","K   VC Ryazan (women)",
,"13:15:41","14:29","P","[13 : 19]   P   VC Ryazan (women)",
,"13:15:56","14:44","Pt Conf","Pt Conf   VC Ryazan (women)",
