"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888222","Russia","Vischaya Liga B (women)","11.10.2017 - 13:00","VC Tulitsa II (women)","Severyanka Cherepovets II (women)",
"Statistics","VC Tulitsa II (women)","Type","Severyanka Cherepovets II (women)",
,"0","Score","3",
,"37","Points","75",
,"0","Sets","3",
,"5","Aces","15",
,"6","Service errors","6",
,"15","Kills","32",
,"4","Blocks","11",
,"8","Errors","3",
,"3","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:16:07","00:00","Game conditions changed","Game conditions changed",
,"12:16:07","00:00","Players warming up","Players warming up",
,"12:19:12","00:00","Jersey colours updated","Jersey colours updated",
,"12:19:13","00:00","Jersey colours updated","Jersey colours updated",
,"12:32:30","00:00","Coin flipping","Coin flipping",
,"12:32:45","00:00","Jersey colours updated","Jersey colours updated",
,"12:47:09","00:00","Warm up at the net","Warm up at the net",
,"12:55:42","00:00","Game conditions changed","Game conditions changed",
,"12:57:20","00:00","Players lined up","Players lined up",
,"12:57:52","00:00","Shake hands","Shake hands",
,"12:58:28","00:00","Players intro","Players intro",
,"12:58:52","00:00","National anthem singing","National anthem singing",
,"12:59:59","00:00","Game about to start","Game about to start",
,"13:00:29","00:00","Start SRV","Start SRV   VC Tulitsa II (women)",
,"13:00:37","00:00","Start 1st Set","Start 1st Set",
,"13:00:38","00:00","SRV","SRV   VC Tulitsa II (women)",
,"13:00:38","00:00","RS","RS   VC Tulitsa II (women)",
,"13:00:38","00:00","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:00:54","00:16","K","K   VC Tulitsa II (women)",
,"13:00:54","00:16","P","[1 : 0]   P   VC Tulitsa II (women)",
,"13:01:06","00:28","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"13:01:12","00:34","SRV","SRV   VC Tulitsa II (women)",
,"13:01:17","00:39","RS","RS   VC Tulitsa II (women)",
,"13:01:17","00:39","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:01:21","00:44","B","B   VC Tulitsa II (women)",
,"13:01:21","00:44","P","[2 : 0]   P   VC Tulitsa II (women)",
,"13:01:34","00:56","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"13:01:41","01:04","SRV","SRV   VC Tulitsa II (women)",
,"13:01:43","01:05","RS","RS   VC Tulitsa II (women)",
,"13:01:43","01:05","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:01:50","01:12","OUT","OUT   Severyanka Cherepovets II (women)",
,"13:01:50","01:12","P","[3 : 0]   P   VC Tulitsa II (women)",
,"13:01:59","01:21","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"13:02:09","01:31","SRV","SRV   VC Tulitsa II (women)",
,"13:02:10","01:32","S ERR","S ERR   VC Tulitsa II (women)",
,"13:02:10","01:32","P","[3 : 1]   P   Severyanka Cherepovets II (women)",
,"13:02:19","01:41","Pt Conf","Pt Conf   Severyanka Cherepovets II (women)",
,"13:02:22","01:45","SRV","SRV   Severyanka Cherepovets II (women)",
,"13:02:25","01:47","RS","RS   Severyanka Cherepovets II (women)",
,"13:02:26","01:48","B POSS","B POSS   VC Tulitsa II (women)",
,"13:02:29","01:51","K","K   VC Tulitsa II (women)",
,"13:02:29","01:51","P","[4 : 1]   P   VC Tulitsa II (women)",
,"13:02:43","02:06","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"13:02:50","02:12","SRV","SRV   VC Tulitsa II (women)",
,"13:02:51","02:13","RS","RS   VC Tulitsa II (women)",
,"13:02:51","02:13","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:02:53","02:15","K","K   Severyanka Cherepovets II (women)",
,"13:02:53","02:15","P","[4 : 2]   P   Severyanka Cherepovets II (women)",
,"13:03:05","02:28","Pt Conf","Pt Conf   Severyanka Cherepovets II (women)",
,"13:03:11","02:33","SRV","SRV   Severyanka Cherepovets II (women)",
,"13:03:16","02:38","S ERR","S ERR   Severyanka Cherepovets II (women)",
,"13:03:16","02:38","P","[5 : 2]   P   VC Tulitsa II (women)",
,"13:03:33","02:55","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"13:03:35","02:57","SRV","SRV   VC Tulitsa II (women)",
,"13:03:37","02:59","RS","RS   VC Tulitsa II (women)",
,"13:03:37","02:59","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:03:38","03:01","B","B   VC Tulitsa II (women)",
,"13:03:38","03:01","P","[6 : 2]   P   VC Tulitsa II (women)",
,"13:03:53","03:15","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"13:03:58","03:20","SRV","SRV   VC Tulitsa II (women)",
,"13:04:00","03:22","RS","RS   VC Tulitsa II (women)",
,"13:04:01","03:23","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:04:10","03:33","K","K   Severyanka Cherepovets II (women)",
,"13:04:10","03:33","P","[6 : 3]   P   Severyanka Cherepovets II (women)",
,"13:04:22","03:44","Pt Conf","Pt Conf   Severyanka Cherepovets II (women)",
,"13:04:31","03:54","SRV","SRV   Severyanka Cherepovets II (women)",
,"13:04:32","03:54","A","A   Severyanka Cherepovets II (women)",
,"13:04:32","03:54","P","[6 : 4]   P   Severyanka Cherepovets II (women)",
,"13:04:42","04:05","Pt Conf","Pt Conf   Severyanka Cherepovets II (women)",
,"13:04:50","04:12","SRV","SRV   Severyanka Cherepovets II (women)",
,"13:04:52","04:15","RS","RS   Severyanka Cherepovets II (women)",
,"13:04:53","04:15","B POSS","B POSS   VC Tulitsa II (women)",
,"13:05:02","04:24","K","K   Severyanka Cherepovets II (women)",
,"13:05:02","04:24","P","[6 : 5]   P   Severyanka Cherepovets II (women)",
,"13:05:19","04:41","Pt Conf","Pt Conf   Severyanka Cherepovets II (women)",
,"13:05:20","04:42","SRV","SRV   Severyanka Cherepovets II (women)",
,"13:05:22","04:44","RS","RS   Severyanka Cherepovets II (women)",
,"13:05:25","04:47","B POSS","B POSS   VC Tulitsa II (women)",
,"13:05:32","04:55","B POSS","B POSS   Severyanka Cherepovets II (women)",
,"13:05:42","05:04","OUT","OUT   VC Tulitsa II (women)",
,"13:05:42","05:04","P","[6 : 6]   P   Severyanka Cherepovets II (women)",
,"13:05:53","05:15","Pt Conf","Pt Conf   Severyanka Cherepovets II (women)",
