"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888331","Vietnam","Premier League U20 (men)","11.10.2017 - 06:30","The Cong BD15 U20","VLXD Binh Duong U20",
"Statistics","The Cong BD15 U20","Type","VLXD Binh Duong U20",
,"3","Score","2",
,"110","Points","106",
,"3","Sets","2",
,"6","Aces","10",
,"10","Service errors","11",
,"68","Kills","70",
,"10","Blocks","7",
,"4","Errors","9",
,"5","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"05:54:46","00:00","Game conditions changed","Game conditions changed",
,"06:23:31","00:00","Players warming up","Players warming up",
,"06:23:50","00:00","Jersey colours updated","Jersey colours updated",
,"06:23:51","00:00","Jersey colours updated","Jersey colours updated",
,"06:37:36","00:00","Warm up at the net","Warm up at the net",
,"06:48:06","00:00","Players intro","Players intro",
,"06:49:13","00:00","Game about to start","Game about to start",
,"06:49:19","00:00","Start SRV","Start SRV   The Cong BD15 U20",
,"06:49:21","00:00","Start 1st Set","Start 1st Set",
,"06:49:22","00:00","SRV","SRV   The Cong BD15 U20",
,"06:49:29","00:07","S ERR","S ERR   The Cong BD15 U20",
,"06:49:29","00:07","P","[0 : 1]   P   VLXD Binh Duong U20",
,"06:49:42","00:21","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"06:49:43","00:22","SRV","SRV   VLXD Binh Duong U20",
,"06:49:46","00:24","RS","RS   VLXD Binh Duong U20",
,"06:49:46","00:25","B POSS","B POSS   The Cong BD15 U20",
,"06:49:52","00:31","OUT","OUT   The Cong BD15 U20",
,"06:49:52","00:31","P","[0 : 2]   P   VLXD Binh Duong U20",
,"06:50:00","00:39","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"06:50:01","00:40","SRV","SRV   VLXD Binh Duong U20",
,"06:50:02","00:40","RS","RS   VLXD Binh Duong U20",
,"06:50:03","00:42","B POSS","B POSS   The Cong BD15 U20",
,"06:50:06","00:45","K","K   The Cong BD15 U20",
,"06:50:06","00:45","P","[1 : 2]   P   The Cong BD15 U20",
,"06:50:24","01:03","Pt Conf","Pt Conf   The Cong BD15 U20",
,"06:50:28","01:06","SRV","SRV   The Cong BD15 U20",
,"06:50:33","01:11","RS","RS   The Cong BD15 U20",
,"06:50:33","01:12","B POSS","B POSS   VLXD Binh Duong U20",
,"06:50:35","01:14","ERR","ERR   VLXD Binh Duong U20",
,"06:50:35","01:14","P","[2 : 2]   P   The Cong BD15 U20",
,"06:50:49","01:27","Pt Conf","Pt Conf   The Cong BD15 U20",
,"06:50:53","01:32","SRV","SRV   The Cong BD15 U20",
,"06:50:57","01:35","RS","RS   The Cong BD15 U20",
,"06:50:57","01:35","B POSS","B POSS   VLXD Binh Duong U20",
,"06:50:58","01:37","K","K   VLXD Binh Duong U20",
,"06:50:58","01:37","P","[2 : 3]   P   VLXD Binh Duong U20",
,"06:51:13","01:51","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"06:51:14","01:53","SRV","SRV   VLXD Binh Duong U20",
,"06:51:15","01:54","RS","RS   VLXD Binh Duong U20",
,"06:51:16","01:55","B POSS","B POSS   The Cong BD15 U20",
,"06:51:22","02:00","OUT","OUT   The Cong BD15 U20",
,"06:51:22","02:00","P","[2 : 4]   P   VLXD Binh Duong U20",
,"06:51:35","02:13","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"06:51:36","02:15","SRV","SRV   VLXD Binh Duong U20",
,"06:51:39","02:17","RS","RS   VLXD Binh Duong U20",
,"06:51:39","02:18","B POSS","B POSS   The Cong BD15 U20",
,"06:51:43","02:21","B","B   VLXD Binh Duong U20",
,"06:51:43","02:21","P","[2 : 5]   P   VLXD Binh Duong U20",
,"06:51:55","02:34","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"06:51:57","02:35","SRV","SRV   VLXD Binh Duong U20",
,"06:52:01","02:40","RS","RS   VLXD Binh Duong U20",
,"06:52:03","02:41","B POSS","B POSS   The Cong BD15 U20",
,"06:52:13","02:52","K","K   The Cong BD15 U20",
,"06:52:13","02:52","P","[3 : 5]   P   The Cong BD15 U20",
,"06:52:33","03:11","Pt Conf","Pt Conf   The Cong BD15 U20",
,"06:52:36","03:15","SRV","SRV   The Cong BD15 U20",
,"06:52:38","03:17","RS","RS   The Cong BD15 U20",
,"06:52:39","03:18","B POSS","B POSS   VLXD Binh Duong U20",
,"06:52:42","03:20","K","K   VLXD Binh Duong U20",
,"06:52:42","03:20","P","[3 : 6]   P   VLXD Binh Duong U20",
,"06:52:55","03:34","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"06:52:57","03:36","SRV","SRV   VLXD Binh Duong U20",
,"06:53:00","03:38","RS","RS   VLXD Binh Duong U20",
,"06:53:00","03:39","B POSS","B POSS   The Cong BD15 U20",
,"06:53:02","03:41","K","K   The Cong BD15 U20",
,"06:53:02","03:41","P","[4 : 6]   P   The Cong BD15 U20",
,"06:53:22","04:00","Pt Conf","Pt Conf   The Cong BD15 U20",
,"06:53:22","04:01","SRV","SRV   The Cong BD15 U20",
,"06:53:24","04:02","RS","RS   The Cong BD15 U20",
,"06:53:24","04:03","B POSS","B POSS   VLXD Binh Duong U20",
,"06:53:25","04:04","K","K   VLXD Binh Duong U20",
