"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888330","Vietnam","Premier League U20 (men)","11.10.2017 - 10:30","Ha Tinh U20","Vinh Long U20",
"Statistics","Ha Tinh U20","Type","Vinh Long U20",
,"3","Score","0",
,"75","Points","63",
,"3","Sets","0",
,"9","Aces","7",
,"7","Service errors","13",
,"35","Kills","37",
,"8","Blocks","2",
,"3","Errors","6",
,"7","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"10:01:40","00:00","Game conditions changed","Game conditions changed",
,"10:22:25","00:00","Players warming up","Players warming up",
,"10:22:47","00:00","Jersey colours updated","Jersey colours updated",
,"10:22:48","00:00","Jersey colours updated","Jersey colours updated",
,"10:25:57","00:00","Coin flipping","Coin flipping",
,"10:25:58","00:00","Players lined up","Players lined up",
,"10:26:00","00:00","Shake hands","Shake hands",
,"10:35:53","00:00","Warm up at the net","Warm up at the net",
,"10:47:25","00:00","Players intro","Players intro",
,"10:48:38","00:00","Game about to start","Game about to start",
,"10:48:50","00:00","Start SRV","Start SRV   Vinh Long U20",
,"10:48:51","00:00","Start 1st Set","Start 1st Set",
,"10:48:51","00:00","SRV","SRV   Vinh Long U20",
,"10:48:53","00:02","RS","RS   Vinh Long U20",
,"10:48:54","00:03","B POSS","B POSS   Ha Tinh U20",
,"10:48:58","00:06","B","B   Vinh Long U20",
,"10:48:58","00:06","P","[0 : 1]   P   Vinh Long U20",
,"10:49:15","00:24","Pt Conf","Pt Conf   Vinh Long U20",
,"10:49:16","00:25","SRV","SRV   Vinh Long U20",
,"10:49:18","00:27","RS","RS   Vinh Long U20",
,"10:49:19","00:28","B POSS","B POSS   Ha Tinh U20",
,"10:49:23","00:31","K","K   Ha Tinh U20",
,"10:49:23","00:31","P","[1 : 1]   P   Ha Tinh U20",
,"10:49:36","00:45","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:49:39","00:48","SRV","SRV   Ha Tinh U20",
,"10:49:43","00:51","S ERR","S ERR   Ha Tinh U20",
,"10:49:43","00:51","P","[1 : 2]   P   Vinh Long U20",
,"10:49:57","01:06","Pt Conf","Pt Conf   Vinh Long U20",
,"10:50:05","01:14","SRV","SRV   Vinh Long U20",
,"10:50:07","01:16","RS","RS   Vinh Long U20",
,"10:50:08","01:17","B POSS","B POSS   Ha Tinh U20",
,"10:50:13","01:22","ERR","ERR   Ha Tinh U20",
,"10:50:13","01:22","P","[1 : 3]   P   Vinh Long U20",
,"10:50:25","01:33","Pt Conf","Pt Conf   Vinh Long U20",
,"10:50:27","01:35","SRV","SRV   Vinh Long U20",
,"10:50:31","01:40","A","A   Vinh Long U20",
,"10:50:31","01:40","P","[1 : 4]   P   Vinh Long U20",
,"10:50:46","01:55","Pt Conf","Pt Conf   Vinh Long U20",
,"10:50:54","02:03","SRV","SRV   Vinh Long U20",
,"10:50:58","02:07","S ERR","S ERR   Vinh Long U20",
,"10:50:58","02:07","P","[2 : 4]   P   Ha Tinh U20",
,"10:51:18","02:27","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:51:23","02:32","SRV","SRV   Ha Tinh U20",
,"10:51:26","02:34","RS","RS   Ha Tinh U20",
,"10:51:27","02:35","B POSS","B POSS   Vinh Long U20",
,"10:51:30","02:39","B POSS","B POSS   Ha Tinh U20",
,"10:51:35","02:44","OUT","OUT   Ha Tinh U20",
,"10:51:35","02:44","P","[2 : 5]   P   Vinh Long U20",
,"10:51:52","03:01","Pt Conf","Pt Conf   Vinh Long U20",
,"10:51:53","03:02","SRV","SRV   Vinh Long U20",
,"10:51:56","03:05","RS","RS   Vinh Long U20",
,"10:51:57","03:05","B POSS","B POSS   Ha Tinh U20",
,"10:52:07","03:15","OUT","OUT   Vinh Long U20",
,"10:52:07","03:15","P","[3 : 5]   P   Ha Tinh U20",
,"10:52:22","03:30","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:52:23","03:31","SRV","SRV   Ha Tinh U20",
,"10:52:24","03:33","S ERR","S ERR   Ha Tinh U20",
,"10:52:24","03:33","P","[3 : 6]   P   Vinh Long U20",
,"10:52:39","03:48","Pt Conf","Pt Conf   Vinh Long U20",
,"10:52:41","03:49","SRV","SRV   Vinh Long U20",
,"10:52:43","03:51","S ERR","S ERR   Vinh Long U20",
,"10:52:43","03:51","P","[4 : 6]   P   Ha Tinh U20",
,"10:53:01","04:10","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:53:05","04:13","SRV","SRV   Ha Tinh U20",
,"10:53:07","04:16","RS","RS   Ha Tinh U20",
,"10:53:08","04:16","B POSS","B POSS   Vinh Long U20",
,"10:53:17","04:25","ERR","ERR   Vinh Long U20",
,"10:53:17","04:25","P","[5 : 6]   P   Ha Tinh U20",
,"10:53:34","04:43","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:53:36","04:45","SRV","SRV   Ha Tinh U20",
,"10:53:40","04:48","RS","RS   Ha Tinh U20",
,"10:53:41","04:49","B POSS","B POSS   Vinh Long U20",
,"10:53:42","04:51","K","K   Ha Tinh U20",
,"10:53:42","04:51","P","[6 : 6]   P   Ha Tinh U20",
,"10:53:56","05:05","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:54:00","05:09","SRV","SRV   Ha Tinh U20",
,"10:54:03","05:12","RS","RS   Ha Tinh U20",
,"10:54:04","05:13","B POSS","B POSS   Vinh Long U20",
,"10:54:05","05:14","K","K   Vinh Long U20",
,"10:54:05","05:14","P","[6 : 7]   P   Vinh Long U20",
,"10:54:18","05:27","Pt Conf","Pt Conf   Vinh Long U20",
,"10:54:20","05:28","SRV","SRV   Vinh Long U20",
,"10:54:22","05:31","RS","RS   Vinh Long U20",
,"10:54:23","05:32","B POSS","B POSS   Ha Tinh U20",
,"10:54:25","05:34","K","K   Ha Tinh U20",
,"10:54:25","05:34","P","[7 : 7]   P   Ha Tinh U20",
,"10:54:38","05:47","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:54:39","05:48","SRV","SRV   Ha Tinh U20",
,"10:54:42","05:51","RS","RS   Ha Tinh U20",
,"10:54:43","05:52","B POSS","B POSS   Vinh Long U20",
,"10:54:53","06:02","OUT","OUT   Ha Tinh U20",
,"10:54:53","06:02","P","[7 : 8]   P   Vinh Long U20",
,"10:55:06","06:15","Pt Conf","Pt Conf   Vinh Long U20",
,"10:55:07","06:16","SRV","SRV   Vinh Long U20",
,"10:55:10","06:19","RS","RS   Vinh Long U20",
,"10:55:11","06:20","B POSS","B POSS   Ha Tinh U20",
,"10:55:17","06:26","OUT","OUT   Ha Tinh U20",
,"10:55:17","06:26","P","[7 : 9]   P   Vinh Long U20",
,"10:55:28","06:37","Pt Conf","Pt Conf   Vinh Long U20",
,"10:56:05","07:14","SRV","SRV   Vinh Long U20",
,"10:56:07","07:16","S ERR","S ERR   Vinh Long U20",
,"10:56:07","07:16","P","[8 : 9]   P   Ha Tinh U20",
,"10:56:24","07:33","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:56:25","07:34","SRV","SRV   Ha Tinh U20",
,"10:56:28","07:37","A","A   Ha Tinh U20",
,"10:56:28","07:37","P","[9 : 9]   P   Ha Tinh U20",
,"10:56:43","07:52","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:56:44","07:53","SRV","SRV   Ha Tinh U20",
,"10:56:46","07:55","RS","RS   Ha Tinh U20",
,"10:56:47","07:56","B POSS","B POSS   Vinh Long U20",
,"10:56:52","08:01","ERR","ERR   Vinh Long U20",
,"10:56:52","08:01","P","[10 : 9]   P   Ha Tinh U20",
,"10:57:12","08:21","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:57:13","08:22","SRV","SRV   Ha Tinh U20",
,"10:57:14","08:23","A","A   Ha Tinh U20",
,"10:57:14","08:23","P","[11 : 9]   P   Ha Tinh U20",
,"10:57:26","08:34","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:57:27","08:36","TIME","TIME",
,"10:57:41","08:50","TIME","TIME   Vinh Long U20",
,"10:58:30","09:39","SRV","SRV   Ha Tinh U20",
,"10:58:33","09:41","S ERR","S ERR   Ha Tinh U20",
,"10:58:33","09:41","P","[11 : 10]   P   Vinh Long U20",
,"10:58:45","09:54","Pt Conf","Pt Conf   Vinh Long U20",
,"10:58:47","09:56","SRV","SRV   Vinh Long U20",
,"10:58:49","09:58","RS","RS   Vinh Long U20",
,"10:58:50","09:59","B POSS","B POSS   Ha Tinh U20",
,"10:58:53","10:02","OUT","OUT   Ha Tinh U20",
,"10:58:53","10:02","P","[11 : 11]   P   Vinh Long U20",
,"10:59:05","10:14","Pt Conf","Pt Conf   Vinh Long U20",
,"10:59:09","10:17","SRV","SRV   Vinh Long U20",
,"10:59:12","10:20","S ERR","S ERR   Vinh Long U20",
,"10:59:12","10:20","P","[12 : 11]   P   Ha Tinh U20",
,"10:59:26","10:34","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:59:27","10:36","SRV","SRV   Ha Tinh U20",
,"10:59:28","10:37","RS","RS   Ha Tinh U20",
,"10:59:29","10:37","B POSS","B POSS   Vinh Long U20",
,"10:59:31","10:40","B","B   Ha Tinh U20",
,"10:59:31","10:40","P","[13 : 11]   P   Ha Tinh U20",
,"10:59:44","10:52","Pt Conf","Pt Conf   Ha Tinh U20",
,"10:59:45","10:53","SRV","SRV   Ha Tinh U20",
,"10:59:46","10:55","RS","RS   Ha Tinh U20",
,"10:59:47","10:56","B POSS","B POSS   Vinh Long U20",
,"10:59:50","10:58","K","K   Vinh Long U20",
,"10:59:50","10:58","P","[13 : 12]   P   Vinh Long U20",
,"11:00:05","11:14","Pt Conf","Pt Conf   Vinh Long U20",
,"11:00:07","11:16","SRV","SRV   Vinh Long U20",
,"11:00:08","11:17","RS","RS   Vinh Long U20",
,"11:00:09","11:18","B POSS","B POSS   Ha Tinh U20",
,"11:00:12","11:21","K","K   Ha Tinh U20",
,"11:00:12","11:21","P","[14 : 12]   P   Ha Tinh U20",
,"11:00:29","11:38","Pt Conf","Pt Conf   Ha Tinh U20",
,"11:00:30","11:39","SRV","SRV   Ha Tinh U20",
,"11:00:33","11:42","RS","RS   Ha Tinh U20",
