"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887485","Italy","Coppa Italia A1 (men)","12.10.2017 - 18:30","Pallavolo Piacenza","Pallavolo Padova",
"Statistics","Pallavolo Piacenza","Type","Pallavolo Padova",
,"1","Score","3",
,"95","Points","100",
,"1","Sets","3",
,"8","Aces","5",
,"25","Service errors","22",
,"49","Kills","42",
,"8","Blocks","16",
,"5","Errors","4",
,"7","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"17:51:36","00:00","Game conditions changed","Game conditions changed",
,"17:51:38","00:00","Players warming up","Players warming up",
,"18:13:03","00:00","Warm up at the net","Warm up at the net",
,"18:23:58","00:00","Players intro","Players intro",
,"18:27:02","00:00","Jersey colours updated","Jersey colours updated",
,"18:27:02","00:00","Jersey colours updated","Jersey colours updated",
,"18:27:21","00:00","Players lined up","Players lined up",
,"18:28:11","00:00","Shake hands","Shake hands",
,"18:30:34","00:00","Game about to start","Game about to start",
,"18:31:46","00:00","Start SRV","Start SRV   Pallavolo Padova",
,"18:32:01","00:00","Start 1st Set","Start 1st Set",
,"18:32:01","00:00","SRV","SRV   Pallavolo Padova",
,"18:32:04","00:02","RS","RS   Pallavolo Padova",
,"18:32:04","00:03","B POSS","B POSS   Pallavolo Piacenza",
,"18:32:10","00:08","ERR","ERR   Pallavolo Piacenza",
,"18:32:10","00:08","P","[0 : 1]   P   Pallavolo Padova",
,"18:32:31","00:29","Pt Conf","Pt Conf   Pallavolo Padova",
,"18:32:32","00:30","SRV","SRV   Pallavolo Padova",
,"18:32:36","00:34","RS","RS   Pallavolo Padova",
,"18:32:36","00:35","B POSS","B POSS   Pallavolo Piacenza",
,"18:32:40","00:38","B POSS","B POSS   Pallavolo Padova",
,"18:32:43","00:42","B POSS","B POSS   Pallavolo Piacenza",
,"18:32:47","00:46","K","K   Pallavolo Piacenza",
,"18:32:47","00:46","P","[1 : 1]   P   Pallavolo Piacenza",
,"18:33:07","01:05","Pt Conf","Pt Conf   Pallavolo Piacenza",
,"18:33:10","01:09","SRV","SRV   Pallavolo Piacenza",
