"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"879484","Poland","Polska Liga (men)","12.10.2017 - 17:00","MKS Bedzin","AZS Politechnika Warszawska",
"Statistics","MKS Bedzin","Type","AZS Politechnika Warszawska",
,"3","Score","2",
,"113","Points","105",
,"3","Sets","2",
,"8","Aces","3",
,"19","Service errors","15",
,"72","Kills","62",
,"12","Blocks","12",
,"5","Errors","2",
,"4","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"16:23:42","00:00","Game conditions changed","Game conditions changed",
,"16:23:51","00:00","Players warming up","Players warming up",
,"16:35:09","00:00","Jersey colours updated","Jersey colours updated",
,"16:35:09","00:00","Jersey colours updated","Jersey colours updated",
,"16:35:35","00:00","Jersey colours updated","Jersey colours updated",
,"16:44:08","00:00","Coin flipping","Coin flipping",
,"16:45:16","00:00","Warm up at the net","Warm up at the net",
,"16:54:56","00:00","Game conditions changed","Game conditions changed",
,"16:55:53","00:00","Players lined up","Players lined up",
,"16:57:13","00:00","Shake hands","Shake hands",
,"16:58:23","00:00","Players intro","Players intro",
,"16:59:40","00:00","Game about to start","Game about to start",
,"17:00:26","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"17:00:30","00:00","Start SRV","Start SRV   AZS Politechnika Warszawska",
,"17:00:44","00:00","Start 1st Set","Start 1st Set",
,"17:00:44","00:00","SRV","SRV   AZS Politechnika Warszawska",
,"17:00:45","00:01","S ERR","S ERR   AZS Politechnika Warszawska",
,"17:00:45","00:01","P","[1 : 0]   P   MKS Bedzin",
,"17:01:01","00:17","Pt Conf","Pt Conf   MKS Bedzin",
,"17:01:06","00:22","SRV","SRV   MKS Bedzin",
,"17:01:09","00:25","S ERR","S ERR   MKS Bedzin",
,"17:01:09","00:25","P","[1 : 1]   P   AZS Politechnika Warszawska",
,"17:01:25","00:41","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:01:26","00:42","SRV","SRV   AZS Politechnika Warszawska",
,"17:01:28","00:44","RS","RS   AZS Politechnika Warszawska",
,"17:01:29","00:45","B POSS","B POSS   MKS Bedzin",
,"17:01:35","00:51","K","K   MKS Bedzin",
,"17:01:35","00:51","P","[2 : 1]   P   MKS Bedzin",
,"17:01:53","01:09","Pt Conf","Pt Conf   MKS Bedzin",
,"17:01:55","01:11","SRV","SRV   MKS Bedzin",
,"17:02:02","01:17","A","A   MKS Bedzin",
,"17:02:02","01:17","P","[3 : 1]   P   MKS Bedzin",
,"17:02:23","01:39","Pt Conf","Pt Conf   MKS Bedzin",
,"17:02:27","01:43","SRV","SRV   MKS Bedzin",
,"17:02:29","01:45","RS","RS   MKS Bedzin",
,"17:02:29","01:45","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:02:32","01:48","B POSS","B POSS   MKS Bedzin",
,"17:02:37","01:52","B","B   AZS Politechnika Warszawska",
,"17:02:37","01:52","P","[3 : 2]   P   AZS Politechnika Warszawska",
,"17:02:52","02:08","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:02:55","02:11","SRV","SRV   AZS Politechnika Warszawska",
,"17:02:57","02:13","RS","RS   AZS Politechnika Warszawska",
,"17:02:57","02:13","B POSS","B POSS   MKS Bedzin",
,"17:03:04","02:20","K","K   MKS Bedzin",
,"17:03:04","02:20","P","[4 : 2]   P   MKS Bedzin",
,"17:03:23","02:39","Pt Conf","Pt Conf   MKS Bedzin",
,"17:03:26","02:42","SRV","SRV   MKS Bedzin",
,"17:03:29","02:44","RS","RS   MKS Bedzin",
,"17:03:29","02:45","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:03:34","02:49","K","K   AZS Politechnika Warszawska",
,"17:03:34","02:49","P","[4 : 3]   P   AZS Politechnika Warszawska",
,"17:03:49","03:05","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:03:56","03:12","SRV","SRV   AZS Politechnika Warszawska",
,"17:03:58","03:14","RS","RS   AZS Politechnika Warszawska",
,"17:03:59","03:14","B POSS","B POSS   MKS Bedzin",
,"17:04:04","03:20","K","K   MKS Bedzin",
,"17:04:04","03:20","P","[5 : 3]   P   MKS Bedzin",
,"17:04:26","03:42","Pt Conf","Pt Conf   MKS Bedzin",
,"17:04:27","03:43","SRV","SRV   MKS Bedzin",
,"17:04:29","03:45","RS","RS   MKS Bedzin",
,"17:04:29","03:45","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:04:34","03:50","K","K   AZS Politechnika Warszawska",
,"17:04:34","03:50","P","[5 : 4]   P   AZS Politechnika Warszawska",
,"17:04:49","04:05","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:04:50","04:06","SRV","SRV   AZS Politechnika Warszawska",
,"17:04:54","04:10","S ERR","S ERR   AZS Politechnika Warszawska",
,"17:04:54","04:10","P","[6 : 4]   P   MKS Bedzin",
,"17:05:09","04:24","Pt Conf","Pt Conf   MKS Bedzin",
,"17:05:14","04:30","SRV","SRV   MKS Bedzin",
,"17:05:17","04:32","S ERR","S ERR   MKS Bedzin",
,"17:05:17","04:32","P","[6 : 5]   P   AZS Politechnika Warszawska",
,"17:05:31","04:47","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:05:33","04:49","SRV","SRV   AZS Politechnika Warszawska",
,"17:05:36","04:52","RS","RS   AZS Politechnika Warszawska",
,"17:05:36","04:52","B POSS","B POSS   MKS Bedzin",
,"17:05:40","04:56","B","B   AZS Politechnika Warszawska",
,"17:05:40","04:56","P","[6 : 6]   P   AZS Politechnika Warszawska",
,"17:05:56","05:12","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:05:58","05:13","SRV","SRV   AZS Politechnika Warszawska",
,"17:06:00","05:16","RS","RS   AZS Politechnika Warszawska",
,"17:06:00","05:16","B POSS","B POSS   MKS Bedzin",
,"17:06:05","05:21","K","K   MKS Bedzin",
,"17:06:05","05:21","P","[7 : 6]   P   MKS Bedzin",
,"17:06:19","05:35","Pt Conf","Pt Conf   MKS Bedzin",
,"17:06:20","05:35","SRV","SRV   MKS Bedzin",
,"17:06:21","05:37","RS","RS   MKS Bedzin",
,"17:06:21","05:37","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:06:24","05:40","B POSS","B POSS   MKS Bedzin",
,"17:06:29","05:45","K","K   MKS Bedzin",
,"17:06:29","05:45","P","[8 : 6]   P   MKS Bedzin",
,"17:06:51","06:07","Pt Conf","Pt Conf   MKS Bedzin",
,"17:06:53","06:09","SRV","SRV   MKS Bedzin",
,"17:06:55","06:11","RS","RS   MKS Bedzin",
,"17:06:55","06:11","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:06:59","06:15","K","K   AZS Politechnika Warszawska",
,"17:06:59","06:15","P","[8 : 7]   P   AZS Politechnika Warszawska",
,"17:07:18","06:34","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:07:22","06:38","SRV","SRV   AZS Politechnika Warszawska",
,"17:07:25","06:41","RS","RS   AZS Politechnika Warszawska",
,"17:07:25","06:41","B POSS","B POSS   MKS Bedzin",
,"17:07:31","06:47","K","K   MKS Bedzin",
,"17:07:31","06:47","P","[9 : 7]   P   MKS Bedzin",
,"17:07:49","07:05","Pt Conf","Pt Conf   MKS Bedzin",
,"17:07:51","07:07","SRV","SRV   MKS Bedzin",
,"17:07:53","07:09","RS","RS   MKS Bedzin",
,"17:07:53","07:09","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:07:58","07:14","K","K   AZS Politechnika Warszawska",
,"17:07:58","07:14","P","[9 : 8]   P   AZS Politechnika Warszawska",
,"17:08:20","07:36","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:08:22","07:38","SRV","SRV   AZS Politechnika Warszawska",
,"17:08:25","07:41","RS","RS   AZS Politechnika Warszawska",
,"17:08:25","07:41","B POSS","B POSS   MKS Bedzin",
,"17:08:28","07:44","K","K   MKS Bedzin",
,"17:08:28","07:44","P","[10 : 8]   P   MKS Bedzin",
,"17:08:45","08:01","Pt Conf","Pt Conf   MKS Bedzin",
,"17:08:50","08:06","SRV","SRV   MKS Bedzin",
,"17:08:52","08:08","RS","RS   MKS Bedzin",
,"17:08:52","08:08","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:08:58","08:14","K","K   AZS Politechnika Warszawska",
,"17:08:58","08:14","P","[10 : 9]   P   AZS Politechnika Warszawska",
,"17:09:08","08:24","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:09:12","08:28","SRV","SRV   AZS Politechnika Warszawska",
,"17:09:14","08:30","RS","RS   AZS Politechnika Warszawska",
,"17:09:15","08:31","B POSS","B POSS   MKS Bedzin",
,"17:09:20","08:36","B","B   AZS Politechnika Warszawska",
,"17:09:20","08:36","P","[10 : 10]   P   AZS Politechnika Warszawska",
,"17:09:34","08:50","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:09:37","08:53","SRV","SRV   AZS Politechnika Warszawska",
,"17:09:39","08:55","RS","RS   AZS Politechnika Warszawska",
,"17:09:39","08:55","B POSS","B POSS   MKS Bedzin",
,"17:09:42","08:58","K","K   MKS Bedzin",
,"17:09:42","08:58","P","[11 : 10]   P   MKS Bedzin",
,"17:09:57","09:13","Pt Conf","Pt Conf   MKS Bedzin",
,"17:10:00","09:16","SRV","SRV   MKS Bedzin",
,"17:10:03","09:19","RS","RS   MKS Bedzin",
,"17:10:03","09:19","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:10:08","09:24","B","B   MKS Bedzin",
,"17:10:08","09:24","P","[12 : 10]   P   MKS Bedzin",
,"17:10:21","09:37","Pt Conf","Pt Conf   MKS Bedzin",
,"17:10:23","09:39","SRV","SRV   MKS Bedzin",
,"17:10:25","09:41","RS","RS   MKS Bedzin",
,"17:10:26","09:42","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:10:31","09:47","K","K   AZS Politechnika Warszawska",
,"17:10:31","09:47","P","[12 : 11]   P   AZS Politechnika Warszawska",
,"17:10:50","10:06","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:10:55","10:11","SRV","SRV   AZS Politechnika Warszawska",
,"17:10:59","10:15","S ERR","S ERR   AZS Politechnika Warszawska",
,"17:10:59","10:15","P","[13 : 11]   P   MKS Bedzin",
,"17:11:15","10:31","Pt Conf","Pt Conf   MKS Bedzin",
,"17:11:16","10:32","SRV","SRV   MKS Bedzin",
,"17:11:18","10:34","RS","RS   MKS Bedzin",
,"17:11:18","10:34","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:11:25","10:41","K","K   AZS Politechnika Warszawska",
,"17:11:25","10:41","P","[13 : 12]   P   AZS Politechnika Warszawska",
,"17:11:41","10:57","Pt Conf","Pt Conf   AZS Politechnika Warszawska",
,"17:11:43","10:59","SRV","SRV   AZS Politechnika Warszawska",
,"17:11:46","11:02","RS","RS   AZS Politechnika Warszawska",
,"17:11:46","11:02","B POSS","B POSS   MKS Bedzin",
,"17:11:51","11:07","K","K   MKS Bedzin",
,"17:11:51","11:07","P","[14 : 12]   P   MKS Bedzin",
,"17:12:10","11:26","Pt Conf","Pt Conf   MKS Bedzin",
,"17:12:11","11:27","SRV","SRV   MKS Bedzin",
,"17:12:14","11:30","RS","RS   MKS Bedzin",
,"17:12:15","11:30","B POSS","B POSS   AZS Politechnika Warszawska",
,"17:12:18","11:34","B POSS","B POSS   MKS Bedzin",
,"17:12:31","11:47","B","B   AZS Politechnika Warszawska",
,"17:12:31","11:47","P","[14 : 13]   P   AZS Politechnika Warszawska",
