"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887670","Russia","Vischaya Liga B (women)","12.10.2017 - 13:00","VC Bryansk (women)","VC Gatchinka (women)",
"Statistics","VC Bryansk (women)","Type","VC Gatchinka (women)",
,"2","Score","3",
,"110","Points","105",
,"2","Sets","3",
,"9","Aces","11",
,"12","Service errors","12",
,"54","Kills","48",
,"7","Blocks","9",
,"15","Errors","14",
,"10","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:24:52","00:00","Game conditions changed","Game conditions changed",
,"12:24:54","00:00","Players warming up","Players warming up",
,"12:46:55","00:00","Jersey colours updated","Jersey colours updated",
,"12:46:55","00:00","Jersey colours updated","Jersey colours updated",
,"12:50:38","00:00","Warm up at the net","Warm up at the net",
,"12:57:28","00:00","Players lined up","Players lined up",
,"12:58:46","00:00","Players intro","Players intro",
,"12:59:57","00:00","Game about to start","Game about to start",
,"13:00:11","00:00","Start SRV","Start SRV   VC Gatchinka (women)",
,"13:00:24","00:00","Start 1st Set","Start 1st Set",
,"13:00:24","00:00","SRV","SRV   VC Gatchinka (women)",
,"13:00:30","00:06","RS","RS   VC Gatchinka (women)",
,"13:00:31","00:06","B POSS","B POSS   VC Bryansk (women)",
,"13:00:34","00:10","B POSS","B POSS   VC Gatchinka (women)",
,"13:00:38","00:13","K","K   VC Gatchinka (women)",
,"13:00:38","00:13","P","[0 : 1]   P   VC Gatchinka (women)",
,"13:00:50","00:25","Pt Conf","Pt Conf   VC Gatchinka (women)",
,"13:00:54","00:29","SRV","SRV   VC Gatchinka (women)",
,"13:00:58","00:33","RS","RS   VC Gatchinka (women)",
,"13:00:58","00:33","B POSS","B POSS   VC Bryansk (women)",
,"13:01:09","00:44","K","K   VC Bryansk (women)",
,"13:01:09","00:44","P","[1 : 1]   P   VC Bryansk (women)",
,"13:01:21","00:57","Pt Conf","Pt Conf   VC Bryansk (women)",
,"13:01:30","01:06","SRV","SRV   VC Bryansk (women)",
,"13:01:33","01:09","RS","RS   VC Bryansk (women)",
,"13:01:33","01:09","B POSS","B POSS   VC Gatchinka (women)",
,"13:01:37","01:13","B POSS","B POSS   VC Bryansk (women)",
,"13:01:43","01:18","ERR","ERR   VC Gatchinka (women)",
,"13:01:43","01:18","P","[2 : 1]   P   VC Bryansk (women)",
,"13:01:56","01:31","Pt Conf","Pt Conf   VC Bryansk (women)",
,"13:02:02","01:37","SRV","SRV   VC Bryansk (women)",
,"13:02:04","01:40","RS","RS   VC Bryansk (women)",
,"13:02:05","01:40","B POSS","B POSS   VC Gatchinka (women)",
,"13:02:09","01:44","ERR","ERR   VC Gatchinka (women)",
,"13:02:09","01:44","P","[3 : 1]   P   VC Bryansk (women)",
,"13:02:22","01:58","Pt Conf","Pt Conf   VC Bryansk (women)",
,"13:02:31","02:06","SRV","SRV   VC Bryansk (women)",
,"13:02:34","02:09","RS","RS   VC Bryansk (women)",
,"13:02:34","02:09","B POSS","B POSS   VC Gatchinka (women)",
,"13:02:39","02:14","K","K   VC Gatchinka (women)",
,"13:02:39","02:14","P","[3 : 2]   P   VC Gatchinka (women)",
,"13:02:51","02:27","Pt Conf","Pt Conf   VC Gatchinka (women)",
,"13:02:57","02:32","SRV","SRV   VC Gatchinka (women)",
,"13:02:59","02:34","RS","RS   VC Gatchinka (women)",
,"13:02:59","02:34","B POSS","B POSS   VC Bryansk (women)",
,"13:03:04","02:39","K","K   VC Bryansk (women)",
,"13:03:04","02:39","P","[4 : 2]   P   VC Bryansk (women)",
,"13:03:15","02:50","Pt Conf","Pt Conf   VC Bryansk (women)",
,"13:03:19","02:54","SRV","SRV   VC Bryansk (women)",
,"13:03:21","02:56","RS","RS   VC Bryansk (women)",
,"13:03:21","02:57","B POSS","B POSS   VC Gatchinka (women)",
,"13:03:26","03:01","B POSS","B POSS   VC Bryansk (women)",
,"13:03:29","03:04","B POSS","B POSS   VC Gatchinka (women)",
,"13:03:33","03:08","K","K   VC Gatchinka (women)",
,"13:03:33","03:08","P","[4 : 3]   P   VC Gatchinka (women)",
,"13:03:44","03:19","Pt Conf","Pt Conf   VC Gatchinka (women)",
,"13:03:49","03:25","SRV","SRV   VC Gatchinka (women)",
,"13:03:52","03:28","RS","RS   VC Gatchinka (women)",
,"13:03:53","03:28","B POSS","B POSS   VC Bryansk (women)",
,"13:03:55","03:30","B POSS","B POSS   VC Gatchinka (women)",
,"13:04:01","03:36","B POSS","B POSS   VC Bryansk (women)",
,"13:04:03","03:39","B","B   VC Gatchinka (women)",
,"13:04:03","03:39","P","[4 : 4]   P   VC Gatchinka (women)",
,"13:04:15","03:51","Pt Conf","Pt Conf   VC Gatchinka (women)",
