"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887671","Russia","Vischaya Liga B (women)","12.10.2017 - 15:00","VK Obninsk (women)","VC Tulitsa II (women)",
"Statistics","VK Obninsk (women)","Type","VC Tulitsa II (women)",
,"3","Score","0",
,"75","Points","48",
,"3","Sets","0",
,"15","Aces","3",
,"12","Service errors","4",
,"40","Kills","18",
,"4","Blocks","4",
,"5","Errors","11",
,"6","Outs","1",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:06:42","00:00","Game conditions changed","Game conditions changed",
,"15:06:58","00:00","Players warming up","Players warming up",
,"15:23:34","00:00","Warm up at the net","Warm up at the net",
,"15:24:05","00:00","Jersey colours updated","Jersey colours updated",
,"15:24:05","00:00","Jersey colours updated","Jersey colours updated",
,"15:25:42","00:00","Game conditions changed","Game conditions changed",
,"15:35:41","00:00","Players lined up","Players lined up",
,"15:35:47","00:00","National anthem singing","National anthem singing",
,"15:38:13","00:00","Players intro","Players intro",
,"15:39:10","00:00","Game about to start","Game about to start",
,"15:39:29","00:00","Start SRV","Start SRV   VK Obninsk (women)",
,"15:39:40","00:00","Start 1st Set","Start 1st Set",
,"15:39:40","00:00","SRV","SRV   VK Obninsk (women)",
,"15:39:46","00:06","RS","RS   VK Obninsk (women)",
,"15:39:46","00:06","B POSS","B POSS   VC Tulitsa II (women)",
,"15:39:58","00:17","ERR","ERR   VK Obninsk (women)",
,"15:39:58","00:17","P","[0 : 1]   P   VC Tulitsa II (women)",
,"15:40:12","00:32","Pt Conf","Pt Conf   VC Tulitsa II (women)",
,"15:40:14","00:34","SRV","SRV   VC Tulitsa II (women)",
,"15:40:18","00:38","RS","RS   VC Tulitsa II (women)",
,"15:40:18","00:38","B POSS","B POSS   VK Obninsk (women)",
,"15:40:26","00:46","K","K   VK Obninsk (women)",
,"15:40:26","00:46","P","[1 : 1]   P   VK Obninsk (women)",
,"15:40:38","00:57","Pt Conf","Pt Conf   VK Obninsk (women)",
,"15:40:42","01:02","SRV","SRV   VK Obninsk (women)",
,"15:40:45","01:04","RS","RS   VK Obninsk (women)",
,"15:40:45","01:04","B POSS","B POSS   VC Tulitsa II (women)",
,"15:40:47","01:07","B POSS","B POSS   VK Obninsk (women)",
