"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888246","Russia","Vischaya Liga B (women)","12.10.2017 - 15:30","Universitet-Vizit (women)","VC Ryazan (women)",
"Statistics","Universitet-Vizit (women)","Type","VC Ryazan (women)",
,"0","Score","3",
,"59","Points","75",
,"0","Sets","3",
,"8","Aces","13",
,"8","Service errors","12",
,"25","Kills","32",
,"4","Blocks","9",
,"7","Errors","7",
,"6","Outs","3",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:50:01","00:00","Game conditions changed","Game conditions changed",
,"14:50:03","00:00","Players warming up","Players warming up",
,"15:16:33","00:00","Jersey colours updated","Jersey colours updated",
,"15:16:33","00:00","Jersey colours updated","Jersey colours updated",
,"15:19:33","00:00","Warm up at the net","Warm up at the net",
,"15:25:09","00:00","Players lined up","Players lined up",
,"15:25:40","00:00","National anthem singing","National anthem singing",
,"15:27:05","00:00","Shake hands","Shake hands",
,"15:28:29","00:00","Players intro","Players intro",
,"15:29:48","00:00","Game about to start","Game about to start",
,"15:30:13","00:00","Start SRV","Start SRV   VC Ryazan (women)",
,"15:30:37","00:00","Start 1st Set","Start 1st Set",
,"15:30:37","00:00","SRV","SRV   VC Ryazan (women)",
,"15:30:44","00:06","RS","RS   VC Ryazan (women)",
,"15:30:44","00:07","B POSS","B POSS   Universitet-Vizit (women)",
,"15:30:52","00:14","K","K   Universitet-Vizit (women)",
,"15:30:52","00:14","P","[1 : 0]   P   Universitet-Vizit (women)",
,"15:31:04","00:26","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:31:05","00:27","SRV","SRV   Universitet-Vizit (women)",
,"15:31:09","00:31","RS","RS   Universitet-Vizit (women)",
,"15:31:09","00:31","B POSS","B POSS   VC Ryazan (women)",
,"15:31:13","00:35","B POSS","B POSS   Universitet-Vizit (women)",
,"15:31:14","00:36","B POSS","B POSS   VC Ryazan (women)",
,"15:31:17","00:39","K","K   VC Ryazan (women)",
,"15:31:17","00:39","P","[1 : 1]   P   VC Ryazan (women)",
,"15:31:31","00:53","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:31:32","00:54","SRV","SRV   VC Ryazan (women)",
,"15:31:38","01:00","RS","RS   VC Ryazan (women)",
,"15:31:38","01:00","B POSS","B POSS   Universitet-Vizit (women)",
,"15:31:42","01:04","K","K   Universitet-Vizit (women)",
,"15:31:42","01:04","P","[2 : 1]   P   Universitet-Vizit (women)",
,"15:31:55","01:17","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:31:56","01:18","SRV","SRV   Universitet-Vizit (women)",
,"15:32:02","01:24","RS","RS   Universitet-Vizit (women)",
,"15:32:02","01:24","B POSS","B POSS   VC Ryazan (women)",
,"15:32:11","01:33","K","K   VC Ryazan (women)",
,"15:32:11","01:33","P","[2 : 2]   P   VC Ryazan (women)",
,"15:32:25","01:47","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:32:26","01:48","SRV","SRV   VC Ryazan (women)",
,"15:32:29","01:51","RS","RS   VC Ryazan (women)",
,"15:32:29","01:51","B POSS","B POSS   Universitet-Vizit (women)",
,"15:32:32","01:54","B POSS","B POSS   VC Ryazan (women)",
,"15:32:40","02:02","B POSS","B POSS   Universitet-Vizit (women)",
,"15:32:49","02:11","K","K   Universitet-Vizit (women)",
,"15:32:49","02:11","P","[3 : 2]   P   Universitet-Vizit (women)",
,"15:33:03","02:25","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:33:04","02:26","SRV","SRV   Universitet-Vizit (women)",
,"15:33:12","02:34","A","A   Universitet-Vizit (women)",
,"15:33:12","02:34","P","[4 : 2]   P   Universitet-Vizit (women)",
,"15:33:24","02:46","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:33:25","02:47","SRV","SRV   Universitet-Vizit (women)",
,"15:33:29","02:51","RS","RS   Universitet-Vizit (women)",
,"15:33:29","02:51","B POSS","B POSS   VC Ryazan (women)",
,"15:33:34","02:56","B","B   Universitet-Vizit (women)",
,"15:33:34","02:56","P","[5 : 2]   P   Universitet-Vizit (women)",
,"15:33:46","03:08","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:33:47","03:09","SRV","SRV   Universitet-Vizit (women)",
,"15:33:50","03:12","S ERR","S ERR   Universitet-Vizit (women)",
,"15:33:50","03:12","P","[5 : 3]   P   VC Ryazan (women)",
,"15:34:06","03:28","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:34:07","03:29","SRV","SRV   VC Ryazan (women)",
,"15:34:18","03:40","Point under investigation","Point under investigation",
,"15:34:26","03:48","S ERR","S ERR   VC Ryazan (women)",
,"15:34:26","03:48","P","[6 : 3]   P   Universitet-Vizit (women)",
,"15:34:29","03:51","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:34:30","03:52","SRV","SRV   Universitet-Vizit (women)",
,"15:34:34","03:56","A","A   Universitet-Vizit (women)",
,"15:34:34","03:56","P","[7 : 3]   P   Universitet-Vizit (women)",
,"15:34:42","04:04","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:34:43","04:05","SRV","SRV   Universitet-Vizit (women)",
,"15:34:49","04:11","S ERR","S ERR   Universitet-Vizit (women)",
,"15:34:49","04:11","P","[7 : 4]   P   VC Ryazan (women)",
,"15:35:03","04:25","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:35:04","04:26","SRV","SRV   VC Ryazan (women)",
,"15:35:08","04:30","A","A   VC Ryazan (women)",
,"15:35:08","04:30","P","[7 : 5]   P   VC Ryazan (women)",
,"15:35:21","04:43","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:35:22","04:44","SRV","SRV   VC Ryazan (women)",
,"15:35:24","04:46","RS","RS   VC Ryazan (women)",
,"15:35:24","04:46","B POSS","B POSS   Universitet-Vizit (women)",
,"15:35:27","04:49","K","K   Universitet-Vizit (women)",
,"15:35:27","04:49","P","[8 : 5]   P   Universitet-Vizit (women)",
,"15:35:41","05:03","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:35:42","05:04","TIME","TIME",
,"15:35:43","05:05","TTO","TTO",
,"15:36:25","05:47","SRV","SRV   Universitet-Vizit (women)",
,"15:36:27","05:49","RS","RS   Universitet-Vizit (women)",
,"15:36:28","05:50","B POSS","B POSS   VC Ryazan (women)",
,"15:36:32","05:54","B POSS","B POSS   Universitet-Vizit (women)",
,"15:36:41","06:03","K","K   Universitet-Vizit (women)",
,"15:36:41","06:03","P","[9 : 5]   P   Universitet-Vizit (women)",
,"15:36:53","06:15","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:36:54","06:16","SRV","SRV   Universitet-Vizit (women)",
,"15:36:58","06:20","A","A   Universitet-Vizit (women)",
,"15:36:58","06:20","P","[10 : 5]   P   Universitet-Vizit (women)",
,"15:37:11","06:33","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:37:12","06:34","TIME","TIME",
,"15:37:13","06:35","TIME","TIME   VC Ryazan (women)",
,"15:37:44","07:06","SRV","SRV   Universitet-Vizit (women)",
,"15:37:48","07:10","RS","RS   Universitet-Vizit (women)",
,"15:37:48","07:10","B POSS","B POSS   VC Ryazan (women)",
,"15:37:52","07:14","K","K   VC Ryazan (women)",
,"15:37:52","07:14","P","[10 : 6]   P   VC Ryazan (women)",
,"15:38:03","07:25","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:38:04","07:26","SRV","SRV   VC Ryazan (women)",
,"15:38:12","07:34","RS","RS   VC Ryazan (women)",
,"15:38:12","07:34","B POSS","B POSS   Universitet-Vizit (women)",
,"15:38:16","07:38","K","K   Universitet-Vizit (women)",
,"15:38:16","07:38","P","[11 : 6]   P   Universitet-Vizit (women)",
,"15:38:30","07:52","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:38:31","07:53","SRV","SRV   Universitet-Vizit (women)",
,"15:38:35","07:58","RS","RS   Universitet-Vizit (women)",
,"15:38:36","07:58","B POSS","B POSS   VC Ryazan (women)",
,"15:38:40","08:02","B POSS","B POSS   Universitet-Vizit (women)",
,"15:38:44","08:06","K","K   Universitet-Vizit (women)",
,"15:38:44","08:06","P","[12 : 6]   P   Universitet-Vizit (women)",
,"15:39:02","08:24","Point under investigation","Point under investigation",
,"15:39:50","09:12","Pt Conf","Pt Conf   Universitet-Vizit (women)",
,"15:39:53","09:15","SRV","SRV   Universitet-Vizit (women)",
,"15:39:56","09:18","RS","RS   Universitet-Vizit (women)",
,"15:39:56","09:18","B POSS","B POSS   VC Ryazan (women)",
,"15:40:06","09:28","B","B   VC Ryazan (women)",
,"15:40:06","09:28","P","[12 : 7]   P   VC Ryazan (women)",
,"15:40:24","09:46","Pt Conf","Pt Conf   VC Ryazan (women)",
,"15:40:25","09:47","SRV","SRV   VC Ryazan (women)",
,"15:40:27","09:49","RS","RS   VC Ryazan (women)",
,"15:40:27","09:49","B POSS","B POSS   Universitet-Vizit (women)",
,"15:40:32","09:54","K","K   Universitet-Vizit (women)",
