"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887690","Russia","Youth League U23","12.10.2017 - 09:00","Lokomotiv-CIVS Novosibirsk U23","Kuzbass Kemerovo U23",
"Statistics","Lokomotiv-CIVS Novosibirsk U23","Type","Kuzbass Kemerovo U23",
,"3","Score","0",
,"75","Points","59",
,"3","Sets","0",
,"5","Aces","1",
,"15","Service errors","5",
,"39","Kills","28",
,"13","Blocks","4",
,"6","Errors","9",
,"5","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"08:28:23","00:00","Game conditions changed","Game conditions changed",
,"08:28:24","00:00","Players warming up","Players warming up",
,"08:31:54","00:00","Jersey colours updated","Jersey colours updated",
,"08:31:54","00:00","Jersey colours updated","Jersey colours updated",
,"08:42:22","00:00","Coin flipping","Coin flipping",
,"08:43:05","00:00","Warm up at the net","Warm up at the net",
,"08:53:53","00:00","Players lined up","Players lined up",
,"08:54:38","00:00","National anthem singing","National anthem singing",
,"08:55:59","00:00","Shake hands","Shake hands",
,"08:57:16","00:00","Players intro","Players intro",
,"08:59:02","00:00","Game about to start","Game about to start",
,"08:59:07","00:00","Start SRV","Start SRV   Kuzbass Kemerovo U23",
,"08:59:11","00:00","Start 1st Set","Start 1st Set",
,"08:59:11","00:00","SRV","SRV   Kuzbass Kemerovo U23",
,"08:59:17","00:06","RS","RS   Kuzbass Kemerovo U23",
,"08:59:18","00:06","B POSS","B POSS   Lokomotiv-CIVS Novosibirsk U23",
,"08:59:21","00:09","B POSS","B POSS   Kuzbass Kemerovo U23",
,"08:59:24","00:13","B POSS","B POSS   Lokomotiv-CIVS Novosibirsk U23",
,"08:59:29","00:18","B POSS","B POSS   Kuzbass Kemerovo U23",
,"08:59:32","00:21","B POSS","B POSS   Lokomotiv-CIVS Novosibirsk U23",
,"08:59:36","00:25","B POSS","B POSS   Kuzbass Kemerovo U23",
,"08:59:36","00:25","Rally over 5 possession changes","Rally over 5 possession changes",
,"08:59:40","00:29","K","K   Kuzbass Kemerovo U23",
,"08:59:40","00:29","P","[0 : 1]   P   Kuzbass Kemerovo U23",
,"08:59:57","00:45","Pt Conf","Pt Conf   Kuzbass Kemerovo U23",
,"08:59:58","00:47","SRV","SRV   Kuzbass Kemerovo U23",
,"09:00:07","00:56","RS","RS   Kuzbass Kemerovo U23",
,"09:00:08","00:56","B POSS","B POSS   Lokomotiv-CIVS Novosibirsk U23",
,"09:00:11","01:00","K","K   Lokomotiv-CIVS Novosibirsk U23",
,"09:00:11","01:00","P","[1 : 1]   P   Lokomotiv-CIVS Novosibirsk U23",
