"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887706","Russia","Youth League U23","12.10.2017 - 13:00","VC Nova Novokuibyshevsk U23","Zvezda Yugry U23",
"Statistics","VC Nova Novokuibyshevsk U23","Type","Zvezda Yugry U23",
,"1","Score","3",
,"80","Points","91",
,"1","Sets","3",
,"3","Aces","11",
,"12","Service errors","7",
,"40","Kills","33",
,"12","Blocks","7",
,"15","Errors","7",
,"13","Outs","11",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:26:05","00:00","Game conditions changed","Game conditions changed",
,"12:26:07","00:00","Players warming up","Players warming up",
,"12:30:55","00:00","Jersey colours updated","Jersey colours updated",
,"12:30:56","00:00","Jersey colours updated","Jersey colours updated",
,"12:44:24","00:00","Coin flipping","Coin flipping",
,"12:45:24","00:00","Warm up at the net","Warm up at the net",
,"12:56:10","00:00","Players lined up","Players lined up",
,"12:56:32","00:00","Shake hands","Shake hands",
,"12:58:04","00:00","Players intro","Players intro",
,"12:59:04","00:00","Game about to start","Game about to start",
,"12:59:30","00:00","Start SRV","Start SRV   VC Nova Novokuibyshevsk U23",
,"12:59:41","00:00","Start 1st Set","Start 1st Set",
,"12:59:42","00:00","SRV","SRV   VC Nova Novokuibyshevsk U23",
,"12:59:49","00:07","RS","RS   VC Nova Novokuibyshevsk U23",
,"12:59:50","00:08","B POSS","B POSS   Zvezda Yugry U23",
,"12:59:54","00:12","OUT","OUT   Zvezda Yugry U23",
,"12:59:54","00:12","P","[1 : 0]   P   VC Nova Novokuibyshevsk U23",
,"13:00:03","00:21","Pt Conf","Pt Conf   VC Nova Novokuibyshevsk U23",
,"13:00:05","00:23","SRV","SRV   VC Nova Novokuibyshevsk U23",
,"13:00:12","00:30","RS","RS   VC Nova Novokuibyshevsk U23",
,"13:00:12","00:30","B POSS","B POSS   Zvezda Yugry U23",
,"13:00:14","00:32","K","K   Zvezda Yugry U23",
,"13:00:14","00:32","P","[1 : 1]   P   Zvezda Yugry U23",
,"13:00:24","00:42","Pt Conf","Pt Conf   Zvezda Yugry U23",
,"13:00:28","00:47","SRV","SRV   Zvezda Yugry U23",
,"13:00:39","00:57","RS","RS   Zvezda Yugry U23",
,"13:00:39","00:57","B POSS","B POSS   VC Nova Novokuibyshevsk U23",
,"13:00:40","00:58","B POSS","B POSS   Zvezda Yugry U23",
,"13:00:45","01:03","K","K   Zvezda Yugry U23",
,"13:00:45","01:03","P","[1 : 2]   P   Zvezda Yugry U23",
,"13:00:53","01:11","Pt Conf","Pt Conf   Zvezda Yugry U23",
,"13:00:57","01:15","SRV","SRV   Zvezda Yugry U23",
,"13:01:07","01:25","RS","RS   Zvezda Yugry U23",
,"13:01:07","01:25","B POSS","B POSS   VC Nova Novokuibyshevsk U23",
,"13:01:10","01:28","OUT","OUT   VC Nova Novokuibyshevsk U23",
,"13:01:10","01:28","P","[1 : 3]   P   Zvezda Yugry U23",
,"13:01:16","01:34","Pt Conf","Pt Conf   Zvezda Yugry U23",
