"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887704","Russia","Youth League U23","12.10.2017 - 15:00","VC Belogorye U23","Universitet Nizhnevartovsk U23",
"Statistics","VC Belogorye U23","Type","Universitet Nizhnevartovsk U23",
,"3","Score","1",
,"98","Points","88",
,"3","Sets","1",
,"10","Aces","5",
,"16","Service errors","28",
,"42","Kills","46",
,"6","Blocks","3",
,"8","Errors","6",
,"10","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:43:25","00:00","Game conditions changed","Game conditions changed",
,"14:43:26","00:00","Players warming up","Players warming up",
,"14:45:17","00:00","Jersey colours updated","Jersey colours updated",
,"14:45:18","00:00","Jersey colours updated","Jersey colours updated",
,"15:08:34","00:00","Coin flipping","Coin flipping",
,"15:08:36","00:00","Warm up at the net","Warm up at the net",
,"15:13:49","00:00","Game conditions changed","Game conditions changed",
,"15:20:06","00:00","Players lined up","Players lined up",
,"15:21:13","00:00","National anthem singing","National anthem singing",
,"15:22:43","00:00","Shake hands","Shake hands",
,"15:24:06","00:00","Players intro","Players intro",
,"15:25:16","00:00","Game about to start","Game about to start",
,"15:25:35","00:00","Start SRV","Start SRV   Universitet Nizhnevartovsk U23",
,"15:25:55","00:00","Start 1st Set","Start 1st Set",
,"15:25:55","00:00","SRV","SRV   Universitet Nizhnevartovsk U23",
,"15:26:02","00:06","S ERR","S ERR   Universitet Nizhnevartovsk U23",
,"15:26:02","00:06","P","[1 : 0]   P   VC Belogorye U23",
,"15:26:11","00:16","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:26:13","00:17","SRV","SRV   VC Belogorye U23",
,"15:26:19","00:24","RS","RS   VC Belogorye U23",
,"15:26:20","00:25","B POSS","B POSS   Universitet Nizhnevartovsk U23",
,"15:26:23","00:27","K","K   Universitet Nizhnevartovsk U23",
,"15:26:23","00:27","P","[1 : 1]   P   Universitet Nizhnevartovsk U23",
,"15:26:29","00:34","Pt Conf","Pt Conf   Universitet Nizhnevartovsk U23",
,"15:26:34","00:39","SRV","SRV   Universitet Nizhnevartovsk U23",
,"15:26:43","00:47","RS","RS   Universitet Nizhnevartovsk U23",
,"15:26:43","00:47","B POSS","B POSS   VC Belogorye U23",
,"15:26:45","00:49","B POSS","B POSS   Universitet Nizhnevartovsk U23",
,"15:26:47","00:52","K","K   Universitet Nizhnevartovsk U23",
,"15:26:47","00:52","P","[1 : 2]   P   Universitet Nizhnevartovsk U23",
,"15:26:57","01:01","Pt Conf","Pt Conf   Universitet Nizhnevartovsk U23",
,"15:27:03","01:07","SRV","SRV   Universitet Nizhnevartovsk U23",
,"15:27:09","01:14","RS","RS   Universitet Nizhnevartovsk U23",
,"15:27:09","01:14","B POSS","B POSS   VC Belogorye U23",
,"15:27:12","01:17","OUT","OUT   VC Belogorye U23",
,"15:27:12","01:17","P","[1 : 3]   P   Universitet Nizhnevartovsk U23",
,"15:27:22","01:27","Pt Conf","Pt Conf   Universitet Nizhnevartovsk U23",
,"15:27:26","01:31","SRV","SRV   Universitet Nizhnevartovsk U23",
,"15:27:33","01:37","A","A   Universitet Nizhnevartovsk U23",
,"15:27:33","01:37","P","[1 : 4]   P   Universitet Nizhnevartovsk U23",
,"15:27:44","01:48","Pt Conf","Pt Conf   Universitet Nizhnevartovsk U23",
,"15:27:45","01:50","SRV","SRV   Universitet Nizhnevartovsk U23",
,"15:27:53","01:58","S ERR","S ERR   Universitet Nizhnevartovsk U23",
,"15:27:53","01:58","P","[2 : 4]   P   VC Belogorye U23",
,"15:28:03","02:07","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:28:04","02:09","SRV","SRV   VC Belogorye U23",
,"15:28:11","02:15","RS","RS   VC Belogorye U23",
,"15:28:11","02:16","B POSS","B POSS   Universitet Nizhnevartovsk U23",
,"15:28:13","02:18","K","K   Universitet Nizhnevartovsk U23",
,"15:28:13","02:18","P","[2 : 5]   P   Universitet Nizhnevartovsk U23",
,"15:28:22","02:26","Pt Conf","Pt Conf   Universitet Nizhnevartovsk U23",
,"15:28:28","02:32","SRV","SRV   Universitet Nizhnevartovsk U23",
,"15:28:38","02:42","RS","RS   Universitet Nizhnevartovsk U23",
,"15:28:38","02:43","B POSS","B POSS   VC Belogorye U23",
,"15:28:39","02:44","B POSS","B POSS   Universitet Nizhnevartovsk U23",
,"15:28:45","02:49","B","B   VC Belogorye U23",
,"15:28:45","02:49","P","[3 : 5]   P   VC Belogorye U23",
,"15:28:54","02:58","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:29:01","03:05","SRV","SRV   VC Belogorye U23",
,"15:29:10","03:14","RS","RS   VC Belogorye U23",
