"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888883","Turkey","1. Lig (women)","12.10.2017 - 14:30","Trabzon Idman Ocagi (women)","TED Ankara Kolejliler Spor Kulübü (women)",
"Statistics","Trabzon Idman Ocagi (women)","Type","TED Ankara Kolejliler Spor Kulübü (women)",
,"1","Score","3",
,"91","Points","99",
,"1","Sets","3",
,"8","Aces","6",
,"7","Service errors","8",
,"47","Kills","53",
,"10","Blocks","14",
,"12","Errors","11",
,"7","Outs","7",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:55:13","00:00","Players warming up","Players warming up",
,"14:13:32","00:00","Jersey colours updated","Jersey colours updated",
,"14:13:32","00:00","Jersey colours updated","Jersey colours updated",
,"14:14:53","00:00","Jersey colours updated","Jersey colours updated",
,"14:17:38","00:00","Game conditions changed","Game conditions changed",
,"14:22:49","00:00","Warm up at the net","Warm up at the net",
,"14:27:02","00:00","Players lined up","Players lined up",
,"14:28:44","00:00","Players intro","Players intro",
,"14:29:53","00:00","Game about to start","Game about to start",
,"14:30:39","00:00","Start SRV","Start SRV   Trabzon Idman Ocagi (women)",
,"14:30:45","00:00","Start 1st Set","Start 1st Set",
,"14:30:45","00:00","SRV","SRV   Trabzon Idman Ocagi (women)",
,"14:30:49","00:03","RS","RS   Trabzon Idman Ocagi (women)",
,"14:30:49","00:04","B POSS","B POSS   TED Ankara Kolejliler Spor Kulübü (women)",
,"14:30:52","00:07","B","B   Trabzon Idman Ocagi (women)",
,"14:30:52","00:07","P","[1 : 0]   P   Trabzon Idman Ocagi (women)",
,"14:31:09","00:24","Pt Conf","Pt Conf   Trabzon Idman Ocagi (women)",
,"14:31:14","00:29","SRV","SRV   Trabzon Idman Ocagi (women)",
,"14:31:17","00:31","RS","RS   Trabzon Idman Ocagi (women)",
,"14:31:17","00:32","B POSS","B POSS   TED Ankara Kolejliler Spor Kulübü (women)",
,"14:31:19","00:34","K","K   TED Ankara Kolejliler Spor Kulübü (women)",
,"14:31:19","00:34","P","[1 : 1]   P   TED Ankara Kolejliler Spor Kulübü (women)",
