"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889127","Vietnam","Premier League U20 (men)","12.10.2017 - 10:30","VLXD Binh Duong U20","Vinh Long U20",
"Statistics","VLXD Binh Duong U20","Type","Vinh Long U20",
,"3","Score","2",
,"112","Points","115",
,"3","Sets","2",
,"9","Aces","11",
,"8","Service errors","12",
,"73","Kills","82",
,"10","Blocks","4",
,"6","Errors","3",
,"4","Outs","5",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"09:47:25","00:00","Game conditions changed","Game conditions changed",
,"10:32:50","00:00","Players warming up","Players warming up",
,"10:36:34","00:00","Coin flipping","Coin flipping",
,"10:36:36","00:00","Players lined up","Players lined up",
,"10:36:42","00:00","Shake hands","Shake hands",
,"10:36:57","00:00","Jersey colours updated","Jersey colours updated",
,"10:36:58","00:00","Jersey colours updated","Jersey colours updated",
,"10:48:17","00:00","Warm up at the net","Warm up at the net",
,"11:00:04","00:00","Players intro","Players intro",
,"11:01:16","00:00","Game about to start","Game about to start",
,"11:01:29","00:00","Start SRV","Start SRV   Vinh Long U20",
,"11:01:32","00:00","Start 1st Set","Start 1st Set",
,"11:01:33","00:00","SRV","SRV   Vinh Long U20",
,"11:01:36","00:04","RS","RS   Vinh Long U20",
,"11:01:37","00:05","B POSS","B POSS   VLXD Binh Duong U20",
,"11:01:39","00:06","K","K   VLXD Binh Duong U20",
,"11:01:39","00:06","P","[1 : 0]   P   VLXD Binh Duong U20",
,"11:01:57","00:24","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:01:58","00:25","SRV","SRV   VLXD Binh Duong U20",
,"11:01:59","00:27","RS","RS   VLXD Binh Duong U20",
,"11:01:59","00:27","B POSS","B POSS   Vinh Long U20",
,"11:02:04","00:31","ERR","ERR   Vinh Long U20",
,"11:02:04","00:31","P","[2 : 0]   P   VLXD Binh Duong U20",
,"11:02:20","00:47","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:02:20","00:48","SRV","SRV   VLXD Binh Duong U20",
,"11:02:22","00:49","RS","RS   VLXD Binh Duong U20",
,"11:02:22","00:49","B POSS","B POSS   Vinh Long U20",
,"11:02:23","00:51","K","K   Vinh Long U20",
,"11:02:23","00:51","P","[2 : 1]   P   Vinh Long U20",
,"11:02:36","01:04","Pt Conf","Pt Conf   Vinh Long U20",
,"11:02:38","01:06","SRV","SRV   Vinh Long U20",
,"11:02:43","01:10","RS","RS   Vinh Long U20",
,"11:02:43","01:11","B POSS","B POSS   VLXD Binh Duong U20",
,"11:02:45","01:12","K","K   VLXD Binh Duong U20",
,"11:02:45","01:12","P","[3 : 1]   P   VLXD Binh Duong U20",
,"11:03:02","01:29","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:03:03","01:30","SRV","SRV   VLXD Binh Duong U20",
,"11:03:04","01:31","RS","RS   VLXD Binh Duong U20",
,"11:03:04","01:31","B POSS","B POSS   Vinh Long U20",
,"11:03:08","01:35","B","B   VLXD Binh Duong U20",
,"11:03:08","01:35","P","[4 : 1]   P   VLXD Binh Duong U20",
,"11:03:22","01:49","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:03:23","01:50","SRV","SRV   VLXD Binh Duong U20",
,"11:03:24","01:52","RS","RS   VLXD Binh Duong U20",
,"11:03:25","01:52","B POSS","B POSS   Vinh Long U20",
,"11:03:26","01:54","K","K   Vinh Long U20",
,"11:03:26","01:54","P","[4 : 2]   P   Vinh Long U20",
,"11:03:43","02:11","Pt Conf","Pt Conf   Vinh Long U20",
,"11:03:44","02:12","SRV","SRV   Vinh Long U20",
,"11:03:45","02:13","RS","RS   Vinh Long U20",
,"11:03:46","02:14","B POSS","B POSS   VLXD Binh Duong U20",
,"11:03:49","02:16","K","K   VLXD Binh Duong U20",
,"11:03:49","02:16","P","[5 : 2]   P   VLXD Binh Duong U20",
,"11:04:06","02:34","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:04:07","02:35","SRV","SRV   VLXD Binh Duong U20",
,"11:04:08","02:35","RS","RS   VLXD Binh Duong U20",
,"11:04:09","02:36","B POSS","B POSS   Vinh Long U20",
,"11:04:10","02:37","K","K   Vinh Long U20",
,"11:04:10","02:37","P","[5 : 3]   P   Vinh Long U20",
,"11:04:26","02:54","Pt Conf","Pt Conf   Vinh Long U20",
,"11:04:28","02:55","SRV","SRV   Vinh Long U20",
,"11:04:29","02:57","RS","RS   Vinh Long U20",
,"11:04:30","02:57","B POSS","B POSS   VLXD Binh Duong U20",
,"11:04:41","03:08","K","K   Vinh Long U20",
,"11:04:41","03:08","P","[5 : 4]   P   Vinh Long U20",
,"11:04:55","03:23","Pt Conf","Pt Conf   Vinh Long U20",
,"11:04:57","03:24","SRV","SRV   Vinh Long U20",
,"11:04:58","03:25","A","A   Vinh Long U20",
,"11:04:58","03:25","P","[5 : 5]   P   Vinh Long U20",
,"11:05:13","03:41","Pt Conf","Pt Conf   Vinh Long U20",
,"11:05:15","03:42","SRV","SRV   Vinh Long U20",
,"11:05:16","03:43","S ERR","S ERR   Vinh Long U20",
,"11:05:16","03:43","P","[6 : 5]   P   VLXD Binh Duong U20",
,"11:05:34","04:01","Pt Conf","Pt Conf   VLXD Binh Duong U20",
,"11:05:35","04:02","SRV","SRV   VLXD Binh Duong U20",
,"11:05:36","04:04","RS","RS   VLXD Binh Duong U20",
,"11:05:37","04:05","B POSS","B POSS   Vinh Long U20",
,"11:05:39","04:07","K","K   Vinh Long U20",
,"11:05:39","04:07","P","[6 : 6]   P   Vinh Long U20",
,"11:05:52","04:19","Pt Conf","Pt Conf   Vinh Long U20",
,"11:05:53","04:20","SRV","SRV   Vinh Long U20",
,"11:05:54","04:22","RS","RS   Vinh Long U20",
,"11:05:55","04:22","B POSS","B POSS   VLXD Binh Duong U20",
,"11:05:59","04:27","ERR","ERR   VLXD Binh Duong U20",
