"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889128","Vietnam","Premier League U20 (men)","12.10.2017 - 13:30","The Cong BD15 U20","Ha Tinh U20",
"Statistics","The Cong BD15 U20","Type","Ha Tinh U20",
,"0","Score","3",
,"56","Points","75",
,"0","Sets","3",
,"4","Aces","9",
,"8","Service errors","5",
,"44","Kills","49",
,"0","Blocks","6",
,"0","Errors","1",
,"3","Outs","2",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:53:49","00:00","Game conditions changed","Game conditions changed",
,"14:36:49","00:00","Players warming up","Players warming up",
,"14:37:10","00:00","Jersey colours updated","Jersey colours updated",
,"14:37:11","00:00","Jersey colours updated","Jersey colours updated",
,"14:43:25","00:00","Warm up at the net","Warm up at the net",
,"14:55:07","00:00","Players intro","Players intro",
,"14:56:33","00:00","Game about to start","Game about to start",
,"14:56:37","00:00","Start SRV","Start SRV   The Cong BD15 U20",
,"14:56:50","00:00","Start 1st Set","Start 1st Set",
,"14:56:50","00:00","SRV","SRV   The Cong BD15 U20",
,"14:56:54","00:04","RS","RS   The Cong BD15 U20",
,"14:56:55","00:05","B POSS","B POSS   Ha Tinh U20",
,"14:56:57","00:07","K","K   Ha Tinh U20",
,"14:56:57","00:07","P","[0 : 1]   P   Ha Tinh U20",
,"14:57:19","00:29","Pt Conf","Pt Conf   Ha Tinh U20",
,"14:57:20","00:30","SRV","SRV   Ha Tinh U20",
,"14:57:24","00:34","RS","RS   Ha Tinh U20",
,"14:57:24","00:34","B POSS","B POSS   The Cong BD15 U20",
,"14:57:26","00:36","B","B   Ha Tinh U20",
,"14:57:26","00:36","P","[0 : 2]   P   Ha Tinh U20",
,"14:57:38","00:48","Pt Conf","Pt Conf   Ha Tinh U20",
,"14:57:39","00:49","SRV","SRV   Ha Tinh U20",
,"14:57:42","00:52","RS","RS   Ha Tinh U20",
,"14:57:43","00:53","B POSS","B POSS   The Cong BD15 U20",
,"14:57:44","00:54","K","K   The Cong BD15 U20",
,"14:57:44","00:54","P","[1 : 2]   P   The Cong BD15 U20",
,"14:58:07","01:17","Pt Conf","Pt Conf   The Cong BD15 U20",
,"14:58:08","01:18","SRV","SRV   The Cong BD15 U20",
,"14:58:10","01:20","RS","RS   The Cong BD15 U20",
,"14:58:11","01:21","B POSS","B POSS   Ha Tinh U20",
,"14:58:14","01:24","OUT","OUT   Ha Tinh U20",
,"14:58:14","01:24","P","[2 : 2]   P   The Cong BD15 U20",
,"14:58:33","01:43","Pt Conf","Pt Conf   The Cong BD15 U20",
,"14:58:35","01:45","SRV","SRV   The Cong BD15 U20",
,"14:58:35","01:45","RS","RS   The Cong BD15 U20",
,"14:58:36","01:46","B POSS","B POSS   Ha Tinh U20",
,"14:58:37","01:47","K","K   Ha Tinh U20",
,"14:58:37","01:47","P","[2 : 3]   P   Ha Tinh U20",
,"14:58:54","02:04","Pt Conf","Pt Conf   Ha Tinh U20",
,"14:58:57","02:07","SRV","SRV   Ha Tinh U20",
,"14:58:58","02:08","A","A   Ha Tinh U20",
,"14:58:58","02:08","P","[2 : 4]   P   Ha Tinh U20",
,"14:59:13","02:23","Pt Conf","Pt Conf   Ha Tinh U20",
,"14:59:19","02:29","SRV","SRV   Ha Tinh U20",
,"14:59:21","02:31","RS","RS   Ha Tinh U20",
,"14:59:22","02:32","B POSS","B POSS   The Cong BD15 U20",
,"14:59:26","02:36","K","K   The Cong BD15 U20",
,"14:59:26","02:36","P","[3 : 4]   P   The Cong BD15 U20",
