"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887835","Brazil","Campeonato Paulista (women) - Playoffs","13.10.2017 - 21:30","Osasco Volei Clube (women)","Gremio Recreativo Barueri (women)",
"Statistics","Osasco Volei Clube (women)","Type","Gremio Recreativo Barueri (women)",
,"3","Score","3",
,"134","Points","134",
,"3","Sets","3",
,"6","Aces","3",
,"17","Service errors","18",
,"65","Kills","71",
,"21","Blocks","22",
,"8","Errors","7",
,"12","Outs","17",
,"0","Penalty Points","0",
,"0","Points (unknown method)","1",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"20:41:35","00:00","Game conditions changed","Game conditions changed",
,"20:50:05","00:00","Game conditions changed","Game conditions changed",
,"21:00:15","00:00","Players warming up","Players warming up",
,"21:00:35","00:00","Jersey colours updated","Jersey colours updated",
,"21:00:37","00:00","Jersey colours updated","Jersey colours updated",
,"21:11:19","00:00","National anthem singing","National anthem singing",
,"21:16:06","00:00","Warm up at the net","Warm up at the net",
,"21:29:19","00:00","Players intro","Players intro",
,"21:30:25","00:00","Start SRV","Start SRV   Osasco Volei Clube (women)",
,"21:30:43","00:00","Game about to start","Game about to start",
,"21:30:58","00:00","Start SRV","Start SRV   Osasco Volei Clube (women)",
,"21:31:01","00:00","Start 1st Set","Start 1st Set",
,"21:31:02","00:00","SRV","SRV   Osasco Volei Clube (women)",
,"21:31:04","00:02","RS","RS   Osasco Volei Clube (women)",
,"21:31:05","00:03","B POSS","B POSS   Gremio Recreativo Barueri (women)",
,"21:31:07","00:05","B","B   Osasco Volei Clube (women)",
,"21:31:07","00:05","P","[1 : 0]   P   Osasco Volei Clube (women)",
,"21:31:23","00:21","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"21:31:25","00:23","SRV","SRV   Osasco Volei Clube (women)",
,"21:31:29","00:28","S ERR","S ERR   Osasco Volei Clube (women)",
,"21:31:29","00:28","P","[1 : 1]   P   Gremio Recreativo Barueri (women)",
,"21:31:37","00:36","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"21:31:44","00:42","SRV","SRV   Gremio Recreativo Barueri (women)",
,"21:31:46","00:44","RS","RS   Gremio Recreativo Barueri (women)",
,"21:31:47","00:45","B POSS","B POSS   Osasco Volei Clube (women)",
,"21:31:48","00:46","K","K   Osasco Volei Clube (women)",
,"21:31:48","00:46","P","[2 : 1]   P   Osasco Volei Clube (women)",
,"21:32:04","01:02","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"21:32:08","01:06","SRV","SRV   Osasco Volei Clube (women)",
,"21:32:11","01:10","A","A   Osasco Volei Clube (women)",
,"21:32:11","01:10","P","[3 : 1]   P   Osasco Volei Clube (women)",
,"21:32:26","01:24","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"21:32:31","01:29","SRV","SRV   Osasco Volei Clube (women)",
,"21:32:33","01:31","S ERR","S ERR   Osasco Volei Clube (women)",
,"21:32:33","01:31","P","[3 : 2]   P   Gremio Recreativo Barueri (women)",
,"21:32:46","01:44","Pt Conf","Pt Conf   Gremio Recreativo Barueri (women)",
,"21:32:51","01:49","SRV","SRV   Gremio Recreativo Barueri (women)",
,"21:32:52","01:50","S ERR","S ERR   Gremio Recreativo Barueri (women)",
,"21:32:52","01:50","P","[4 : 2]   P   Osasco Volei Clube (women)",
,"21:33:09","02:07","Pt Conf","Pt Conf   Osasco Volei Clube (women)",
,"21:33:16","02:14","SRV","SRV   Osasco Volei Clube (women)",
