"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"887837","Brazil","Campeonato Paulista U21 (women)","13.10.2017 - 22:00","S.J. Rio Preto Volei U21 (women)","GRB Barueri U21 (women)",
"Statistics","S.J. Rio Preto Volei U21 (women)","Type","GRB Barueri U21 (women)",
,"3","Score","0",
,"75","Points","64",
,"3","Sets","0",
,"7","Aces","5",
,"10","Service errors","7",
,"42","Kills","24",
,"7","Blocks","8",
,"9","Errors","8",
,"8","Outs","4",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"20:57:48","00:00","Game conditions changed","Game conditions changed",
,"21:24:55","00:00","Players warming up","Players warming up",
,"21:44:54","00:00","Coin flipping","Coin flipping",
,"21:45:38","00:00","Jersey colours updated","Jersey colours updated",
,"21:45:38","00:00","Jersey colours updated","Jersey colours updated",
,"21:46:25","00:00","Warm up at the net","Warm up at the net",
,"21:58:18","00:00","Players intro","Players intro",
,"21:59:34","00:00","Game about to start","Game about to start",
,"21:59:43","00:00","Start SRV","Start SRV   GRB Barueri U21 (women)",
,"21:59:58","00:00","Start 1st Set","Start 1st Set",
,"21:59:59","00:00","SRV","SRV   GRB Barueri U21 (women)",
,"22:00:00","00:02","S ERR","S ERR   GRB Barueri U21 (women)",
,"22:00:00","00:02","P","[1 : 0]   P   S.J. Rio Preto Volei U21 (women)",
,"22:00:15","00:16","Pt Conf","Pt Conf   S.J. Rio Preto Volei U21 (women)",
,"22:00:20","00:21","SRV","SRV   S.J. Rio Preto Volei U21 (women)",
,"22:00:22","00:23","RS","RS   S.J. Rio Preto Volei U21 (women)",
,"22:00:22","00:23","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:00:26","00:27","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:00:30","00:31","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:00:32","00:33","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:00:37","00:38","K","K   S.J. Rio Preto Volei U21 (women)",
,"22:00:37","00:38","P","[2 : 0]   P   S.J. Rio Preto Volei U21 (women)",
,"22:00:50","00:51","Pt Conf","Pt Conf   S.J. Rio Preto Volei U21 (women)",
,"22:00:54","00:56","SRV","SRV   S.J. Rio Preto Volei U21 (women)",
,"22:00:57","00:58","RS","RS   S.J. Rio Preto Volei U21 (women)",
,"22:00:58","00:59","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:01:00","01:01","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:01:05","01:06","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:01:10","01:11","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:01:11","01:12","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:01:16","01:17","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:01:16","01:17","Rally over 5 possession changes","Rally over 5 possession changes",
,"22:01:17","01:19","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:01:21","01:22","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:01:34","01:35","OUT","OUT   S.J. Rio Preto Volei U21 (women)",
,"22:01:34","01:35","P","[2 : 1]   P   GRB Barueri U21 (women)",
,"22:01:57","01:58","Pt Conf","Pt Conf   GRB Barueri U21 (women)",
,"22:02:03","02:04","SRV","SRV   GRB Barueri U21 (women)",
,"22:02:05","02:07","RS","RS   GRB Barueri U21 (women)",
,"22:02:06","02:07","B POSS","B POSS   S.J. Rio Preto Volei U21 (women)",
,"22:02:10","02:11","B POSS","B POSS   GRB Barueri U21 (women)",
,"22:02:13","02:14","B","B   S.J. Rio Preto Volei U21 (women)",
,"22:02:13","02:14","P","[3 : 1]   P   S.J. Rio Preto Volei U21 (women)",
