"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888147","Portugal","A1 (men)","13.10.2017 - 20:30","SC de Espinho","AA de Espinho",
"Statistics","SC de Espinho","Type","AA de Espinho",
,"3","Score","1",
,"97","Points","76",
,"3","Sets","1",
,"6","Aces","5",
,"15","Service errors","11",
,"56","Kills","35",
,"11","Blocks","4",
,"10","Errors","3",
,"6","Outs","9",
,"1","Penalty Points","1",
,"0","Points (unknown method)","0",
,"1","Penalties","1",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"19:46:22","00:00","Game conditions changed","Game conditions changed",
,"19:46:25","00:00","Players warming up","Players warming up",
,"20:02:32","00:00","Jersey colours updated","Jersey colours updated",
,"20:02:33","00:00","Jersey colours updated","Jersey colours updated",
,"20:15:42","00:00","Jersey colours updated","Jersey colours updated",
,"20:16:01","00:00","Coin flipping","Coin flipping",
,"20:16:03","00:00","Warm up at the net","Warm up at the net",
,"20:25:14","00:00","Game conditions changed","Game conditions changed",
,"20:26:11","00:00","Players lined up","Players lined up",
,"20:27:06","00:00","Shake hands","Shake hands",
,"20:29:53","00:00","Players intro","Players intro",
,"20:31:44","00:00","Game about to start","Game about to start",
,"20:33:27","00:00","Start SRV","Start SRV   SC de Espinho",
,"20:33:48","00:00","Start 1st Set","Start 1st Set",
,"20:33:48","00:00","SRV","SRV   SC de Espinho",
,"20:33:49","00:01","RS","RS   SC de Espinho",
,"20:33:50","00:01","B POSS","B POSS   AA de Espinho",
,"20:33:52","00:04","K","K   AA de Espinho",
,"20:33:52","00:04","P","[0 : 1]   P   AA de Espinho",
,"20:34:01","00:13","Pt Conf","Pt Conf   AA de Espinho",
,"20:34:14","00:26","SRV","SRV   AA de Espinho",
,"20:34:17","00:29","RS","RS   AA de Espinho",
,"20:34:18","00:30","B POSS","B POSS   SC de Espinho",
,"20:34:21","00:33","K","K   SC de Espinho",
,"20:34:21","00:33","P","[1 : 1]   P   SC de Espinho",
,"20:34:31","00:43","Pt Conf","Pt Conf   SC de Espinho",
,"20:34:44","00:56","SRV","SRV   SC de Espinho",
,"20:34:45","00:57","S ERR","S ERR   SC de Espinho",
,"20:34:45","00:57","P","[1 : 2]   P   AA de Espinho",
,"20:34:53","01:04","Pt Conf","Pt Conf   AA de Espinho",
,"20:35:06","01:18","SRV","SRV   AA de Espinho",
,"20:35:08","01:20","RS","RS   AA de Espinho",
,"20:35:09","01:21","B POSS","B POSS   SC de Espinho",
,"20:35:12","01:24","OUT","OUT   SC de Espinho",
,"20:35:12","01:24","P","[1 : 3]   P   AA de Espinho",
,"20:35:19","01:31","Pt Conf","Pt Conf   AA de Espinho",
,"20:35:31","01:43","SRV","SRV   AA de Espinho",
,"20:35:32","01:44","RS","RS   AA de Espinho",
,"20:35:33","01:45","B POSS","B POSS   SC de Espinho",
,"20:35:36","01:48","K","K   SC de Espinho",
,"20:35:36","01:48","P","[2 : 3]   P   SC de Espinho",
,"20:35:46","01:57","Pt Conf","Pt Conf   SC de Espinho",
,"20:36:04","02:16","SRV","SRV   SC de Espinho",
,"20:36:07","02:18","RS","RS   SC de Espinho",
,"20:36:07","02:19","B POSS","B POSS   AA de Espinho",
,"20:36:09","02:21","B","B   SC de Espinho",
,"20:36:09","02:21","P","[3 : 3]   P   SC de Espinho",
,"20:36:18","02:29","Pt Conf","Pt Conf   SC de Espinho",
,"20:36:45","02:56","SRV","SRV   SC de Espinho",
,"20:36:47","02:58","RS","RS   SC de Espinho",
,"20:36:47","02:59","B POSS","B POSS   AA de Espinho",
,"20:36:48","02:59","B POSS","B POSS   SC de Espinho",
,"20:36:50","03:02","K","K   SC de Espinho",
,"20:36:50","03:02","P","[4 : 3]   P   SC de Espinho",
,"20:36:59","03:11","Pt Conf","Pt Conf   SC de Espinho",
,"20:37:12","03:23","SRV","SRV   SC de Espinho",
,"20:37:14","03:25","RS","RS   SC de Espinho",
,"20:37:14","03:26","B POSS","B POSS   AA de Espinho",
,"20:37:21","03:33","B POSS","B POSS   SC de Espinho",
,"20:37:26","03:37","B","B   AA de Espinho",
,"20:37:26","03:37","P","[4 : 4]   P   AA de Espinho",
,"20:37:37","03:49","Pt Conf","Pt Conf   AA de Espinho",
,"20:37:49","04:01","SRV","SRV   AA de Espinho",
,"20:37:50","04:02","S ERR","S ERR   AA de Espinho",
,"20:37:50","04:02","P","[5 : 4]   P   SC de Espinho",
,"20:37:56","04:07","Pt Conf","Pt Conf   SC de Espinho",
,"20:38:09","04:21","SRV","SRV   SC de Espinho",
,"20:38:11","04:23","RS","RS   SC de Espinho",
,"20:38:12","04:23","B POSS","B POSS   AA de Espinho",
,"20:38:15","04:27","OUT","OUT   AA de Espinho",
,"20:38:15","04:27","P","[6 : 4]   P   SC de Espinho",
,"20:38:23","04:35","Pt Conf","Pt Conf   SC de Espinho",
,"20:38:35","04:47","SRV","SRV   SC de Espinho",
,"20:38:37","04:49","RS","RS   SC de Espinho",
,"20:38:37","04:49","B POSS","B POSS   AA de Espinho",
,"20:38:41","04:53","K","K   AA de Espinho",
,"20:38:41","04:53","P","[6 : 5]   P   AA de Espinho",
,"20:38:51","05:02","Pt Conf","Pt Conf   AA de Espinho",
,"20:38:57","05:09","SRV","SRV   AA de Espinho",
,"20:38:59","05:11","RS","RS   AA de Espinho",
,"20:39:00","05:11","B POSS","B POSS   SC de Espinho",
,"20:39:02","05:14","K","K   SC de Espinho",
,"20:39:02","05:14","P","[7 : 5]   P   SC de Espinho",
,"20:39:11","05:23","Pt Conf","Pt Conf   SC de Espinho",
,"20:39:20","05:32","SRV","SRV   SC de Espinho",
,"20:39:21","05:33","RS","RS   SC de Espinho",
,"20:39:21","05:33","B POSS","B POSS   AA de Espinho",
,"20:39:24","05:36","B POSS","B POSS   SC de Espinho",
,"20:39:29","05:41","OUT","OUT   SC de Espinho",
,"20:39:29","05:41","P","[7 : 6]   P   AA de Espinho",
,"20:39:39","05:51","Pt Conf","Pt Conf   AA de Espinho",
,"20:39:51","06:02","SRV","SRV   AA de Espinho",
,"20:39:52","06:04","RS","RS   AA de Espinho",
,"20:39:53","06:05","B POSS","B POSS   SC de Espinho",
,"20:39:54","06:06","K","K   SC de Espinho",
,"20:39:54","06:06","P","[8 : 6]   P   SC de Espinho",
,"20:40:00","06:12","Pt Conf","Pt Conf   SC de Espinho",
,"20:40:00","06:12","TIME","TIME",
,"20:40:01","06:12","TTO","TTO",
,"20:41:35","07:47","SRV","SRV   SC de Espinho",
,"20:41:36","07:48","S ERR","S ERR   SC de Espinho",
,"20:41:36","07:48","P","[8 : 7]   P   AA de Espinho",
,"20:41:43","07:55","Pt Conf","Pt Conf   AA de Espinho",
,"20:41:55","08:06","SRV","SRV   AA de Espinho",
,"20:41:57","08:08","RS","RS   AA de Espinho",
,"20:41:57","08:09","B POSS","B POSS   SC de Espinho",
,"20:42:00","08:11","K","K   SC de Espinho",
,"20:42:00","08:11","P","[9 : 7]   P   SC de Espinho",
,"20:42:05","08:16","Pt Conf","Pt Conf   SC de Espinho",
,"20:42:20","08:32","SRV","SRV   SC de Espinho",
,"20:42:22","08:34","RS","RS   SC de Espinho",
,"20:42:22","08:34","B POSS","B POSS   AA de Espinho",
,"20:42:25","08:37","ERR","ERR   AA de Espinho",
,"20:42:25","08:37","P","[10 : 7]   P   SC de Espinho",
,"20:42:33","08:45","Pt Conf","Pt Conf   SC de Espinho",
,"20:42:46","08:57","SRV","SRV   SC de Espinho",
,"20:42:48","09:00","RS","RS   SC de Espinho",
,"20:42:48","09:00","B POSS","B POSS   AA de Espinho",
,"20:42:51","09:03","K","K   AA de Espinho",
,"20:42:51","09:03","P","[10 : 8]   P   AA de Espinho",
,"20:42:59","09:11","Pt Conf","Pt Conf   AA de Espinho",
,"20:43:10","09:22","SRV","SRV   AA de Espinho",
,"20:43:12","09:24","RS","RS   AA de Espinho",
,"20:43:12","09:24","B POSS","B POSS   SC de Espinho",
,"20:43:15","09:27","K","K   SC de Espinho",
,"20:43:15","09:27","P","[11 : 8]   P   SC de Espinho",
,"20:43:24","09:36","Pt Conf","Pt Conf   SC de Espinho",
,"20:43:36","09:48","SRV","SRV   SC de Espinho",
,"20:43:38","09:49","RS","RS   SC de Espinho",
,"20:43:41","09:53","B POSS","B POSS   AA de Espinho",
,"20:43:41","09:53","B POSS","B POSS   SC de Espinho",
,"20:43:45","09:57","B POSS","B POSS   AA de Espinho",
,"20:43:51","10:03","K","K   AA de Espinho",
,"20:43:51","10:03","P","[11 : 9]   P   AA de Espinho",
,"20:43:54","10:06","Point under investigation","Point under investigation",
,"20:44:05","10:17","Pt Conf","Pt Conf   AA de Espinho",
,"20:44:14","10:26","SRV","SRV   AA de Espinho",
,"20:44:16","10:28","S ERR","S ERR   AA de Espinho",
,"20:44:16","10:28","P","[12 : 9]   P   SC de Espinho",
,"20:44:25","10:36","Pt Conf","Pt Conf   SC de Espinho",
,"20:44:38","10:50","SRV","SRV   SC de Espinho",
,"20:44:40","10:52","RS","RS   SC de Espinho",
,"20:44:40","10:52","B POSS","B POSS   AA de Espinho",
,"20:44:44","10:56","OUT","OUT   AA de Espinho",
,"20:44:44","10:56","P","[13 : 9]   P   SC de Espinho",
,"20:44:53","11:04","Pt Conf","Pt Conf   SC de Espinho",
,"20:44:53","11:05","TIME","TIME",
,"20:44:54","11:06","TIME","TIME   AA de Espinho",
,"20:45:56","12:08","SRV","SRV   SC de Espinho",
,"20:45:58","12:10","RS","RS   SC de Espinho",
,"20:45:58","12:10","B POSS","B POSS   AA de Espinho",
