"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888237","Russia","Cup (men)","13.10.2017 - 13:00","Ural Ufa","VC Yenisey Krasnoyarsk",
"Statistics","Ural Ufa","Type","VC Yenisey Krasnoyarsk",
,"3","Score","1",
,"98","Points","89",
,"3","Sets","1",
,"8","Aces","4",
,"23","Service errors","13",
,"56","Kills","43",
,"6","Blocks","10",
,"5","Errors","6",
,"4","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:34:48","00:00","Game conditions changed","Game conditions changed",
,"12:34:49","00:00","Players warming up","Players warming up",
,"12:35:30","00:00","Jersey colours updated","Jersey colours updated",
,"12:35:30","00:00","Jersey colours updated","Jersey colours updated",
,"12:52:24","00:00","Coin flipping","Coin flipping",
,"12:52:25","00:00","Warm up at the net","Warm up at the net",
,"12:57:57","00:00","Players intro","Players intro",
,"12:57:57","00:00","Players lined up","Players lined up",
,"12:58:22","00:00","Shake hands","Shake hands",
,"13:01:32","00:00","Game about to start","Game about to start",
,"13:01:59","00:00","Start SRV","Start SRV   VC Yenisey Krasnoyarsk",
,"13:02:06","00:00","Start 1st Set","Start 1st Set",
,"13:02:11","00:05","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:02:12","00:06","RS","RS   VC Yenisey Krasnoyarsk",
,"13:02:13","00:06","B POSS","B POSS   Ural Ufa",
,"13:02:17","00:11","OUT","OUT   Ural Ufa",
,"13:02:17","00:11","P","[0 : 1]   P   VC Yenisey Krasnoyarsk",
,"13:02:27","00:21","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:02:29","00:22","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:02:37","00:31","RS","RS   VC Yenisey Krasnoyarsk",
,"13:02:38","00:31","B POSS","B POSS   Ural Ufa",
,"13:02:40","00:34","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:02:45","00:38","B POSS","B POSS   Ural Ufa",
,"13:02:48","00:42","K","K   Ural Ufa",
,"13:02:48","00:42","P","[1 : 1]   P   Ural Ufa",
,"13:03:01","00:55","Pt Conf","Pt Conf   Ural Ufa",
,"13:03:03","00:56","SRV","SRV   Ural Ufa",
,"13:03:10","01:04","RS","RS   Ural Ufa",
,"13:03:11","01:04","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:03:15","01:08","K","K   VC Yenisey Krasnoyarsk",
,"13:03:15","01:08","P","[1 : 2]   P   VC Yenisey Krasnoyarsk",
,"13:03:23","01:17","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:03:25","01:19","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:03:35","01:28","RS","RS   VC Yenisey Krasnoyarsk",
,"13:03:35","01:28","B POSS","B POSS   Ural Ufa",
,"13:03:42","01:36","ERR","ERR   Ural Ufa",
,"13:03:42","01:36","P","[1 : 3]   P   VC Yenisey Krasnoyarsk",
,"13:03:42","01:36","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:03:55","01:48","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:03:57","01:51","RS","RS   VC Yenisey Krasnoyarsk",
,"13:03:58","01:51","B POSS","B POSS   Ural Ufa",
,"13:04:08","02:01","ERR","ERR   Ural Ufa",
,"13:04:08","02:01","P","[1 : 4]   P   VC Yenisey Krasnoyarsk",
,"13:04:15","02:08","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:04:16","02:09","TIME","TIME",
,"13:04:17","02:11","TIME","TIME   Ural Ufa",
,"13:05:02","02:56","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:05:10","03:03","RS","RS   VC Yenisey Krasnoyarsk",
,"13:05:11","03:04","B POSS","B POSS   Ural Ufa",
,"13:05:13","03:06","K","K   Ural Ufa",
,"13:05:13","03:06","P","[2 : 4]   P   Ural Ufa",
,"13:05:19","03:12","Pt Conf","Pt Conf   Ural Ufa",
,"13:05:22","03:15","SRV","SRV   Ural Ufa",
,"13:05:29","03:23","RS","RS   Ural Ufa",
,"13:05:30","03:24","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:05:39","03:33","K","K   VC Yenisey Krasnoyarsk",
,"13:05:39","03:33","P","[2 : 5]   P   VC Yenisey Krasnoyarsk",
,"13:05:44","03:37","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:05:46","03:39","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:05:52","03:45","RS","RS   VC Yenisey Krasnoyarsk",
,"13:05:52","03:45","B POSS","B POSS   Ural Ufa",
,"13:05:57","03:51","K","K   Ural Ufa",
,"13:05:57","03:51","P","[3 : 5]   P   Ural Ufa",
,"13:06:07","04:00","Pt Conf","Pt Conf   Ural Ufa",
,"13:06:14","04:08","SRV","SRV   Ural Ufa",
,"13:06:20","04:14","RS","RS   Ural Ufa",
,"13:06:21","04:15","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:06:23","04:16","B POSS","B POSS   Ural Ufa",
,"13:06:30","04:24","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:06:32","04:26","K","K   VC Yenisey Krasnoyarsk",
,"13:06:32","04:26","P","[3 : 6]   P   VC Yenisey Krasnoyarsk",
,"13:06:42","04:35","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:06:47","04:41","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:06:52","04:46","RS","RS   VC Yenisey Krasnoyarsk",
,"13:06:53","04:47","B POSS","B POSS   Ural Ufa",
,"13:06:56","04:50","K","K   Ural Ufa",
,"13:06:56","04:50","P","[4 : 6]   P   Ural Ufa",
,"13:07:06","05:00","Pt Conf","Pt Conf   Ural Ufa",
,"13:07:09","05:03","SRV","SRV   Ural Ufa",
,"13:07:16","05:09","RS","RS   Ural Ufa",
,"13:07:17","05:10","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:07:18","05:12","B POSS","B POSS   Ural Ufa",
,"13:07:23","05:17","K","K   Ural Ufa",
,"13:07:23","05:17","P","[5 : 6]   P   Ural Ufa",
,"13:07:34","05:27","Pt Conf","Pt Conf   Ural Ufa",
,"13:07:35","05:28","SRV","SRV   Ural Ufa",
,"13:07:41","05:35","RS","RS   Ural Ufa",
,"13:07:42","05:35","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:07:43","05:37","B POSS","B POSS   Ural Ufa",
,"13:07:44","05:38","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:07:49","05:43","K","K   VC Yenisey Krasnoyarsk",
,"13:07:49","05:43","P","[5 : 7]   P   VC Yenisey Krasnoyarsk",
,"13:07:57","05:50","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:08:03","05:57","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:08:11","06:04","RS","RS   VC Yenisey Krasnoyarsk",
,"13:08:11","06:05","B POSS","B POSS   Ural Ufa",
,"13:08:14","06:07","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:08:18","06:11","B POSS","B POSS   Ural Ufa",
,"13:08:20","06:14","B","B   VC Yenisey Krasnoyarsk",
,"13:08:20","06:14","P","[5 : 8]   P   VC Yenisey Krasnoyarsk",
,"13:08:28","06:21","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:08:29","06:22","TIME","TIME",
,"13:08:29","06:23","TTO","TTO",
,"13:09:39","07:32","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:09:41","07:34","RS","RS   VC Yenisey Krasnoyarsk",
,"13:09:41","07:35","B POSS","B POSS   Ural Ufa",
,"13:09:50","07:43","K","K   VC Yenisey Krasnoyarsk",
,"13:09:50","07:43","P","[5 : 9]   P   VC Yenisey Krasnoyarsk",
,"13:10:00","07:53","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:10:01","07:55","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:10:08","08:02","RS","RS   VC Yenisey Krasnoyarsk",
,"13:10:09","08:02","B POSS","B POSS   Ural Ufa",
,"13:10:12","08:05","K","K   Ural Ufa",
,"13:10:12","08:05","P","[6 : 9]   P   Ural Ufa",
,"13:10:23","08:16","Pt Conf","Pt Conf   Ural Ufa",
,"13:10:33","08:26","SRV","SRV   Ural Ufa",
,"13:10:40","08:34","S ERR","S ERR   Ural Ufa",
,"13:10:40","08:34","P","[6 : 10]   P   VC Yenisey Krasnoyarsk",
,"13:10:45","08:39","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:10:49","08:43","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:10:56","08:49","RS","RS   VC Yenisey Krasnoyarsk",
,"13:10:57","08:50","B POSS","B POSS   Ural Ufa",
,"13:11:00","08:54","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:11:04","08:58","K","K   VC Yenisey Krasnoyarsk",
,"13:11:04","08:58","P","[6 : 11]   P   VC Yenisey Krasnoyarsk",
,"13:11:12","09:05","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:11:19","09:12","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:11:23","09:16","S ERR","S ERR   VC Yenisey Krasnoyarsk",
,"13:11:23","09:16","P","[7 : 11]   P   Ural Ufa",
,"13:11:34","09:28","Pt Conf","Pt Conf   Ural Ufa",
,"13:11:36","09:29","SRV","SRV   Ural Ufa",
,"13:11:40","09:33","RS","RS   Ural Ufa",
,"13:11:40","09:34","B POSS","B POSS   VC Yenisey Krasnoyarsk",
,"13:11:46","09:39","K","K   VC Yenisey Krasnoyarsk",
,"13:11:46","09:39","P","[7 : 12]   P   VC Yenisey Krasnoyarsk",
,"13:11:59","09:52","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:12:03","09:57","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:12:06","10:00","RS","RS   VC Yenisey Krasnoyarsk",
,"13:12:07","10:00","B POSS","B POSS   Ural Ufa",
,"13:12:12","10:06","OUT","OUT   Ural Ufa",
,"13:12:12","10:06","P","[7 : 13]   P   VC Yenisey Krasnoyarsk",
,"13:12:22","10:16","Pt Conf","Pt Conf   VC Yenisey Krasnoyarsk",
,"13:12:23","10:17","SRV","SRV   VC Yenisey Krasnoyarsk",
,"13:12:33","10:27","S ERR","S ERR   VC Yenisey Krasnoyarsk",
,"13:12:33","10:27","P","[8 : 13]   P   Ural Ufa",
,"13:12:41","10:34","Pt Conf","Pt Conf   Ural Ufa",
,"13:12:44","10:37","SRV","SRV   Ural Ufa",
