"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888238","Russia","Cup (men)","13.10.2017 - 15:30","Zenit Kazan","VC Dagestan",
"Statistics","Zenit Kazan","Type","VC Dagestan",
,"3","Score","0",
,"75","Points","67",
,"3","Sets","0",
,"0","Aces","2",
,"9","Service errors","19",
,"39","Kills","48",
,"9","Blocks","2",
,"2","Errors","2",
,"4","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"14:54:14","00:00","Game conditions changed","Game conditions changed",
,"14:54:16","00:00","Players warming up","Players warming up",
,"15:19:00","00:00","Coin flipping","Coin flipping",
,"15:19:01","00:00","Warm up at the net","Warm up at the net",
,"15:19:25","00:00","Jersey colours updated","Jersey colours updated",
,"15:19:25","00:00","Jersey colours updated","Jersey colours updated",
,"15:24:35","00:00","Players lined up","Players lined up",
,"15:25:04","00:00","National anthem singing","National anthem singing",
,"15:27:30","00:00","Shake hands","Shake hands",
,"15:27:35","00:00","Game conditions changed","Game conditions changed",
,"15:29:32","00:00","Players intro","Players intro",
,"15:30:44","00:00","Game about to start","Game about to start",
,"15:31:33","00:00","Start SRV","Start SRV   VC Dagestan",
,"15:31:35","00:00","Start 1st Set","Start 1st Set",
,"15:31:36","00:00","SRV","SRV   VC Dagestan",
,"15:31:37","00:01","S ERR","S ERR   VC Dagestan",
,"15:31:37","00:01","P","[1 : 0]   P   Zenit Kazan",
,"15:31:41","00:06","Pt Conf","Pt Conf   Zenit Kazan",
,"15:31:51","00:16","SRV","SRV   Zenit Kazan",
,"15:31:57","00:22","RS","RS   Zenit Kazan",
,"15:31:58","00:23","B POSS","B POSS   VC Dagestan",
,"15:32:01","00:26","K","K   VC Dagestan",
,"15:32:01","00:26","P","[1 : 1]   P   VC Dagestan",
,"15:32:08","00:33","Pt Conf","Pt Conf   VC Dagestan",
,"15:32:12","00:36","SRV","SRV   VC Dagestan",
,"15:32:21","00:46","S ERR","S ERR   VC Dagestan",
,"15:32:21","00:46","P","[2 : 1]   P   Zenit Kazan",
,"15:32:24","00:49","Pt Conf","Pt Conf   Zenit Kazan",
,"15:32:30","00:54","SRV","SRV   Zenit Kazan",
,"15:32:37","01:02","RS","RS   Zenit Kazan",
,"15:32:38","01:03","B POSS","B POSS   VC Dagestan",
,"15:32:44","01:08","K","K   VC Dagestan",
,"15:32:44","01:08","P","[2 : 2]   P   VC Dagestan",
,"15:32:49","01:13","Pt Conf","Pt Conf   VC Dagestan",
,"15:32:54","01:19","SRV","SRV   VC Dagestan",
,"15:33:04","01:29","S ERR","S ERR   VC Dagestan",
,"15:33:04","01:29","P","[3 : 2]   P   Zenit Kazan",
,"15:33:13","01:38","Pt Conf","Pt Conf   Zenit Kazan",
,"15:33:14","01:39","SRV","SRV   Zenit Kazan",
,"15:33:22","01:46","RS","RS   Zenit Kazan",
,"15:33:22","01:47","B POSS","B POSS   VC Dagestan",
,"15:33:29","01:54","K","K   VC Dagestan",
