"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888229","Russia","Vischaya Liga B (men)","13.10.2017 - 14:00","VC Tyumen","UKIOR Khanty-Mansiysk",
"Statistics","VC Tyumen","Type","UKIOR Khanty-Mansiysk",
,"3","Score","0",
,"75","Points","46",
,"3","Sets","0",
,"11","Aces","2",
,"12","Service errors","14",
,"28","Kills","19",
,"8","Blocks","5",
,"4","Errors","5",
,"4","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"13:24:41","00:00","Game conditions changed","Game conditions changed",
,"13:24:42","00:00","Players warming up","Players warming up",
,"13:33:11","00:00","Jersey colours updated","Jersey colours updated",
,"13:33:11","00:00","Jersey colours updated","Jersey colours updated",
,"13:43:21","00:00","Coin flipping","Coin flipping",
,"13:43:21","00:00","Warm up at the net","Warm up at the net",
,"13:54:52","00:00","Players lined up","Players lined up",
,"13:56:53","00:00","National anthem singing","National anthem singing",
,"13:58:08","00:00","Shake hands","Shake hands",
,"13:58:41","00:00","Players intro","Players intro",
,"14:00:43","00:00","Game about to start","Game about to start",
,"14:01:11","00:00","Start SRV","Start SRV   UKIOR Khanty-Mansiysk",
,"14:01:25","00:00","Start 1st Set","Start 1st Set",
,"14:01:25","00:00","SRV","SRV   UKIOR Khanty-Mansiysk",
,"14:01:32","00:07","RS","RS   UKIOR Khanty-Mansiysk",
,"14:01:32","00:07","B POSS","B POSS   VC Tyumen",
,"14:01:37","00:12","OUT","OUT   VC Tyumen",
,"14:01:37","00:12","P","[0 : 1]   P   UKIOR Khanty-Mansiysk",
,"14:01:51","00:26","Pt Conf","Pt Conf   UKIOR Khanty-Mansiysk",
,"14:01:51","00:26","SRV","SRV   UKIOR Khanty-Mansiysk",
,"14:01:55","00:30","RS","RS   UKIOR Khanty-Mansiysk",
,"14:01:55","00:30","B POSS","B POSS   VC Tyumen",
,"14:02:03","00:38","K","K   VC Tyumen",
,"14:02:03","00:38","P","[1 : 1]   P   VC Tyumen",
,"14:02:19","00:53","Pt Conf","Pt Conf   VC Tyumen",
,"14:02:19","00:54","SRV","SRV   VC Tyumen",
,"14:02:23","00:57","RS","RS   VC Tyumen",
,"14:02:23","00:58","B POSS","B POSS   UKIOR Khanty-Mansiysk",
,"14:02:27","01:01","B POSS","B POSS   VC Tyumen",
,"14:02:32","01:07","K","K   VC Tyumen",
,"14:02:32","01:07","P","[2 : 1]   P   VC Tyumen",
,"14:02:47","01:21","Pt Conf","Pt Conf   VC Tyumen",
,"14:02:47","01:22","SRV","SRV   VC Tyumen",
,"14:02:59","01:34","A","A   VC Tyumen",
,"14:02:59","01:34","P","[3 : 1]   P   VC Tyumen",
,"14:03:20","01:55","Pt Conf","Pt Conf   VC Tyumen",
,"14:03:21","01:55","SRV","SRV   VC Tyumen",
,"14:03:24","01:58","RS","RS   VC Tyumen",
