"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888239","Russia","Youth League U23","13.10.2017 - 13:00","VC Nova Novokuibyshevsk U23","Universitet Nizhnevartovsk U23",
"Statistics","VC Nova Novokuibyshevsk U23","Type","Universitet Nizhnevartovsk U23",
,"2","Score","3",
,"107","Points","110",
,"2","Sets","3",
,"2","Aces","7",
,"20","Service errors","20",
,"49","Kills","54",
,"19","Blocks","10",
,"9","Errors","8",
,"10","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"12:20:54","00:00","Game conditions changed","Game conditions changed",
,"12:20:55","00:00","Players warming up","Players warming up",
,"12:27:38","00:00","Jersey colours updated","Jersey colours updated",
,"12:27:38","00:00","Jersey colours updated","Jersey colours updated",
,"12:45:01","00:00","Coin flipping","Coin flipping",
,"12:45:42","00:00","Warm up at the net","Warm up at the net",
,"12:56:50","00:00","Players lined up","Players lined up",
,"12:57:35","00:00","Shake hands","Shake hands",
,"12:59:02","00:00","Players intro","Players intro",
,"13:00:14","00:00","Game about to start","Game about to start",
,"13:00:29","00:00","Start SRV","Start SRV   VC Nova Novokuibyshevsk U23",
,"13:01:01","00:00","Start 1st Set","Start 1st Set",
,"13:01:02","00:00","SRV","SRV   VC Nova Novokuibyshevsk U23",
,"13:01:09","00:07","RS","RS   VC Nova Novokuibyshevsk U23",
,"13:01:10","00:08","B POSS","B POSS   Universitet Nizhnevartovsk U23",
,"13:01:11","00:09","K","K   Universitet Nizhnevartovsk U23",
,"13:01:11","00:09","P","[0 : 1]   P   Universitet Nizhnevartovsk U23",
,"13:01:27","00:25","Pt Conf","Pt Conf   Universitet Nizhnevartovsk U23",
,"13:01:28","00:26","SRV","SRV   Universitet Nizhnevartovsk U23",
,"13:01:30","00:29","S ERR","S ERR   Universitet Nizhnevartovsk U23",
,"13:01:30","00:29","P","[1 : 1]   P   VC Nova Novokuibyshevsk U23",
,"13:01:44","00:42","Pt Conf","Pt Conf   VC Nova Novokuibyshevsk U23",
,"13:01:44","00:42","SRV","SRV   VC Nova Novokuibyshevsk U23",
,"13:01:53","00:51","S ERR","S ERR   VC Nova Novokuibyshevsk U23",
