"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"888240","Russia","Youth League U23","13.10.2017 - 15:00","VC Belogorye U23","Zvezda Yugry U23",
"Statistics","VC Belogorye U23","Type","Zvezda Yugry U23",
,"3","Score","1",
,"96","Points","83",
,"3","Sets","1",
,"10","Aces","10",
,"14","Service errors","15",
,"46","Kills","44",
,"12","Blocks","4",
,"2","Errors","7",
,"9","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"15:08:33","00:00","Game conditions changed","Game conditions changed",
,"15:08:35","00:00","Players warming up","Players warming up",
,"15:25:18","00:00","Jersey colours updated","Jersey colours updated",
,"15:25:18","00:00","Jersey colours updated","Jersey colours updated",
,"15:29:10","00:00","Coin flipping","Coin flipping",
,"15:29:20","00:00","Warm up at the net","Warm up at the net",
,"15:29:27","00:00","Game conditions changed","Game conditions changed",
,"15:40:05","00:00","Players lined up","Players lined up",
,"15:40:33","00:00","National anthem singing","National anthem singing",
,"15:42:04","00:00","Shake hands","Shake hands",
,"15:43:06","00:00","Players intro","Players intro",
,"15:44:12","00:00","Game about to start","Game about to start",
,"15:44:46","00:00","Start SRV","Start SRV   Zvezda Yugry U23",
,"15:44:47","00:00","Start 1st Set","Start 1st Set",
,"15:44:48","00:01","SRV","SRV   Zvezda Yugry U23",
,"15:44:53","00:06","RS","RS   Zvezda Yugry U23",
,"15:44:54","00:06","B POSS","B POSS   VC Belogorye U23",
,"15:44:56","00:09","K","K   VC Belogorye U23",
,"15:44:56","00:09","P","[1 : 0]   P   VC Belogorye U23",
,"15:45:05","00:18","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:45:12","00:25","SRV","SRV   VC Belogorye U23",
,"15:45:18","00:31","RS","RS   VC Belogorye U23",
,"15:45:19","00:32","B POSS","B POSS   Zvezda Yugry U23",
,"15:45:21","00:34","B","B   VC Belogorye U23",
,"15:45:21","00:34","P","[2 : 0]   P   VC Belogorye U23",
,"15:45:31","00:44","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:45:33","00:46","SRV","SRV   VC Belogorye U23",
,"15:45:39","00:52","RS","RS   VC Belogorye U23",
,"15:45:40","00:53","B POSS","B POSS   Zvezda Yugry U23",
,"15:45:41","00:54","K","K   Zvezda Yugry U23",
,"15:45:41","00:54","P","[2 : 1]   P   Zvezda Yugry U23",
,"15:45:49","01:02","Pt Conf","Pt Conf   Zvezda Yugry U23",
,"15:45:54","01:07","SRV","SRV   Zvezda Yugry U23",
,"15:46:05","01:18","RS","RS   Zvezda Yugry U23",
,"15:46:06","01:19","B POSS","B POSS   VC Belogorye U23",
,"15:46:08","01:21","K","K   VC Belogorye U23",
,"15:46:08","01:21","P","[3 : 1]   P   VC Belogorye U23",
,"15:46:15","01:27","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:46:19","01:32","SRV","SRV   VC Belogorye U23",
,"15:46:24","01:37","RS","RS   VC Belogorye U23",
,"15:46:25","01:38","B POSS","B POSS   Zvezda Yugry U23",
,"15:46:26","01:39","B","B   VC Belogorye U23",
,"15:46:26","01:39","P","[4 : 1]   P   VC Belogorye U23",
,"15:46:37","01:50","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:46:38","01:51","SRV","SRV   VC Belogorye U23",
,"15:46:43","01:56","RS","RS   VC Belogorye U23",
,"15:46:43","01:56","B POSS","B POSS   Zvezda Yugry U23",
,"15:46:48","02:01","K","K   Zvezda Yugry U23",
,"15:46:48","02:01","P","[4 : 2]   P   Zvezda Yugry U23",
,"15:46:56","02:09","Pt Conf","Pt Conf   Zvezda Yugry U23",
,"15:46:58","02:11","SRV","SRV   Zvezda Yugry U23",
,"15:47:04","02:17","RS","RS   Zvezda Yugry U23",
,"15:47:05","02:17","B POSS","B POSS   VC Belogorye U23",
,"15:47:07","02:20","K","K   VC Belogorye U23",
,"15:47:07","02:20","P","[5 : 2]   P   VC Belogorye U23",
,"15:47:15","02:28","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:47:20","02:33","SRV","SRV   VC Belogorye U23",
,"15:47:29","02:42","A","A   VC Belogorye U23",
,"15:47:29","02:42","P","[6 : 2]   P   VC Belogorye U23",
,"15:47:41","02:54","Pt Conf","Pt Conf   VC Belogorye U23",
,"15:47:43","02:56","SRV","SRV   VC Belogorye U23",
