"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"884013","USA","NCAA Women","13.10.2017 - 23:00","Columbia Lions (women/students)","Penn Quakers (women/students)",
"Statistics","Columbia Lions (women/students)","Type","Penn Quakers (women/students)",
,"2","Score","3",
,"102","Points","106",
,"2","Sets","3",
,"9","Aces","3",
,"11","Service errors","6",
,"55","Kills","68",
,"10","Blocks","8",
,"3","Errors","8",
,"13","Outs","14",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"22:41:14","00:00","Game conditions changed","Game conditions changed",
,"22:41:16","00:00","Players warming up","Players warming up",
,"22:51:38","00:00","Warm up at the net","Warm up at the net",
,"22:55:53","00:00","Jersey colours updated","Jersey colours updated",
,"22:55:54","00:00","Jersey colours updated","Jersey colours updated",
,"22:56:15","00:00","Coin flipping","Coin flipping",
,"23:00:30","00:00","Players lined up","Players lined up",
,"23:01:05","00:00","National anthem singing","National anthem singing",
,"23:02:23","00:00","Players intro","Players intro",
,"23:04:49","00:00","Shake hands","Shake hands",
,"23:04:57","00:00","Game about to start","Game about to start",
,"23:05:51","00:00","Start SRV","Start SRV   Columbia Lions (women/students)",
,"23:05:58","00:00","Start 1st Set","Start 1st Set",
,"23:05:58","00:00","SRV","SRV   Columbia Lions (women/students)",
,"23:06:06","00:07","RS","RS   Columbia Lions (women/students)",
,"23:06:06","00:08","B POSS","B POSS   Penn Quakers (women/students)",
,"23:06:09","00:11","B","B   Columbia Lions (women/students)",
,"23:06:09","00:11","P","[1 : 0]   P   Columbia Lions (women/students)",
,"23:06:19","00:20","Pt Conf","Pt Conf   Columbia Lions (women/students)",
,"23:06:21","00:23","SRV","SRV   Columbia Lions (women/students)",
,"23:06:27","00:28","RS","RS   Columbia Lions (women/students)",
,"23:06:27","00:29","B POSS","B POSS   Penn Quakers (women/students)",
,"23:06:30","00:32","ERR","ERR   Penn Quakers (women/students)",
,"23:06:30","00:32","P","[2 : 0]   P   Columbia Lions (women/students)",
,"23:06:40","00:41","Pt Conf","Pt Conf   Columbia Lions (women/students)",
,"23:06:41","00:43","SRV","SRV   Columbia Lions (women/students)",
,"23:06:47","00:48","RS","RS   Columbia Lions (women/students)",
,"23:06:47","00:49","B POSS","B POSS   Penn Quakers (women/students)",
,"23:06:50","00:52","K","K   Penn Quakers (women/students)",
,"23:06:50","00:52","P","[2 : 1]   P   Penn Quakers (women/students)",
,"23:07:05","01:06","Pt Conf","Pt Conf   Penn Quakers (women/students)",
,"23:07:10","01:12","SRV","SRV   Penn Quakers (women/students)",
,"23:07:16","01:17","RS","RS   Penn Quakers (women/students)",
,"23:07:16","01:18","B POSS","B POSS   Columbia Lions (women/students)",
,"23:07:18","01:20","B POSS","B POSS   Penn Quakers (women/students)",
,"23:07:22","01:23","K","K   Penn Quakers (women/students)",
,"23:07:22","01:23","P","[2 : 2]   P   Penn Quakers (women/students)",
,"23:07:28","01:30","Pt Conf","Pt Conf   Penn Quakers (women/students)",
,"23:07:29","01:30","SRV","SRV   Penn Quakers (women/students)",
,"23:07:38","01:39","RS","RS   Penn Quakers (women/students)",
,"23:07:38","01:39","B POSS","B POSS   Columbia Lions (women/students)",
,"23:07:40","01:42","B POSS","B POSS   Penn Quakers (women/students)",
,"23:07:41","01:43","B POSS","B POSS   Columbia Lions (women/students)",
,"23:07:48","01:49","ERR","ERR   Penn Quakers (women/students)",
,"23:07:48","01:49","P","[3 : 2]   P   Columbia Lions (women/students)",
,"23:07:59","02:00","Pt Conf","Pt Conf   Columbia Lions (women/students)",
,"23:08:02","02:04","SRV","SRV   Columbia Lions (women/students)",
,"23:08:08","02:10","S ERR","S ERR   Columbia Lions (women/students)",
,"23:08:08","02:10","P","[3 : 3]   P   Penn Quakers (women/students)",
,"23:08:14","02:16","Pt Conf","Pt Conf   Penn Quakers (women/students)",
,"23:08:19","02:20","SRV","SRV   Penn Quakers (women/students)",
,"23:08:24","02:26","RS","RS   Penn Quakers (women/students)",
,"23:08:25","02:26","B POSS","B POSS   Columbia Lions (women/students)",
,"23:08:28","02:30","K","K   Columbia Lions (women/students)",
,"23:08:28","02:30","P","[4 : 3]   P   Columbia Lions (women/students)",
,"23:08:42","02:44","Pt Conf","Pt Conf   Columbia Lions (women/students)",
