"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889118","Vietnam","Premier League U20 (men)","13.10.2017 - 08:30","Trang An Ninh Binh U20","Vinh Long U20",
"Statistics","Trang An Ninh Binh U20","Type","Vinh Long U20",
,"3","Score","2",
,"113","Points","116",
,"3","Sets","2",
,"7","Aces","9",
,"5","Service errors","7",
,"74","Kills","86",
,"14","Blocks","7",
,"4","Errors","5",
,"5","Outs","6",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"07:53:17","00:00","Game conditions changed","Game conditions changed",
,"08:33:34","00:00","Players warming up","Players warming up",
,"08:33:43","00:00","Coin flipping","Coin flipping",
,"08:33:46","00:00","Players lined up","Players lined up",
,"08:39:27","00:00","Jersey colours updated","Jersey colours updated",
,"08:39:28","00:00","Jersey colours updated","Jersey colours updated",
,"08:51:00","00:00","Warm up at the net","Warm up at the net",
,"08:57:37","00:00","Players intro","Players intro",
,"08:58:44","00:00","Game about to start","Game about to start",
,"08:58:48","00:00","Start SRV","Start SRV   Vinh Long U20",
,"08:58:51","00:00","Start 1st Set","Start 1st Set",
,"08:58:52","00:00","SRV","SRV   Vinh Long U20",
,"08:58:53","00:02","RS","RS   Vinh Long U20",
,"08:58:54","00:03","B POSS","B POSS   Trang An Ninh Binh U20",
,"08:58:57","00:05","K","K   Trang An Ninh Binh U20",
,"08:58:57","00:05","P","[1 : 0]   P   Trang An Ninh Binh U20",
,"08:59:15","00:24","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"08:59:16","00:25","SRV","SRV   Trang An Ninh Binh U20",
,"08:59:17","00:26","RS","RS   Trang An Ninh Binh U20",
,"08:59:18","00:27","B POSS","B POSS   Vinh Long U20",
,"08:59:21","00:29","ERR","ERR   Vinh Long U20",
,"08:59:21","00:29","P","[2 : 0]   P   Trang An Ninh Binh U20",
,"08:59:38","00:46","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"08:59:39","00:47","SRV","SRV   Trang An Ninh Binh U20",
,"08:59:42","00:50","RS","RS   Trang An Ninh Binh U20",
,"08:59:43","00:51","B POSS","B POSS   Vinh Long U20",
,"08:59:45","00:54","OUT","OUT   Vinh Long U20",
,"08:59:45","00:54","P","[3 : 0]   P   Trang An Ninh Binh U20",
,"08:59:59","01:08","Pt Conf","Pt Conf   Trang An Ninh Binh U20",
,"09:00:06","01:14","SRV","SRV   Trang An Ninh Binh U20",
,"09:00:09","01:17","RS","RS   Trang An Ninh Binh U20",
,"09:00:09","01:17","B POSS","B POSS   Vinh Long U20",
,"09:00:11","01:19","K","K   Vinh Long U20",
,"09:00:11","01:19","P","[3 : 1]   P   Vinh Long U20",
