"ID","Country","Competition","Game Start Time","Competitor 1","Competitor 2",
"889119","Vietnam","Premier League U20 (men)","13.10.2017 - 11:00","TP Ho Chi Minh U20","The Cong BD15 U20",
"Statistics","TP Ho Chi Minh U20","Type","The Cong BD15 U20",
,"3","Score","2",
,"104","Points","109",
,"3","Sets","2",
,"4","Aces","14",
,"8","Service errors","6",
,"64","Kills","58",
,"17","Blocks","19",
,"6","Errors","4",
,"4","Outs","9",
,"0","Penalty Points","0",
,"0","Points (unknown method)","0",
,"0","Penalties","0",
,"0","Expulsions","0",
,"0","Disqualifications","0",
"Events","Time","Minute","EventCode","Event",
,"11:02:24","00:00","Players warming up","Players warming up",
,"11:02:30","00:00","Game conditions changed","Game conditions changed",
,"11:04:02","00:00","Jersey colours updated","Jersey colours updated",
,"11:04:03","00:00","Jersey colours updated","Jersey colours updated",
,"11:06:34","00:00","Coin flipping","Coin flipping",
,"11:06:37","00:00","Players lined up","Players lined up",
,"11:06:40","00:00","Shake hands","Shake hands",
,"11:17:10","00:00","Warm up at the net","Warm up at the net",
,"11:26:21","00:00","Players intro","Players intro",
,"11:27:18","00:00","Game about to start","Game about to start",
,"11:27:42","00:00","Start SRV","Start SRV   The Cong BD15 U20",
,"11:27:47","00:00","Start 1st Set","Start 1st Set",
,"11:27:48","00:01","SRV","SRV   The Cong BD15 U20",
,"11:27:49","00:02","RS","RS   The Cong BD15 U20",
,"11:27:50","00:03","B POSS","B POSS   TP Ho Chi Minh U20",
,"11:27:56","00:09","K","K   TP Ho Chi Minh U20",
,"11:27:56","00:09","P","[1 : 0]   P   TP Ho Chi Minh U20",
,"11:28:13","00:26","Pt Conf","Pt Conf   TP Ho Chi Minh U20",
,"11:28:15","00:27","SRV","SRV   TP Ho Chi Minh U20",
,"11:28:20","00:32","RS","RS   TP Ho Chi Minh U20",
,"11:28:21","00:33","B POSS","B POSS   The Cong BD15 U20",
,"11:28:44","00:57","B POSS","B POSS   TP Ho Chi Minh U20",
,"11:28:55","01:08","K","K   TP Ho Chi Minh U20",
,"11:28:55","01:08","P","[2 : 0]   P   TP Ho Chi Minh U20",
,"11:29:10","01:23","Pt Conf","Pt Conf   TP Ho Chi Minh U20",
,"11:29:12","01:24","SRV","SRV   TP Ho Chi Minh U20",
,"11:29:15","01:27","RS","RS   TP Ho Chi Minh U20",
,"11:29:15","01:28","B POSS","B POSS   The Cong BD15 U20",
,"11:29:18","01:31","K","K   The Cong BD15 U20",
,"11:29:18","01:31","P","[2 : 1]   P   The Cong BD15 U20",
,"11:29:31","01:43","Pt Conf","Pt Conf   The Cong BD15 U20",
,"11:29:38","01:51","SRV","SRV   The Cong BD15 U20",
